Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4.98229172368199e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999999,1.5810333181800925e-16,1.2916013384543688e-18,3.003312228057105e-29,1.2916013384717386e-18,2.370154826831122e-29
1.3950416826309574e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999998,4.426893290903286e-16,3.6164837476927465e-18,1.8140005857461737e-28,3.616483747797661e-18,1.4315735154127738e-28
3.188666703156474e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999994,1.0118613236345778e-15,8.266248566251559e-18,8.733631959185281e-28,8.266248566756676e-18,6.892410236526548e-28
6.775916744207507e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.9999999999999989,2.150205312721519e-15,1.7565778203697408e-17,3.814206529627581e-27,1.7565778205903393e-17,3.0100966301805587e-27
1.3950416826309572e-17,0.11224537200000026,0.0,0.0,0.0,0.0,0.9999999999999978,4.426893290889171e-15,3.6164837479902e-17,1.5923561433114279e-26,3.6164837489111547e-17,1.2566560892803911e-26
2.829941699051371e-17,0.1122453720000005,0.0,0.0,0.0,0.0,0.9999999999999954,8.980269247199554e-15,7.336295603756275e-17,6.505294418423137e-26,7.33629560751868e-17,5.133850161909639e-26
5.699741731892197e-17,0.11224537200000106,0.0,0.0,0.0,0.0,0.9999999999999908,1.8087021159720634e-14,1.4775919317389055e-16,2.6295440146199464e-25,1.47759193325973e-16,2.075184318980691e-25
1.143934179757385e-16,0.11224537200000205,0.0,0.0,0.0,0.0,0.9999999999999816,3.630052498436406e-14,2.9655166753057137e-16,1.0573280831112747e-24,2.965516681420882e-16,8.344224879392034e-25
2.2918541928937153e-16,0.11224537200000417,0.0,0.0,0.0,0.0,0.999999999999963,7.272753263205593e-14,5.941366165800337e-16,4.240358514717935e-24,5.9413661903248995e-16,3.3464073833753296e-24
4.587694219166376e-16,0.1122453720000083,0.0,0.0,0.0,0.0,0.9999999999999261,1.4558154792105986e-13,1.1893065160233617e-15,1.6983551650628373e-23,1.1893065258459784e-15,1.340308431903183e-23
9.179374271711698e-16,0.11224537200001664,0.0,0.0,0.0,0.0,0.999999999999852,2.912895784735484e-13,2.3796463202876295e-15,6.797846700895539e-23,2.379646359603696e-15,5.364726686043233e-23
1.836273437680234e-15,0.11224537200003322,0.0,0.0,0.0,0.0,0.9999999999997039,5.827056394764482e-13,4.760325950326613e-15,2.7200241403737573e-22,4.760326107642095e-15,2.1465894735118756e-22
3.672945458698364e-15,0.11224537200006651,0.0,0.0,0.0,0.0,0.9999999999994077,1.1655377610739388e-12,9.521685296446369e-15,1.088186773067214e-21,9.521685925810749e-15,8.58775575785348e-22
7.346289500734623e-15,0.11224537200013299,0.0,0.0,0.0,0.0,0.9999999999988154,2.3312020026356833e-12,1.904440433285298e-14,4.353101348826346e-21,1.9044406850515527e-14,3.435381949030925e-21
1.4692977584807137e-14,0.11224537200026599,0.0,0.0,0.0,0.0,0.9999999999976307,4.662530479226228e-12,3.808984378233421e-14,1.7413113913602136e-20,3.808985385339537e-14,1.3742087533564258e-20
2.9386353752952167e-14,0.1122453720005319,0.0,0.0,0.0,0.0,0.9999999999952612,9.325187406275534e-12,7.618072818796559e-14,6.965387255586147e-20,7.618076847303911e-14,5.496947303506315e-20
5.877310608924223e-14,0.11224537200106383,0.0,0.0,0.0,0.0,0.9999999999905224,1.8650501155847025e-11,1.5236251902587898e-13,2.7861832276863247e-19,1.5236268016788666e-13,2.1988016520987093e-19
1.1754661076182237e-13,0.11224537200212763,0.0,0.0,0.0,0.0,0.9999999999810447,3.730112823688149e-11,3.047261888081082e-13,1.1144789459265547e-18,3.0472683338001234e-13,8.795254249829422e-19
2.3509362010698266e-13,0.11224537200425531,0.0,0.0,0.0,0.0,0.9999999999620893,7.460238072651637e-11,6.094538807965755e-13,4.457927011326901e-18,6.094564590955085e-13,3.5181129721057e-18
4.701876387973032e-13,0.11224537200851062,0.0,0.0,0.0,0.0,0.9999999999241787,1.4920487901604993e-10,1.218910674456738e-12,1.783172984370572e-17,1.2189209877036615e-12,1.4072488383609132e-17
9.403756761779444e-13,0.1122453720170212,0.0,0.0,0.0,0.0,0.9999999998483572,2.984098488361715e-10,2.437829900407514e-12,7.132695771670069e-17,2.4378711537260567e-12,5.629013812948492e-17
1e-12,0.11224537203404243,0.0,0.0,0.0,0.0,0.9999999998387423,3.1733045407956857e-10,2.592401904026574e-12,8.489436684215029e-17,2.592451004473828e-12,6.699740704818921e-17
1.8807517509392267e-12,0.11224537203404243,0.0,0.0,0.0,0.0,0.9999999996967142,5.968196814406276e-10,4.875690906011234e-12,2.8530786551110075e-16,4.875855921774753e-12,2.2516181451502203e-16
2.8211278257005086e-12,0.11224537205106369,0.0,0.0,0.0,0.0,0.999999999545071,8.952294070092772e-10,7.31357446449747e-12,6.062791890999422e-16,7.313925126606336e-12,4.784706489832925e-16
3.7615039004617904e-12,0.11224537206808492,0.0,0.0,0.0,0.0,0.9999999993934278,1.193639025542101e-09,9.751480575046596e-12,1.0342408922293961e-15,9.752078768999759e-12,8.162174226948572e-16
5.642256049984354e-12,0.11224537210212743,0.0,0.0,0.0,0.0,0.999999999090141,1.7904580114011127e-09,1.4627345721913215e-11,2.141264058110927e-15,1.462858422598907e-11,1.6898840669820278e-15
7.523008199506918e-12,0.11224537213616996,0.0,0.0,0.0,0.0,0.9999999987868536,2.3872766036509645e-09,1.9503293793949932e-11,3.641728710720028e-15,1.950540019647543e-11,2.8740656181053685e-15
