Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5.225471643962588e-19,0.11224537199999998,0.0,0.0,0.0,0.0,0.9999999999999998,1.65820173335908e-16,1.3546429121185017e-18,3.3036434508627854e-29,1.3546429120599579e-18,2.607170309589581e-29,3.882551362763157e-29
1.4631320603095245e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999998,4.642964853404354e-16,3.793000154080166e-18,1.9954006443207555e-28,3.79300015372656e-18,1.5747308670435041e-28,2.3450610230876284e-28
3.344301852136056e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999994,1.0612491093490618e-15,8.669714638596935e-18,9.606995155103465e-28,8.669714636894473e-18,7.58165126105746e-28,1.1290459362595479e-27
7.106641435789119e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.9999999999999989,2.2551543573646015e-15,1.8423143610004233e-17,4.195627182590036e-27,1.8423143602569138e-17,3.3111062939754224e-27,4.930840230378767e-27
1.4631320603095246e-17,0.11224537200000026,0.0,0.0,0.0,0.0,0.9999999999999977,4.642964853388827e-15,3.7930001562313866e-17,1.7515917576423157e-26,3.793000153127381e-17,1.3823216988613847e-26,2.0585287322396274e-26
2.96806789377075e-17,0.11224537200000054,0.0,0.0,0.0,0.0,0.9999999999999952,9.418585845409866e-15,7.69437175049133e-17,7.15582386026336e-26,7.694371737810453e-17,5.64723518345392e-26,8.409761551281532e-26
5.977939560693201e-17,0.11224537200000109,0.0,0.0,0.0,0.0,0.9999999999999903,1.8969827829342293e-14,1.5497114954203284e-16,2.892498416080252e-25,1.5497114902945156e-16,2.282702755214016e-25,3.399360078493318e-25
1.1997682894538103e-16,0.11224537200000215,0.0,0.0,0.0,0.0,0.9999999999999807,3.8072311796768525e-14,3.1102601422395456e-16,1.1630608914210415e-24,3.110260121628877e-16,9.17864740222515e-25,1.3668677357862154e-24
2.4037169562227906e-16,0.11224537200000437,0.0,0.0,0.0,0.0,0.9999999999999613,7.627727972986655e-14,6.231357460185285e-16,4.664394366178813e-24,6.231357377527287e-16,3.6810481497130296e-24,5.4817509602444825e-24
