Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.457827130263845e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999998,1.7319352250689271e-16,1.4148783767936623e-18,3.603974673668463e-29,1.4148783767297958e-18,2.8441857922838193e-29,4.235510577558035e-29,4.297420662022324e-57
1.5281915964738765e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999998,4.849418630191829e-16,3.961659455184102e-18,2.1768007028953338e-28,3.9616594547983495e-18,1.7178882185979897e-28,2.5582483888207633e-28,1.351177814461051e-55
3.4930093633688604e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999994,1.1084385440432961e-15,9.05522161261237e-18,1.0480358351021608e-27,9.055221610755141e-18,8.270892284839788e-28,1.2316864759174404e-27,3.014403373832258e-54
7.42264489715883e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.9999999999999988,2.3554319060896533e-15,1.9242345930058465e-17,4.577047835552453e-27,1.924234592194745e-17,3.612115957108172e-27,5.379098433122193e-27,5.645643901023885e-53
1.5281915964738768e-17,0.11224537200000027,0.0,0.0,0.0,0.0,0.9999999999999976,4.8494186301748905e-15,3.9616594575308874e-17,1.9108273719731702e-26,3.9616594541446995e-17,1.50798730788583e-26,2.245667707882409e-26,9.751445839998256e-52
3.1000458099898645e-17,0.11224537200000055,0.0,0.0,0.0,0.0,0.999999999999995,9.837392078315462e-15,8.036509190724259e-17,7.806353302103309e-26,8.036509176890577e-17,6.160620200435278e-26,9.174285328544781e-26,1.6202173020178607e-50
6.243754237021839e-17,0.11224537200000115,0.0,0.0,0.0,0.0,0.9999999999999899,1.9813338974476978e-14,1.618620867368417e-16,3.155452817540331e-25,1.618620861776621e-16,2.4902211877521676e-25,3.7083928127997763e-25,2.6413630952679554e-49
1.253117109108579e-16,0.11224537200000224,0.0,0.0,0.0,0.0,0.9999999999999798,3.9765232766321525e-14,3.2485607705896644e-16,1.2687936997306274e-24,3.248560748105298e-16,1.0013069895316292e-24,1.491128438957389e-24,4.265808361421282e-48
2.5106004799213686e-16,0.11224537200000453,0.0,0.0,0.0,0.0,0.9999999999999595,7.966902034809668e-14,6.50844060354922e-16,5.088430217638237e-24,6.508440513376856e-16,4.01568889218467e-24,5.980091955971397e-24,6.857162054675237e-47
5.025567221546949e-16,0.1122453720000091,0.0,0.0,0.0,0.0,0.999999999999919,1.5947659550399117e-13,1.3028200375536575e-15,2.0380261980567485e-23,1.3028200014376788e-15,1.6083701440303424e-23,2.3951559755882364e-23,1.0997020482907273e-45
1.0055500704798108e-15,0.11224537200001823,0.0,0.0,0.0,0.0,0.9999999999998378,3.1909174578515703e-13,2.6067720343784245e-15,8.157416040925286e-23,2.606771889820392e-15,6.437672229380612e-23,9.586865809320584e-23,1.761570625193127e-44
2.011536767130043e-15,0.11224537200003638,0.0,0.0,0.0,0.0,0.9999999999996756,6.383220462249959e-13,5.214676197737135e-15,3.264028968328973e-22,5.214675619316737e-15,2.575907533179878e-22,3.835995031096177e-22,2.820151215233539e-43
4.023510160430507e-15,0.11224537200007284,0.0,0.0,0.0,0.0,0.9999999999993512,1.2767826466147028e-12,1.0430485203291183e-14,1.3058241275850103e-21,1.043048288923317e-14,1.0305308229399752e-21,1.5346477656435769e-21,4.5135505868456084e-42
8.047456947031434e-15,0.11224537200014566,0.0,0.0,0.0,0.0,0.9999999999987023,2.553703845434233e-12,2.0862105929745236e-14,5.22372161782637e-21,2.0862096672761577e-14,4.1224593949177155e-21,6.1390904137887786e-21,7.222720475593707e-41
1.6095350520233288e-14,0.11224537200029133,0.0,0.0,0.0,0.0,0.9999999999974045,5.10754623523376e-12,4.1725358244032555e-14,2.0895736690200303e-20,4.17253212146051e-14,1.6490513489321036e-20,2.455735886697221e-20,1.1557160301598141e-39
3.2191137666636996e-14,0.1122453720005827,0.0,0.0,0.0,0.0,0.9999999999948089,1.0215230983474673e-11,8.345190631808745e-14,8.35846470180545e-20,8.345175819747545e-14,6.596343523599963e-20,9.823141771761467e-20,1.849202523961838e-38
6.438271195944441e-14,0.11224537200116538,0.0,0.0,0.0,0.0,0.9999999999896177,2.0430600354523944e-11,1.6690517624782516e-13,3.3434198693051964e-19,1.6690458376024074e-13,2.6385673900914173e-19,3.9292953773014405e-19,2.958744803575125e-37
1.2876586054505924e-13,0.1122453720023307,0.0,0.0,0.0,0.0,0.9999999999792355,4.0861338594892294e-11,3.3381241123146794e-13,1.337374731977131e-18,3.338100412762015e-13,1.0554348360553828e-18,1.571725103281553e-18,4.733929124666525e-36
