Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.68068658401703e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999998,1.80265533565184e-16,1.4726521051777217e-18,3.904305896474136e-29,1.4726521051085334e-18,3.081201274978578e-29,4.5884697923526936e-29,5.043500637991933e-57,5.21264092142434e-49
1.5905922435247683e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999998,5.047434939823886e-16,4.1234258946729555e-18,2.3582007614699066e-28,4.123425894255059e-18,1.8610455701530948e-28,2.7714357545536386e-28,1.5857572960948256e-55,6.188447317745761e-48
3.635639413770899e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.9999999999999994,1.1536994148162915e-15,9.424973474364762e-18,1.1353721546939698e-27,9.424973472352766e-18,8.960133308628209e-28,1.3343270155750787e-27,3.537737292705446e-54,6.07585430534855e-47
7.72573375426316e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.9999999999999988,2.451611256482073e-15,2.0028068636553727e-17,4.958468488514825e-27,2.00280686277668e-17,3.913125620246313e-27,5.827356635863378e-27,6.6257904108852495e-53,5.374024382350113e-46
1.5905922435247684e-17,0.11224537200000027,0.0,0.0,0.0,0.0,0.9999999999999974,5.0474349398055355e-15,4.123425897215308e-17,2.0700629863039915e-26,4.123425893546937e-17,1.633652916914809e-26,2.432806683523309e-26,1.1444405184682316e-51,4.5171913969343845e-45
3.226629979721673e-17,0.11224537200000059,0.0,0.0,0.0,0.0,0.9999999999999948,1.0239082306420063e-14,8.364663968823741e-17,8.456882743942985e-26,8.364663953837252e-17,6.67400521745381e-26,9.938809105792605e-26,1.9015050272183481e-50,3.7034665790380716e-44
6.498705452115482e-17,0.11224537200000118,0.0,0.0,0.0,0.0,0.9999999999999895,2.062237703951953e-14,1.684714012999487e-16,3.4184072190001923e-25,1.6847140069417077e-16,2.697739620320423e-25,4.0174255470937467e-25,3.0999330743309795e-49,2.999163504988133e-43
1.3042856396903102e-16,0.11224537200000237,0.0,0.0,0.0,0.0,0.9999999999999789,4.138896650520009e-14,3.3812092524154166e-16,1.3745265080400386e-24,3.3812092280573536e-16,1.0847492388649738e-24,1.6153891421185116e-24,5.0064000819356747e-48,2.4139881132723348e-42
2.613115828647834e-16,0.11224537200000471,0.0,0.0,0.0,0.0,0.9999999999999578,8.292214543448779e-14,6.774199759974093e-16,5.5124660690962655e-24,6.774199662287365e-16,4.350329634850744e-24,6.478432951617657e-24,8.047641549442458e-47,1.9370740802117215e-41
