Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.895127067995911e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999998,1.870703850018364e-16,1.528243313301645e-18,4.204637119279803e-29,1.5282433132271349e-18,3.31821675767384e-29,4.9414290071471444e-29,5.849267012024263e-57,5.8255218317044394e-49,3.10359795156465e-59
1.6506355790388552e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999997,5.237970780050056e-16,4.2790812774334285e-18,2.5396008200444724e-28,4.279081276983385e-18,2.0042029217087967e-28,2.984623120286264e-28,1.8391031362507895e-55,6.916059536633671e-48,6.942624491026204e-58
3.772881323517383e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999993,1.197250464010799e-15,9.780757206452283e-18,1.2227084742857746e-27,9.780757204285516e-18,9.649374332422488e-28,1.4369675552324742e-27,4.102937925050342e-54,6.790228300923654e-47,1.3717456132895495e-56
8.01737281247444e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.9999999999999987,2.544157236020205e-15,2.0784109067511145e-17,5.339889141477162e-27,2.0784109058048293e-17,4.2141352833896364e-27,6.275614838602412e-27,7.684348641392058e-53,6.005880099148065e-46,2.440948051896365e-55
1.6506355790388552e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.9999999999999973,5.2379707800302955e-15,4.279081280171346e-17,2.2292986006347803e-26,4.279081276220793e-17,1.7593185259481434e-26,2.6199456591624016e-26,1.3272801276444399e-51,5.048304212067919e-45,4.1170157506915744e-54
3.3484321746216777e-17,0.11224537200000059,0.0,0.0,0.0,0.0,0.9999999999999946,1.0625597868015584e-14,8.680422031845647e-17,9.10741218578241e-26,8.680422015706352e-17,7.187390234508051e-26,1.0703332883025616e-25,2.2052957702696375e-50,4.138904974685412e-44,6.762211011320112e-53
6.744025365787322e-17,0.11224537200000123,0.0,0.0,0.0,0.0,0.9999999999999891,2.1400852043846606e-14,1.7483103554529612e-16,3.6813616204598484e-25,1.748310348929199e-16,2.9052580529175985e-25,4.32645828137572e-25,3.595188651179982e-49,3.3517928418097044e-43,1.0961836354663664e-51
1.3535211748118612e-16,0.11224537200000248,0.0,0.0,0.0,0.0,0.9999999999999781,4.2951360394950417e-14,3.508846667723896e-16,1.4802593163492836e-24,3.5088466414921365e-16,1.168191488221597e-24,1.739649845269978e-24,5.806239138349558e-48,2.6978149371800068e-42,1.7653702419403314e-50
2.711758451278119e-16,0.11224537200000492,0.0,0.0,0.0,0.0,0.9999999999999563,8.605237709492508e-14,7.029919323202337e-16,5.9365019205529535e-24,7.029919218001249e-16,4.6849703777036145e-24,6.976773947186435e-24,9.333359398190907e-47,2.1648273207988472e-41,2.833811141415415e-49
5.428233004210635e-16,0.1122453720000098,0.0,0.0,0.0,0.0,0.9999999999999124,1.7225441048594266e-13,1.4072064757905507e-15,2.3776972310461888e-23,1.4072064336552423e-15,1.8764318374968462e-23,2.794348637027029e-23,1.4968166559526707e-45,1.7344974012164253e-40,4.5414898384343885e-48
1.0861182110075666e-15,0.11224537200001967,0.0,0.0,0.0,0.0,0.9999999999998248,3.4465847723225083e-13,2.815635612229696e-15,9.516985380919245e-23,2.8156354435786594e-15,7.510617623319282e-23,1.1184676768259666e-22,2.3976932840372153e-44,1.388654458523415e-39,7.272310441705303e-47
2.172708032180573e-15,0.11224537200003931,0.0,0.0,0.0,0.0,0.9999999999996496,6.89466610581959e-13,5.632494083102023e-15,3.8080337962555533e-22,5.632493408278233e-15,3.0052254732835145e-22,4.475327528851245e-22,3.838538939795373e-43,1.1113486306058048e-38,1.1640463422373152e-45
4.345887674526585e-15,0.1122453720000787,0.0,0.0,0.0,0.0,0.9999999999992992,1.3790828767097424e-12,1.1266211816822734e-14,1.5234614820798951e-21,1.1266209117088428e-14,1.2022859744249508e-21,1.790422387307613e-21,6.143443168441266e-42,8.892525954738356e-38,1.8628629372392629e-44
8.692246959218611e-15,0.11224537200015733,0.0,0.0,0.0,0.0,0.9999999999985983,2.7583154066787787e-12,2.2533650452167658e-14,6.094341886643089e-21,2.2533639652353717e-14,4.809536075374698e-21,7.162272101869957e-21,9.830922896654034e-41,7.114773670230226e-37,2.98091531447937e-43
