Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.102036236356278e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999998,1.9363624479402123e-16,1.5818821152091868e-18,4.5049683420854714e-29,1.5818821151293541e-18,3.555232240369589e-29,5.294388221941397e-29,6.714719784117674e-57,6.460701398804593e-49,3.5628037711254736e-59,2.585589352823655e-72
1.7085701461797579e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999997,5.421814854231133e-16,4.429269922788031e-18,2.72100087861904e-28,4.429269922305841e-18,2.1473602732650755e-28,3.197810486018656e-28,2.1112153349280195e-55,7.670144721363291e-48,7.969849544406126e-58,1.0669505925402448e-70
3.905303191268018e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.9999999999999993,1.2392719666807135e-15,1.012404553875496e-17,1.3100447938775763e-27,1.012404553643342e-17,1.0338615356222423e-27,1.5396080948896363e-27,4.71000527086279e-54,7.530593612308959e-47,1.574707974949551e-56,4.2207496205512587e-69
8.298769281444539e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.9999999999999987,2.6334529291935776e-15,2.1513596773925754e-17,5.721309794439465e-27,2.1513596763786987e-17,4.515144946537957e-27,6.72387304133938e-27,8.82131859252866e-53,6.660724842148127e-46,2.802108734963796e-55,1.5063549724488956e-67
1.708570146179758e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.9999999999999972,5.421814854209959e-15,4.4292699257215137e-17,2.388534214965541e-26,4.429269921488778e-17,1.8849841349856764e-26,2.807084634799755e-26,1.5236634115230327e-51,5.59874069179283e-45,4.726166046982397e-54,5.089629031674481e-66
3.465956582250366e-17,0.1122453720000006,0.0,0.0,0.0,0.0,0.9999999999999943,1.099853870420534e-14,8.985090427558503e-17,9.757941627621587e-26,8.9850904102664e-17,7.700775251596714e-26,1.1467856660244358e-25,2.5315895311536986e-50,4.590186082766974e-44,7.762742254501726e-53,1.673356062487189e-64
6.980729454391582e-17,0.11224537200000129,0.0,0.0,0.0,0.0,0.9999999999999887,2.215198640404658e-14,1.8096731451948937e-16,3.944316021919304e-25,1.8096731382051487e-16,3.1127764855426457e-25,4.635491015646137e-25,4.1271298257561425e-49,3.717252025548184e-43,1.2583740785427704e-51,5.427473355799458e-63
1.4010275198674012e-16,0.11224537200000255,0.0,0.0,0.0,0.0,0.9999999999999774,4.4458881803130945e-14,3.6320013583595614e-16,1.585992124658369e-24,3.632001330254105e-16,1.2516337376006518e-24,1.8639105484121416e-24,6.665325530472867e-48,2.991968350352715e-42,2.026573005136482e-50,1.7485219352293785e-61
2.8069366687238873e-16,0.11224537200000506,0.0,0.0,0.0,0.0,0.9999999999999547,8.907267259890724e-14,7.276657817835225e-16,6.36053777200836e-24,7.276657705119771e-16,5.019611120736483e-24,7.47511494268056e-24,1.0714315600309465e-46,2.4008670186569905e-41,3.2530995995598106e-49,5.614067220611826e-60
