Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.302155925696546e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999998,1.999866536825016e-16,1.6337608234337262e-18,4.8052995648911324e-29,1.6337608233485709e-18,3.792247723065804e-29,5.647347436735453e-29,7.639858954270605e-57,7.117422627193396e-49,4.053678957586117e-59,3.038304929022374e-72,7.755627492952715e-89
1.764603659195033e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999997,5.599626303108487e-16,4.57453030583023e-18,2.9024009371935997e-28,4.574530305315894e-18,2.2905176248219093e-28,3.410997851750817e-28,2.4020938921256125e-55,8.449804166558822e-48,9.067917705109147e-58,1.2537649226766498e-70,5.984589658560418e-87
4.0333797924457895e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.9999999999999993,1.2799145835669203e-15,1.0456069271486424e-17,1.3973811134693739e-27,1.0456069269010117e-17,1.1027856380027806e-27,1.6422486345465726e-27,5.358939330138766e-54,8.2960678846422015e-47,1.7916677409487378e-56,4.959768357561649e-69,6.522298592429043e-85
8.570932058947302e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.9999999999999986,2.7198184900765707e-15,2.2219147206251553e-17,6.102730447401737e-27,2.2219147195436868e-17,4.8161546096911e-27,7.172131244074349e-27,1.0036700264279941e-52,7.337778177408439e-46,3.1881770516727083e-55,1.7701053850173623e-67,5.335645274431911e-83
1.7646036591950328e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.9999999999999971,5.599626303085903e-15,4.5745303089592785e-17,2.5477698292962738e-26,4.5745303044443606e-17,2.010649744027265e-26,2.994223610435428e-26,1.733590370098779e-51,6.167844832575564e-45,5.377326709665222e-54,5.980781217704098e-66,3.840102734471933e-81
3.5796245657956385e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.9999999999999942,1.1359241929064693e-14,9.279761491151911e-17,1.0408471069460536e-25,9.279761472707e-17,8.21416026871862e-26,1.2232380437449313e-25,2.8803863098531313e-50,5.056772069031605e-44,8.832275656147052e-53,1.9663468467167583e-64,2.602946781091595e-79
7.209666378996849e-17,0.11224537200000133,0.0,0.0,0.0,0.0,0.9999999999999883,2.287847318086278e-14,1.869022387763473e-16,4.207270423378569e-25,1.869022380307745e-16,3.320294918194614e-25,4.944523749905386e-25,4.695756598002697e-49,4.0951054993527425e-43,1.431750070644761e-51,6.377778326326118e-63,1.7138971843202892e-77
1.4469750005399272e-16,0.11224537200000265,0.0,0.0,0.0,0.0,0.9999999999999767,4.5916935683820975e-14,3.751114873899057e-16,1.691724932967299e-24,3.7511148439199026e-16,1.3350759870013762e-24,1.9881712515453177e-24,7.583659258122208e-48,3.296097771130129e-42,2.3057897559664825e-50,2.054673010814637e-61,1.1125054930229457e-75
2.8989917258204113e-16,0.11224537200000524,0.0,0.0,0.0,0.0,0.9999999999999533,9.199386068718541e-14,7.5152998815263065e-16,6.784573623462521e-24,7.515299761296488e-16,5.354251863943231e-24,7.973455938102559e-24,1.219051015520844e-46,2.6449118418627535e-41,3.701304515843201e-49,6.59703916141722e-60,7.170392536756128e-74
