Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.496113637689776e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999998,2.061415242116917e-16,1.684042110505447e-18,5.105630787696789e-29,1.6840421104149698e-18,4.02926320576247e-29,6.000306651529321e-29,8.624684522481552e-57,7.795000776331239e-49,4.5762235109495405e-59,3.5355232983940615e-72,9.302587220286883e-89,1.505278477889062e-96
1.8189118185531375e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999997,5.771962677925714e-16,4.7153179096445355e-18,3.083800995768157e-28,4.715317909098053e-18,2.4336749763792793e-28,3.624185217482751e-28,2.7117388078427028e-55,9.254224948251633e-48,1.0236828973152697e-57,1.4589434523626477e-70,7.178293001313052e-87,2.1058184891389725e-94
4.1575127281214566e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.9999999999999993,1.319305754953669e-15,1.0777869508839848e-17,1.4847174330611672e-27,1.0777869506208772e-17,1.1717097403838467e-27,1.7448891742032884e-27,6.049740102874381e-54,9.085852984350413e-47,2.0226249112949826e-56,5.77143401843562e-69,7.823254667541568e-85,4.578262485604951e-92
8.834714547258096e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.9999999999999986,2.803524729273216e-15,2.2902972710899012e-17,6.48415110036397e-27,2.2902972699408415e-17,5.1171642728489114e-27,7.620389446807377e-27,1.1330493656631277e-52,8.036334164822286e-46,3.5991530020528054e-55,2.0597829520037447e-67,6.3999077578491245e-83,7.5018256061632495e-90
1.8189118185531372e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.999999999999997,5.771962677901718e-15,4.715317912969149e-17,2.7070054436269757e-26,4.71531790817205e-17,2.1363153530727776e-26,3.18136258606947e-26,1.957061003366618e-51,6.755023249220334e-45,6.070497738843025e-54,6.959535285843287e-66,4.6060596511497e-81,1.0807040501151788e-87
3.689792546207793e-17,0.11224537200000066,0.0,0.0,0.0,0.0,0.999999999999994,1.1708838575116358e-14,9.565359202597309e-17,1.1059000511299243e-25,9.565359182999591e-17,8.727545285872708e-26,1.2996904214640908e-25,3.251686106351106e-50,5.53817644044498e-44,9.970811216598906e-53,2.2881391389672475e-64,3.1221366123701716e-79,1.4656246481298414e-85
7.431554001517103e-17,0.11224537200000136,0.0,0.0,0.0,0.0,0.999999999999988,2.3582590369376173e-14,1.9265441805332275e-16,4.470224824837647e-25,1.9265441726115163e-16,3.5278133508726477e-25,5.253556484153822e-25,5.301068967864748e-49,4.484959288551004e-43,1.616311611884215e-51,7.421499816401187e-63,2.0557541510284602e-77,1.93026631715179e-83
1.4915076912135726e-16,0.11224537200000272,0.0,0.0,0.0,0.0,0.9999999999999759,4.733009395721794e-14,3.86656071047168e-16,1.797457741276078e-24,3.866560678618828e-16,1.4185182364230802e-24,2.1124319546697904e-24,8.561240321120217e-48,3.609886094420899e-42,2.603020494791855e-50,2.3909191523969836e-61,1.3344065623952005e-75,2.505597939418564e-81
2.988212273337297e-16,0.1122453720000054,0.0,0.0,0.0,0.0,0.9999999999999518,9.482510113019005e-14,7.746593807914421e-16,7.208609474915471e-24,7.74659368017024e-16,5.688892607318335e-24,8.471796933454725e-24,1.3761943062317558e-46,2.89670733355091e-41,4.1784258914281204e-49,7.676638056128962e-60,8.60058764814432e-74,3.228520635217717e-79
5.981621437584746e-16,0.11224537200001083,0.0,0.0,0.0,0.0,0.9999999999999035,1.8981511546528858e-13,1.5506660153063249e-15,2.887203780522685e-23,1.5506659641420222e-15,2.278524378767266e-23,3.3931376287411233e-23,2.2070408432362828e-45,2.3208925913940033e-40,6.696381322722374e-48,2.4605954335349553e-58,5.523763742543183e-72,4.1433255733924825e-77
1.1968439766079644e-15,0.11224537200002167,0.0,0.0,0.0,0.0,0.9999999999998069,3.7979514409210273e-13,3.1026793444414256e-15,1.1556339390848809e-22,3.102679139650882e-15,9.120035722799105e-23,1.3581393203112821e-22,3.5353741454474015e-44,1.8581280602971142e-39,1.0722950415094004e-46,7.880112371356344e-57,3.541408938775697e-70,5.302981100918411e-75
