Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6844457867325175e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999998,2.121178784485507e-16,1.7328650356346436e-18,5.405962010502448e-29,1.7328650355388446e-18,4.26627868845958e-29,6.35326586632301e-29,9.669196488749041e-57,8.49281254555439e-49,5.130437431218831e-59,4.0786145234358057e-72,1.1042680399273296e-88,1.8386511837220793e-96,2.4990228033916202e-89
1.871644820285105e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999997,5.939300596557667e-16,4.852022100019774e-18,3.26520105434271e-28,4.852022099441144e-18,2.5768323279371726e-28,3.837372583214472e-28,3.040150082078453e-55,1.0082667083893741e-47,1.1476583348554562e-57,1.6830515415575214e-70,8.52102688566299e-87,2.5721920354127626e-94,2.842458104762511e-87
4.278045303508811e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.9999999999999993,1.357554422069498e-15,1.1090336229761115e-17,1.5720537526529574e-27,1.1090336226975272e-17,1.2406338427654254e-27,1.8475297138597932e-27,6.782407589065879e-54,9.899222392179945e-47,2.267579485996266e-56,6.657983109492713e-69,9.286631744730372e-85,5.592204618842426e-92,2.5732664700961875e-85
9.090846269956223e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.9999999999999986,2.884803146894157e-15,2.3566964493128138e-17,6.865571753326173e-27,2.356696448096162e-17,5.4181739360112574e-27,8.068647649538528e-27,1.2702698769568533e-52,8.755750206337378e-46,4.03503658613411e-55,2.376185865584109e-67,7.597041085921477e-83,9.163241877964972e-90,1.9503069123225023e-83
1.8716448202851047e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.999999999999997,5.939300596532259e-15,4.852022103539952e-17,2.8662410579576523e-26,4.85202209846067e-17,2.2619809621221004e-26,3.368501561701933e-26,2.194075311321651e-51,7.359735799344764e-45,6.805679134619775e-54,8.028588140002117e-66,5.467645228683085e-81,1.3200446104406359e-87,1.356122399514824e-81
3.7967652068640695e-17,0.11224537200000068,0.0,0.0,0.0,0.0,0.9999999999999939,1.2048295495763606e-14,9.842673418209166e-17,1.1709529953137731e-25,9.84267339745864e-17,9.240930303058024e-26,1.3761427991819556e-25,3.6454889206313177e-50,6.033956355647992e-44,1.1178348936203213e-52,2.6396196176019816e-64,3.7061474084312576e-79,1.7902095708158865e-85,9.042667403737908e-80
7.647005980021999e-17,0.11224537200000141,0.0,0.0,0.0,0.0,0.9999999999999877,2.4266285294046868e-14,1.9823976072407337e-16,4.733179226296543e-25,1.9823975988530393e-16,3.7353317835759704e-25,5.562589218391769e-25,5.943066935289095e-49,4.886454768728924e-43,1.8120587023739895e-51,8.561513715958781e-63,2.4402931322597075e-77,2.357745462319876e-83,5.906585407920744e-78
1.5347487526337858e-16,0.11224537200000279,0.0,0.0,0.0,0.0,0.9999999999999752,4.870226488989566e-14,3.978658148024266e-16,1.9031905495847116e-24,3.9786581142977165e-16,1.501960485865138e-24,2.23669265778582e-24,9.598068719295004e-48,3.933044668096981e-42,2.918265221977245e-50,2.758186846843974e-61,1.5840141649095417e-75,3.060470595589404e-81,3.8188615806335937e-76
3.074845061896958e-16,0.11224537200000559,0.0,0.0,0.0,0.0,0.9999999999999504,9.757422407872233e-14,7.971179269366922e-16,7.632645326367255e-24,7.971179134108375e-16,6.023533350856763e-24,8.97013792873914e-24,1.54286143210841e-46,3.156021868567379e-41,4.684463727487065e-49,8.855838535311662e-60,1.0209375042611843e-73,3.943434976740119e-79,2.4565133033007347e-74
6.155037680423302e-16,0.11224537200001114,0.0,0.0,0.0,0.0,0.9999999999999007,1.9531814244489194e-13,1.5956221671154596e-15,3.057039297012936e-23,1.5956221129414918e-15,2.412555226124629e-23,3.592733959201645e-23,2.4743295118028898e-45,2.5286599883068185e-40,7.507362075185928e-48,2.8385627832032314e-58,6.557018472881449e-72,5.060678802727392e-77,1.576159361305169e-72
