Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.046024527330296e-19,0.11224537200000002,0.0,0.0,0.0,0.0,1.0,2.235918761133849e-16,1.826600130095712e-18,6.006624456113756e-29,1.8266001299892676e-18,4.740309653855068e-29,7.059184295909858e-29,1.193727961544799e-56,9.946900513851274e-49,6.333873372486851e-59,5.307700209674918e-72,1.514770972376443e-88,2.658584478985402e-96,3.428014815873374e-89,1.2522885172662128e-98,6.721256577522405e-99
1.972886867652483e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999997,6.260572531172828e-16,5.114480364537736e-18,3.6280011714918056e-28,5.114480363894816e-18,2.8631470310544664e-28,4.263747314677288e-28,3.7532717061026904e-55,1.1808960326848633e-47,1.416862142150178e-57,2.1902371313285836e-70,1.1688651406528055e-86,3.71924193410157e-94,3.8991194808205904e-87,1.7665825508854006e-96,9.402773301577642e-97
4.509455697491389e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.9999999999999992,1.4309880071242996e-15,1.169024083450077e-17,1.7467263918365257e-27,1.1690240831405383e-17,1.3784820475300632e-27,2.0528107931721866e-27,8.373342701801992e-54,1.1594107348922502e-46,2.7994808484947086e-56,8.664358338637908e-69,1.2738863815835485e-84,8.086003385956682e-92,3.529857975928402e-85,3.8241364572709033e-94,2.0442728857305692e-94
9.582593357169201e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.9999999999999984,3.0408495151352184e-15,2.4841761778742758e-17,7.62841305925048e-27,2.4841761765224403e-17,6.020193262349036e-27,8.965164054995388e-27,1.568234415714613e-52,1.0254856781380622e-45,4.981526655516123e-55,3.0922465564653685e-67,1.0421181135766063e-82,1.3249505295519238e-89,2.675318112362379e-83,6.256156542329818e-92,3.349742791144845e-92
1.9728868676524826e-17,0.11224537200000036,0.0,0.0,0.0,0.0,0.9999999999999968,6.260572531144596e-15,5.114480368449045e-17,3.1847122866189246e-26,5.114480362805399e-17,2.513312180231749e-26,3.742779512962291e-26,2.708734951274384e-51,8.61982524522622e-45,8.402073026371104e-54,1.0447992828408524e-65,7.500199141139683e-81,1.908703261976433e-87,1.8602501891852657e-81,9.00661202432802e-90,4.825739910845018e-90
4.002141931523608e-17,0.1122453720000007,0.0,0.0,0.0,0.0,0.9999999999999936,1.2700018563113506e-14,1.0375088756504072e-16,1.3010588836814056e-25,1.0375088733447928e-16,1.0267700337518882e-25,1.5290475546139417e-25,4.500603602475542e-50,7.067053883000328e-44,1.3800430854203385e-52,3.4350652700015313e-64,5.083878373204905e-79,2.5885244535667014e-85,1.2404207475574746e-79,1.2211358124898415e-87,6.544932345579208e-88
8.060652059265858e-17,0.11224537200000148,0.0,0.0,0.0,0.0,0.999999999999987,2.5578910626851958e-14,2.0896305560236057e-16,5.25908802921381e-25,2.0896305467039455e-16,4.15036864905568e-25,6.180654686837355e-25,7.337119662619453e-49,5.723084041732407e-43,2.2371095315398068e-51,1.1141511752248984e-62,3.3474527219524052e-77,3.409121626270562e-83,8.102311669539509e-78,1.6082072655492622e-85,8.620851575413277e-86
1.6177672314750357e-16,0.11224537200000295,0.0,0.0,0.0,0.0,0.9999999999999739,5.1336694753531385e-14,4.193873927818779e-16,2.114656166201557e-24,4.193873890344835e-16,1.6688449848080644e-24,2.485214063993486e-24,1.1849467520511864e-47,4.6064368699770114e-42,3.602796642834589e-50,3.5893605773259225e-61,2.1728587623965442e-75,4.425151587709115e-81,5.2384928960417104e-76,2.0878741693058797e-83,1.119297076388992e-83
3.241171282571936e-16,0.11224537200000588,0.0,0.0,0.0,0.0,0.9999999999999477,1.0285226300370034e-13,8.402360715604226e-16,8.480717029267438e-24,8.402360565316954e-16,6.692814838405536e-24,9.966819919112233e-24,1.904767189145754e-46,3.696376987267126e-41,5.783288785549638e-49,1.152451809585537e-59,1.4004627442819464e-73,5.701686835690813e-79,3.369702290432861e-74,2.691424654863071e-81,1.442911131561185e-81
6.487979384765737e-16,0.11224537200001178,0.0,0.0,0.0,0.0,0.9999999999998953,2.0588339949127854e-13,1.6819334467955526e-15,3.396710329990729e-23,1.681933386602255e-15,2.680616921217465e-23,3.991926619965853e-23,3.05472775710295e-45,2.961602095471386e-40,9.268348988677757e-48,3.6939494419119395e-58,8.994535494705141e-72,7.316695012980374e-77,2.1620835848511878e-72,3.4571910626097884e-79,1.853484080174823e-79
1.2981595589153339e-15,0.11224537200002349,0.0,0.0,0.0,0.0,0.9999999999997906,4.119456724153964e-13,3.3653282679779713e-15,1.359569340071072e-22,3.3653280270479213e-15,1.0729453831724336e-22,1.5978109634048105e-22,4.893251240643219e-44,2.3710863120868664e-39,1.4841457505013486e-46,1.1829903225158186e-56,5.7666042485743904e-70,9.36307207456476e-75,1.3854824884963077e-70,4.432990420417828e-77,2.3766560017088572e-77
2.5968827997928538e-15,0.11224537200004699,0.0,0.0,0.0,0.0,0.9999999999995812,8.240702180594774e-13,6.732118193191427e-15,5.440048279882905e-22,6.732117229157459e-15,4.29317931487373e-22,6.393325013290044e-22,7.833751787484747e-43,1.8975958413029995e-38,2.375607221219115e-45,3.786725012767863e-55,3.693834295616272e-68,1.1947191001751928e-72,8.872619366731678e-69,5.679172576832126e-75,3.044785001695585e-75
5.1943292815478945e-15,0.11224537200009405,0.0,0.0,0.0,0.0,0.9999999999991623,1.648319308531021e-12,1.346569917501265e-14,2.1763735454426115e-21,1.3465695318249507e-14,1.717551445906546e-21,2.5577462452372543e-21,1.253763543537683e-41,1.5183748582288788e-37,3.8017689104146144e-44,1.2117276610308473e-53,2.3650456738489195e-66,1.517729979669167e-70,5.680157943357902e-67,7.272399152830489e-73,3.898973692851267e-73
1.0389222245057976e-14,0.11224537200018805,0.0,0.0,0.0,0.0,0.9999999999983247,3.2968174862076364e-12,2.6932865664231128e-14,8.706202692117645e-21,2.6932850235926726e-14,6.870766252971874e-21,1.0231817109608446e-20,2.006309616217981e-40,1.2148310240646953e-36,6.0835256503804534e-43,3.876150765295834e-52,1.5139035654815348e-64,1.9126505128717463e-68,3.6357251134332797e-65,9.31036395068759e-71,4.991600443520016e-71
2.0779008172078138e-14,0.11224537200037613,0.0,0.0,0.0,0.0,0.9999999999966492,6.5938138284949766e-12,5.3867216744962346e-14,3.482622778292182e-20,5.386715502926343e-14,2.748419390729732e-20,4.0928929471214173e-20,3.2103170992373826e-39,9.71936238442064e-36,9.734381166946682e-42,1.2392923470753924e-50,9.689356821948298e-63,2.373999317431912e-66,2.326853660758859e-63,1.1917728985261527e-68,6.389502837786785e-69
4.155858002611846e-14,0.11224537200075221,0.0,0.0,0.0,0.0,0.9999999999932984,1.3187806460806093e-11,1.0773599131552299e-13,1.39307744757455e-19,1.0773574444794435e-13,1.0993909679496187e-19,1.6371901373912514e-19,5.136657015638269e-38,7.7760789768121e-35,1.557619007793314e-40,3.958557045829775e-49,6.200771891229803e-61,2.8646394600379552e-64,1.4889960534443154e-61,1.5253662340046122e-66,8.178022277749376e-67
8.31177237341991e-14,0.11224537200150446,0.0,0.0,0.0,0.0,0.9999999999865966,2.6375791516374073e-11,2.154738300924066e-13,5.572366427030884e-19,2.1547284261396324e-13,4.397615362312565e-19,6.5488243656114255e-19,8.218682247447391e-37,6.221584229800825e-34,2.4924730208452805e-39,1.2621199859205802e-47,3.967899494881561e-59,3.289585463525188e-62,9.526574586869913e-60,1.952171103019784e-64,1.046630995953535e-64
1.662360111503604e-13,0.11224537200300894,0.0,0.0,0.0,0.0,0.9999999999731931,5.275176079129301e-11,4.3095066618417867e-13,2.2289578691795576e-18,4.3094671626564585e-13,1.7590604964915525e-18,2.619540828232013e-18,1.3149632497618311e-35,4.978332473152131e-33,3.9887851304199874e-38,4.009476176436177e-46,3.3547300181496765e-57,4.607074370835638e-60,6.093144512089033e-58,3.27967370133992e-62,1.7664237098624565e-62
3.3247258598268295e-13,0.11224537200601789,0.0,0.0,0.0,0.0,0.9999999999463862,1.055036959962628e-10,8.619089724793873e-13,8.91585384126477e-18,8.618931728877244e-13,7.03630311626665e-18,1.0478172027103457e-17,2.103829644925598e-34,3.984334680917288e-32,6.384645912489373e-37,1.2646733898007482e-44,2.1552237558794776e-55,4.4200326114667144e-58,3.8945298942969464e-56,4.22141229225386e-60,2.2738727121654902e-60
6.649457356473282e-13,0.11224537201203583,0.0,0.0,0.0,0.0,0.9999999998927723,2.1100755302672975e-10,1.7238441211936363e-12,3.5663458236295476e-17,1.7237809237277884e-12,2.8145594138511164e-17,4.191259794419868e-17,3.3657475974878263e-33,3.190123476032327e-31,1.022367179208552e-35,3.934435401222544e-43,1.3804103405188516e-53,3.7516297390812224e-56,2.486008080019692e-54,5.40752264704205e-58,2.9129260223943166e-58
1e-12,0.11224537202407166,0.0,0.0,0.0,0.0,0.9999999998387422,3.173304493979689e-10,2.5925081569075288e-12,8.957398465844198e-17,2.592349431178154e-12,7.069317297916277e-17,1.0526904533723791e-16,2.8798611706099397e-32,1.4463619033178649e-30,8.762912578150293e-35,6.205510429246923e-42,4.5299624774975734e-52,1.4661602212728267e-54,8.098885230763573e-53,3.52182915769454e-56,1.897350774321068e-56
1.3298920349766186e-12,0.11224537202407166,0.0,0.0,0.0,0.0,0.9999999997855444,4.220152135697715e-10,3.4477885605349983e-12,1.426539038244398e-16,3.4475357783598308e-12,1.125852151359417e-16,1.6764935080733636e-16,5.383962800918521e-32,2.5563422218289826e-30,1.6384198277704862e-34,1.1928029965531325e-41,8.854216953813398e-52,2.87279282216502e-54,1.5828219189170254e-52,6.936154903943087e-56,3.7367883300952645e-56
1.994838334305909e-12,0.11224537203610747,0.0,0.0,0.0,0.0,0.9999999996783164,6.330228205949143e-10,5.171807139206899e-12,3.03139573392852e-16,5.1712699885117316e-12,2.3924769085064347e-16,3.5625325173797045e-16,2.0524177208188203e-31,7.317634051198041e-30,6.035806658597074e-34,5.330407580858759e-41,4.398351735362956e-51,1.4795556296882977e-53,8.811098538324237e-52,4.1181206510680106e-55,2.2154696853166653e-55
2.6597846336351994e-12,0.11224537204814328,0.0,0.0,0.0,0.0,0.9999999995710883,8.440303741021513e-10,6.895899854627173e-12,5.171204541236982e-16,6.8949835567512795e-12,4.081348369837081e-16,6.07723547868302e-16,5.521698657244098e-31,1.5453841344327925e-29,1.5322485500120097e-33,1.5588817076294422e-40,1.8621723281665288e-50,6.315576880261223e-53,3.3189300649197486e-51,1.8591509793086375e-54,1.0013241488806847e-54
3.98967723229378e-12,0.11224537207221494,0.0,0.0,0.0,0.0,0.9999999993566318,1.266045355513339e-09,1.0344259271867723e-11,1.0706321618174807e-15,1.0342362255890045e-11,8.450134776866179e-16,1.258205385618251e-15,2.2330491230527587e-30,4.232382444388799e-29,5.3693840887661484e-33,6.6113615336320486e-40,1.6817726304090817e-49,5.8453146439615226e-52,2.409679146384096e-50,1.9245306696161064e-53,1.0393939643852969e-53
5.319569830952361e-12,0.11224537209628667,0.0,0.0,0.0,0.0,0.9999999991421747,1.68806014012001e-09,1.3792891294925258e-11,1.8208647351369677e-15,1.3789665068682392e-11,1.4371823735587213e-15,2.1398631274244124e-15,6.0479775425199654e-30,8.87731292033226e-29,1.3440931990849467e-32,1.8806480783735108e-39,6.644548008775916e-49,2.3533777581726822e-51,8.847233651249615e-50,8.62202004111926e-53,4.66019145465498e-53
6.6494624296109414e-12,0.11224537212035839,0.0,0.0,0.0,0.0,0.9999999989277173,2.110074713864649e-09,1.724181537838773e-11,2.7818695789369212e-15,1.7236886591834874e-11,2.1957458207056453e-15,3.269204307667824e-15,1.3584840353715907e-29,1.6201533456054189e-28,2.8570000821414814e-32,4.458886315182258e-39,2.099062601419428e-48,7.515605049734611e-51,2.629966927590726e-49,3.0114527262726823e-52,1.6286596134784931e-52
9.309247626928102e-12,0.11224537216850182,0.0,0.0,0.0,0.0,0.9999999984988011,2.954103215522393e-09,2.4140557955142806e-11,5.349434986537057e-15,2.4131080779347987e-11,4.222590537523902e-15,6.286460941666736e-15,5.265531310576479e-29,4.304250961737846e-28,1.0527830742200511e-31,2.1188570317276604e-38,1.7445953381753253e-47,6.51336888965207e-50,2.1610077242154275e-48,3.995427572455909e-51,2.1618301929278975e-51
1e-11,0.112245372264789,0.0,0.0,0.0,0.0,0.99999999838741,3.1732992313119364e-09,2.5932371212664445e-11,6.15617104159668e-15,2.5921465062109136e-11,4.85948109300252e-15,7.234470849863422e-15,7.411481706962195e-29,5.393068155667647e-28,1.4795532202147763e-31,3.2963109423988e-38,3.539153069721285e-47,1.3425993400195706e-49,4.4157941969089024e-48,1.1453284127642177e-50,6.196861769872626e-51
1.4628818021562426e-11,0.112245372264789,0.0,0.0,0.0,0.0,0.9999999976409627,4.642157651309911e-09,3.794159820006338e-11,1.3050992180093721e-14,3.791848047032587e-11,1.0303150190122739e-14,1.533651896883757e-14,3.3827712941128414e-28,1.6857291577165514e-27,6.7604212325804825e-31,1.909130603974576e-37,3.0417011274472953e-46,1.1737323778249092e-48,3.827030809212128e-47,1.3056767702780882e-49,7.064250331092787e-50
1.994838841619675e-11,0.11224537236107644,0.0,0.0,0.0,0.0,0.999999996783117,6.330208660781044e-09,5.174738173698365e-11,2.4177388814323074e-14,5.1704561682819995e-11,1.908916396300741e-14,2.8410496637686777e-14,1.1155263803920782e-27,4.227363513750685e-27,2.2211497919247014e-30,7.239039365025766e-37,1.6647335166847482e-45,6.471415243761724e-48,1.9902768694166804e-46,8.596075915664732e-49,4.652731953561051e-49
3.058752920546539e-11,0.11224537255365233,0.0,0.0,0.0,0.0,0.9999999950674034,9.706300403853901e-09,7.937316761423875e-11,5.670157028838555e-14,7.92727766107396e-11,4.477988190612266e-14,6.662459851154204e-14,6.36419195593702e-27,1.572203175087275e-26,1.3004135901108435e-29,5.2498691441512595e-36,2.523546754523581e-44,9.943300771557703e-47,2.929658052515662e-45,2.1962169389315986e-47,1.1892324375638696e-47
5.1865810784002685e-11,0.11224537293880765,0.0,0.0,0.0,0.0,0.9999999916358868,1.6458442787094546e-08,1.346815699542178e-10,1.628345804541364e-13,1.343934601744109e-10,1.2866628956021749e-13,1.9130388923681287e-13,5.56546246390359e-26,8.238919443481642e-26,1.2239539526881624e-28,6.016398173071214e-35,7.329747406459137e-43,2.916355413115804e-45,7.965800995646735e-44,1.2358018506511483e-45,6.696801512573611e-46
7.314409236253998e-11,0.1122453733239679,0.0,0.0,0.0,0.0,0.9999999882042513,2.321053036699704e-08,1.9006568779953259e-10,3.2374614462652686e-13,1.8949320627987673e-10,2.5593273674159e-13,3.8030042425680467e-13,2.0462713301620014e-25,2.33758850988941e-25,4.585341959743181e-28,2.404221019267104e-34,4.708885553670155e-42,1.8770052177575177e-44,4.609100983478201e-43,9.397392929945117e-45,5.096376151938028e-45
