Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.220026642729728e-19,0.11224537200000002,0.0,0.0,0.0,0.0,1.0,2.291134946202377e-16,1.871708160220721e-18,6.3069556789194e-29,1.8717081601089555e-18,4.977325136553419e-29,7.412143510703027e-29,1.31608507758767e-56,1.0702166983627318e-48,6.983095393491311e-59,5.99624861744088e-72,1.7535367461840324e-88,3.1536461671627073e-96,3.96835564923511e-89,1.4854804650520828e-98,7.972839492475923e-99,7.90295685976908e-110
2.021607459964324e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999997,6.41517784936461e-16,5.240782848901253e-18,3.8094012300663476e-28,5.240782848226187e-18,3.0063043826138404e-28,4.476934680408392e-28,4.137982055889608e-55,1.2705612683539217e-47,1.5620905119080254e-57,2.4743685247747246e-70,1.3531075078014267e-86,4.4118109249269226e-94,4.5137181865299675e-87,2.095542547004131e-96,1.1153688517476862e-96,1.9979695308596848e-107
4.620817051347026e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.9999999999999992,1.46632636556809e-15,1.1978932227395245e-17,1.834062711428306e-27,1.1978932224145095e-17,1.447406149913096e-27,2.1554513328280877e-27,9.231610328339587e-54,1.247444595736616e-46,3.086427636306736e-56,9.78835356920095e-69,1.474682721029855e-84,9.591715668769752e-92,4.0862518351147514e-85,4.536238990760078e-94,2.424942330200292e-94,8.673254554503068e-105
9.819236234112431e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.9999999999999983,3.1159435268280767e-15,2.545523098891496e-17,8.00983371221259e-27,2.5455230974720686e-17,6.321202925524247e-27,9.413422257721203e-27,1.728978443176009e-52,1.103350632439205e-45,5.492133140872794e-55,3.493392251170584e-67,1.2063819788302436e-82,1.571671836714228e-89,3.0970151234632045e-83,7.421131941365657e-92,3.973507224899232e-92,2.8445220893938085e-102
2.021607459964324e-17,0.11224537200000036,0.0,0.0,0.0,0.0,0.9999999999999967,6.415177849334968e-15,5.2407828530081283e-17,3.3439479009495226e-26,5.240782847082299e-17,2.6389777892918864e-26,3.9299184885902686e-26,2.9863802832629473e-51,9.274327125729556e-45,9.263285522539481e-54,1.1803371985174333e-65,8.682417996108883e-81,2.264124397274079e-87,2.153472116484873e-81,1.0683756966685459e-89,5.724353646591115e-90,8.199262576348849e-100
4.1009751330704854e-17,0.11224537200000073,0.0,0.0,0.0,0.0,0.9999999999999933,1.3013646494296414e-14,1.0631302368492151e-16,1.3661118278651906e-25,1.0631302344283208e-16,1.0781085354792866e-25,1.6054999323281297e-25,4.961915470009157e-50,7.60365410477848e-44,1.5214975053244068e-52,3.880683308143957e-64,5.885224654743237e-79,3.0705308328417887e-85,1.43594205624332e-79,1.4485267219990022e-87,7.763681399475156e-88,2.224540914411635e-97
8.25971047928281e-17,0.1122453720000015,0.0,0.0,0.0,0.0,0.9999999999999867,2.6210583784009968e-14,2.1412341428463235e-16,5.522042430672192e-25,2.1412341330606808e-16,4.357887081830806e-25,6.489687421045522e-25,8.089174422426292e-49,6.157636873235796e-43,2.466413270426227e-51,1.258685685480406e-62,3.875094895290033e-77,4.0439179034735645e-83,9.379438394601032e-78,1.9076757525769638e-85,1.0226162920844834e-85,5.8608844839703675e-95
1.6577181171707458e-16,0.112245372000003,0.0,0.0,0.0,0.0,0.9999999999999732,5.260445836259973e-14,4.2974419664417544e-16,2.220388974509777e-24,4.297441927094114e-16,1.7522872343079168e-24,2.6094747670855447e-24,1.3064037923233514e-47,4.9562028899663784e-42,3.972083337186279e-50,4.054993681145412e-61,2.515355544421182e-75,5.249105190244956e-81,6.064210142629597e-76,2.476662647354416e-83,1.3277242939770099e-83,1.5219916654733681e-92
3.3212122556556755e-16,0.112245372000006,0.0,0.0,0.0,0.0,0.9999999999999464,1.0539220751642983e-13,8.609857660037474e-16,8.904752880715902e-24,8.609857502235838e-16,7.027455582407734e-24,1.0465160914204293e-23,2.1000058202034135e-46,3.9770423448071416e-41,6.376076009738927e-49,1.3019542180744763e-59,1.6212105808629445e-73,6.763244150793936e-79,3.900851361742731e-74,3.192601736765805e-81,1.711599307165425e-81,3.9241738481995692e-90
6.648200532625534e-16,0.11224537200001204,0.0,0.0,0.0,0.0,0.9999999999998928,2.109677058106924e-13,1.7234689232848337e-15,3.56654584647832e-23,1.7234688600818713e-15,2.8146477689464085e-23,4.1915229502722504e-23,3.3678373335059126e-45,3.1864761681981625e-40,1.0218355156717011e-47,4.173145980464716e-58,1.0412297826934783e-71,8.678723227634302e-77,2.5028816863380455e-72,4.100963210243107e-79,2.198625951743761e-79,1.0081680178801835e-87
1.330217708656525e-15,0.1122453720000241,0.0,0.0,0.0,0.0,0.9999999999997855,4.2211870234562696e-13,3.448435312094773e-15,1.4275478070650617e-22,3.448435059118221e-15,1.1265926536665256e-22,1.6777015110211133e-22,5.394809432897114e-44,2.5511226984533758e-39,1.6362708170245765e-46,1.3364515041528248e-56,6.675563554956228e-70,1.1105488839980763e-74,1.603868751102895e-70,5.258467934904294e-77,2.819218650009313e-77,2.585485578309207e-85
2.661013019444469e-15,0.11224537200004815,0.0,0.0,0.0,0.0,0.9999999999995709,8.444206952011338e-13,6.8983683867056975e-15,5.712050693800508e-22,6.898367374470036e-15,4.507838291305235e-22,6.71299125952136e-22,8.636711153868689e-43,2.041680299564476e-38,2.619107368348776e-45,4.277938584871554e-55,4.2760727911887904e-68,1.416909910636203e-72,1.0271160684110703e-68,6.736702928906543e-75,3.611760587810599e-75,6.624626040284446e-83
5.322603641020356e-15,0.11224537200009634,0.0,0.0,0.0,0.0,0.9999999999991417,1.6890246800546987e-12,1.379823572389157e-14,2.2851922226534973e-21,1.3798231674290294e-14,1.8034290267537503e-21,2.685633553951895e-21,1.382274245345384e-41,1.6336653283931766e-37,4.191451526378941e-44,1.368905062750873e-53,2.7378333334473545e-66,1.7996423946692245e-70,6.57548604043297e-67,8.626603404434463e-73,4.6250072196688796e-73,1.6966047056258307e-80
1.064578488417213e-14,0.11224537200019269,0.0,0.0,0.0,0.0,0.9999999999982833,3.3782326463320317e-12,2.759797515011808e-14,9.141512826233513e-21,2.7597958950398653e-14,7.214304634041959e-21,1.0743407936708422e-20,2.211956155355942e-40,1.3070737772899575e-36,6.707091198640899e-43,4.378889977433791e-52,1.7525293753355296e-64,2.2670541695427772e-68,4.2087975817656925e-65,1.1044050983844949e-70,5.921088200702387e-71,4.344005120126535e-78
2.1292147370475677e-14,0.11224537200038544,0.0,0.0,0.0,0.0,0.9999999999965664,6.756648565167512e-12,5.519747300997957e-14,3.656753916814759e-20,5.519740820849727e-14,2.885840415005978e-20,4.297537571772099e-20,3.539373972989022e-39,1.045736535624336e-35,1.0732168578667633e-41,1.3999975778134487e-50,1.121660432099427e-62,2.8118443077625476e-66,2.693612831294298e-63,1.4136913555053214e-68,7.579282766499691e-69,1.1120579768201124e-75
4.258487234308278e-14,0.11224537200077078,0.0,0.0,0.0,0.0,0.9999999999931328,1.3513480347961733e-11,1.1039654475925157e-13,1.4627313196396452e-19,1.1039628554830644e-13,1.1543605601398941e-19,1.7190496260961474e-19,5.66316234715279e-38,8.366536830272092e-35,1.7172792257255218e-40,4.471680534984554e-49,7.178129889473629e-61,3.388475230202909e-64,1.723684805920933e-61,1.8093988787724433e-66,9.700818492597458e-67,2.8464164388074705e-73
8.517032228829696e-14,0.1122453720015416,0.0,0.0,0.0,0.0,0.9999999999862655,2.7027143694043203e-11,2.207949923753133e-13,5.850984745873332e-19,2.2079395552304718e-13,4.617496480773883e-19,6.876265438574162e-19,9.06109073760936e-37,6.694022458532771e-34,2.7479651685527474e-39,1.4255925652591042e-47,4.593308366335318e-59,3.882419790632414e-62,1.1028018661771183e-59,2.3156738416176894e-64,1.2415177603149585e-64,7.284408109320924e-71
1.7034122217872534e-13,0.11224537200308327,0.0,0.0,0.0,0.0,0.9999999999725311,5.405446950817828e-11,4.4159310407208026e-13,2.340405760631247e-18,4.4158895665841603e-13,1.8470138015930267e-18,2.750517753390607e-18,1.4497449219084963e-35,5.356391443102426e-33,4.397679328437325e-38,4.527986705350315e-46,3.883499810499707e-57,5.419332929142535e-60,7.053347925362284e-58,3.890369189842334e-62,2.0953411704875236e-62,2.455603557568839e-68
3.406830219595821e-13,0.11224537200616652,0.0,0.0,0.0,0.0,0.9999999999450622,1.0810911762433693e-10,8.831941932807696e-13,9.361646517269654e-18,8.831776037158838e-13,7.388120514280727e-18,1.1002079698463042e-17,2.319465589254757e-34,4.2869525847196213e-32,7.0392120295014764e-37,1.4277258748005105e-44,2.4949647507111432e-55,5.178057655138176e-58,4.508113902861356e-56,5.007534435593012e-60,2.697315845601689e-60,6.323372958556562e-66
6.813666215212956e-13,0.112245372012333,0.0,0.0,0.0,0.0,0.9999999998901243,2.16218399808208e-10,1.766415834611429e-12,3.7446631019643186e-17,1.7663494773231714e-12,2.9552891782731954e-17,4.4008220401932494e-17,3.710715629792161e-33,3.4324898849850543e-31,1.127204586339111e-35,4.438743170534202e-43,1.5980717864790152e-53,4.377460993132347e-56,2.8774950542953826e-54,6.414751539984441e-58,3.4554934325756975e-58,1.6178455753618557e-63
1e-12,0.11224537202466608,0.0,0.0,0.0,0.0,0.9999999998387421,3.1733044899068225e-10,2.592508721118793e-12,8.998109886508631e-17,2.5923492740782526e-12,7.101450872624133e-17,1.0574747956395764e-16,2.973328870013823e-32,1.4690513024343857e-30,9.047971202859441e-35,6.521611912042431e-42,4.878876332377389e-52,1.585968457646737e-54,8.719607075554597e-53,3.882199461423993e-56,2.0914887360560694e-56,1.9442176885195894e-61
1.3627338206447228e-12,0.11224537202466608,0.0,0.0,0.0,0.0,0.9999999997802483,4.324369079821632e-10,3.532936966147336e-12,1.497865979879239e-16,3.53267154527044e-12,1.182146193858102e-16,1.7603175883984288e-16,5.935751513203406e-32,2.7506702482408573e-30,1.8065011259877882e-34,1.3440538577014464e-41,1.0251088095600935e-51,3.3416095936364666e-54,1.8318475612637276e-52,8.228688760233973e-56,4.4331123923007885e-56,4.139107127263253e-61
2.04410101976815e-12,0.11224537203699914,0.0,0.0,0.0,0.0,0.9999999996703723,6.486553599623243e-10,5.2995359437794434e-12,3.182965491286678e-16,5.298971936713319e-12,2.5121048568503074e-16,3.740657441825041e-16,2.2627588658755087e-31,7.874120240584722e-30,6.655149337453672e-34,6.003477162103843e-41,5.092399393831349e-51,1.719853183122732e-53,1.019690358024844e-51,4.885635009753269e-55,2.6283679726404726e-55,2.856040496522593e-60
2.7254682188915772e-12,0.11224537204933216,0.0,0.0,0.0,0.0,0.9999999995604962,8.648737557486839e-10,7.066212764729536e-12,5.429764706507842e-16,7.065250654414552e-12,4.285424442406407e-16,6.381093664069461e-16,6.0875744057205615e-31,1.6629562088075048e-29,1.6895137130893152e-33,1.7549977314748222e-40,2.1560630912895777e-50,7.340102292370671e-53,3.840835717368674e-51,2.2056943217916502e-54,1.187964541157016e-54,1.3888247637270982e-59
4.088202617138431e-12,0.11224537207399832,0.0,0.0,0.0,0.0,0.9999999993407436,1.2973104154379504e-09,1.0599749091513589e-11,1.124163753080592e-15,1.0597757231441153e-11,8.872665151924376e-16,1.32111467486788e-15,2.4618888048061715e-30,4.554682782992522e-29,5.92077971129814e-33,7.438158743720842e-40,1.9473252154809468e-49,6.790708529014075e-52,2.7885703346851296e-50,2.2833941001267237e-53,1.233200042375792e-53,1.6259198167274497e-58
5.450937015385286e-12,0.1122453720986644,0.0,0.0,0.0,0.0,0.9999999991209904,1.7297468684824702e-09,1.413357165286471e-11,1.9119079367634117e-15,1.413018412933621e-11,1.5090464375828533e-15,2.2468542334514647e-15,6.667745526025788e-30,9.55390270143975e-29,1.4821872237718808e-32,2.1147880463086774e-39,7.694051377809517e-49,2.7330308983593347e-51,1.0237982293970218e-49,1.0230133077758803e-52,5.529333821770287e-53,8.105157437436955e-58
6.81367141363214e-12,0.11224537212333059,0.0,0.0,0.0,0.0,0.9999999989012368,2.162183100121851e-09,1.7667700875542957e-11,2.9209629940317903e-15,1.7662525675195775e-11,2.3055421142929412e-15,3.4326607908667975e-15,1.4976902469082032e-29,1.743741350634657e-28,3.1506769145787557e-32,5.0116064794568986e-39,2.4307275501407296e-48,8.726319610136081e-51,3.0433158760192375e-49,3.573271480221924e-52,1.932487065713423e-52,3.1213453972026685e-57
9.539140210125849e-12,0.11224537217266298,0.0,0.0,0.0,0.0,0.9999999984617283,3.0270548852774764e-09,2.473689844176534e-11,5.616906567603865e-15,2.472694747458652e-11,4.4337438318923995e-15,6.6007741375001134e-15,5.805031608657024e-29,4.633282942346995e-28,1.1611641812272854e-31,2.3778095047255436e-38,2.020678219665614e-47,7.557250289886085e-50,2.5002522318017968e-48,4.7418240466402144e-51,2.5656497120951768e-51,6.707079459002279e-56
