Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.389932868687925e-19,0.11224537200000002,0.0,0.0,0.0,0.0,1.0,2.3450513804667925e-16,1.9157543785173948e-18,6.607286901725044e-29,1.9157543784003063e-18,5.214340619252176e-29,7.765102725496035e-29,1.4444108334356518e-56,1.1475636998929231e-48,7.663986781413135e-59,6.735783120518613e-72,2.016160162612218e-88,3.7112889639744835e-96,4.5626877154045626e-89,1.7481504087685838e-98,9.382636086940738e-99,9.823402335740543e-110,4.788585106133789e-104
2.0691812032326193e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999997,6.566143865304877e-16,5.364112260145425e-18,3.9908012886408873e-28,5.36411225943821e-18,3.149461734173687e-28,4.690122046139306e-28,4.541458764192056e-55,1.3623876289662116e-47,1.7144031924083393e-57,2.7795394697196994e-70,1.5557595007391073e-86,5.191927989760407e-94,5.189728023393377e-87,2.466086660894023e-96,1.3125938441142106e-96,2.4834829386076933e-107,6.6990417210399675e-102
4.729557035960273e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.9999999999999992,1.5008328834972482e-15,1.226082802458836e-17,1.9213990310200825e-27,1.2260828021183438e-17,1.5163302522965913e-27,2.258091872483798e-27,1.0131744668319021e-53,1.337600261902464e-46,3.3873718285035733e-56,1.0995579142602803e-68,1.6955427705908058e-84,1.1287765599070887e-91,4.6982409562587057e-85,5.338359021261345e-94,2.853732528390876e-94,1.0780884933950918e-104,1.4564498487673795e-99
1.005030870141558e-17,0.11224537200000019,0.0,0.0,0.0,0.0,0.9999999999999983,3.1892698774273426e-15,2.6054259558221758e-17,8.391254365174674e-27,2.6054259543351567e-17,6.622212588703537e-27,9.861680460445326e-27,1.8975636426907135e-52,1.1830922995836905e-45,6.027647260042706e-55,3.924242242134627e-67,1.3870592037190938e-82,1.849581153287535e-89,3.560848393100744e-83,8.733372886462693e-92,4.676122259563961e-92,3.5357506086138318e-102,2.386536201401565e-97
2.0691812032326195e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.9999999999999967,6.5661438652738246e-15,5.364112264447864e-17,3.503183515280097e-26,5.3641122582398515e-17,2.7646433983554516e-26,4.1170574642168245e-26,3.277569289920409e-51,9.944603909580517e-45,1.0166508385694801e-53,1.3259115097391369e-65,9.98276497810927e-81,2.6644739208370323e-87,2.4759929818743835e-81,1.2572911245039667e-89,6.73656191904257e-90,1.0191711024849297e-99,3.43811402026209e-95
4.197481869414742e-17,0.11224537200000073,0.0,0.0,0.0,0.0,0.9999999999999932,1.331989184091196e-14,1.0881484889295273e-16,1.431164772048956e-25,1.0881484863933518e-16,1.129447037209495e-25,1.6819523100411512e-25,5.44573035526415e-50,8.153187547195825e-44,1.6698521412728175e-52,4.359298721616712e-64,6.766642007843511e-79,3.6134661428445865e-85,1.6509999885294843e-79,1.7046623109843925e-87,9.136493566373211e-88,2.7651117599011767e-97,4.662953913290341e-93
8.454083201778988e-17,0.11224537200000154,0.0,0.0,0.0,0.0,0.9999999999999863,2.6827387791968927e-14,2.1916230169374227e-16,5.784996832130415e-25,2.191623006685796e-16,4.565405514628687e-25,6.7987201552442505e-25,8.877914779596879e-49,6.602663365036859e-43,2.70690255898416e-51,1.4139227521532707e-62,4.45545943211737e-77,4.758954288973671e-83,1.0784176487083203e-77,2.2450003043062374e-85,1.2034403036499851e-85,7.28509841089846e-95,6.141936533689426e-91
1.6967285866507477e-16,0.11224537200000308,0.0,0.0,0.0,0.0,0.9999999999999726,5.384237969320563e-14,4.398572085106866e-16,2.3261217828178668e-24,4.398572043885528e-16,1.8357294838260822e-24,2.733735470170007e-24,1.4337855660490424e-47,5.314399027631824e-42,4.359384021258877e-50,4.555106089052418e-61,2.89207483005084e-75,6.177202403693867e-81,6.972433598884803e-76,2.9145981978390668e-83,1.5624989696040635e-83,1.8918403098708112e-92,7.97441652192152e-89
3.399369119596446e-16,0.11224537200000616,0.0,0.0,0.0,0.0,0.9999999999999452,1.0787236349217014e-13,8.812470270060363e-16,9.328788732163314e-24,8.812470104744364e-16,7.362096326556871e-24,1.09635019092354e-23,2.304768286220539e-46,4.2644723483837994e-41,6.99777969877814e-49,1.4625269466267953e-59,1.8640156774782476e-73,7.958960166662628e-79,4.485073175404452e-74,3.7571330070613263e-81,2.0142525696468167e-81,4.877758774049556e-90,1.0279924171253104e-86
6.804650185487842e-16,0.11224537200001232,0.0,0.0,0.0,0.0,0.9999999999998902,2.1593233107606354e-13,1.7640266834425803e-15,3.7363813629650685e-23,1.7640266172299536e-15,2.94867861679308e-23,4.3911192805298155e-23,3.69622054553077e-45,3.4167702016472687e-40,1.1214703136812064e-47,4.687825520600994e-58,1.1971723732378011e-71,1.0212840284542978e-76,2.877732516121557e-72,4.826115048791292e-79,2.5873974599469104e-79,1.2531548922494034e-87,1.3204828008318326e-84
1.3615212317270633e-15,0.11224537200002466,0.0,0.0,0.0,0.0,0.9999999999997804,4.320522661877078e-13,3.529586074099043e-15,1.4955262740583761e-22,3.5295858090759893e-15,1.1802399242548724e-22,1.7575920585983205e-22,5.920833871218504e-44,2.7354983682401362e-39,1.7958166338021495e-46,1.5012757274155084e-56,7.675346418827265e-70,1.3067945661753058e-74,1.8440762499255346e-70,6.1882945126676614e-77,3.317725908404822e-77,3.2137602449452166e-85,1.6931574246472983e-82
