Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.556019513321889e-19,0.11224537200000002,0.0,0.0,0.0,0.0,1.0,2.397755744930799e-16,1.9588104146600915e-18,6.907618124530689e-29,1.9588104145376805e-18,5.451356101951314e-29,8.11806194028888e-29,1.578705229088609e-56,1.2266891807317563e-48,8.376547536254982e-59,7.527503774802571e-72,2.3037772998665482e-88,4.336034894261493e-96,5.213582025427425e-89,2.0424283924179028e-98,1.0962078688198224e-98,1.1734985361429248e-109,5.594679980026212e-104,1.2792509578526023e-111
2.115685463730129e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999997,6.713716085803996e-16,5.4846691613584624e-18,4.172201347215422e-28,5.484669160619104e-18,3.2926190857339888e-28,4.903309411870026e-28,4.9637018310092835e-55,1.4563254002321239e-47,1.8738001836526714e-57,3.106245172422203e-70,1.777697768299815e-86,6.065919221087598e-94,5.930073330939742e-87,2.8812197101391994e-96,1.5335516448175975e-96,2.966755806406919e-107,7.82673660423156e-102,3.2523762379345568e-109
4.835852488526009e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.9999999999999992,1.5345636767541436e-15,1.2536386655996032e-17,2.008735350611855e-27,1.2536386652436342e-17,1.5852543546805356e-27,2.360732412139321e-27,1.1073745721736978e-53,1.4298289236054545e-46,3.7023134250922003e-56,1.2287994044100017e-68,1.9374219450043261e-84,1.318790663656988e-91,5.368472732700181e-85,6.237001103149605e-94,3.334120627109304e-94,1.2878789074613842e-104,1.7016238488492627e-99,1.4077633234029403e-106
1.0276186538117769e-17,0.11224537200000019,0.0,0.0,0.0,0.0,0.9999999999999983,3.2609478130980487e-15,2.6639821650234492e-17,8.772675018136726e-27,2.6639821634688382e-17,6.923222251886806e-27,1.0309938663167798e-26,2.0739900142574816e-52,1.2646675078700249e-45,6.588069013052148e-55,4.3854956762374356e-67,1.5849313767485488e-82,2.16093205186306e-89,4.068824409647697e-83,1.0203520605876674e-91,5.463285542879207e-92,4.223789278535045e-102,2.78827780203956e-97,4.611926048730639e-104
2.1156854637301287e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.9999999999999966,6.71371608577153e-15,5.4846691658564675e-17,3.6624191296106473e-26,5.4846691593662734e-17,2.8903090074223626e-26,4.3041964398419926e-26,3.5823019712424725e-51,1.0630292712615143e-44,1.111174161592811e-53,1.4817584417299446e-65,1.140686523534414e-80,3.112998202547126e-87,2.829207972703938e-81,1.4689394394115126e-89,7.870572929452354e-90,1.217496489741881e-99,4.016874484619357e-95,1.3287547748052507e-101
4.2918190835668326e-17,0.1122453720000008,0.0,0.0,0.0,0.0,0.999999999999993,1.3619252631061174e-14,1.1126043175463812e-16,1.496217716232701e-25,1.112604314894925e-16,1.1807855389424472e-25,1.7584046877530339e-25,5.952048258226219e-50,8.715356695890203e-44,1.8251069932958642e-52,4.871688162635683e-64,7.731943339721216e-79,4.2217327607784514e-85,1.886524859589179e-79,1.9916196345821803e-87,1.0674501255122401e-87,3.303188071423817e-97,5.4478990594312915e-93,3.6042594870748107e-99
8.64408632324024e-17,0.11224537200000156,0.0,0.0,0.0,0.0,0.999999999999986,2.7430325721411185e-14,2.240879122644373e-16,6.047951233588471e-25,2.240879111926764e-16,4.772923947448791e-25,7.107752889433758e-25,9.703340734084584e-49,7.057922582291543e-43,2.9585773973124526e-51,1.5801142775197295e-62,5.091056919915453e-77,5.560028116105331e-83,1.2322602675687123e-77,2.622916352911739e-85,1.4060235297912024e-85,8.702740355021624e-95,7.175846490872878e-91,9.494958980257205e-97
1.7348620802587056e-16,0.11224537200000316,0.0,0.0,0.0,0.0,0.999999999999972,5.5052471901194105e-14,4.497428745546448e-16,2.4318545911258264e-24,4.4974287024514135e-16,1.9191717333621365e-24,2.857996173247048e-24,1.567092073213199e-47,5.6808313576499986e-42,4.764698695371776e-50,5.090509318401571e-61,3.3046462606843694e-75,7.216966652477695e-81,7.967092127954716e-76,3.4052321259866006e-83,1.8255249358954966e-83,2.2599824240093023e-92,9.316794213209624e-89,2.4655817302721157e-94
3.475768976128069e-16,0.11224537200000628,0.0,0.0,0.0,0.0,0.9999999999999439,1.1029676425709153e-13,9.010528042174967e-16,9.752824583609692e-24,9.010527869344603e-16,7.696737070849566e-24,1.1461842904206958e-23,2.5190545871487155e-46,4.5585113851381053e-41,7.648399853694273e-49,1.6344305439996405e-59,2.1299283777471063e-73,9.298524223212784e-79,5.1248949997461875e-74,4.389596356282008e-81,2.35332518818457e-81,5.8269443666287e-90,1.2010388114258941e-86,6.356870951971858e-92
