Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69),C3H5(31)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.718533148706957e-19,0.11224537200000002,0.0,0.0,0.0,0.0,1.0,2.4493262844439646e-16,2.0009401895992885e-18,7.207949347336324e-29,2.0009401894715566e-18,5.688371584650823e-29,8.471021155081566e-29,1.7189682645464221e-56,1.3075540295219529e-48,9.1207776580195e-59,8.372583644469193e-72,2.6175242361516065e-88,5.0325099773629595e-96,5.923609590346659e-89,2.3704934457421234e-98,1.2722862538825868e-98,1.391285230207578e-109,6.493325421978252e-104,1.5166639821082317e-111,5.768205876320222e-86
2.161189281637948e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999997,6.858113596440765e-16,5.602632531201702e-18,4.353601405789954e-28,5.6026325304301986e-18,3.435776437294737e-28,5.116496777600558e-28,5.404711256340574e-55,1.5523281491482968e-47,2.0402814856425433e-57,3.4549697009329005e-70,2.0197989593166395e-86,7.040256193637707e-94,6.737678448694667e-87,3.344015615690772e-96,1.779878372239846e-96,3.517348686058012e-107,9.08390611752926e-102,3.8559767055592477e-109,6.560918019985741e-84
4.939861215172452e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.9999999999999992,1.5675688220425019e-15,1.280601721570131e-17,2.0960716702036242e-27,1.2806017211986847e-17,1.6541784570649198e-27,2.4633729517946598e-27,1.205761348859023e-53,1.5240849926475432e-46,4.031252426079445e-56,1.366751319730582e-68,2.2012756590063604e-84,1.530620852683787e-91,6.099594557773263e-85,7.238819379445897e-94,3.8696637390017006e-94,1.5268931704868877e-104,1.974947161416865e-99,1.6690266369551293e-106,5.93957417723732e-82
1.0497205082241462e-17,0.1122453720000002,0.0,0.0,0.0,0.0,0.9999999999999983,3.331083746835615e-15,2.7212786589879636e-17,9.154095671098747e-27,2.721278657365761e-17,7.224231915073969e-27,1.0758196865888644e-26,2.258257557875102e-52,1.3480359350533077e-45,7.173398399926822e-55,4.877835975071422e-67,1.800780086420714e-82,2.5080299284508904e-89,4.622949661468069e-83,1.1842461049752024e-91,6.340825754603248e-92,5.0076718822183345e-102,3.236144873017869e-97,5.4678419830124195e-104,4.50166870209134e-80
2.1611892816379482e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.9999999999999966,6.858113596406887e-15,5.602632535895274e-17,3.8216547439411724e-26,5.602632529122899e-17,3.015974616492547e-26,4.4913354154658003e-26,3.90057832722494e-51,1.1331054602069068e-44,1.2098985213328416e-53,1.6481089064945898e-65,1.2960343915969297e-80,3.613018261611595e-87,3.2145122763116777e-81,1.704887825994182e-89,9.13478364802203e-90,1.4434486468791809e-99,4.6620848141393394e-95,1.5753550742490677e-101,3.1301813628209813e-78
4.384126828465552e-17,0.11224537200000083,0.0,0.0,0.0,0.0,0.999999999999993,1.3912173295489624e-14,1.136534029799648e-16,1.5612706604164267e-25,1.1365340270329112e-16,1.2321240406780835e-25,1.8348570654638035e-25,6.480869178881414e-50,9.289883673303945e-44,1.9872620614231666e-52,5.418610814714354e-64,8.784941557527439e-79,4.8998342828127463e-85,2.143446984579691e-79,2.3115235150339794e-87,1.2389092894140176e-87,3.916218536691746e-97,6.322967497526875e-93,4.2731650092446034e-99,2.0872153153451675e-76
8.83000192212076e-17,0.1122453720000016,0.0,0.0,0.0,0.0,0.9999999999999858,2.802029269341585e-14,2.289075585534521e-16,6.310905635046375e-25,2.289075574350929e-16,4.98044238029063e-25,7.4167856236142445e-25,1.0565452285843866e-48,7.523189492549177e-43,3.221437785507732e-51,1.757506497924266e-62,5.784397946080444e-77,6.453069977171142e-83,1.400079368890614e-77,3.0442222386787344e-85,1.6318660306478644e-85,1.0317860177548136e-94,8.328465937905937e-91,1.1257104471501612e-96,1.3633499622749622e-74
1.7721752109431174e-16,0.11224537200000323,0.0,0.0,0.0,0.0,0.9999999999999715,5.6236531488311327e-14,4.594158710262798e-16,2.5375873994336608e-24,4.594158665294066e-16,2.002613982915687e-24,2.98225687631683e-24,1.7063233138011058e-47,6.055318754327223e-42,5.188027359837182e-50,5.661996632993643e-61,3.754699477610566e-75,8.376094211597724e-81,9.052114592718344e-76,3.952197408099291e-83,2.1187498100875726e-83,2.6794068426188372e-92,1.081330198703556e-88,2.9231626972765985e-94,8.814650826146166e-73
3.5505252484052004e-16,0.11224537200000645,0.0,0.0,0.0,0.0,0.9999999999999428,1.1266900907427437e-13,9.204325012753475e-16,1.0176860435055065e-23,9.204324832408747e-16,8.031377815282652e-24,1.1960183899120278e-23,2.7428647229406175e-46,4.859014113107773e-41,8.327936475491229e-49,1.8179196981168533e-59,2.4199990251473022e-73,1.0791848054767175e-78,5.822844102750977e-74,5.094674954711095e-81,2.7313278770973765e-81,6.908351871339701e-90,1.3939550822072149e-86,7.536625609013196e-92,5.670103473233542e-71
