Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69),C3H5(31),C4H5(34)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.877694907120682e-19,0.11224537200000002,0.0,0.0,0.0,0.0,1.0,2.4998331710311206e-16,2.042201029312972e-18,7.50828057014196e-29,2.0422010291799176e-18,5.92538706735071e-29,8.823980369874103e-29,1.8651999398089593e-56,1.3901216074587723e-48,9.896677146709274e-59,9.272170545814462e-72,2.958537049671022e-88,5.805441938965877e-96,6.6953414212026e-89,2.73457250642652e-98,1.4676940011906983e-98,1.6380654198855014e-109,7.490621490254954e-104,1.7856833149410538e-111,6.519691609068928e-86,2.8816307867320322e-117
2.205754573993791e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999997,6.999532878884703e-16,5.7181628824135025e-18,4.5350014643644835e-28,5.718162881609853e-18,3.578933788855929e-28,5.329684143330912e-28,5.864487040185242e-55,1.6503523781257433e-47,2.2138470983794504e-57,3.826186704693906e-70,2.2829397226218178e-86,8.121552763350888e-94,7.6154677161804895e-87,3.857615881436458e-96,2.053246116307975e-96,4.1412408656351793e-107,1.0479083962277078e-101,4.539933264063174e-109,7.415678824437093e-84,4.824796126804375e-115
5.041724740557237e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.9999999999999992,1.5998932294582133e-15,1.3070086589963295e-17,2.1834079897953915e-27,1.3070086586094063e-17,1.7231025594497367e-27,2.566013491449822e-27,1.3083347968875657e-53,1.6203257628379245e-46,4.374188831471999e-56,1.5136010310854113e-68,2.4880593273309214e-84,1.7657050341887718e-91,6.89425382480636e-85,8.350614290526003e-94,4.4639971830554393e-94,1.7977269115073083e-104,2.2782750934916816e-99,1.9650713985341174e-106,6.71338588936225e-82,2.1963111665550777e-112
1.0713665073684128e-17,0.1122453720000002,0.0,0.0,0.0,0.0,0.9999999999999983,3.3997731125938053e-15,2.777393401045778e-17,9.535516324060748e-27,2.7773933993559837e-17,7.52524157826495e-27,1.120645506860792e-26,2.4503662735423933e-52,1.433159807991403e-45,7.783635420691892e-55,5.4019318508956204e-67,2.035386921234494e-82,2.8932308621104025e-89,5.2252306369173665e-83,1.366131950567284e-91,7.314699723284396e-92,5.895911165552535e-102,3.7331774539595435e-97,6.437704243719246e-104,5.088149124363252e-80,7.483314730289245e-110
2.205754573993791e-17,0.11224537200000041,0.0,0.0,0.0,0.0,0.9999999999999966,6.999532878849414e-15,5.718162887302641e-17,3.980890358271677e-26,5.718162880248081e-17,3.141640225565939e-26,4.6784743910882805e-26,4.232398357863711e-51,1.204657207192262e-44,1.312823917798285e-53,1.8251888460865086e-65,1.4648826168094267e-80,4.1679281237123935e-87,3.6333010800240252e-81,1.966737924816298e-89,1.0537775659899222e-89,1.6994813493061613e-99,5.3781243967715954e-95,1.854784762223913e-101,3.537983494661823e-78,2.2020277757493923e-107
4.474530707244548e-17,0.11224537200000086,0.0,0.0,0.0,0.0,0.9999999999999929,1.4199052411298328e-14,1.159970186844822e-16,1.6263236046001341e-25,1.1599701839628047e-16,1.2834625424163483e-25,1.9113094431734835e-25,7.032193117216075e-50,9.876508168819203e-44,2.1563173456837066e-52,6.00080952125369e-64,9.929449568350358e-79,5.652373295958813e-85,2.4226966786427196e-79,2.666545490688909e-87,1.4291907296610717e-87,4.610860480192238e-97,7.294098293095616e-93,5.031120532754428e-99,2.3591391313170665e-76,6.037392466943837e-105
9.012082973746062e-17,0.11224537200000165,0.0,0.0,0.0,0.0,0.9999999999999856,2.859809147594695e-14,2.3362779865266804e-16,6.573860036504129e-25,2.336277974877105e-16,5.187960813153756e-25,7.725818357785911e-25,1.1464249434830176e-48,7.998253289522431e-43,3.495483723664559e-51,1.9463403498350415e-62,6.537993097925731e-77,7.444140788602914e-83,1.5824826255030448e-77,3.511777825845498e-85,1.8825008465001316e-85,1.2147997536224394e-94,9.607616374038962e-91,1.3253840679302243e-96,1.5409681152494114e-74,1.5990569141117397e-102
1.8087187506749087e-16,0.11224537200000326,0.0,0.0,0.0,0.0,0.9999999999999709,5.739616960424734e-14,4.688893599701365e-16,2.6433202077413754e-24,4.688893552858937e-16,2.0860562324863664e-24,3.1065175793795115e-24,1.8514792877983638e-47,6.437691542423713e-42,5.629370014960601e-50,6.270344222371885e-61,4.2438641220108753e-75,9.662450396161748e-81,1.0231429855792233e-75,4.559206894509233e-83,2.4441640294384947e-83,3.154668346465398e-92,1.247409154737834e-88,3.4416604290334643e-94,9.963029513769869e-73,4.1635245481099126e-100
3.623739657275514e-16,0.11224537200000656,0.0,0.0,0.0,0.0,0.9999999999999416,1.1499232585686072e-13,9.394124881294615e-16,1.0600896286499462e-23,9.394124693435527e-16,8.366018559853189e-24,1.24585248939766e-23,2.9761986935499485e-46,5.165844378598657e-41,9.036389565151324e-49,2.013243614716291e-59,2.7352779630186457e-73,1.2449060877921174e-78,6.5814477520643834e-74,5.877154935737386e-81,3.1508265507542138e-81,8.13372479883228e-90,1.6080490269374958e-86,8.873438322341084e-92,6.408808438374555e-71,1.0749104749340993e-97
7.253781470476725e-16,0.11224537200001312,0.0,0.0,0.0,0.0,0.9999999999998831,2.3018463834613785e-13,1.8804587665456617e-15,4.2458879124204376e-23,1.8804586913040407e-15,3.350771161013261e-23,4.989908271020381e-23,4.773011993801008e-45,4.138965548472873e-40,1.4481797982009652e-47,6.453020235175468e-58,1.756744145526602e-71,1.59733672723948e-76,4.222816892302769e-72,7.54932572268618e-79,4.0473768254999905e-79,2.089650974106585e-87,2.0655744399571714e-84,2.2796551897901148e-89,4.112061835064362e-69,2.7634159393221456e-95
1.4513865096879147e-15,0.11224537200002627,0.0,0.0,0.0,0.0,0.999999999999766,4.60569263260894e-13,3.76255141176826e-15,1.699461675034419e-22,3.7625511106057e-15,1.341181736564457e-22,1.9972637011040677e-22,7.645704657667518e-44,3.3136951302228614e-39,2.3189785960983506e-46,2.0665709467053784e-56,1.1262885316365139e-69,2.043604314713972e-74,2.706017141606191e-70,9.680132794879904e-77,5.189802671612362e-77,5.358980348302522e-85,2.6485178117185497e-82,5.846174191432327e-87,2.6350629686448726e-67,7.089299730722342e-93
