Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6),C2H4(9),H2(11),C3H7(16),C2H3(14),C#C(26),C2H2(30),C4H7(28),C4H7(40),C4H7(32),C4H7(44),C4H6(41),C4H6(88),C4H6(42),C4H6(69),C3H5(31),C4H5(34),C4H5(183)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.033704010707773e-19,0.11224537200000002,0.0,0.0,0.0,0.0,1.0,2.549339623962828e-16,2.082644579831325e-18,7.808611792947595e-29,2.0826445796929483e-18,6.162402550050958e-29,9.176939584666489e-29,2.0174002548761115e-56,1.4743574982228876e-48,1.070424600232683e-58,1.0227388610983638e-71,3.3279518186274924e-88,6.659658067718257e-96,7.531348529032955e-89,3.1369394104923363e-98,1.6836515192286477e-98,1.9163048522496136e-109,8.592796743026149e-104,2.0889969096594375e-111,7.333766381048276e-86,3.3711004413928276e-117,8.370697611696532e-127
2.2494371229981764e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999997,7.138150947093385e-16,5.831404823878378e-18,4.71640152293901e-28,5.831404823042582e-18,3.722091140417549e-28,5.542871509061086e-28,6.3430291825425796e-55,1.7503572281101563e-47,2.3944970218648455e-57,4.22036005981621e-70,2.5679967070467194e-86,9.316562068864393e-94,8.566365472916283e-87,4.425228169964779e-96,2.355362180433005e-96,4.8446660720407774e-107,1.2020983645187363e-101,5.311079783910844e-109,8.341630145709267e-84,5.644329047093442e-115,2.531108621728032e-124
5.1415705668529744e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.9999999999999992,1.6315773593344375e-15,1.3328925313375163e-17,2.270744309387155e-27,1.3328925309351163e-17,1.7920266618349745e-27,2.6686540311048082e-27,1.4150949162590133e-53,1.7185111185147889e-46,4.731122641276399e-56,1.6695320431052773e-68,2.798728364710102e-84,2.025511396105419e-91,7.75509792712223e-85,9.579329491066531e-94,5.120832836485805e-94,2.1030862127577082e-104,2.613502062833715e-99,2.298855590570636e-106,7.551646106264751e-82,2.5693734168665706e-112,2.299267298263946e-121
1.092583745456257e-17,0.1122453720000002,0.0,0.0,0.0,0.0,0.9999999999999983,3.4671018885805863e-15,2.8323966297979437e-17,9.916936977022717e-27,2.8323966280405575e-17,7.826251241459663e-27,1.1654713271325646e-26,2.6503161612581875e-52,1.5200036448357363e-45,8.41878007537197e-55,5.958438217659534e-67,2.2895334696856367e-82,3.318940546728139e-89,5.877673824342734e-83,1.5671455554897346e-91,8.390989725664598e-92,6.897382124837517e-102,4.282479733585309e-97,7.53120337668964e-104,5.723475778623333e-80,8.754419783036685e-110,1.567353438260865e-118
2.2494371229981766e-17,0.11224537200000041,0.0,0.0,0.0,0.0,0.9999999999999964,7.138150947056684e-15,5.831404828963081e-17,4.140125972602158e-26,5.83140482162634e-17,3.2673058346424705e-26,4.8656133667094577e-26,4.5777620631547576e-51,1.277654687585911e-44,1.4199503509976676e-53,2.0132195404222025e-65,1.6477937139783086e-80,4.7811932820933e-87,4.086969571155883e-81,2.25612510628445e-89,1.208831127461711e-89,1.9881527918119846e-99,6.169465215082728e-95,2.1698358082102908e-101,3.9797502686207294e-78,2.576061036298938e-107,9.225774637858229e-116
4.5631438780820156e-17,0.11224537200000086,0.0,0.0,0.0,0.0,0.9999999999999927,1.4480249063944088e-14,1.1829421236270485e-16,1.6913765487838232e-25,1.1829421206297505e-16,1.3348010441571871e-25,1.9877618208820957e-25,7.606020073216814e-50,1.0474985662086278e-43,2.332272846105861e-52,6.619011797568433e-64,1.1169280279216534e-78,6.484049290912108e-85,2.725204256904691e-79,3.05890283151989e-87,1.6394828383893378e-87,5.394054535294277e-97,8.36735658044866e-93,5.885699297691759e-99,2.653710683722706e-76,7.062895222257597e-105,5.059017938886419e-113
9.190557388249694e-17,0.11224537200000168,0.0,0.0,0.0,0.0,0.9999999999999852,2.9164445297459713e-14,2.3825454086793814e-16,6.83681443796173e-25,2.382545396563823e-16,5.395479246037729e-25,8.034851091948927e-25,1.2399732180999831e-48,8.482915954292492e-43,3.7807152118755165e-51,2.1468517980921926e-62,7.354352962683541e-77,8.539429041800237e-83,1.780077710215121e-77,4.028503206072078e-85,2.1594933027464535e-85,1.4211438554582656e-94,1.1021286636459904e-90,1.5505118318462908e-96,1.7333795631492283e-74,1.870670400344854e-102,2.679438415332315e-110
1.844538440858505e-16,0.11224537200000335,0.0,0.0,0.0,0.0,0.9999999999999704,5.853283776345422e-14,4.781751993147456e-16,2.7490530160489666e-24,4.781751944431329e-16,2.169498482073828e-24,3.23077828243523e-24,2.0025599951908655e-47,6.827790339086364e-42,6.088726661041209e-50,6.916312259317647e-61,4.773769834961563e-75,1.1084065991987123e-80,1.1508966779535923e-75,5.230051626369331e-83,2.803799948838747e-83,3.690515587346293e-92,1.4309535193895303e-88,4.026255574396958e-94,1.120705329796014e-72,4.870734736142848e-100,1.3947469371480434e-107
3.695503844925576e-16,0.11224537200000669,0.0,0.0,0.0,0.0,0.9999999999999405,1.1726962269129637e-13,9.580165219537237e-16,1.1024932137942887e-23,9.580165024163784e-16,8.70065930455839e-24,1.2956865888777054e-23,3.2190564989313517e-46,5.478874286908717e-41,9.773759123636571e-49,2.220646356889494e-59,3.0768155345657915e-73,1.4280504790183534e-78,7.403233215001508e-74,6.741923226146232e-81,3.6144411602819854e-81,9.515306644403466e-90,1.8446577393030878e-86,1.0380666030304077e-91,7.209037981587612e-71,1.2574931708056667e-97,7.195557984316052e-105
