Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0
3.859524126524477e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999999,1.2247448713915888e-16
1.0806667554268536e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999998,3.429285639896449e-16
2.4700954409756656e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999996,7.838367176906167e-16
5.248952812073289e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.9999999999999991,1.6656530250925602e-15
1.0806667554268536e-17,0.11224537200000019,0.0,0.0,0.0,0.0,0.9999999999999982,3.4292856398964448e-15
2.192209703865903e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.9999999999999964,6.956550869504209e-15
4.415295600744002e-17,0.11224537200000077,0.0,0.0,0.0,0.0,0.9999999999999929,1.4011081328719711e-14
8.8614673945002e-17,0.11224537200000156,0.0,0.0,0.0,0.0,0.9999999999999858,2.8120142247150618e-14
1.7753810982012595e-16,0.11224537200000316,0.0,0.0,0.0,0.0,0.9999999999999717,5.6338264084012026e-14
3.5538498157037383e-16,0.11224537200000632,0.0,0.0,0.0,0.0,0.9999999999999435,1.1277450775773323e-13
7.110787250708696e-16,0.11224537200001267,0.0,0.0,0.0,0.0,0.9999999999998871,2.2564699510516934e-13
1.4224662120718612e-15,0.11224537200002532,0.0,0.0,0.0,0.0,0.9999999999997742,4.5139196980001606e-13
2.8452411860738442e-15,0.11224537200005068,0.0,0.0,0.0,0.0,0.9999999999995485,9.028819191896076e-13
5.690791134077811e-15,0.11224537200010135,0.0,0.0,0.0,0.0,0.999999999999097,1.8058618179683828e-12
1.1381891030085743e-14,0.11224537200020271,0.0,0.0,0.0,0.0,0.999999999998194,3.6118216155243023e-12
2.2764090822101608e-14,0.11224537200040541,0.0,0.0,0.0,0.0,0.999999999996388,7.223741210629619e-12
4.552849040613334e-14,0.11224537200081083,0.0,0.0,0.0,0.0,0.9999999999927761,1.444758040081416e-11
9.10572895741968e-14,0.11224537200162167,0.0,0.0,0.0,0.0,0.9999999999855522,2.8895258781078865e-11
1.8211488791032373e-13,0.11224537200324336,0.0,0.0,0.0,0.0,0.9999999999711046,5.779061554119072e-11
3.642300845825776e-13,0.11224537200648674,0.0,0.0,0.0,0.0,0.9999999999422092,1.1558132905974394e-10
7.284604779270853e-13,0.11224537201297348,0.0,0.0,0.0,0.0,0.9999999998844186,2.3116275609016602e-10
1e-12,0.11224537202594695,0.0,0.0,0.0,0.0,0.9999999998413347,3.17330538972107e-10
1.4569212646161006e-12,0.11224537202594695,0.0,0.0,0.0,0.0,0.9999999997688371,4.6232561012425326e-10
2.9138428379941314e-12,0.1122453720518939,0.0,0.0,0.0,0.0,0.9999999995376743,9.246513180852458e-10
5.827685984750193e-12,0.11224537210378784,0.0,0.0,0.0,0.0,0.9999999990753485,1.8493027335772645e-09
1e-11,0.11224537220757567,0.0,0.0,0.0,0.0,0.9999999984133472,3.173305386487503e-09
1.1655372278262316e-11,0.11224537220757567,0.0,0.0,0.0,0.0,0.9999999981506971,3.6986055628315286e-09
2.3310744865286563e-11,0.11224537241515134,0.0,0.0,0.0,0.0,0.9999999963013942,7.397211214341716e-09
4.662149003933506e-11,0.11224537283030271,0.0,0.0,0.0,0.0,0.9999999926027886,1.4794422488734732e-08
