Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),CH4(3),H(6)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.72661694427241e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.9999999999999999,1.4998999026188525e-16,1.2253206175523718e-18,2.7029810052514214e-29,1.2253206175253421e-18
1.3234527443962748e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.9999999999999998,4.199719727331911e-16,3.4308977292342173e-18,1.6326005271715864e-28,3.430897729070957e-18
3.025034844334342e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.9999999999999996,9.599359376754524e-16,7.842051952948212e-18,7.860268763267044e-28,7.842051952162188e-18
6.428199044210477e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.999999999999999,2.039863867558573e-15,1.6664360401777425e-17,3.432785876665079e-27,1.666436039834464e-17
1.3234527443962748e-17,0.11224537200000022,0.0,0.0,0.0,0.0,0.9999999999999979,4.1997197273192065e-15,3.4308977305040733e-17,1.4331205289804993e-26,3.430897729070952e-17
2.684718424346729e-17,0.11224537200000048,0.0,0.0,0.0,0.0,0.9999999999999957,8.519431446818045e-15,6.959821113398687e-17,5.854764976582577e-26,6.959821107543923e-17
5.407249784247637e-17,0.11224537200000101,0.0,0.0,0.0,0.0,0.9999999999999912,1.7158854885726007e-14,1.4017667888155727e-16,2.3665896131593733e-25,1.401766786448983e-16
1.0852312504049454e-16,0.11224537200000195,0.0,0.0,0.0,0.0,0.9999999999999825,3.4437701763183066e-14,2.813336147354105e-16,9.51595274801291e-25,2.813336137838152e-16
2.1742437943653085e-16,0.11224537200000398,0.0,0.0,0.0,0.0,0.9999999999999649,6.899539551666171e-14,5.636474878779668e-16,3.816322663255319e-24,5.63647484061644e-16
4.352268882286035e-16,0.11224537200000788,0.0,0.0,0.0,0.0,0.9999999999999298,1.3811078301787717e-13,1.1282752399024786e-15,1.5285196485639078e-23,1.128275224617282e-15
8.708319058127488e-16,0.11224537200001576,0.0,0.0,0.0,0.0,0.9999999999998596,2.7634155799734064e-13,2.2575307669090987e-15,6.118062030864865e-23,2.2575307057284784e-15
1.7420419409810395e-15,0.11224537200003153,0.0,0.0,0.0,0.0,0.9999999999997191,5.528031078643982e-13,4.516041912752727e-15,2.4480217263835023e-22,4.516041667950554e-15
3.4844620113176204e-15,0.11224537200006308,0.0,0.0,0.0,0.0,0.9999999999994381,1.1057262072310348e-12,9.033064571761534e-15,9.79368095798196e-22,9.033063592393437e-15
6.969302151990782e-15,0.11224537200012613,0.0,0.0,0.0,0.0,0.9999999999988761,2.2115724044943956e-12,1.806711135906534e-14,3.917791214245366e-21,1.8067107441274123e-14
1.3938982433337106e-14,0.11224537200025234,0.0,0.0,0.0,0.0,0.9999999999977522,4.423264793141467e-12,3.6135210810817715e-14,1.567180252465526e-20,3.613519513901519e-14
2.7878342996029757e-14,0.11224537200050458,0.0,0.0,0.0,0.0,0.9999999999955044,8.846649546917003e-12,7.22714332229014e-14,6.268848531958249e-20,7.227137053441608e-14
5.575706412141505e-14,0.11224537200100923,0.0,0.0,0.0,0.0,0.9999999999910087,1.7693418960393667e-11,1.4454397208138354e-13,2.507564906462282e-19,1.445437213248929e-13
1.1151450637218564e-13,0.11224537200201846,0.0,0.0,0.0,0.0,0.9999999999820174,3.538695741104934e-11,2.890894259355988e-13,1.003031052569577e-18,2.8908842290454616e-13
2.2302939087372682e-13,0.11224537200403695,0.0,0.0,0.0,0.0,0.9999999999640348,7.077403280717003e-11,5.781818381929689e-13,4.0121343200796405e-18,5.781778260586487e-13
4.460591598768092e-13,0.11224537200807386,0.0,0.0,0.0,0.0,0.9999999999280695,1.4154817757864881e-10,1.1563726809029551e-12,1.6048556938418317e-17,1.156356632346017e-12
8.921186978829739e-13,0.11224537201614776,0.0,0.0,0.0,0.0,0.999999999856139,2.830964430385555e-10,2.312778439099808e-12,6.419426257769043e-17,2.312714244837231e-12
1e-12,0.11224537203229545,0.0,0.0,0.0,0.0,0.9999999998387422,3.173304514901092e-10,2.5924714897872253e-12,8.748272944419969e-17,2.5923840070577814e-12
1.7842377738953035e-12,0.11224537203229545,0.0,0.0,0.0,0.0,0.9999999997122777,5.661928776261609e-10,4.625686246568221e-12,2.567770840211766e-16,4.6254294694842e-12
2.676356849907633e-12,0.11224537204844322,0.0,0.0,0.0,0.0,0.9999999995684163,8.492892158815421e-10,6.938690345078499e-12,5.456512846243854e-16,6.9381446937938756e-12
3.568475925919963e-12,0.11224537206459093,0.0,0.0,0.0,0.0,0.9999999994245549,1.1323854578046826e-09,9.251790734597807e-12,9.308168333820908e-16,9.250859917764423e-12
5.352714077944622e-12,0.11224537209688638,0.0,0.0,0.0,0.0,0.9999999991368318,1.6985777155650018e-09,1.3878217502637312e-11,1.9271377348853876e-15,1.3876290364902425e-11
7.136952229969281e-12,0.11224537212918183,0.0,0.0,0.0,0.0,0.9999999988491085,2.264769619077098e-09,1.8504998366786954e-11,3.277556011835767e-15,1.850172081077512e-11
8.92119038199394e-12,0.11224537216147734,0.0,0.0,0.0,0.0,0.9999999985613848,2.830961143037409e-09,2.313215861940652e-11,5.007364126968548e-15,2.3127151255279552e-11
1e-11,0.1122453722260683,0.0,0.0,0.0,0.0,0.9999999983874173,3.1732991462855346e-09,2.5930081213202096e-11,6.241161612492595e-15,2.5923840051589606e-11
1.2489666686043258e-11,0.1122453722260683,0.0,0.0,0.0,0.0,0.9999999979859361,3.9633430284606865e-09,3.238764111954668e-11,9.62897953225959e-15,3.2378012140014424e-11
1.6058142990092575e-11,0.11224537229065923,0.0,0.0,0.0,0.0,0.9999999974104858,5.095723372321327e-09,4.1644664514036485e-11,1.5791495029761144e-14,4.162887301900672e-11
2.3195095598191212e-11,0.1122453724198411,0.0,0.0,0.0,0.0,0.9999999962595806,7.360479435999144e-09,6.016333332562966e-11,3.2738566469216985e-14,6.013059475916044e-11
3.746900081438848e-11,0.11224537267820489,0.0,0.0,0.0,0.0,0.999999993957752,1.1889973067290548e-08,9.721915882525219e-11,8.512066099682132e-14,9.713403816425537e-11
6.601681124678302e-11,0.11224537319493236,0.0,0.0,0.0,0.0,0.9999999893540202,2.094888634594489e-08,1.714047601575923e-10,2.638355154380866e-13,1.7114092464215422e-10
9.999999999999999e-11,0.11224537422838736,0.0,0.0,0.0,0.0,0.9999999838736298,3.1732448508884186e-08,2.598435208859808e-10,6.051227590770466e-13,2.5923839812690377e-10
1.2311243211157212e-10,0.11224537422838736,0.0,0.0,0.0,0.0,0.9999999801462613,3.906641696556048e-08,3.200717593995012e-10,9.170633814813075e-13,3.1915469601801987e-10
2.373036738411503e-10,0.11224537629529732,0.0,0.0,0.0,0.0,0.9999999617295606,7.530029443667856e-08,6.185889076579956e-10,3.4066772142513665e-12,6.151822304437443e-10
3.514949155707285e-10,0.11224537836220727,0.0,0.0,0.0,0.0,0.999999943311283,1.1153259352695687e-07,9.186835419782794e-10,7.473790829372743e-12,9.112097511489068e-10
4.656861573003067e-10,0.11224538042911714,0.0,0.0,0.0,0.0,0.9999999248914283,1.477633142037773e-07,1.2203555967284061e-09,1.3118342254408697e-11,1.2072372544739976e-09
5.798773990298848e-10,0.11224538249602696,0.0,0.0,0.0,0.0,0.9999999064699968,1.8399245643337102e-07,1.5236050041143407e-09,2.0340267478701544e-11,1.5032647366356398e-09
8.082598824890412e-10,0.11224538662984634,0.0,0.0,0.0,0.0,0.9999998696224038,2.564460054256531e-07,2.1348356254948855e-09,3.9516002055228e-11,2.0953196234396582e-09
9.999999999999999e-10,0.1122453907636654,0.0,0.0,0.0,0.0,0.9999998386818789,3.1727001535083574e-07,2.6528701620997335e-09,6.048679986291339e-11,2.592383362236821e-09
1.0366423659481975e-09,0.1122453907636654,0.0,0.0,0.0,0.0,0.9999998327685049,3.288932402330124e-07,2.752374862528167e-09,6.500048131309662e-11,2.687374381215071e-09
1.2650248494073538e-09,0.11224539489748413,0.0,0.0,0.0,0.0,0.9999997959083011,4.0133416057055087e-07,3.3762221429122248e-09,9.679316489931611e-11,3.2794289780129092e-09
1.7217898163256665e-09,0.1122454031651202,0.0,0.0,0.0,0.0,0.9999997221689826,5.46197056729189e-07,4.642838606018399e-09,1.7930104170298463e-10,4.463537564315415e-09
2.1785547832439793e-09,0.1122454114327543,0.0,0.0,0.0,0.0,0.9999996484044562,6.910346916994452e-07,5.934680580851742e-09,2.870354460171282e-10,5.647645134834614e-09
2.635319750162292e-09,0.11224541970038589,0.0,0.0,0.0,0.0,0.9999995746147288,8.358470632972196e-07,7.251743661762869e-09,4.199922181080735e-10,6.8317514436547965e-09
3.5488496839989174e-09,0.1122454362356402,0.0,0.0,0.0,0.0,0.9999994269597027,1.1253960076691428e-06,9.96151552455292e-09,7.615562316041781e-10,9.199959292948742e-09
5.3759095516721685e-09,0.11224546930610273,0.0,0.0,0.0,0.0,0.9999991313475768,1.7041906403225083e-06,1.5683518544750376e-08,1.7471695188376684e-09,1.3936349025912708e-08
7.020263432578095e-09,0.1122454990694496,0.0,0.0,0.0,0.0,0.9999988649526306,2.2247600030350355e-06,2.1177931774441612e-08,2.978872363096497e-09,1.8199059411345125e-08
9.172157463295624e-09,0.11224553801931036,0.0,0.0,0.0,0.0,0.999998515841471,2.905511307114487e-06,2.8861051953132277e-08,5.083647391808664e-09,2.377740456132361e-08
9.999999999999999e-09,0.11224557696898688,0.0,0.0,0.0,0.0,0.9999983813886281,3.167249618906016e-06,3.196550470457538e-08,6.042116017191356e-09,2.5923388687384023e-08
1.1324051494013152e-08,0.11224557696898688,0.0,0.0,0.0,0.0,0.9999981661735557,3.585701157633208e-06,3.7102456388728655e-08,7.746818331626647e-09,2.935563805710201e-08
1.347594552473068e-08,0.11224561591843957,0.0,0.0,0.0,0.0,0.999997815949676,4.265329332897716e-06,4.590168318720189e-08,1.0967949038585302e-08,3.49337341486166e-08
1.562783955544821e-08,0.11224565486762852,0.0,0.0,0.0,0.0,0.9999974651706217,4.944395613404512e-06,5.5258270194740006e-08,1.474660311279284e-08,4.051166708194717e-08
1.7779733586165737e-08,0.11224569381651431,0.0,0.0,0.0,0.0,0.9999971138371826,5.6228997812510884e-06,6.51717550782659e-08,1.9082343976906718e-08,4.608941110135919e-08
