Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0
2.0364493616332666e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999999,0.6699999999999999,1.2279585744848023e-16,9.590710420344287e-17,5.236623525356153e-25,2.6888753768699695e-17
5.702058212573147e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999997,0.6699999999999997,3.438283991590801e-16,2.685399023564212e-16,3.1629189253165603e-24,7.528849996557787e-17
1.3033275914452909e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999994,7.858934757936352e-16,6.138055410094835e-16,1.52280759517841e-23,1.7208795001222764e-16
2.7695711318212427e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999835,0.6699999999999987,1.6700236019162741e-15,1.3043369877038824e-15,6.650485775307599e-23,3.6568668071724992e-16
5.7020582125731465e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999966,0.6699999999999974,3.438283745576531e-15,2.685400558644585e-15,2.776434301538072e-22,7.528834645753768e-16
1.1567032374076954e-14,0.11224537200000019,0.0,0.0,0.0,0.0,0.329999999999993,0.6699999999999946,6.974803598563855e-15,5.4475304107240776e-15,1.1342537126951549e-21,1.527274322093489e-15
2.329698069708457e-14,0.11224537200000036,0.0,0.0,0.0,0.0,0.32999999999998597,0.669999999999989,1.4047841567260925e-14,1.0971800955599185e-14,4.584751650868269e-21,3.0760451964133903e-15
4.67568773430998e-14,0.1122453720000007,0.0,0.0,0.0,0.0,0.3299999999999718,0.669999999999978,2.8193910555986147e-14,2.2020385407603957e-14,1.8434415624661585e-20,6.173543582797809e-15
9.367667063513026e-14,0.11224537200000141,0.0,0.0,0.0,0.0,0.3299999999999435,0.6699999999999559,5.6486020742291604e-14,4.411772775575258e-14,7.39248852512771e-20,1.2368366911424275e-14
1.8751625721919118e-13,0.11224537200000279,0.0,0.0,0.0,0.0,0.32999999999988694,0.6699999999999117,1.1307012997856116e-13,8.831310618957504e-14,2.9604215270964135e-19,2.475731983113885e-14
3.7519543038731307e-13,0.11224537200000557,0.0,0.0,0.0,0.0,0.32999999999977375,0.6699999999998233,2.2623790413152813e-13,1.7670663769510682e-13,1.1845962071022221e-18,4.953245103262841e-14
7.505537767235568e-13,0.11224537200001113,0.0,0.0,0.0,0.0,0.32999999999954743,0.6699999999996465,4.525716769636861e-13,3.5350479676056943e-13,4.737177881060203e-18,9.907161738099794e-14
1e-12,0.11224537200002227,0.0,0.0,0.0,0.0,0.329999999999397,0.6699999999995291,6.029805366849601e-13,4.710116185452816e-13,9.453075599624202e-18,1.3197837121527825e-13
1.5012704693960444e-12,0.11224537200002227,0.0,0.0,0.0,0.0,0.32999999999909474,0.6699999999992929,9.052321351397157e-13,7.071454791408875e-13,1.892982867272456e-17,1.98105585827501e-13
2.251987162068532e-12,0.11224537200003334,0.0,0.0,0.0,0.0,0.32999999999864205,0.6699999999989393,1.35788552020505e-12,1.0608305058113795e-12,4.0195589316687067e-17,2.9709520998298707e-13
3.753420547413507e-12,0.11224537200005556,0.0,0.0,0.0,0.0,0.3299999999977367,0.6699999999982316,2.2631641124479524e-12,1.7683777767829148e-12,1.1090499499681113e-16,4.948972406600343e-13
5.104710594223984e-12,0.11224537200007549,0.0,0.0,0.0,0.0,0.3299999999969219,0.6699999999975945,3.077892166561662e-12,2.4053133548495417e-12,1.9722236228511128e-16,6.727760340744053e-13
6.456000641034462e-12,0.11224537200009549,0.0,0.0,0.0,0.0,0.32999999999610713,0.6699999999969573,3.8925963143756414e-12,3.0424001931780005e-12,3.0744602641637217e-16,8.505035672240561e-13
7.80729068784494e-12,0.11224537200011539,0.0,0.0,0.0,0.0,0.32999999999529234,0.6699999999963201,4.7072779608419594e-12,3.6796297994572605e-12,4.40171035478659e-16,1.0280883324201778e-12
1e-11,0.11224537200015515,0.0,0.0,0.0,0.0,0.3299999999939701,0.6699999999952855,6.029208124469866e-12,4.713879283531563e-12,6.917730640281914e-16,1.3160206140023309e-12
