Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0
2.2308185051670713e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999985,0.6699999999999999,1.3451612213069136e-16,1.0506096913608415e-16,6.283947896428843e-25,2.9455153623002e-17,3.279409350181902e-34,0.0
6.2462918144678e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999997,0.6699999999999997,3.7664513992993865e-16,2.9417072628517257e-16,3.795502313857211e-24,8.247441744026847e-17,3.893312638205405e-33,0.0
1.4277238433069258e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999992,0.6699999999999994,8.609031673844625e-16,6.723902913998724e-16,1.8273687249066508e-23,1.8851289425827733e-16,3.822472897354795e-32,0.0
3.033913167027217e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.32999999999999824,0.6699999999999986,1.8294191897177683e-15,1.4288296248951687e-15,7.980579487004163e-23,4.005896446283946e-16,3.3809259171387064e-31,0.0
6.246291814467799e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999963,0.669999999999997,3.766451104082545e-15,2.9417091049477825e-15,3.331718267515657e-22,8.24742332306593e-16,2.8418583694510648e-30,0.0
1.2671049109348966e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.3299999999999924,0.669999999999994,7.64051441161383e-15,5.9674713172885625e-15,1.361102082329695e-21,1.6730444554273735e-15,2.3299049194588168e-29,0.0
2.55205636991113e-14,0.11224537200000038,0.0,0.0,0.0,0.0,0.32999999999998464,0.6699999999999879,1.5388638941955858e-14,1.2019008750812123e-14,5.5016827653285815e-21,3.3696356928266883e-15,1.8867813416389333e-28,0.0
5.121959287863596e-14,0.11224537200000076,0.0,0.0,0.0,0.0,0.32999999999996915,0.6699999999999758,3.0884879664337964e-14,2.41221356524255e-14,2.2121144095800618e-20,6.762766133058082e-15,1.5185877098912828e-27,0.0
1.0261765123768528e-13,0.11224537200000154,0.0,0.0,0.0,0.0,0.3299999999999382,0.6699999999999516,6.187732776053549e-14,4.832859758750344e-14,8.870862147850711e-20,1.3548818881665723e-14,1.2184778306185402e-26,0.0
2.0541376795578391e-13,0.11224537200000305,0.0,0.0,0.0,0.0,0.32999999999987617,0.6699999999999032,1.2386209059578252e-13,9.67423539337569e-14,3.552406443915744e-19,2.7120091902767603e-14,9.761157572099064e-26,0.0
4.110060013919812e-13,0.11224537200000609,0.0,0.0,0.0,0.0,0.3299999999997522,0.6699999999998064,2.478310831344685e-13,1.9357319612024732e-13,1.4214359223958565e-18,5.4259308450924725e-14,7.812472228966892e-25,0.0
8.221904682643757e-13,0.11224537200001221,0.0,0.0,0.0,0.0,0.3299999999995043,0.6699999999996128,4.957669380562369e-13,3.872481951867156e-13,5.683977728912802e-18,1.0852442685349867e-13,6.248531550132098e-24,0.0
1e-12,0.11224537200002437,0.0,0.0,0.0,0.0,0.3299999999993971,0.6699999999995289,6.029806243088697e-13,4.71011071202586e-13,9.365436006437346e-18,1.3197891855798456e-13,1.569462595980763e-23,0.0
1.6445594020091648e-12,0.11224537200002437,0.0,0.0,0.0,0.0,0.3299999999990084,0.6699999999992252,9.916301462082049e-13,7.746514258469721e-13,2.2710719145763514e-17,2.1700143113031514e-13,4.9936710197875075e-23,0.0
2.466928335753954e-12,0.11224537200003651,0.0,0.0,0.0,0.0,0.32999999999851254,0.6699999999988376,1.4874848715573525e-12,1.1621078628008536e-12,4.8220213301725873e-17,3.2542522911249505e-13,1.4269461948051422e-22,0.0
4.1116662032435325e-12,0.11224537200006082,0.0,0.0,0.0,0.0,0.3299999999975208,0.6699999999980626,2.4791605414838032e-12,1.9372333522203056e-12,1.3301964319716187e-16,5.420602095611166e-13,6.544219905351726e-22,0.0
5.591930283984153e-12,0.11224537200008268,0.0,0.0,0.0,0.0,0.3299999999966282,0.6699999999973647,3.371641465385285e-12,2.6350178837932678e-12,2.365178027359882e-16,7.368601008661475e-13,1.4713951641654764e-21,0.0
7.0721943647247734e-12,0.11224537200010457,0.0,0.0,0.0,0.0,0.32999999999573565,0.6699999999966666,4.2640937505643646e-12,3.332983859030644e-12,3.686541919350254e-16,9.314785485032994e-13,2.7776452255977788e-21,0.0
8.552458445465394e-12,0.11224537200012637,0.0,0.0,0.0,0.0,0.3299999999948431,0.6699999999959683,5.1565190892760786e-12,4.031121078043086e-12,5.277364916715942e-16,1.1259257523621108e-12,4.6374477685210795e-21,0.0
1e-11,0.11224537200016992,0.0,0.0,0.0,0.0,0.32999999999397023,0.6699999999952854,6.029196877619681e-12,4.713951115633859e-12,7.030129650700398e-16,1.3159487818986612e-12,6.94777112675271e-21,0.0
1.1512986606946635e-11,0.11224537200016992,0.0,0.0,0.0,0.0,0.3299999999930579,0.6699999999945713,6.9413086201312424e-12,5.427785604404266e-12,9.070461268348837e-16,1.5144300717359601e-12,9.88215075408031e-21,0.0
1.4473514768427876e-11,0.11224537200021341,0.0,0.0,0.0,0.0,0.3299999999912727,0.6699999999931736,8.725999432453352e-12,6.825081863093142e-12,1.3850714714922298e-15,1.9023026587699914e-12,1.793829186873705e-20,0.0
1.7434042929909118e-11,0.11224537200025679,0.0,0.0,0.0,0.0,0.32999999998948754,0.669999999991775,1.0510585553769407e-11,8.223051674294769e-12,1.9677841828265315e-15,2.289501693278314e-12,2.962085036610565e-20,0.0
2.33550992528716e-11,0.1122453720003433,0.0,0.0,0.0,0.0,0.3299999999859172,0.6699999999889755,1.4079442408639932e-11,1.1021043323587424e-11,3.4485822888689037e-15,3.0618477353658803e-12,6.80245075154057e-20,0.0
2.9276155575834085e-11,0.11224537200042949,0.0,0.0,0.0,0.0,0.3299999999823469,0.669999999986173,1.764788436991524e-11,1.3821756212667028e-11,5.3442502298911545e-15,3.831472537613695e-12,1.3013559563555358e-19,0.0
4.111826822175905e-11,0.11224537200060078,0.0,0.0,0.0,0.0,0.32999999997520624,0.6699999999805584,2.4783556428582556e-11,1.9431301491675955e-11,1.0347349673751881e-14,5.362602641100539e-12,3.5452018971847233e-19,0.0
5.296038086768401e-11,0.1122453720007707,0.0,0.0,0.0,0.0,0.32999999996806556,0.6699999999749315,3.1917646483073e-11,2.505162177008303e-11,1.6932290419497692e-14,6.882957744976591e-12,7.415671186299971e-19,0.0
6.480249351360898e-11,0.11224537200093922,0.0,0.0,0.0,0.0,0.3299999999609249,0.6699999999692923,3.905020224471199e-11,3.068264447591507e-11,2.5051320005406042e-14,8.39261042121422e-12,1.3324118993904486e-18,0.0
7.664460615953395e-11,0.1122453720011064,0.0,0.0,0.0,0.0,0.3299999999537842,0.669999999963641,4.6181271390787075e-11,3.632429511290349e-11,3.4656720133607e-14,9.891635166081194e-12,2.168064013433199e-18,0.0
9.999999999999999e-11,0.11224537200143675,0.0,0.0,0.0,0.0,0.32999999993970114,0.6699999999524604,6.024120080751751e-11,4.748182401024421e-11,5.77934869149944e-14,1.2817174958352296e-11,4.6741640034128896e-18,0.0
1.0032883145138387e-10,0.11224537200143675,0.0,0.0,0.0,0.0,0.32999999993950285,0.6699999999523026,6.043911853381439e-11,4.7639206753129294e-11,5.815778965294074e-14,1.2858074288920423e-11,4.718582391043241e-18,0.0
1.240130567432338e-10,0.1122453720017618,0.0,0.0,0.0,0.0,0.3299999999252215,0.6699999999409173,7.469154535056064e-11,5.899576799072754e-11,8.707775400618437e-14,1.5782863813520824e-11,8.699681545385232e-18,0.0
1.4769728203508374e-10,0.11224537200208169,0.0,0.0,0.0,0.0,0.32999999991094014,0.6699999999294857,8.893890685197905e-11,7.039336692774974e-11,1.2106129844666205e-13,1.8666615637824297e-11,1.441514833598872e-17,0.0
1.950657326187836e-10,0.1122453720027063,0.0,0.0,0.0,0.0,0.32999999988237744,0.6699999999064876,1.1741963218460902e-10,9.330936946590209e-11,2.0301983262847199e-13,2.4313314619680186e-11,3.2068344776550494e-17,0.0
2.3652953181074663e-10,0.11224537200323698,0.0,0.0,0.0,0.0,0.32999999985737516,0.6699999998862133,1.4233632859440374e-10,1.1349804655683096e-10,2.8855570798545934e-13,2.9126893365142115e-11,5.561958387511644e-17,0.0
2.779933310027096e-10,0.11224537200375323,0.0,0.0,0.0,0.0,0.3299999998323729,0.6699999998658102,1.6724157229749257e-10,1.338042748858186e-10,3.85535518067623e-13,3.38229208697837e-11,8.794004208683627e-17,0.0
3.194571301946726e-10,0.11224537200425544,0.0,0.0,0.0,0.0,0.3299999998073706,0.669999999845282,1.9213658422836375e-10,1.5422516894299758e-10,4.927373039211862e-13,3.840428264344284e-11,1.3005415547034188e-16,0.0
3.609209293866356e-10,0.11224537200474403,0.0,0.0,0.0,0.0,0.3299999997823683,0.6699999998246329,2.1702245099443643e-10,1.7475791498045756e-10,6.090735530402373e-13,4.2873792434001454e-11,1.8286698231772834e-16,0.0
