Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4095593795329374e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999999,0.6699999999999999,1.452940178263457e-16,1.1347881675507065e-16,7.33127219071157e-25,3.1815201804402224e-17,3.507885051382693e-34,6.246428505054098e-35,6.246428516819817e-35,1.1765719853446777e-43
6.746766262692225e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999957,0.6699999999999997,4.0682324753843826e-16,3.1774070173569045e-16,4.428085611232946e-24,8.908255023083335e-17,3.667994192207414e-33,1.2381400437419071e-33,1.2381400480574343e-33,4.3155273875531515e-42
1.54211800290108e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999907,0.6699999999999993,9.29881697461327e-16,7.262645309828697e-16,2.1319297651289138e-23,2.0361718779775491e-16,2.859793545261221e-32,1.957072050875497e-32,1.9570720645778175e-32,1.3702320390051154e-40
3.277000756164795e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.329999999999998,0.6699999999999985,1.9759985593020968e-15,1.5433124266207394e-15,9.310672407035426e-23,4.326862257880821e-16,1.7811492954546619e-31,2.479302997435252e-31,2.479303032429442e-31,3.499418982983547e-39
6.746766262692225e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999959,0.6699999999999968,4.068232130965037e-15,3.1774091664685516e-15,3.8870015680591543e-22,8.908233531966454e-16,9.351986544639729e-31,2.6459501460566666e-30,2.6459502213240922e-30,7.526742484567217e-38
1.3686297275747084e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.32999999999999174,0.6699999999999936,8.252698666227941e-15,6.445606440436681e-15,1.587949906414779e-21,1.8070938137411958e-15,4.359103620444181e-30,2.500102224273051e-29,2.5001023674239294e-29,1.4315087837872307e-36
2.7565359301856804e-14,0.11224537200000041,0.0,0.0,0.0,0.0,0.32999999999998336,0.669999999999987,1.6621629304593246e-14,1.2982016165336665e-14,6.418609462008407e-21,3.6396195578662826e-15,1.890070532645722e-29,2.1886042129405924e-28,2.1886044647080154e-28,2.517674226365198e-35
5.5323483354076243e-14,0.1122453720000008,0.0,0.0,0.0,0.0,0.3299999999999666,0.669999999999974,3.335948085341301e-14,2.6054896321981226e-14,2.5807837012347354e-20,7.304610339270715e-15,7.877726045033216e-29,1.8348541330644106e-27,1.8348545563856826e-27,4.2332127231183056e-34
1.1083973145851513e-13,0.11224537200000162,0.0,0.0,0.0,0.0,0.3299999999999331,0.6699999999999477,6.68351450452575e-14,5.220089945456643e-14,1.034920724594617e-19,1.4634349082778888e-14,3.2168915065679494e-28,1.5032762076176049e-26,1.5032769023407734e-26,6.94723168491367e-33
