Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4941309115090184e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999999,0.6699999999999999,1.5039359649401815e-16,1.1746173490258847e-16,7.85493431001964e-25,3.29318623769231e-17,3.869833193735887e-34,7.132803780399077e-35,7.132803794305922e-35,1.3906845140240937e-43,9.34654329556512e-40
6.983566552225252e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999957,0.6699999999999997,4.2110206763825483e-16,3.288928736074181e-16,4.744377226877179e-24,9.220919877521399e-17,4.0320254511217226e-33,1.4090436653956793e-33,1.4090436704797364e-33,5.084057094973118e-42,1.4124496068827768e-38
1.5962437833657719e-15,0.11224537200000001,0.0,0.0,0.0,0.0,0.329999999999999,0.6699999999999993,9.625189997467692e-16,7.517552145377249e-16,2.2842102527977154e-23,2.1076380805114707e-16,3.12655314834977e-32,2.2155137864729713e-32,2.215513802531911e-32,1.6058939426572546e-40,1.5194487978615223e-37
3.392018039652265e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999979,0.6699999999999984,2.04535282324416e-15,1.5974801504806548e-15,9.975718580104219e-23,4.478727725206921e-16,1.9352208545249047e-31,2.789764482870518e-31,2.7897645236387287e-31,4.076821098031548e-39,1.396635157896402e-36
6.983566552225252e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.32999999999999574,0.6699999999999967,4.211020307361975e-15,3.2889310386935905e-15,4.164642977137984e-22,9.220896851326864e-16,1.0105240683963128e-30,2.9610900764578698e-30,2.961090163669414e-30,8.721154380551668e-38,1.1948506699941877e-35
1.4166663577371224e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.3299999999999914,0.6699999999999934,8.542354624102406e-15,6.671836880410261e-15,1.7013736207180182e-21,1.8705194450657997e-15,4.692226776294037e-30,2.786912616617795e-29,2.7869127818280816e-29,1.6521028615981846e-36,9.879254551829965e-35
2.853285762766317e-14,0.11224537200000043,0.0,0.0,0.0,0.0,0.32999999999998275,0.6699999999999866,1.7205020651703847e-14,1.3437664824866732e-14,6.877071209088793e-21,3.7673627039085865e-15,2.0299672483748323e-29,2.433851131726185e-28,2.433851421575662e-28,2.8984947688728677e-35,8.033642723634682e-34
5.726524572824706e-14,0.11224537200000086,0.0,0.0,0.0,0.0,0.32999999999996543,0.6699999999999731,3.453034228419989e-14,2.6969385756751724e-14,2.765117058365293e-20,7.560984178620876e-15,8.450743017677381e-29,2.037768732199986e-27,2.0377692188794557e-27,4.866794699607723e-34,6.47941904440887e-33
1.1473002192941486e-13,0.1122453720000017,0.0,0.0,0.0,0.0,0.3299999999999308,0.669999999999946,6.918094386485064e-14,5.4033087783446427e-14,1.1088369456199154e-19,1.51479669651158e-14,3.4487740857622905e-28,1.6683633892368664e-26,1.6683641873527485e-26,7.981158822281335e-33,5.204613950374765e-32
