Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6552051152865977e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999985,0.6699999999999999,1.6010620963807954e-16,1.2504756617410088e-16,8.902258496097683e-25,3.505864435390052e-17,4.622590742254362e-34,5.910289284817482e-29,9.070522577993706e-35,1.2267495607227439e-37,1.1276842511513748e-39,5.910280141660137e-29,1.2242180626224902e-28
7.434574322802473e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999957,0.6699999999999997,4.482973841026909e-16,3.5013320328442035e-16,5.376960395792514e-24,9.816418619339515e-17,4.784280115088651e-33,3.569827243152584e-28,1.7805078018987568e-33,1.4564017542778618e-36,1.704156419864852e-38,3.5698093518426153e-28,7.394277397502983e-28
1.6993312737834226e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.329999999999999,0.6699999999999993,1.0246797214962169e-15,8.003045494927693e-16,2.5887711668972213e-23,2.2437519788232034e-16,3.672817563802067e-32,1.7187374944892726e-27,2.7725211839413836e-32,1.4299187129273875e-35,1.8332536658440061e-37,1.718709684614534e-27,3.5600265749994e-27
3.611078956789773e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999785,0.6699999999999984,2.177444350140719e-15,1.700647529859978e-15,1.1305810384601547e-22,4.767969333002446e-16,2.247832752232419e-31,7.506404094128105e-27,3.4529805323114033e-31,1.2647819879100407e-34,1.685075876823573e-36,7.506058047244487e-27,1.5547574033859258e-26
7.434574322802474e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999955,0.6699999999999966,4.482973422861439e-15,3.501334642393797e-15,4.719925340020732e-22,9.816392522990294e-16,1.1623176721705025e-30,3.13399615442224e-26,3.6295328379090876e-30,1.0631945992038025e-33,1.4416177459734858e-35,3.133632571708064e-26,6.490808342714491e-26
1.5081565054827877e-14,0.11224537200000026,0.0,0.0,0.0,0.0,0.3299999999999909,0.669999999999993,9.094030830045022e-15,7.1027134746379104e-15,1.9282206760730562e-21,1.9913192829694676e-15,5.360928950487185e-30,1.2805318147608728e-25,3.3925122002442273e-29,8.71792736232167e-33,1.1919571930452581e-34,1.2801920475075572e-25,2.651708826923296e-25
3.037554651887868e-14,0.11224537200000048,0.0,0.0,0.0,0.0,0.3299999999999817,0.6699999999999858,1.8316142691503083e-14,1.4305489567663073e-14,7.793991680731747e-21,4.010660915170806e-15,2.3102587061796394e-29,5.177702737972124e-25,2.9503900458745134e-28,7.062022503144186e-32,9.692794076304542e-34,5.174748169150448e-25,1.0718645837382802e-24
6.09635094469803e-14,0.11224537200000094,0.0,0.0,0.0,0.0,0.32999999999996327,0.6699999999999714,3.6760354603761085e-14,2.871111546650923e-14,3.133781340113329e-20,8.049270464367208e-15,9.597771297149951e-29,2.0832172446344233e-24,2.464589385121253e-27,5.687404938570486e-31,7.817583338320987e-33,2.0807492921243165e-24,4.309932240546765e-24
1.221394353031835e-13,0.11224537200000183,0.0,0.0,0.0,0.0,0.32999999999992635,0.6699999999999425,7.364873119347002e-14,5.752266210457013e-14,1.256667436168722e-19,1.612619471274954e-14,3.9127338264369273e-28,8.364962751157581e-24,2.0153848483417283e-26,4.569050595993704e-30,6.279498068888941e-32,8.344781920817438e-24,1.7284851327788154e-23
