Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7321835232088216e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999985,0.6699999999999999,1.6474793052620978e-16,1.2867288421194055e-16,9.42592056393638e-25,3.607504725653939e-17,5.012569100319083e-34,6.257953887138929e-29,1.0120897533182508e-34,1.3365688131321207e-37,1.2286350222200977e-39,6.257943687104337e-29,1.2962308914106687e-28,2.9229459479586514e-47
7.650113864984701e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999957,0.6699999999999997,4.612942024198127e-16,3.6028409484901465e-16,5.69325195033241e-24,1.0101011326210621e-16,5.171674598836985e-33,3.7798180482936686e-28,1.9807956255308922e-33,1.5867798388796848e-36,1.856713222624225e-38,3.779798146385947e-28,7.82923491017374e-28,1.0589370868037941e-45
1.748597454853646e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999896,0.6699999999999993,1.054386733992753e-15,8.235065923454419e-16,2.741051594573635e-23,2.3088016904846847e-16,3.9517849631466607e-32,1.819841060940964e-27,3.070542676475241e-32,1.5579267260168585e-35,1.997367307172071e-37,1.8198102632722524e-27,3.7694399213005216e-27,3.2983090929221276e-44
3.715769591563997e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999978,0.6699999999999984,2.2405717482818303e-15,1.7499518922270526e-15,1.1970856027048242e-22,4.906199757224668e-16,2.4061480477395123e-31,7.94797226914336e-27,3.805003461854774e-31,1.3780082208456961e-34,1.8359245773361025e-36,7.947590952931406e-27,1.6462137374714193e-26,8.241886118157155e-43
7.650113864984701e-15,0.11224537200000015,0.0,0.0,0.0,0.0,0.3299999999999954,0.6699999999999965,4.612941581434855e-15,3.602843711542423e-15,4.997566303086077e-22,1.0100983694784358e-15,1.2387217325440955e-30,3.318362861513906e-26,3.982095593211266e-30,1.1583767744702844e-33,1.5706719677828176e-35,3.3179639661777633e-26,6.87262073466906e-26,1.7384783363620185e-41
1.5518802411826108e-14,0.11224537200000026,0.0,0.0,0.0,0.0,0.3299999999999907,0.6699999999999928,9.357680466057046e-15,7.308632228358746e-15,2.0416440247179373e-21,2.049050278645278e-15,5.696364380800656e-30,1.3558691446282872e-25,3.710656308275134e-29,9.498437830712612e-33,1.2986616905409511e-34,1.3554975167694015e-25,2.8076918110063873e-25,3.260196412984676e-40
3.125617950550892e-14,0.1122453720000005,0.0,0.0,0.0,0.0,0.3299999999999812,0.6699999999999854,1.8847155108699234e-14,1.4720228774549608e-14,8.252450466785061e-21,4.126934583782696e-15,2.4506240698248002e-29,5.482371266886602e-25,3.221150769440661e-28,7.694345828860222e-32,1.0560496861161257e-33,5.479145563267934e-25,1.1349155322328641e-24,5.6844216463546156e-39
6.273093369287455e-14,0.11224537200000094,0.0,0.0,0.0,0.0,0.3299999999999622,0.6699999999999705,3.782609188864076e-14,2.954349991569126e-14,3.318112314223916e-20,8.28262514274536e-15,1.0171723682965038e-28,2.205838395795169e-24,2.688065763490602e-27,6.196750920613347e-31,8.517416314554077e-33,2.203146665858292e-24,4.5634583958959194e-24,9.511666501458688e-38
1.256804420676058e-13,0.11224537200000188,0.0,0.0,0.0,0.0,0.32999999999992424,0.6699999999999409,7.578391543567821e-14,5.91903543812315e-14,1.330581745407347e-19,1.6593694067204735e-14,4.144799276950963e-28,8.85765343872819e-24,2.1969735223210654e-26,4.978406657677263e-30,6.841640762134243e-32,8.835654306541881e-24,1.8301613141250903e-23,1.556987675711872e-36
