Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8070517281915953e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999985,0.6699999999999999,1.6926240828945452e-16,1.3219882170532773e-16,9.949582615616336e-25,3.7063587578745396e-17,5.411122735750395e-34,6.605618544009976e-29,1.122500616125047e-34,1.4494825900631262e-37,1.3324304049037568e-39,6.60560723318124e-29,1.3682437203282797e-28,3.3306491549769724e-47,3.9064628781269285e-55
7.859744838936467e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999957,0.6699999999999997,4.739347399872553e-16,3.701567208891417e-16,6.009543485688681e-24,1.0377802510560523e-16,5.566094902763339e-33,3.989808949743238e-28,2.190617430673781e-33,1.7208317934915514e-36,2.01356880231439e-38,3.989786941680426e-28,8.264192424381166e-28,1.203294307151043e-45,2.5794475314066636e-53
1.796513106042621e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999896,0.6699999999999993,1.0832793904900223e-15,8.460725997136174e-16,2.893332003415523e-23,2.372068196998463e-16,4.234332612500246e-32,1.9209447551256983e-27,3.381242368912729e-32,1.6895419090225364e-35,2.166105376242703e-37,1.920910842667451e-27,3.978853269110372e-27,3.732107764187497e-44,1.6016321865093596e-51
3.81759035034057e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999774,0.6699999999999983,2.301968639924501e-15,1.79790467918957e-15,1.263590150290697e-22,5.040640870508039e-16,2.565675646108952e-31,8.389541769370734e-27,4.170194394237193e-31,1.4944252500695523e-34,1.9910239230823094e-36,8.389123865141253e-27,1.7376700728913747e-26,9.282253931619875e-43,7.998803821118603e-50
7.859744838936467e-15,0.11224537200000015,0.0,0.0,0.0,0.0,0.3299999999999953,0.6699999999999964,4.739346932511494e-15,3.70157012544636e-15,5.275207126126332e-22,1.0377773344057404e-15,1.3154282714243814e-30,3.5027307541613244e-26,4.346443200129546e-30,1.2562415303225247e-33,1.7033627050873176e-35,3.502295366130364e-26,7.254433137840594e-26,1.9499372405012602e-41,3.373338382754632e-48
1.5944053816128263e-14,0.11224537200000026,0.0,0.0,0.0,0.0,0.3299999999999904,0.6699999999999926,9.614102692575689e-15,7.50890616715452e-15,2.1550672585652678e-21,2.105198679752659e-15,6.032443393019691e-30,1.4312074648189662e-25,4.038645681160853e-29,1.0300950413985493e-32,1.408372927727959e-34,1.4308029905264266e-25,2.963674804285768e-25,3.6461958106535805e-40,1.2653832820147924e-46
3.2112671770511856e-14,0.11224537200000048,0.0,0.0,0.0,0.0,0.32999999999998064,0.6699999999999849,1.936361091240942e-14,1.5123598847149486e-14,8.710908323234436e-21,4.240020773194346e-15,2.591119658857402e-29,5.787047854303498e-25,3.499923053516506e-28,8.344501152973745e-32,1.145264992711406e-33,5.783542993788045e-25,1.19796648817474e-24,6.34629678270837e-39,4.4139742848537884e-45
6.444990767927903e-14,0.11224537200000097,0.0,0.0,0.0,0.0,0.32999999999996116,0.6699999999999697,3.88626141520542e-14,3.0353066591856666e-14,3.5024425401991186e-20,8.509582572666449e-15,1.0745935758710497e-28,2.3284660402381843e-24,2.917997644274902e-27,6.720472371933755e-31,9.236969285156152e-33,2.3255440688914358e-24,4.816984611185646e-24,1.0608853192760222e-37,1.4775670469559632e-43
1.2912437949681337e-13,0.11224537200000195,0.0,0.0,0.0,0.0,0.32999999999992213,0.6699999999999393,7.786056784049902e-14,6.081233160736176e-14,1.404495454460033e-19,1.704837663474368e-14,4.3769153311362805e-28,9.350396233961392e-24,2.383742651546101e-26,5.399334592083128e-30,7.419623558042047e-32,9.326526927360325e-24,1.931837543567129e-23,1.7356955873522385e-36,4.838165840614156e-42
2.5847332313188207e-13,0.11224537200000384,0.0,0.0,0.0,0.0,0.32999999999984414,0.6699999999998784,1.5585626412795197e-13,1.217321796405171e-13,5.624181237322871e-19,3.4124646713647183e-14,1.7664652388199463e-27,3.754814470906706e-23,1.9269353232656474e-25,4.3365826116480947e-29,5.947726612618609e-31,3.735519585027636e-23,7.737516853613264e-23,2.808198212894495e-35,1.5661126414857804e-40
5.171712104020196e-13,0.11224537200000767,0.0,0.0,0.0,0.0,0.32999999999968815,0.6699999999997566,3.118468129362333e-13,2.43577146897792e-13,2.2502370050918562e-18,6.827191550805924e-14,7.095377239158081e-27,1.510728933851524e-22,1.5491852915169276e-24,3.488780036553049e-28,4.7629730399204206e-30,1.4952166556466363e-22,3.0970954485251235e-22,4.51708492098012e-34,5.039255125850309e-39
