Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.879974306307797e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999985,0.6699999999999999,1.7365956670026396e-16,1.3563312940629697e-16,1.0473244651568853e-24,3.8026438340933804e-17,5.817922714311459e-34,6.953283254975189e-29,1.2382414799770652e-34,1.5654082974213587e-37,1.4389944743935344e-39,6.953270779873965e-29,1.4402565493718699e-28,3.7695182025553185e-47,4.53606068881308e-55,1.866465814122239e-64
8.063928057661832e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999995,0.6699999999999997,4.862467833678788e-16,3.797727835104988e-16,6.325835002373365e-24,1.0647400618105507e-16,5.96721851260999e-33,4.199799946280631e-28,2.4098537364625507e-33,1.85845956312384e-36,2.1746084213642658e-38,4.199775737706007e-28,8.699149940084256e-28,1.3582112236905155e-45,2.987293967913065e-53,2.2312073040846367e-62
1.8431835560369903e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999989,0.6699999999999993,1.1114212031317054e-15,8.680521764103188e-16,3.0456123939256035e-23,2.4336905716711196e-16,4.5202578186706285e-32,2.0220485747054913e-27,3.7043890010239766e-32,1.824667992179505e-35,2.3393444436127118e-37,2.0220114227804492e-27,4.188266618388693e-27,4.195573725927578e-44,1.8474250348080803e-51,2.7589069414400806e-60
3.916765056578604e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999763,0.6699999999999983,2.361769988374051e-15,1.844611300975203e-15,1.3300946816624178e-22,5.171588203629042e-16,2.7263338169903476e-31,8.831112564376068e-27,4.548251232927427e-31,1.6139479270964983e-34,2.1502604611388777e-36,8.830656783699936e-27,1.829126409610178e-26,1.0388690710881816e-42,9.185650454355503e-50,2.7489340098734734e-58
8.063928057661831e-15,0.11224537200000013,0.0,0.0,0.0,0.0,0.32999999999999513,0.6699999999999963,4.862467341719954e-15,3.797730905162579e-15,5.552847812878984e-22,1.0647369916525719e-15,1.392414698514527e-30,3.6870998021718404e-26,4.722275619335277e-30,1.3567172948154938e-33,1.839592896522495e-35,3.686626771419521e-26,7.636245551929707e-26,2.174000829224351e-41,3.859026335326941e-48,2.314043093005371e-56
1.6358254059828288e-14,0.11224537200000026,0.0,0.0,0.0,0.0,0.32999999999999013,0.6699999999999924,9.863861179876112e-15,7.703975533740805e-15,2.2684903806792693e-21,2.1598879138511953e-15,6.369116130682209e-30,1.5065467492256247e-25,4.37622079327379e-29,1.1124878323510026e-32,1.5210106523931414e-34,1.5061084686586527e-25,3.1196578065159814e-25,4.054225652527109e-40,1.4436454953448456e-46,1.7339206731908097e-54
3.29469060641612e-14,0.1122453720000005,0.0,0.0,0.0,0.0,0.32999999999998014,0.6699999999999846,1.9866645382201896e-14,1.5516486471495516e-14,9.169365274894707e-21,4.350168076941236e-15,2.7317353075312445e-29,6.091732285778314e-25,3.7864937065640585e-28,9.0120132791102e-32,1.2368600676493728e-33,6.087940459739145e-25,1.2610174513651286e-24,7.044991816576603e-39,5.0274682452445426e-45,1.2088911856217383e-52
6.612421007282702e-14,0.11224537200000101,0.0,0.0,0.0,0.0,0.32999999999996016,0.669999999999969,3.987219989215575e-14,3.1141595067672865e-14,3.6867720380120755e-20,8.73064167961756e-15,1.1320387149946232e-28,2.4511000047453986e-24,3.1542128178551985e-27,7.258186813059459e-31,9.975715906465327e-33,2.4479415004416858e-24,5.070510884815995e-24,1.1766236283109823e-37,1.6813836411885092e-43,8.090928337514615e-51
1.3247881809015865e-13,0.11224537200000201,0.0,0.0,0.0,0.0,0.32999999999992013,0.6699999999999378,7.988325334325795e-14,6.239215912889916e-14,1.4784085793539621e-19,1.749124200475522e-14,4.60907794494017e-28,9.843189745660917e-24,2.575553925537755e-26,5.831527483041736e-30,8.013023668760365e-32,9.81739977699723e-24,2.0335138198210756e-23,1.9241389664349222e-36,5.502859891650373e-42,5.2978039721270206e-49
