Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.951095492396464e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999985,0.6699999999999998,1.7794810297504933e-16,1.3898260009129874e-16,1.0996906672192396e-24,3.896550398306577e-17,6.232666702348347e-34,7.300948019597926e-29,1.3592706934345363e-34,1.6842696228390923e-37,1.5482570803567235e-39,7.300934327166906e-29,1.5122693785382465e-28,4.2401488156927494e-47,5.2283994506287086e-55,2.0519283246807766e-64,1.5254370732713964e-65
8.2630673787101e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999995,0.6699999999999997,4.98254684767635e-16,3.891513024871469e-16,6.642126500859532e-24,1.0910338892034685e-16,6.374750895220194e-33,4.4097910367435e-28,2.6383906969576284e-33,1.9995725504147696e-36,2.3397260685910666e-38,4.409764534444164e-28,9.13410745724511e-28,1.5238506524848322e-45,3.434509583592005e-53,2.3170548006597205e-62,3.1158199471155146e-63
1.888701115133737e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999885,0.6699999999999992,1.1388678341028347e-15,8.894887962048279e-16,3.197892766568349e-23,2.493790698660165e-16,4.809377569989192e-32,2.1231525174775135e-27,4.039764635470625e-32,1.9632160275836745e-35,2.516970467289224e-37,2.1231120035930582e-27,4.3976799690982714e-27,4.689018560998853e-44,2.1158244705377926e-51,2.551805415977984e-60,6.860552159558576e-61
4.013489869659191e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999976,0.6699999999999982,2.4200940757736776e-15,1.890164139343675e-15,1.3965991972308101e-22,5.299300760422387e-16,2.8880497522967226e-31,9.27268462576924e-27,4.938892151166028e-31,1.7364975794546504e-34,2.313529367266658e-36,9.272189708446593e-27,1.9205827475949184e-26,1.1561598852785366e-42,1.04760883729063e-49,2.0881245379243427e-58,1.1245496218604656e-58
8.2630673787101e-15,0.11224537200000013,0.0,0.0,0.0,0.0,0.329999999999995,0.6699999999999962,4.982546331119757e-15,3.891516248431688e-15,5.830488366797262e-22,1.0910306655378406e-15,1.4696610994796877e-30,3.871469977553324e-26,5.109314673211124e-30,1.4597379394324768e-33,1.979272862744826e-35,3.8709581819100216e-26,8.018057976659765e-26,2.410708591078952e-41,4.3852644072991574e-48,1.2960074596621615e-56,1.3986468179377792e-56
1.6762222396811916e-14,0.11224537200000026,0.0,0.0,0.0,0.0,0.3299999999999899,0.6699999999999922,1.0107449929850481e-14,7.894226157819986e-15,2.3819133938911077e-21,2.213226153130676e-15,6.706338850114885e-30,1.5818869737033596e-25,4.7231416251907055e-29,1.196967939900299e-32,1.6365007159210478e-34,1.5814139510552215e-25,3.2756408174702342e-25,4.484319142526864e-40,1.6363423781985093e-46,6.367259989707143e-55,1.3772417271810674e-54
3.376053243301555e-14,0.1122453720000005,0.0,0.0,0.0,0.0,0.32999999999997964,0.6699999999999842,2.0357253479634114e-14,1.589966874121364e-14,9.627821344693406e-21,4.457594362954884e-15,2.872462106002349e-29,6.396424363127885e-25,4.080665703141667e-28,9.696443152049718e-32,1.3307746145073824e-33,6.392337960223483e-25,1.324068421620368e-24,7.780530996738835e-39,5.68974187282448e-45,2.6281045320440086e-53,1.1391473290256357e-52
6.775715250542282e-14,0.11224537200000102,0.0,0.0,0.0,0.0,0.32999999999995916,0.6699999999999682,4.085684598983328e-14,3.1910644964613136e-14,3.871100826116857e-20,8.946239723013505e-15,1.1895060003394962e-28,2.5737401292631598e-24,3.396552162411475e-27,7.8095408540596785e-31,1.0733169865989399e-32,2.5703389597864623e-24,5.3240372153087014e-24,1.298382536548285e-37,1.9012447882103993e-43,9.683087829427894e-52,8.406662588766373e-51
1.3575039265023735e-13,0.11224537200000205,0.0,0.0,0.0,0.0,0.32999999999991814,0.6699999999999362,8.185597266350271e-14,6.393296162301289e-14,1.5523211348973608e-19,1.7923166219619408e-14,4.841283576557533e-28,1.0336032688418745e-23,2.772279551229969e-26,6.274701756919803e-30,8.621450461649609e-32,1.0308272849654338e-23,2.1351901417007124e-23,2.1223153289508022e-36,6.219604711879588e-42,3.3382523148011876e-50,5.8019296079351074e-49
