Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0884283714766705e-16,0.11224537199999998,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999998,1.8622913800538288e-16,1.4545032763449104e-16,1.2044230667131552e-24,4.077881157490367e-17,7.084891229307359e-34,7.99627770815436e-29,1.6170358266926545e-34,1.9305208600494363e-37,1.7746221032691426e-39,7.996279021730454e-29,1.6562950372277215e-28,5.27896835192986e-47,6.812256470813752e-55,2.788960893954084e-64,2.169845470649505e-65,1.4301672097210808e-36,1.7598229087482858e-34
8.647599440134678e-16,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999995,0.6699999999999997,5.214415825132834e-16,4.0726094172537144e-16,7.274709442855182e-24,1.141806480601376e-16,7.207982932381992e-33,4.829773495058104e-28,3.1229376164446635e-33,2.2919238209907866e-36,2.6818088849816823e-38,4.829763022598458e-28,1.000402249580193e-27,1.887912882403098e-45,4.453393051738705e-53,3.127113135041637e-62,4.4009760977090734e-63,1.6980065725090972e-35,2.089259699893774e-33
1.976594157745069e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999885,0.6699999999999992,1.1918664559219765e-15,9.308822673022533e-16,3.502453457877621e-23,2.6098422363229967e-16,5.396551422402832e-32,2.3253607643859463e-27,4.746392366203086e-32,2.2502536128208874e-35,2.8849675371632456e-37,2.3253336797041706e-27,4.816506674675536e-27,5.767010005235276e-44,2.723672245574348e-51,3.4043678864802866e-60,9.579112285254999e-61,1.6671576307376342e-34,2.051243204593597e-32
4.2002625852082716e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999975,0.6699999999999982,2.532716140311308e-15,1.9781253080359818e-15,1.5296081806266306e-22,5.545909851839205e-16,3.2144005981483116e-31,1.0155832443091627e-26,5.756891311758368e-31,1.9903909364478294e-34,2.6517820492515838e-36,1.0155437005660077e-26,2.1034954272422108e-26,1.4108324524573472e-42,1.3380772626254912e-49,2.7466053573460195e-58,1.5481416031388362e-58,1.474592139217179e-33,1.81429363257656e-31
8.647599440134677e-15,0.11224537200000015,0.0,0.0,0.0,0.0,0.32999999999999485,0.669999999999996,5.2144152593807585e-15,4.072612947819142e-15,6.385769073348813e-22,1.141802949920503e-15,1.6248650806764026e-30,4.240213607991261e-26,5.91600106586235e-30,1.673172735932221e-33,2.2686551099022486e-35,4.23977351964982e-26,8.781682857034075e-26,2.9222054509795055e-41,5.563999406035552e-48,1.6803339580135284e-56,1.8980225630458722e-56,1.239474862117668e-32,1.5250100762147952e-30
1.7542273149987488e-14,0.11224537200000027,0.0,0.0,0.0,0.0,0.32999999999998947,0.6699999999999918,1.0577812498706866e-14,8.261594460615032e-15,2.6087590913278535e-21,2.3162206459602747e-15,7.38228399151556e-30,1.732570154770956e-25,5.444155165237603e-29,1.3719924097505435e-32,1.8757674816637542e-34,1.7321499566898025e-25,3.587606864723886e-25,5.41083281744205e-40,2.0665772179668905e-46,8.15583858950983e-55,1.8464385900750837e-54,1.0161723111068087e-31,1.2502740114513425e-29
3.533162056969311e-14,0.11224537200000055,0.0,0.0,0.0,0.0,0.32999999999997875,0.6699999999999835,2.1304602982300375e-14,1.6639582418859154e-14,1.0544730820243684e-20,4.665031104572179e-15,3.1542185621276183e-29,7.005830733155976e-25,4.691112697755787e-28,1.1114455154041228e-31,1.5253422571645625e-33,7.0021455482352765e-25,1.4501703826556924e-24,9.362278412162924e-39,7.165643083373234e-45,3.337495796875617e-53,1.5141130658890797e-52,8.228798597283392e-31,1.0124696722840273e-28
7.091031540910435e-14,0.11224537200000108,0.0,0.0,0.0,0.0,0.3299999999999573,0.6699999999999667,4.275816797079211e-14,3.339565806382936e-14,4.2397562583501555e-20,9.362552290052849e-15,1.3045008625896523e-28,2.8190382755647176e-24,3.899051444802949e-27,8.95187912578547e-31,1.2302426494136244e-32,2.815948854593229e-24,5.831090041490789e-24,1.5599813464839122e-37,2.3907257326755482e-43,1.2231686817896205e-51,1.1114305258601212e-50,6.622548500683215e-30,8.14867920383973e-28
1.4206770508792684e-13,0.11224537200000212,0.0,0.0,0.0,0.0,0.3299999999999144,0.6699999999999332,8.56652340453085e-14,6.690820825067878e-14,1.7001445260284829e-19,1.8757195751060256e-14,5.30581155071284e-28,1.1321862194271591e-23,3.1800533550306343e-26,7.192960429514239e-30,9.881959678493707e-32,1.1296557990655881e-23,2.3385429180116056e-23,2.547908648398246e-36,7.814516369388193e-42,4.2043391813618396e-50,7.647589214062806e-49,5.313041678684245e-29,6.537907224540777e-27
