Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.154853785200146e-16,0.11224537199999998,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999998,1.9023452390712732e-16,1.485786497249413e-16,1.2567892643769854e-24,4.165587543854612e-17,7.521873151584536e-34,8.343942631295416e-29,1.7536954032939546e-34,2.0577833190080024e-37,1.8916073588241048e-39,8.343943730837816e-29,1.7283078667454884e-28,5.848241288428914e-47,7.709192977910901e-55,3.2190543950756935e-64,2.558329032839e-65,1.5244455214991905e-36,1.8758325389240308e-34,1.651825165823189e-54
8.83359059856041e-16,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999995,0.6699999999999997,5.32656662868525e-16,4.160202446372752e-16,7.591000889122169e-24,1.1663642581965886e-16,7.633204156630372e-33,5.039764860833393e-28,3.3787429367782885e-33,2.443010793472055e-36,2.8585969998464804e-38,5.0397531986413215e-28,1.0438980017134604e-27,2.0866263332206846e-45,5.02818195246558e-53,3.5971777114280426e-62,5.171496804902711e-63,1.8099411114691882e-35,2.2269861500474373e-33,4.658411196695794e-53
2.0191064225280937e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999885,0.6699999999999992,1.2175009245056445e-15,9.509035360916321e-16,3.6547337792514793e-23,2.6659742494887225e-16,5.694315979253783e-32,2.426465064681556e-27,5.11726235594722e-32,2.3985946067149153e-35,3.0751481164253194e-37,2.426435614723399e-27,5.025920029481079e-27,6.352097913422393e-44,3.064698727723207e-51,3.8947055081666317e-60,1.1194793969172564e-60,1.7770584449862272e-34,2.1864634628755794e-32,1.013306158784371e-51
4.290601147872199e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.32999999999999746,0.669999999999998,2.587189382637581e-15,2.0206705255185475e-15,1.5961126508486517e-22,5.665190166758043e-16,3.3789237691952367e-31,1.0597408150607815e-26,6.183765430010371e-31,2.1216032465623854e-34,2.8265907531804914e-36,1.059698190815897e-26,2.1949517688497983e-26,1.5482820942889133e-42,1.5001355740895467e-49,3.1213526613711966e-58,1.7972851272739487e-58,1.5717986041010283e-33,1.933893730940739e-31,1.8784987362277492e-50
8.83359059856041e-15,0.11224537200000015,0.0,0.0,0.0,0.0,0.32999999999999474,0.6699999999999959,5.326566038335451e-15,4.160206130440756e-15,6.663409246109906e-22,1.1663605740081184e-15,1.70279279470583e-30,4.424587015938342e-26,6.335174390049768e-30,1.783476443475117e-33,2.41820761311682e-35,4.424114998075398e-26,9.16349531221631e-26,3.1970586281320226e-41,6.218728193892274e-48,1.8968315057824245e-56,2.1887704406086634e-56,1.3211818001530303e-32,1.625540006658562e-30,3.2286590004198072e-49
1.791956949993683e-14,0.1122453720000003,0.0,0.0,0.0,0.0,0.32999999999998925,0.6699999999999916,1.0805318307492818e-14,8.439283844523254e-15,2.72218179205447e-21,2.366037184221982e-15,7.720941483214352e-30,1.8079130709227433e-25,5.817836299514392e-29,1.4624462232800033e-32,1.9994203447627868e-34,1.8074636932445131e-25,3.743589900644507e-25,5.9073010570620315e-40,2.3048564106782955e-46,9.155169746534131e-55,2.117384363455898e-54,1.0831583849655482e-31,1.3326926221095395e-29,5.351264292426622e-48
3.6091527302689675e-14,0.11224537200000055,0.0,0.0,0.0,0.0,0.3299999999999783,0.669999999999983,2.176281867705922e-14,1.6997465289357107e-14,1.1003184359625632e-20,4.765364387130113e-15,3.295235044621147e-29,7.310544694162221e-25,5.007042426767506e-28,1.1847303995460943e-31,1.625894649051435e-33,7.306609890711133e-25,1.5132213731290356e-24,1.0208503257981763e-38,7.98167139436797e-45,3.7316832700816118e-53,1.7294392371950458e-52,8.77123085597358e-31,1.079211322652534e-28,8.713142695710358e-47
7.243544290819536e-14,0.11224537200000108,0.0,0.0,0.0,0.0,0.3299999999999564,0.669999999999966,4.3677802742839714e-14,3.411393224343256e-14,4.424083010028356e-20,9.563914725135647e-15,1.3620258186723563e-28,2.9416960291833077e-24,4.158919764228581e-27,9.542273140917001e-31,1.3113416949223703e-32,2.9384001104516986e-24,6.084616534711242e-24,1.699815231575207e-37,2.661112302471509e-43,1.364328018934708e-51,1.2664005846882814e-50,7.059082469123182e-30,8.685824535679543e-28,1.406303459381202e-45
1.4512327411920672e-13,0.11224537200000217,0.0,0.0,0.0,0.0,0.32999999999991253,0.6699999999999318,8.750770419411718e-14,6.834728239107377e-14,1.7740554479057447e-19,1.916059914804429e-14,5.5381288457171305e-28,1.1814846597363151e-23,3.3908466409464704e-26,7.667571210997892e-30,1.053338968836763e-31,1.178786268650543e-23,2.4402193704617016e-23,2.7752971390676434e-36,8.69509882048514e-42,4.683183068422633e-50,8.701986880247553e-49,5.663231695476567e-29,6.968853044927729e-27,2.2598877780750237e-44
2.9049893654122943e-13,0.11224537200000434,0.0,0.0,0.0,0.0,0.3299999999998249,0.6699999999998633,1.7516724048050219e-13,1.368156474992048e-13,7.103875947049599e-19,3.835230312656315e-14,2.233140367209062e-27,4.7459833818896574e-23,2.7383043703874323e-25,6.160211586913306e-29,8.443783643517586e-31,4.724147633326178e-23,9.773733747187821e-23,4.48540154132108e-35,2.8115153167587067e-40,1.553432773311248e-48,5.77598167142033e-47,4.535492397164957e-28,5.582002321985555e-26,3.6236702424853915e-43
5.812502613852749e-13,0.11224537200000864,0.0,0.0,0.0,0.0,0.3299999999996496,0.6699999999997264,3.5048524742764524e-13,2.737590358061636e-13,2.8421222601721815e-18,7.672905277509483e-14,8.965564033867859e-27,1.9107371075636214e-22,2.200357079732595e-24,4.958840236049611e-28,6.761823964266114e-30,1.8931735043709473e-22,3.912143177771007e-22,7.210944418245085e-34,9.041421990976337e-39,5.06093452521967e-47,3.764577864353775e-45,3.6279760622989e-27,4.466498948063998e-25,5.804127604763699e-42
