Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2199091611785176e-16,0.11224537199999998,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999998,1.9415729790428232e-16,1.516424495391291e-16,1.3091554606413002e-24,4.2514849673861675e-17,7.965797558903049e-34,8.691607606506736e-29,1.8954913529015452e-34,2.1877254939658875e-37,2.0110559121313117e-39,8.691608464920599e-29,1.8003206963753386e-28,6.451449615134172e-47,8.679712254289512e-55,3.693433448347504e-64,2.9958684915741604e-65,1.6207089979885914e-36,1.994284919915565e-34,1.7923449928620887e-54,2.1641536242247577e-62
9.01574565129985e-16,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999995,0.6699999999999997,5.436404298909163e-16,4.245988851756442e-16,7.907292318774145e-24,1.1904155261986473e-16,8.063872665041501e-33,5.249756316374552e-28,3.643440965994208e-33,2.5972791790927834e-36,3.039107650132777e-38,5.249743404334947e-28,1.0873937539797968e-27,2.2966458072400955e-45,5.648586588313251e-53,4.1137525123531255e-62,6.036204924693606e-63,1.9242325872613198e-35,2.3676126261912805e-33,5.054699534363743e-53,1.1202282172888895e-60
2.0607418631542517e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999988,0.6699999999999992,1.2426066768999406e-15,9.705118623129308e-16,3.8070140843126896e-23,2.7209485264415256e-16,5.994692582189369e-32,2.5275694804705106e-27,5.499599332479823e-32,2.550059279601419e-35,3.269333229109673e-37,2.5275375788537966e-27,5.235333385593115e-27,6.968254652084787e-44,3.4314917172560886e-51,4.430459467554712e-60,1.2997664639804177e-60,1.8892733625830863e-34,2.3245309673957104e-32,1.0995075005931872e-51,4.8913545610371565e-59
4.379076459202785e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999974,0.669999999999998,2.64053910306144e-15,2.062338240043942e-15,1.6626171066424475e-22,5.782010292224437e-16,3.544279594220984e-31,1.1038985027405768e-26,6.622259537794196e-31,2.2555787157603967e-34,3.0050803126643583e-36,1.1038527068140628e-26,2.286408111612969e-26,1.692516771353575e-42,1.673822729039562e-49,3.528054063602064e-58,2.0734387232217865e-58,1.671051857594965e-33,2.0560121570495407e-31,2.0383013932848534e-50,1.8209284773770096e-57
9.01574565129985e-15,0.11224537200000015,0.0,0.0,0.0,0.0,0.32999999999999463,0.6699999999999958,5.436403683961653e-15,4.245992689327008e-15,6.941049297595188e-22,1.1904116885025967e-15,1.780920237893361e-30,4.6089614567355114e-26,6.764615011532373e-30,1.8961032790523425e-33,2.5709091647603e-35,4.6084566929270166e-26,9.545307777111902e-26,3.484690333557175e-41,6.918484588304111e-48,2.1302675665934805e-56,2.5089563253582834e-56,1.404609135580437e-32,1.728186694007518e-30,3.503318584169711e-49,6.273373423158392e-56
1.828908403549398e-14,0.11224537200000027,0.0,0.0,0.0,0.0,0.329999999999989,0.6699999999999915,1.1028131760098196e-14,8.61330836313964e-15,2.8356043933553364e-21,2.414826231594857e-15,8.060017858660232e-30,1.8832568460235006e-25,6.200056766171283e-29,1.5548055480240048e-32,2.1256769003561064e-34,1.882777607232239e-25,3.899572944528664e-25,6.4259482701700084e-40,2.5590607845476077e-46,1.0227155829774836e-54,2.4142198208176817e-54,1.1515548460246578e-31,1.4168465971152312e-29,5.806491236464903e-48,2.081903069264458e-54
3.6835760803882247e-14,0.11224537200000059,0.0,0.0,0.0,0.0,0.32999999999997787,0.6699999999999827,2.2211583569933847e-14,1.7347966811449527e-14,1.1461637093888441e-20,4.863628216208557e-15,3.436336028398333e-29,7.615265636144608e-25,5.329912547363171e-28,1.2595598277231673e-31,1.728564317761025e-33,7.611075669986322e-25,1.5762723700513494e-24,1.1091666726578662e-38,8.85132933770095e-45,4.1530824750838246e-53,1.9645164661927903e-52,9.325083146927345e-31,1.1473581851161217e-28,9.45435794286317e-47,6.783572534586015e-53
7.392911434065878e-14,0.11224537200000113,0.0,0.0,0.0,0.0,0.3299999999999555,0.6699999999999653,4.4578469821600086e-14,3.481739210839696e-14,4.608409113767392e-20,9.761123781563529e-15,1.4195675837494888e-28,3.064359406034723e-24,4.424378705430199e-27,1.0145121715222203e-30,1.3941483965817723e-32,3.0608525226115697e-24,6.338143079836908e-24,1.8456773256951233e-37,2.9491070152829608e-43,1.5149288540629886e-51,1.4352341802361542e-50,7.504805598090032e-30,9.23427812934785e-28,1.5259346655913302e-45,2.1903709078170228e-51
1.4811582141421182e-13,0.1122453720000022,0.0,0.0,0.0,0.0,0.32999999999991075,0.6699999999999303,8.931217286686673e-14,6.975667628431629e-14,1.8479658499982623e-19,1.955568131606972e-14,5.77047858298766e-28,1.2307876121012393e-23,3.6061259024428964e-26,8.152212453135947e-30,1.1198536451879664e-31,1.2279176658383288e-23,2.541895864559693e-23,3.0124246680166315e-36,9.632752275862937e-42,5.193496730933165e-50,9.849400898688408e-49,6.020791135430882e-29,7.408869651835806e-27,2.452127950516088e-44,7.040728692993204e-50
