Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.283675928969088e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999985,0.6699999999999998,1.9800237011764047e-16,1.546455620227785e-16,1.3615216555343876e-24,4.335680945591879e-17,8.416455154558272e-34,9.039272633425577e-29,2.0423888284381388e-34,2.3202932221956424e-37,2.1329179739182576e-39,9.039273223473996e-29,1.872333526115008e-28,7.089091764723564e-47,9.726470765540712e-55,4.214558544139608e-64,3.4862716822741337e-65,1.7189175139659977e-36,2.1151306776061942e-34,1.9386003432907682e-54,2.3871045155139324e-62,1.4039916787559517e-72
9.194292601113447e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999946,0.6699999999999996,5.544066319186764e-16,4.3300760118850543e-16,8.223583732146941e-24,1.21399038950947e-16,8.499790523646487e-33,5.459747860745494e-28,3.916939790568881e-33,2.754664676397578e-36,3.2232655942919595e-38,5.459733639080016e-28,1.130889506376513e-27,2.518102771811774e-45,6.3161227484198695e-53,4.67922070232101e-62,7.002012902675479e-63,2.0408333600028842e-35,2.5110805113739644e-33,5.467163010993547e-53,1.2356340163301257e-60,2.7942572176275324e-70
2.1015525945402163e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999874,0.669999999999999,1.2672151378779366e-15,9.897317896187836e-16,3.9592943733909753e-23,2.7748338783857916e-16,6.297564351011128e-32,2.6286740100592294e-27,5.893235602020842e-32,2.7045845007494495e-35,3.467441933791773e-37,2.628639571506948e-27,5.444746742985241e-27,7.615720076950607e-44,3.8248092750720784e-51,5.013659532411849e-60,1.500024940996939e-60,2.0037556089989263e-34,2.465388167683574e-32,1.1892273102606373e-51,5.395261413878652e-59,5.866773019178525e-68
4.4657992633979594e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999973,0.6699999999999979,2.6928320792256632e-15,2.103180606874012e-15,1.729121548299652e-22,5.896516452047704e-16,3.7104241944855095e-31,1.1480563052555885e-26,7.0721658113950384e-31,2.392261506254541e-34,3.1871763285890466e-36,1.1480072480400598e-26,2.377864455508365e-26,1.843566207809315e-42,1.8594408647373964e-49,3.967906812684724e-58,2.3782145117730936e-58,1.7723105275974917e-33,2.1805980081636346e-31,2.2046267780612937e-50,2.0085203411618484e-57,8.944185887344209e-66
9.194292601113446e-15,0.11224537200000013,0.0,0.0,0.0,0.0,0.32999999999999446,0.6699999999999957,5.544065679641554e-15,4.330080002958165e-15,7.218689230256028e-22,1.213986398305855e-15,1.859235914844724e-30,4.793336910251437e-26,7.204122854627777e-30,2.01100630790733e-33,2.726696114824157e-35,4.7927985998300216e-26,9.927120251524506e-26,3.785129178511347e-41,7.664330029098985e-48,2.3811679476481984e-56,2.860144154511548e-56,1.4897220924337303e-32,1.8329073514421724e-30,3.7891893498358294e-49,6.919655677861942e-56,9.988179019590423e-64
1.865127927654442e-14,0.11224537200000027,0.0,0.0,0.0,0.0,0.32999999999998875,0.6699999999999913,1.1246531751384007e-14,8.7838858413813e-15,2.949026897240224e-21,2.4626488580227873e-15,8.399488323084867e-30,1.9586014628738325e-25,6.590645585935015e-29,1.6490319041056196e-32,2.2544845213857654e-34,1.958091695066376e-25,4.0555559962153846e-25,6.966798891068645e-40,2.8295432412346374e-46,1.1373717022606684e-54,2.73819435725779e-54,1.2213331827578813e-31,1.5027008572488554e-29,6.280300818996579e-48,2.2963804808717537e-54,8.364930797224638e-62
3.7565252627406366e-14,0.11224537200000059,0.0,0.0,0.0,0.0,0.32999999999997737,0.6699999999999824,2.2651459378742902e-14,1.7691525702927256e-14,1.1920089039307815e-20,4.9599455918353256e-15,3.5775164826145987e-29,7.919993418313135e-25,5.65958309123567e-28,1.3359026379451264e-31,1.8333084678437865e-33,7.9155428570156055e-25,1.6393233732922802e-24,1.201178876778171e-38,9.775764806214107e-45,4.60233711300334e-53,2.2202376457372075e-52,9.890124576068198e-31,1.216881851613715e-28,1.0225833217237026e-46,7.4824152663381825e-53,5.422023741707424e-60
7.539319932913027e-14,0.11224537200000115,0.0,0.0,0.0,0.0,0.32999999999995455,0.6699999999999646,4.5461296570807025e-14,3.550691816226097e-14,4.7927345826673674e-20,9.954426319532036e-15,1.4771251507276525e-28,3.187028292494711e-24,4.695315305524699e-27,1.0760174029792287e-30,1.478628238311364e-32,3.1833060676947112e-24,6.591669675818583e-24,1.997569221878415e-37,3.2550798965900077e-43,1.675180396847194e-51,1.6185343360622602e-50,7.959532043827633e-30,9.793811332068048e-28,1.6504508265018286e-45,2.4160225469656488e-51,2.8191943389735065e-58
1.5104909273257807e-13,0.11224537200000229,0.0,0.0,0.0,0.0,0.3299999999999089,0.669999999999929,9.108089871912057e-14,7.11381540054408e-14,1.9218757428180393e-19,1.9942936835666585e-14,6.002858769765982e-28,1.2800949852847558e-23,3.825800433048531e-26,8.646682889128462e-30,1.1877122717100674e-31,1.2770499718694695e-23,2.6435723994636566e-23,3.2592924597006765e-36,1.0628664665025047e-41,5.73595321746693e-50,1.1093793080515347e-48,6.385570870659941e-29,7.857773565854777e-27,2.652221244741799e-44,7.766062868513143e-50,1.2272171252346379e-56
