Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.346227757750606e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999985,0.6699999999999998,2.0177418272493573e-16,1.5759145664461048e-16,1.413887849082885e-24,4.418272749373039e-17,8.87364978280724e-34,9.386937711700936e-29,2.1943540753652466e-34,2.455435498648538e-37,2.2571466576102713e-39,9.386938006022605e-29,1.94434635596236e-28,7.761650542785611e-47,1.085210484919154e-54,4.7849168540168336e-64,4.0391255381047444e-65,1.8190332834951387e-36,2.2383233163736185e-34,2.0905911975618604e-54,2.62329707228315e-62,1.6240071111622717e-72,5.639340334831266e-66
9.369437721701697e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999994,0.6699999999999996,5.649677070494603e-16,4.412561071882777e-16,8.539875129556803e-24,1.2371160839814188e-16,8.940773244773256e-33,5.669739493045625e-28,4.199150948693433e-33,2.9151067327044234e-36,3.410999977332381e-38,5.669723902312146e-28,1.1743852589010741e-27,2.751123757144933e-45,7.032289370408479e-53,5.295979070755595e-62,8.087962371481143e-63,2.1596985672003948e-35,2.657334605992692e-33,5.895801525401013e-53,1.3578940825218763e-60,3.2216075572417204e-70,6.581391535288658e-64
2.141585764960388e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999987,0.669999999999999,1.2913547373771305e-15,1.0085855226090041e-15,4.11157464679683e-23,2.827692558698347e-16,6.602823340503786e-32,2.729778651831649e-27,6.298011126374489e-32,2.8621108199508515e-35,3.6693980079049065e-37,2.729741592128742e-27,5.654160101632574e-27,8.294723093672687e-44,4.24539794416254e-51,5.646332025763788e-60,1.7243637038045758e-60,2.120461136643773e-34,2.6089808684418193e-32,1.2824655436055589e-51,5.929096677107713e-59,6.728003774362696e-68,7.805717915589464e-62
4.550869750540824e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.32999999999999724,0.6699999999999979,2.7441287247474313e-15,2.1432448107833626e-15,1.7956259760948965e-22,6.008840934653601e-16,3.877317451976281e-31,1.192214220622846e-26,7.533287340539153e-31,2.531599035594423e-34,3.3728087392837524e-36,1.192161814003784e-26,2.4693208005139854e-26,2.0014585668461613e-42,2.0572866807222542e-49,4.442097131153028e-58,2.7185637184925903e-58,1.8755356539867063e-33,2.3076033491562656e-31,2.3774747260814176e-50,2.207253799894057e-57,1.0189285969939423e-65,7.323719718081702e-60
9.369437721701697e-15,0.11224537200000015,0.0,0.0,0.0,0.0,0.32999999999999435,0.6699999999999957,5.649676406351705e-15,4.412565216458417e-15,7.49632904640087e-22,1.2371119392702553e-15,1.9377293902566064e-30,4.9777133574894474e-26,7.65350911808528e-30,2.1281413315681324e-33,2.885508524073972e-35,4.9771407146647966e-26,1.030893273526922e-25,4.0984021617409294e-41,8.457305512592716e-48,2.6500506513119556e-56,3.2521227405556588e-56,1.5764879221738834e-32,1.93966168660022e-30,4.086270730774251e-49,7.604322403751058e-56,1.1297596861453399e-63,5.649365839901219e-58
1.9006573664023444e-14,0.11224537200000027,0.0,0.0,0.0,0.0,0.3299999999999885,0.6699999999999912,1.1460770597045535e-14,8.951213345071598e-15,3.0624493056017406e-21,2.509560313377704e-15,8.739330431994981e-30,2.0339469052680171e-25,6.98944165709165e-29,1.7450890550126943e-32,2.3857936489336354e-34,2.0334059533694184e-25,4.211539055553085e-25,7.529875941652691e-40,3.1166497408612133e-46,1.2596739475761308e-54,3.101330088570825e-54,1.2924665458513673e-31,1.5902223683975574e-29,6.77269115953709e-48,2.5235962905443428e-54,9.39652266965703e-62,3.6991070734346417e-56
3.8280845548666935e-14,0.11224537200000059,0.0,0.0,0.0,0.0,0.3299999999999769,0.669999999999982,2.3082954288619122e-14,1.8028538871012e-14,1.2378540211210563e-20,5.054427791921475e-15,3.7187718558571936e-29,8.224727908067193e-25,5.995922231569637e-28,1.413729484955285e-31,1.9400867988105604e-33,8.220011424447066e-25,1.702374382729071e-24,1.2968888168297325e-38,1.0756102983033973e-44,5.080078865144684e-53,2.5096481631742316e-52,1.046613771036702e-30,1.2877555702646629e-28,1.1027562391550435e-46,8.22276415858357e-53,6.052819263743375e-60,2.08450597465497e-54
7.682938931795392e-14,0.11224537200000115,0.0,0.0,0.0,0.0,0.32999999999995366,0.6699999999999638,4.6327302914468125e-14,3.618330699504309e-14,4.9770594290646434e-20,1.0144045673030372e-14,1.5346976086431627e-28,3.309702581559532e-24,4.971623183585625e-27,1.1387193888370021e-30,1.564748716306678e-32,3.3057607236859246e-24,6.845196321668227e-24,2.1554924194652543e-37,3.5793936386126455e-43,1.8452879116325422e-51,1.8287398375018747e-50,8.42308679720956e-30,1.0364208821444168e-27,1.7798499636536377e-45,2.655076238309373e-51,3.1304905628588315e-58,1.0137469198797898e-52
1.539264768565279e-13,0.1122453720000023,0.0,0.0,0.0,0.0,0.3299999999999072,0.6699999999999275,9.281592515263529e-14,7.249331151006033e-14,1.9957851362642328e-19,2.0322813152979473e-14,6.235267604438245e-28,1.3294066933680338e-23,4.0497848136997767e-26,9.150792985940352e-30,1.2568887395797713e-31,1.32618316907816e-23,2.7452489743807583e-23,3.515901664393481e-36,1.16840003518104e-41,6.31121288373877e-50,1.2539637485404966e-48,6.757430467386245e-29,8.315392004364498e-27,2.8601613011925936e-44,8.534476514977507e-50,1.3571603423536194e-56,4.2980718340320024e-51
