Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4076315538787794e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999985,0.6699999999999998,2.0547677011244236e-16,1.6048328437647379e-16,1.4662540413119387e-24,4.499348720172197e-17,9.337197165930726e-34,9.734602840992823e-29,2.3513543629607388e-34,2.593104180527549e-37,2.383697707759394e-39,9.734602812117735e-29,2.0163591859153833e-28,8.46959411078895e-47,1.2059231363049963e-54,5.407021055059361e-64,4.648029833045472e-65,1.9210206410673328e-36,2.363818949783243e-34,2.248317555669986e-54,2.872983569632667e-62,1.868427938530656e-72,6.380459430174338e-66,-2.2508415512496763e-86
9.541368350860584e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999994,0.6699999999999996,5.75334951564836e-16,4.493532258961379e-16,8.856166511302245e-24,1.259817345218407e-16,9.386648442421393e-33,5.879731212407427e-28,4.489989193951696e-33,3.078548193375386e-36,3.602243920421098e-38,5.879714193498642e-28,1.2178810115510912e-27,2.995830694329778e-45,7.798569190323645e-53,5.966436998184176e-62,9.279252146838727e-63,2.2807858639020304e-35,2.8063228080723136e-33,6.340615077556913e-53,1.4871390007114817e-60,3.694705969273302e-70,7.430166753409995e-64,8.163636900010656e-85
2.180884194482419e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999987,0.669999999999999,1.3150512954696762e-15,1.0270932275034253e-15,4.2638549048233314e-23,2.8795811059024224e-16,6.910369578605524e-32,2.830883404243249e-27,6.713772932575702e-32,3.022582123175956e-35,3.875129506252445e-37,2.8308436401961714e-27,5.8635734615116546e-27,9.005482502236062e-44,4.693993285545016e-51,6.330499273952907e-60,1.9688382790533098e-60,2.239348369739501e-34,2.755257915642285e-32,1.3792222006149972e-51,6.493430535178206e-59,7.676108598700749e-68,8.783464446597634e-62,1.682605672286493e-82
4.63437891327514e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999972,0.6699999999999979,2.7944839072800747e-15,2.1825737049891374e-15,1.8621303902874041e-22,6.119103884403993e-16,4.0449225690767675e-31,1.2363722469599719e-26,8.005437195836896e-31,2.6735416721022622e-34,3.561911414717715e-36,1.2363164042426378e-26,2.5607771466090765e-26,2.1662205840725034e-42,2.2676517252484368e-49,4.951800181545636e-58,3.0862599657373376e-58,1.980690462959893e-33,2.4369829348688375e-31,2.556845237296714e-50,2.4173411188786185e-57,1.1550722706575628e-65,8.210784401889562e-60,2.6660726316570035e-80
9.541368350860582e-15,0.11224537200000015,0.0,0.0,0.0,0.0,0.32999999999999424,0.6699999999999956,5.753348826907784e-15,4.4935365570395335e-15,7.773968748208633e-22,1.2598130469997106e-15,2.016391156954562e-30,5.1620907804846615e-26,8.112595253052499e-30,2.2474666318452842e-33,3.0472898168761526e-35,5.1614830335429233e-26,1.069074522817157e-25,4.424534815661639e-41,9.298432733044946e-48,2.9374259350689083e-56,3.6711835688737534e-56,1.6648757140066156e-32,2.0484116681996723e-30,4.394562726817364e-49,8.328104886496393e-56,1.2719217121736926e-63,6.310684922320939e-58,3.784852458455419e-78
1.9355347226031467e-14,0.1122453720000003,0.0,0.0,0.0,0.0,0.3299999999999883,0.6699999999999909,1.1671077450223163e-14,9.11546984941155e-15,3.1758716202262938e-21,2.5556107755989726e-15,9.079523790863757e-30,2.109293157901847e-25,7.396292839402218e-29,1.8429427977126458e-32,2.5195575051718e-34,2.108720378953399e-25,4.3675221223987e-25,8.115201162416677e-40,3.4207196980917653e-46,1.3898075308104985e-54,3.484788654035654e-54,1.3649295926901012e-31,1.6793799502187347e-29,7.28366225752939e-48,2.763793185009359e-54,1.050899569244606e-61,4.1175424293584545e-56,5.097923595257645e-76
3.898330497637324e-14,0.1122453720000006,0.0,0.0,0.0,0.0,0.3299999999999765,0.6699999999999817,2.3506529833352284e-14,1.835936678688329e-14,1.2836990624063456e-20,5.147175879077261e-15,3.860098014539219e-29,8.529468980231078e-25,6.33880552301348e-28,1.4930126702601988e-31,2.04886127170856e-33,8.524481346463718e-25,1.7654253982458603e-24,1.3962982660341203e-38,1.1793447650932498e-44,5.586927212656535e-53,2.8109158141681773e-52,1.1052917318451032e-30,1.3599540904195208e-28,1.185954546398714e-46,9.0054099685742e-53,6.729000236372954e-60,2.311865488999635e-54,6.692374606558178e-74
7.823922047705677e-14,0.11224537200000118,0.0,0.0,0.0,0.0,0.32999999999995283,0.6699999999999632,4.717741514767187e-14,3.684728206987999e-14,5.1613836646033234e-20,1.0330184674010459e-14,1.5922841302968959e-28,3.432382172226903e-24,5.2532019251844505e-27,1.2025958349281199e-30,1.6524791507742637e-32,3.428216469805448e-24,7.098723016453264e-24,2.319448332878706e-37,3.92240402802743e-43,2.025452603763132e-51,2.0442676971871236e-50,8.89530467007091e-30,1.0945267358294782e-27,1.914132076460143e-45,2.907787311207329e-51,3.462520661575883e-58,1.1201929039474976e-52,8.674637683601938e-72
1.5675105147842385e-13,0.11224537200000231,0.0,0.0,0.0,0.0,0.3299999999999055,0.6699999999999262,9.451910798509623e-14,7.382359824522666e-14,2.0696940396804967e-19,2.0695716638642816e-14,6.467703451896733e-28,1.3787226552530882e-23,4.277998418128136e-26,9.664363846512155e-30,1.3273584051186254e-31,1.3753172407899496e-23,2.8469255885626607e-23,3.782253365178943e-36,1.279990153723547e-41,6.919922916433819e-50,1.400210918562715e-48,7.136237372536885e-29,8.781561880762728e-27,3.0759481179828985e-44,9.346790357017309e-50,1.4952476321925802e-56,4.7340121837279855e-51,1.1173148024516361e-69
3.13774713481158e-13,0.11224537200000466,0.0,0.0,0.0,0.0,0.3299999999998108,0.6699999999998523,1.8920218262734732e-13,1.4777817285047259e-13,8.287556418415394e-19,4.142483824982986e-14,2.6065834561430515e-27,5.539574908581202e-23,3.4526237801195073e-25,7.766150247445e-29,1.0640377053138153e-30,5.512038905002431e-23,1.1402713323136434e-22,6.108866432582707e-35,4.1360176515630616e-40,2.289639662404631e-48,9.281361535055789e-47,5.71497292141297e-28,7.033811874244566e-26,4.932184968234814e-43,2.9976732217498765e-48,5.695913789532405e-55,1.7933569940355993e-49,1.4345607268032783e-67
