Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4679482993897064e-16,0.11224537199999998,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999998,2.091138094358925e-16,1.6332391718287761e-16,1.5186202322453293e-24,4.578989377111658e-17,9.80692380292528e-34,1.0082268020971518e-28,2.513357922142699e-34,2.7332537291700285e-37,2.5125292627701787e-39,1.0082267641334923e-28,2.0883720159721705e-28,9.213376875416508e-47,1.335044829225668e-54,6.083408347112508e-64,5.322044992627348e-65,2.0248458503819573e-36,2.4915760652924073e-34,2.4117794176098628e-54,3.136411651004658e-62,2.1389199257296364e-72,7.187377206365722e-66,-2.544982524944534e-86,-1.5886048890154107e-97
9.710255238291178e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999994,0.6699999999999996,5.855186615008538e-16,4.573069988127118e-16,9.172457877665617e-24,1.2821167185746805e-16,9.837254663735092e-33,6.0897230179941905e-28,4.789372282558942e-33,3.24493499538117e-36,3.7969341623150644e-38,6.089704512135603e-28,1.2613767643243024e-27,3.2523412196595747e-45,8.61642934719118e-53,6.6930157197943615e-62,1.059369578579515e-62,2.4040551956664765e-35,2.9579958339221867e-33,6.801603667432522e-53,1.6234969582666742e-60,4.2164873860188407e-70,8.352160262159747e-64,9.230464558093039e-85,1.452062247376789e-95
2.219486911609412e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999863,0.669999999999999,1.3383283459522623e-15,1.0452732848749063e-15,4.4161351477477046e-23,2.9305510522362946e-16,7.220110236959984e-32,2.9319882658156885e-27,7.140374586181163e-32,3.1859453317168236e-35,4.084568375275904e-37,2.9319457152145078e-27,6.07298682260028e-27,9.748207750331727e-44,5.17132037182379e-51,7.06817952494415e-60,2.2372361962707067e-60,2.360377981412585e-34,2.9041709222652574e-32,1.4794972812762344e-51,7.088822704209803e-59,8.716108399724352e-68,9.841955859205152e-62,1.9024893033269817e-82,7.338783855757139e-93
4.7164096871700014e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.32999999999999713,0.6699999999999978,2.843947636141554e-15,2.2212063482086637e-15,1.9286347911223736e-22,6.227414807305217e-16,4.213205692868762e-31,1.2805303824768628e-26,8.488437604974952e-31,2.8180424687722884e-34,3.754421801946086e-36,1.2804710183190426e-26,2.6522334937739966e-26,2.337877685346603e-42,2.4908226565521946e-49,5.4981805793383675e-58,3.487615769148474e-58,2.08774016987191e-33,2.5686939675303886e-31,2.7427383116595525e-50,2.638990666322153e-57,1.3034358856068561e-65,9.167587414950046e-60,3.0144760912970494e-80,2.550498657827147e-90
9.710255238291179e-15,0.11224537200000015,0.0,0.0,0.0,0.0,0.32999999999999413,0.6699999999999955,5.8551859016702966e-15,4.57307443970777e-15,8.051608337740362e-22,1.2821122668484662e-15,2.0952125243330924e-30,5.346469162213708e-26,8.581212066378702e-30,2.3689427471603663e-33,3.2119864778694125e-35,5.345825552786297e-26,1.1072557730066455e-25,4.763551334610901e-41,1.0188715115848754e-47,3.2437968357003405e-56,4.126114082646642e-56,1.7548562291551194e-32,2.1591213221353137e-30,4.714065337800613e-49,9.091720985673847e-56,1.4257856782364677e-63,7.021464489919642e-58,4.2794583648325664e-78,7.554126833041787e-88
1.9697946340533536e-14,0.1122453720000003,0.0,0.0,0.0,0.0,0.32999999999998814,0.6699999999999908,1.1877661173362482e-14,9.276818481985281e-15,3.2892938428036524e-21,2.600845979548061e-15,9.420049802401409e-30,2.1846402062919964e-25,7.811055152745997e-29,1.9425607792738078e-32,2.655731842564667e-34,2.1840349688027896e-25,4.523505196616889e-25,8.72279512705471e-40,3.742086337685898e-46,1.5279545493842828e-54,3.899292845219753e-54,1.4386983514842595e-31,1.7701441089675877e-29,7.81321411242664e-48,3.017209395362601e-54,1.1705267928807559e-61,4.5657003826403895e-56,5.764121694334167e-76,2.076755450756208e-85
3.967332854501825e-14,0.1122453720000006,0.0,0.0,0.0,0.0,0.3299999999999761,0.6699999999999814,2.3922606679558138e-14,1.8684338003280996e-14,1.32954402915507e-20,5.238281967178584e-15,4.001491191111014e-29,8.834216516385789e-25,6.688115237432076e-28,1.5737259936250348e-31,2.1595959051766922e-33,8.82895259864503e-25,1.8284764197330482e-24,1.4994089016576237e-38,1.2888882351290134e-44,6.123490636832683e-53,3.1356521177011075e-52,1.1650269270262041e-30,1.4334535272794655e-28,1.2721782432764152e-46,9.831128935536074e-53,7.45193431113431e-60,2.55448898584309e-54,7.56693490030981e-74,5.5081263638621845e-83
7.962409295398767e-14,0.1122453720000012,0.0,0.0,0.0,0.0,0.329999999999952,0.6699999999999626,4.801247754537427e-14,3.7499502789823144e-14,5.345707300297646e-20,1.0513028194376968e-14,1.6498839618613364e-28,3.5550669689550555e-24,5.5399565446174746e-27,1.267625653014041e-30,1.7417905214429105e-32,3.5506732863975176e-24,7.352249759291548e-24,2.4894382992933424e-37,4.284460314215851e-43,2.215872055472914e-51,2.276197051682174e-50,9.376029409556885e-30,1.1536794696992277e-27,2.0532971643454877e-45,3.1744064072360216e-51,3.815811937534109e-58,1.233377336813047e-52,9.808237456905789e-72,1.4356353991696016e-80
1.5952562177192653e-13,0.11224537200000241,0.0,0.0,0.0,0.0,0.3299999999999038,0.669999999999925,9.619213870813932e-14,7.513033531461516e-14,2.1436024619050618e-19,2.1062017680618e-14,6.700164822835738e-28,1.4280427942280834e-23,4.510364980704236e-26,1.018722625061124e-29,1.399097957666684e-31,1.4244521712323306e-23,2.9486022413014913e-23,4.0583485840572936e-36,1.3977489401605147e-41,7.562718805277595e-50,1.55744256972068e-48,7.521866203063876e-29,9.256128930081034e-27,3.2995816932617425e-44,1.0203810050805238e-49,1.6416601058668446e-56,5.196152918310532e-51,1.2633245142478966e-69,3.7109371338601494e-78
