Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5272337613900236e-16,0.11224537199999998,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999998,2.126886633959923e-16,1.661159814299011e-16,1.5709864219055998e-24,4.6572683536541174e-17,1.0282666004289863e-33,1.0429933251317028e-28,2.6803338890122013e-34,2.875840983391536e-37,2.6436016465460792e-39,1.0429932493271922e-28,2.1603848461309208e-28,9.993440296100126e-47,1.4728335319957717e-54,6.816639478654784e-64,6.0654671687923974e-65,2.130476936434082e-36,2.6215553176340953e-34,2.5809767833763106e-54,3.4138245743434557e-62,2.4371954693126315e-72,8.063312739698492e-66,-2.86560417611074e-86,-1.8193194138828246e-97,1.342840340011638e-78
9.876254531892067e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999994,0.6699999999999996,5.955282524194904e-16,4.651247797630206e-16,9.488749228914548e-24,1.3040348214197932e-16,1.0292440368337326e-32,6.299714908998087e-28,5.0972207811003675e-33,3.414215898216249e-36,3.9950107444971654e-38,6.299694857745455e-28,1.3048725172185657e-27,3.520768949631174e-45,9.487321947903338e-53,7.47814754264806e-62,1.2038958070485258e-62,2.5294685992038926e-35,3.1123069728413096e-33,7.278767294999653e-53,1.7670938724951854e-60,4.7899553649114786e-70,9.350759308848418e-64,1.0393335678519343e-84,1.6629465816476576e-95,1.2645954773375024e-76
2.2574296072896153e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999863,0.669999999999999,1.3612074101094051e-15,1.0631425034663525e-15,4.5684153758326923e-23,2.980649523116088e-16,7.531958911855273e-32,3.033093235132024e-27,7.577675719470989e-32,3.35215013800108e-35,4.297650114338618e-37,3.0330478167148607e-27,6.282400184877404e-27,1.0523099608189369e-43,5.67809424438484e-51,7.861386691183651e-60,2.530911639001682e-60,2.4835126979562974e-34,3.055674027467501e-32,1.5832907855767727e-51,7.715822988351728e-59,9.853106741236456e-68,1.0984627927052637e-61,2.142168430273922e-82,8.40460375650046e-93,1.105262915854414e-74
4.797037915490432e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999971,0.6699999999999978,2.8925656440614685e-15,2.2591784590206142e-15,1.995139178832204e-22,6.333873844866534e-16,4.382135592769149e-31,1.324688625468325e-26,8.982119221778044e-31,2.965056929604387e-34,3.950280613771298e-36,1.3246256558182683e-26,2.7436898419901346e-26,2.516454091324713e-42,2.7270814832641895e-49,6.082392623077627e-58,3.924329455764717e-58,2.1966518061049914e-33,2.70269588374445e-31,2.935153949123148e-50,2.872407120453223e-57,1.4646108372040585e-65,1.01968303087996e-59,3.394245312382479e-80,2.9209119099831444e-90,8.24560339807881e-73
9.876254531892066e-15,0.11224537200000015,0.0,0.0,0.0,0.0,0.329999999999994,0.6699999999999954,5.955281786259009e-15,4.651252402713341e-15,8.329247816949504e-22,1.3040302161860764e-15,2.1741855234684526e-30,5.530848486515171e-26,9.059198930138626e-30,2.4925322761372277e-33,3.379547785608028e-35,5.530168268908849e-26,1.1454370240797437e-25,5.115474687907608e-41,1.112913876702887e-47,3.5696594310275254e-56,4.61852834451459e-56,1.8464017553327658e-32,2.271756552428318e-30,5.0447785635623655e-49,9.89587584832544e-56,1.5918338754723524e-63,7.783441203339611e-58,4.818592195955048e-78,8.65123466855499e-88,5.687769635190874e-71
2.0034687764695334e-14,0.1122453720000003,0.0,0.0,0.0,0.0,0.3299999999999879,0.6699999999999906,1.2080712767863585e-14,9.435408420386081e-15,3.402715974935369e-21,2.6453077490317766e-15,9.76089145250724e-30,2.2599880367051654e-25,8.233592072650942e-29,2.0439123358382438e-32,2.794274723640054e-34,2.2593497200594982e-25,4.679488278079384e-25,9.35267734320408e-40,4.081077022964984e-46,1.674294112964277e-54,4.346116509429145e-54,1.5137501019567663e-31,1.8624868907008005e-29,8.361346723691682e-48,3.284078933873358e-54,1.2988241413963624e-61,5.044516014577054e-56,6.490295601357348e-76,2.3783736861415533e-85,3.777274515970701e-69
4.035155423030187e-14,0.1122453720000006,0.0,0.0,0.0,0.0,0.32999999999997565,0.669999999999981,2.4331569520197436e-14,1.900375297648457e-14,1.3753889226642075e-20,5.327830292906746e-15,4.142947940242204e-29,9.138970404282168e-25,7.043739780456693e-28,1.6558446226697118e-31,2.2722565963590677e-33,9.13342515784543e-25,1.891527447086758e-24,1.606222313350033e-38,1.404347146965431e-44,6.690367064757487e-53,3.4847625129100414e-52,1.2258009570831937e-30,1.5082312430168302e-28,1.3614273296130098e-46,1.0700683552263256e-52,8.222973950939515e-60,2.812798391807248e-54,8.520229063613193e-74,6.3081268545553196e-83,2.462244916968975e-67
8.098528716151494e-14,0.11224537200000123,0.0,0.0,0.0,0.0,0.32999999999995117,0.669999999999962,4.8833262183657287e-14,3.814057216852439e-14,5.530030346586827e-20,1.0692745296560091e-14,1.7074964140885505e-28,3.677756881187719e-24,5.8317970126468005e-27,1.3337888558247433e-30,1.8326553231239074e-32,3.673131154832559e-24,7.605776549346985e-24,2.6654635853688934e-37,4.665905564293213e-43,2.4167403684772222e-51,2.525138208815853e-50,9.865112920420679e-30,1.2138608628617538e-27,2.1973452267440225e-45,3.455179729332386e-51,4.190883814038005e-58,1.3534623621184571e-52,1.1043891184213603e-71,1.6441605801356432e-80,1.5903144776757954e-65
1.622527530239411e-13,0.11224537200000241,0.0,0.0,0.0,0.0,0.32999999999990215,0.6699999999999237,9.783656416408841e-14,7.64147308466234e-14,2.217510411314743e-19,2.142205499283225e-14,6.932650356240657e-28,1.4773670375856334e-23,4.746812216949345e-26,1.0719219812590797e-29,1.4720853035606612e-31,1.4735879454562464e-23,3.0502789319263497e-23,4.3441882873046805e-36,1.5217865272131437e-41,8.240224800705109e-50,1.7260594037713694e-48,7.914198121887079e-29,9.738946941176774e-27,3.531062025210968e-44,1.1106326984903751e-49,1.7965758293447883e-56,5.68505298990931e-51,1.4224788546315358e-69,4.250017706897298e-78,1.0224550760348947e-63
3.247876847487934e-13,0.11224537200000481,0.0,0.0,0.0,0.0,0.3299999999998041,0.6699999999998472,1.9584283488567472e-13,1.5296512917610197e-13,8.879373238480778e-19,4.287859334403344e-14,2.7933313892413637e-27,5.936573946619093e-23,3.8299942911645375e-25,8.614706337268014e-29,1.18005358445388e-30,5.906026328499176e-23,1.2217204988201013e-22,7.014535348786728e-35,4.915935746186295e-40,2.7236031224018237e-48,1.1428718477998255e-46,6.337888645978801e-28,7.800570774854319e-26,5.661944255094265e-43,3.5619854190808314e-48,6.810327294559059e-55,2.144029509410508e-49,1.8263674840726612e-67,1.6636459178489544e-75,6.558608506237357e-62
6.49857548198498e-13,0.11224537200000963,0.0,0.0,0.0,0.0,0.3299999999996081,0.669999999999694,3.9185404454413726e-13,3.06074248106123e-13,3.552275517974866e-18,8.578334750310693e-14,1.1209891247221894e-26,2.391696869855352e-22,3.076127292580463e-24,6.939068216641844e-28,9.449919405546462e-30,2.3671402308996615e-22,4.890209232164802e-22,1.1271249647866579e-33,1.5800788509703464e-38,8.856707124405353e-47,7.440217292957515e-45,5.069203764081755e-27,6.241298733926452e-25,9.068819655528308e-42,1.1410984391684348e-46,2.389366438643389e-53,7.518695351474711e-48,2.3410934548542503e-65,4.299414169243582e-73,4.2022387946735096e-60
1e-12,0.11224537200001927,0.0,0.0,0.0,0.0,0.329999999999397,0.669999999999529,6.02980704556452e-13,4.710105710744003e-13,9.286465982026043e-18,1.3197941678890128e-13,2.9342919639943665e-26,6.3244249472946915e-22,1.4690540376906126e-23,3.347252695553754e-27,4.509562472489342e-29,6.207108820004334e-22,1.279534283426815e-21,1.0247089978853822e-32,2.800344527476092e-37,1.5786545519965596e-45,2.619452699957347e-43,2.4145492176458645e-26,2.9747348313710037e-24,8.237120301855892e-41,2.0202793238028838e-45,4.428779572146572e-52,1.3942348858367765e-46,1.6254818139562774e-63,6.0279009360053595e-71,1.4686104657303009e-58
1.2999972750979072e-12,0.11224537200001927,0.0,0.0,0.0,0.0,0.3299999999992161,0.6699999999993876,7.838711460848706e-13,6.1232576207901e-13,1.4199442130039575e-17,1.7155957861923258e-13,4.487905094621956e-26,9.693932702960017e-22,2.4641611031813305e-23,5.620603236065768e-27,7.563637866583327e-29,9.497141511744387e-22,1.9568353440992114e-21,1.8060951563279558e-32,5.0642625086480915e-37,2.8553411736367046e-45,4.800017264940921e-43,4.048979579702951e-26,4.9887010859538855e-24,1.4517568489143366e-40,3.653459324966496e-45,8.018579823746667e-52,2.524377156173275e-46,2.9981142835789357e-63,1.1155687414825938e-70,2.6908916653400283e-58
2.6002767288967255e-12,0.11224537200003852,0.0,0.0,0.0,0.0,0.32999999999843205,0.669999999998775,1.5678841526997143e-12,1.2249617907857133e-12,5.669302124677781e-17,3.429790357329327e-13,1.7932501488971244e-25,3.977167172446817e-21,1.9700550709203707e-22,4.6046498172438945e-26,6.052238814036869e-28,3.819819629228622e-21,7.829532501165608e-21,2.888192568316536e-31,1.6197907742719218e-35,9.159673369141132e-44,3.080540490990426e-41,3.227171557812566e-25,3.981770539025529e-23,2.3233072481109724e-39,1.1693684158200345e-43,2.625948171387979e-50,8.270413661304487e-45,3.83695286918682e-61,2.928232654884223e-68,1.7225667190267181e-56
3.9005561826955435e-12,0.11224537200005773,0.0,0.0,0.0,0.0,0.329999999997648,0.6699999999981621,2.3518760372239507e-12,1.8377307166436705e-12,1.2031139365374565e-16,5.142655913368586e-13,3.806429386377866e-25,8.596904964996905e-21,5.629073540952782e-22,1.3342969375656648e-25,1.7968533692489816e-27,8.147318948011383e-21,1.6639899118692293e-20,1.062448911609625e-30,7.392039886645325e-35,4.182478707711987e-43,1.692829841122294e-40,9.207601409921289e-25,1.1369626113872159e-22,8.789885287963263e-39,5.4552756538140145e-43,1.2039093452062627e-49,3.792073856325889e-44,2.534148545404141e-60,1.7925499310195775e-67,9.633064479352893e-56
5.200835636494362e-12,0.1122453720000769,0.0,0.0,0.0,0.0,0.32999999999686397,0.6699999999975491,3.1358468737723864e-12,2.450632436123915e-12,2.0498036822727817e-16,6.854193489590932e-13,6.485979651780543e-25,1.4893017769717932e-20,1.1864419031121353e-21,2.848096950410064e-25,3.9153237534823214e-27,1.3945454718707178e-20,2.838853583797045e-20,2.693006336233452e-30,2.202302834174468e-34,1.2465239805358801e-42,5.82005671220042e-40,1.938281561472472e-24,2.39513407528746e-22,2.288030743307004e-38,1.6611607280793258e-42,3.597113802962258e-49,1.1330908950162042e-43,1.111136940161655e-59,1.0924373481397741e-66,3.372098209978456e-55
