Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5855390958319323e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999999,2.1620441664545095e-16,1.688618863201317e-16,1.6233526103141546e-24,4.7342531948117696e-17,1.076426904212433e-33,1.0777598531718436e-28,2.8522522534164104e-34,3.0208249595251887e-37,2.776877184675678e-39,1.077759736754674e-28,2.232397676389916e-28,1.0810213620746295e-46,1.6195454364180179e-54,7.609297844099389e-64,6.882709693282944e-65,2.2378835373787908e-36,2.753719346535873e-34,2.7559096529642247e-54,3.705461437189974e-62,2.765013033791891e-72,9.011520959877301e-66,-3.2140877997192836e-86,-2.0742960579996796e-97,1.481650193436347e-78,4.910254090036242e-86
1.003950946832941e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999994,0.6699999999999995,6.053723613483324e-16,4.728133145143091e-16,9.805040565303144e-24,1.3255905663571605e-16,1.0752063032598149e-32,6.509706884638298e-28,5.413457892193843e-33,3.586342246506774e-36,4.196416733396884e-38,6.509685229874701e-28,1.3483682702318438e-27,3.801223730307479e-45,1.041268459537854e-52,8.324275141094023e-62,1.362288084106339e-62,2.6569900264973597e-35,3.26921187071425e-33,7.772105960230583e-53,1.9180535071601301e-60,5.4181807869965536e-70,1.042937866145148e-63,1.1657260115617516e-84,1.8960076803490512e-95,1.3953170952593062e-76,8.372558851737028e-84
2.2947450213324367e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999863,0.6699999999999989,1.3837082297184462e-15,1.0807163021743241e-15,4.720695589327789e-23,3.029919747349606e-16,7.845834997802857e-32,3.1341983108324096e-27,8.025541607269914e-32,3.5211487725216736e-35,4.514313476903467e-37,3.134149944251988e-27,6.491813548323043e-27,1.1330350775297934e-43,6.215020336983237e-51,8.712130162382318e-60,2.851241946442199e-60,2.608717126146921e-34,3.2097236841154724e-32,1.690602713504334e-51,8.374971788534655e-59,1.1092287343930142e-67,1.2214930928102588e-61,2.4026756327875557e-82,9.582506385404407e-93,1.2195142043452732e-74,1.4633211486454066e-81
4.876333170331428e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999971,0.6699999999999977,2.9403798823166666e-15,2.2965228025801794e-15,2.0616435536375664e-22,6.438572858304535e-16,4.551683382475803e-31,1.3688469743075033e-26,9.486320475019299e-31,3.1145428034590284e-34,4.1494315540738784e-36,1.3687803163465037e-26,2.835146191239814e-26,2.701972910602454e-42,2.9767057853069325e-49,6.705580565939889e-58,4.3981180402273566e-58,2.3073940663298064e-33,2.8389501665645626e-31,3.134092149641512e-50,3.1177916589178755e-57,1.6391933939039511e-65,1.1301215938798202e-59,3.80701640603846e-80,3.3302784344802986e-90,9.097952257569311e-73,2.1855062952103592e-79
1.0039509468329411e-14,0.11224537200000015,0.0,0.0,0.0,0.0,0.32999999999999396,0.6699999999999953,6.053722850949784e-15,4.7281379037286946e-15,8.606887187690952e-22,1.325585807615956e-15,2.2533028259549963e-30,5.715228738019143e-26,9.546403081710818e-30,2.6181997043262382e-33,3.549925577576552e-35,5.714511178600377e-26,1.183618276021595e-25,5.480326719959927e-41,1.2120673340596688e-47,3.9155031263018786e-56,5.150050358163279e-56,1.9394859783560109e-32,2.3862849832644074e-30,5.386702403943747e-49,1.0741262561455668e-55,1.7705490838276495e-63,8.598346324377742e-58,5.404576629696872e-78,9.863717620000221e-88,6.275713427666764e-71,3.016765780350481e-77
2.0365862064325378e-14,0.1122453720000003,0.0,0.0,0.0,0.0,0.32999999999998775,0.6699999999999904,1.2280407442000375e-14,9.591376507320923e-15,3.516138018142199e-21,2.6890344496170457e-15,1.0102033127906876e-29,2.3353366360954793e-25,8.663773908149027e-29,2.1469683505603296e-32,2.935146326698822e-34,2.3346646300096234e-25,4.835471366664386e-25,1.0004866341415201e-39,4.4380135543220095e-46,1.8290024861947068e-54,4.8265374902129934e-54,1.590063270083474e-31,1.9563817517698817e-29,8.928060090796555e-48,3.5646318105241846e-54,1.4360802347624622e-61,5.554917865323933e-56,7.27957378467432e-76,2.711711768080823e-85,4.167728714418264e-69,4.0080342503069226e-75
4.101856725631731e-14,0.1122453720000006,0.0,0.0,0.0,0.0,0.3299999999999753,0.6699999999999806,2.4733771239540137e-14,1.9317887319270043e-14,1.421233744165306e-20,5.415898127755684e-15,4.284465101524595e-29,9.443730537322994e-25,7.405573176617635e-28,1.739344977823995e-31,2.386810962911296e-33,9.437899002087044e-25,1.954578480208355e-24,1.7167400105030003e-38,1.5258261214541672e-44,7.288144399087203e-53,3.8591538413996284e-52,1.287596350786004e-30,1.5842657418972552e-28,1.4537018052363548e-46,1.161482327068121e-52,9.04345695329082e-60,3.0872109654788387e-54,9.556364009583245e-74,7.192263890689742e-83,2.7167627826356363e-67,5.226080033613776e-73
8.232397764030116e-14,0.11224537200000123,0.0,0.0,0.0,0.0,0.3299999999999504,0.6699999999999612,4.964047729878293e-14,3.8771043358898015e-14,5.714352813383418e-20,1.0869491063907703e-14,1.765120854827631e-28,3.800451822935017e-24,6.128637839836537e-27,1.4010664644605942e-30,1.9250474382833985e-32,3.795590057420878e-24,7.859303385825683e-24,2.847525393190494e-37,5.067076978434514e-43,2.6282483407469453e-51,2.791701942250754e-50,1.0362414578919087e-29,1.2750536136811761e-27,2.3462762630997722e-45,3.7503492696159337e-51,4.5882481822446416e-58,1.4806077955774844e-52,1.2386922157361575e-71,1.874618581659915e-80,1.7546990230919258e-65,6.751313547900117e-71
1.6493479840826888e-13,0.11224537200000244,0.0,0.0,0.0,0.0,0.3299999999999006,0.6699999999999223,9.945380329318917e-14,7.767789307444274e-14,2.2914178958637334e-19,2.1776139282340608e-14,7.165158804488399e-28,1.52669531628604e-23,4.987271488737475e-26,1.1260192238347714e-29,1.546299463777112e-31,1.522724549266831e-23,3.151955659800175e-23,4.639773390199277e-36,1.6522111629676393e-41,8.953054483440523e-50,1.9064622718431313e-48,8.313120287338421e-29,1.0229877079357317e-26,3.7703891120435214e-44,1.2055119012579177e-49,1.9601699710009937e-56,6.201262312891002e-51,1.5954634567451742e-69,4.845809949218148e-78,1.128137826082062e-63,8.681474508899873e-69
