Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6429113642784286e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999999,2.1966390694940774e-16,1.7156384822985521e-16,1.675718797491354e-24,4.810006039469923e-17,1.1251586398500448e-33,1.112526386187342e-28,3.029083811938865e-34,3.1681666742448347e-37,2.9123200415629507e-39,1.1125262263796028e-28,2.304410506747527e-28,1.1664114558138363e-46,1.7754350084178442e-54,8.463988635926309e-64,7.778301765606455e-65,2.347036773274282e-36,2.8880326152081807e-34,2.936578026368573e-54,4.011557383151661e-62,3.1241766060157406e-72,1.003529159001379e-65,-3.591837910651046e-86,-2.3551789523775295e-97,1.629710767950469e-78,5.487353785215354e-86,2.3772568437138267e-96
1.02001518199796e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999994,0.6699999999999995,6.150589340297685e-16,4.80378808920178e-16,1.012133188707312e-23,1.346801352274668e-16,1.1215988360083601e-32,6.719698944159427e-28,5.738009295897176e-33,3.7612677596673436e-36,4.401097974261511e-38,6.719675628091986e-28,1.3918640233622018e-27,4.093811864159921e-45,1.1393940883746824e-52,9.233850903548152e-62,1.5353479950695823e-62,2.786585188964166e-35,3.428668338264438e-33,8.28161966309803e-53,2.0764975793547924e-60,6.10430060767759e-70,1.1591459595077875e-63,1.3027331940567577e-84,2.1527483601355834e-95,1.534750444578037e-76,9.356581477771537e-84,7.319691357746002e-94
2.3314632731381944e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999863,0.6699999999999988,1.405848966476274e-15,1.09800886580705e-15,4.872975788470308e-23,3.078401493823447e-16,8.161663139328393e-32,3.235303491610206e-27,8.483842784263171e-32,3.6928957973230077e-35,4.734500205758709e-37,3.235252097402382e-27,6.70122691291819e-27,1.2170146427774484e-43,6.782794869521931e-51,9.622414644083195e-60,3.1996270126510056e-60,2.7359576002357485e-34,3.366278470527259e-32,1.8014330650468393e-51,9.066800569127787e-59,1.243891171668466e-67,1.3536328901885704e-61,2.6850608484222707e-82,1.0880087102260409e-92,1.3413796549991995e-74,1.6353045433048422e-81,2.5573200249407553e-91
4.954359455418663e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999971,0.6699999999999976,2.987428944513038e-15,2.3332695216048466e-15,2.1281479157483644e-22,6.541596356503231e-16,4.721822278957198e-31,1.4130054274400148e-26,1.0000886986066125e-30,3.2664599014006767e-34,4.351821074439404e-36,1.4129349995291627e-26,2.926602541506226e-26,2.8944562230104505e-42,3.2399689177883233e-49,7.368878876751254e-58,4.9107165679809414e-58,2.4199371731697973e-33,2.9774201789821756e-31,3.3395529131694215e-50,3.3753421325043974e-57,1.8277844674519574e-65,1.24834481916164e-59,4.2544529867280964e-80,3.7812379530496085e-90,1.0007106085469057e-72,2.442367735645394e-79,7.640752693909763e-89
1.0200151819979601e-14,0.11224537200000015,0.0,0.0,0.0,0.0,0.3299999999999939,0.6699999999999952,6.1505885531665136e-15,4.803793001289837e-15,8.884526451729061e-22,1.3467964400259904e-15,2.332557674113594e-30,5.899609902084587e-26,1.0042679001481702e-29,2.7459112506718205e-33,3.72307404197906e-35,5.898854278712247e-26,1.221799528818068e-25,5.858128239270304e-41,1.3164272836261422e-47,4.281810921384942e-56,5.722313644795257e-56,2.034083868385873e-32,2.502675819030379e-30,5.7398368587885106e-49,1.1628562750539616e-55,1.9624144776500042e-63,9.467905761121899e-58,6.039773388432036e-78,1.1199394408479875e-87,6.902842287276169e-71,3.371324698463925e-77,2.1089730122510225e-86
2.0691736549101477e-14,0.1122453720000003,0.0,0.0,0.0,0.0,0.3299999999999876,0.6699999999999902,1.247690638083273e-14,9.744848632962841e-15,3.629559973870667e-21,2.7320613761907183e-15,1.0443460459926116e-29,2.410685992048983e-25,9.101477249983709e-29,2.251701127732e-32,3.0783087736621903e-34,2.409979696071724e-25,4.991454462256037e-25,1.0679379754060236e-39,4.8132124435752825e-46,1.992253220527796e-54,5.341837440214655e-54,1.6676173348267663e-31,2.05180344407065e-29,9.513354213222011e-48,3.8590942316338874e-54,1.5825821294645484e-61,6.097828105871263e-56,8.135137302151213e-76,3.078919372717889e-85,4.584207663487233e-69,4.4790963693993535e-75,5.5994293677435445e-84
4.167490600734523e-14,0.1122453720000006,0.0,0.0,0.0,0.0,0.3299999999999749,0.6699999999999803,2.51295364779181e-14,1.9626994585084533e-14,1.467078494829799e-20,5.502556558610171e-15,4.426039767547761e-29,9.748496814103967e-25,7.77351461302916e-28,1.824204630390953e-31,2.5032282030087822e-33,9.742374110464698e-25,2.0176295190040148e-24,1.8309634287713952e-38,1.6534280518081394e-44,7.917401006087378e-53,4.259734279200698e-52,1.350396489641649e-30,1.6615365773517449e-28,1.549001669977153e-46,1.2574285149030844e-52,9.914706944702919e-60,3.378139464086683e-54,1.067951568740324e-73,8.166239940385411e-83,2.9882473777327044e-67,5.840298243072635e-73,1.4575824197761798e-81
8.364124492383272e-14,0.11224537200000123,0.0,0.0,0.0,0.0,0.3299999999999496,0.6699999999999605,5.0434774441626995e-14,3.9391425240939337e-14,5.898674710116151e-20,1.1043408167300333e-14,1.8227567026208934e-28,3.9231517124020855e-24,6.430397707341592e-27,1.4694404263449555e-30,2.0189420241340003e-32,3.918049977336166e-24,8.112830267972465e-24,3.0356248655318117e-37,5.488306180918957e-43,2.8505836296531637e-51,3.076499468524385e-50,1.0867800624883631e-29,1.3372412649811546e-27,2.5000902728659568e-45,4.060153018360525e-51,5.008409724542268e-58,1.6149712247465468e-52,1.3842743148399979e-71,2.128496176771226e-80,1.9300450078840093e-65,7.544791123020243e-71,3.7519986359981096e-79
1.675739227568077e-13,0.11224537200000248,0.0,0.0,0.0,0.0,0.329999999999899,0.669999999999921,1.0104516146740458e-13,7.892084153116566e-14,2.3653249231179963e-19,2.2124556388014396e-14,7.397689020598694e-28,1.5760275646589015e-23,5.231677507640272e-26,1.1809998666943682e-29,1.621720483238276e-31,1.571861969162037e-23,3.2536324243169943e-23,4.94510476120705e-36,1.7891293043953897e-41,9.701811293344978e-50,2.099052166947211e-48,8.718525365337183e-29,1.0728787286185387e-26,4.017562952001901e-44,1.3050951123522454e-49,2.1326149388514824e-56,6.745322189827654e-51,1.7829754779357568e-69,5.502159477930116e-78,1.2408717932925293e-63,9.701801487091323e-69,9.577832843759634e-77
