Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.699393978510342e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999999,2.230697519947902e-16,1.7422391164793752e-16,1.728084983456597e-24,4.884584207434763e-17,1.174447909803821e-33,1.1472929241487791e-28,3.21080012481026e-34,3.3178289869388097e-37,3.04989607552939e-39,1.1472927181673629e-28,2.3764233372021995e-28,1.2555549894261718e-46,1.9407550358814217e-54,9.383338046819524e-64,8.756887181660473e-65,2.4579091293085174e-36,3.024461266654628e-34,3.122981903584439e-54,4.332343791836861e-62,3.5165351665902996e-72,1.1137948145550088e-65,-4.000281865910119e-86,-2.663666134236408e-97,1.7873204287063846e-78,6.1113453507951896e-86,2.6886329220867104e-96,-1.1809550843862976e-109
1.0358303139828957e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999994,0.6699999999999995,6.245952999871967e-16,4.878269875494513e-16,1.0437623194454769e-23,1.367683228718049e-16,1.1684089582738678e-32,6.929691086829978e-28,6.0708030050042356e-33,3.938948344768111e-36,4.6090028721864734e-38,6.929666051986347e-28,1.4353597766077952e-27,4.398636317044987e-45,1.2432500863481555e-52,1.0209336325653986e-61,1.723894233791282e-62,2.918221418813118e-35,3.590636180465766e-33,8.807308403575197e-53,2.2425458578181064e-60,6.851516656287203e-70,1.284046894091568e-63,1.4508728071196813e-84,2.4347207106288014e-95,1.6831764718076046e-76,1.0420560238732483e-83,8.278426957300814e-94,1.4380299513731954e-107
2.367612146246619e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999863,0.6699999999999988,1.4276463735792267e-15,1.1150332790932717e-15,5.0252559734863536e-23,3.1261314472135706e-16,8.479372749162556e-32,3.336408776208486e-27,8.952454698631931e-32,3.867347922274949e-35,4.958154797460405e-37,3.3363542757625564e-27,6.91064027864474e-27,1.304266471378371e-43,7.382105214880413e-51,1.0594240018706855e-59,3.577488715425141e-60,2.8652020458247715e-34,3.5252989229878783e-32,1.9157818401924045e-51,9.791832287222693e-59,1.389831690833441e-67,1.4952298960055507e-61,2.990391090213789e-82,1.2305190299311631e-92,1.4711047512338272e-74,1.821262339451361e-81,2.892273366782625e-91,1.1598228956284537e-104
5.031175810774065e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.329999999999997,0.6699999999999976,3.0337484311927994e-15,2.369446421143192e-15,2.1946522653645797e-22,6.643022294399043e-16,4.892527392594019e-31,1.4571639833786773e-26,1.0525671046228308e-30,3.420769934196505e-34,4.5573981576404997e-36,1.4570897050093642e-26,3.0180588927733517e-26,3.0939251543705685e-42,3.5171401996223176e-49,8.073412490720928e-58,5.463877498362148e-58,2.53425275679913e-33,3.1180710157883063e-31,3.5515362396623754e-50,3.6452532249549127e-57,2.030989398117914e-65,1.3746231737593021e-59,4.738245724771546e-80,4.276516739449202e-90,1.0974895288085894e-72,2.7201002884722933e-79,8.641493649460485e-89,7.36440851171024e-102
1.0358303139828958e-14,0.11224537200000015,0.0,0.0,0.0,0.0,0.3299999999999938,0.669999999999995,6.2459521881431706e-15,4.8782749410850105e-15,9.162165610744789e-22,1.3676781629619119e-15,2.411943820682718e-30,6.083991964743438e-26,1.0547887857435497e-29,2.875634730921559e-33,3.898949532503431e-35,6.083197566244662e-26,1.2599807824557007e-25,6.248899097873951e-41,1.4260876334633414e-47,4.669059660343073e-56,6.336960849380343e-56,2.130171578722125e-32,2.6208997197949215e-30,6.104181927942915e-49,1.2558447130098121e-55,2.1679135398702492e-63,1.039384011538425e-57,6.726582603773262e-78,1.2666340131451978e-87,7.570417471137057e-71,3.754693072980095e-77,2.3851765008793396e-86,4.186536899677057e-99
2.101255779793874e-14,0.1122453720000003,0.0,0.0,0.0,0.0,0.32999999999998736,0.66999999999999,1.2670358268978155e-14,9.895940924279422e-15,3.742981843498931e-21,2.7744210864027107e-15,1.0785160189965528e-29,2.486036092734211e-25,9.546584479258847e-29,2.35808428079766e-32,3.223725976915264e-34,2.485294915786384e-25,5.147437564743964e-25,1.1376234385597954e-39,5.206985166481353e-46,2.164217276150802e-54,5.8933016482772e-54,1.7463927451606609e-31,2.148727912954887e-29,1.0117229090457141e-47,4.167688782573388e-54,1.7386153390508713e-61,6.674162701701725e-56,9.060218945518505e-76,3.482216671565809e-85,5.027547181370731e-69,4.988434331617928e-75,6.3326711339648435e-84,2.256853551693067e-96
4.2321067114158315e-14,0.11224537200000062,0.0,0.0,0.0,0.0,0.32999999999997454,0.6699999999999801,2.5519164698715864e-14,1.9931308663454306e-14,1.5129231757737508e-20,5.5878711593284755e-15,4.567669256430831e-29,1.0053269138005282e-24,8.147468033333262e-28,1.9104022118586185e-31,2.6214789708024316e-33,1.0046850463061393e-24,2.080680563384354e-24,1.9488939358762378e-38,1.7872541864639223e-44,8.578706165294296e-53,4.6874132740751356e-52,1.4141855406989036e-30,1.7400242693028783e-28,1.6473269236688217e-46,1.3579794447221561e-52,1.0838033847145454e-59,3.6859922999101167e-54,1.1893927959042182e-73,9.235944514119102e-83,3.2772412048589863e-67,6.504424334637365e-73,1.6484039659585725e-81,1.1854140812969772e-93
8.493808574659745e-14,0.11224537200000129,0.0,0.0,0.0,0.0,0.32999999999994883,0.66999999999996,5.121675463310801e-14,4.000218722929208e-14,6.082996045768077e-20,1.1214628213012867e-14,1.8804034211946456e-28,4.045856471658667e-24,6.736999138418304e-27,1.5388935422303303e-30,2.1143154121853115e-32,4.040510898547491e-24,8.366357195067877e-24,3.2297630905371424e-37,5.929919487874523e-43,3.0839309021084035e-51,3.3801424259144955e-50,1.1381143620873748e-29,1.4004081375018336e-27,2.65878725550455e-45,4.38482515623027e-51,5.451866215174649e-58,1.7567081017491773e-52,1.5416854953573144e-71,2.4073289250322245e-80,2.11669981145003e-65,8.4027421386813e-71,4.2429515583107e-79,6.146886072121376e-91
1.7017212301147572e-13,0.11224537200000252,0.0,0.0,0.0,0.0,0.32999999999989743,0.6699999999999198,1.0261184282272082e-13,8.014451668167146e-14,2.4392315002858657e-19,2.2467569980961113e-14,7.630239947268771e-28,1.6253637201376472e-23,5.479968071002593e-26,1.2368501084875206e-29,1.6983293501255968e-31,1.6210001922780535e-23,3.3553092248994886e-23,5.260183225703981e-36,1.932645703384075e-41,1.0487089015961629e-49,2.3042302170885837e-48,9.130311095394407e-29,1.1235551745512965e-26,4.27258354335677e-44,1.4094576061774604e-49,2.314080507266133e-56,7.317765704923011e-51,1.9857234122093674e-69,6.223038202228793e-78,1.3608764439107989e-63,1.0805034287053185e-68,1.0829862992730419e-76,3.1670455126542863e-88
