Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7550270849207236e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999999,2.264243725689119e-16,1.768439672789762e-16,1.780451168228389e-24,4.958040706977899e-17,1.2242815112999652e-33,1.182059467027506e-28,3.3973734763047826e-34,3.469776458944873e-37,3.1895727094156976e-39,1.1820592120849244e-28,2.448436167752453e-28,1.348491605877358e-46,2.1157566739288598e-54,1.036999251755684e-63,9.82322310072899e-65,2.570474351517018e-36,3.16297299535268e-34,3.3151212846069636e-54,4.668048454050388e-62,3.9439821773841214e-72,1.2322846987214515e-65,-4.44086950470231e-86,-3.0015095470204784e-97,1.9547775846344453e-78,6.784443747924195e-86,3.0296397285162254e-96,-1.350752480098835e-109,-1.537116755575479e-110
1.0514075837778027e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999994,0.6699999999999995,6.339882374250948e-16,4.951631443750024e-16,1.075391448766782e-23,1.3882510380033517e-16,1.215624684000011e-32,7.139683311940986e-28,6.411769232642055e-33,4.1193419294193994e-36,4.820082196568629e-38,7.139656501165647e-28,1.4788555299668637e-27,4.715796907586087e-45,1.3529761479108012e-52,1.125320144547975e-61,1.9287623208890658e-62,3.0518675452323525e-35,3.755077044201878e-33,9.34917218163566e-53,2.4163162536209334e-60,7.663094481377135e-70,1.4179898192151494e-63,1.6106706966570562e-84,2.7435260944335957e-95,1.8408761981085432e-76,1.1568271902590773e-83,9.328395437908365e-94,1.644789488242808e-107,1.8714523061168365e-108
2.4032173343492632e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999986,0.6699999999999988,1.4491159440661103e-15,1.1318016425424142e-15,5.1775361445916566e-23,3.173143532813801e-16,8.798897583098006e-32,3.437514163416828e-27,9.431257397611566e-32,4.0444638409998697e-35,5.1852242919722215e-37,3.437456478947511e-27,7.120053645485408e-27,1.3948077203296588e-43,8.013630241358162e-51,1.1629601226316902e-59,3.9862703726351296e-60,2.9964198583034637e-34,3.6867473861802645e-32,2.0336490389293298e-51,1.0550581788605151e-58,1.547591337085333e-67,1.646633064507493e-61,3.319750177621394e-82,1.3865909401480026e-92,1.6089351069310701e-74,2.0218546247653094e-81,3.259099981653887e-91,1.3265818792290802e-104,1.5088960142003552e-105
5.106836835492184e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.32999999999999696,0.6699999999999976,3.0793712650634165e-15,2.4050792147777418e-15,2.2611566026770283e-22,6.742922763241347e-16,5.0637755436624925e-31,1.501322640698763e-26,1.1060531146120386e-30,3.577436367197779e-34,4.766114124279559e-36,1.5012444324465808e-26,3.109515245025909e-26,3.300399943812346e-42,3.808485088439395e-49,8.820297050305653e-58,6.059370124132819e-58,2.650313747419959e-33,3.2608693712814536e-31,3.770042129076562e-50,3.9277166003757753e-57,2.2494177536250926e-65,1.509227180521387e-59,5.260111920026107e-80,4.818927619653503e-90,1.2003152220243877e-72,3.019689810419334e-79,9.737457994329036e-89,8.423260651700575e-102,9.574599732813419e-103
1.0514075837778027e-14,0.11224537200000015,0.0,0.0,0.0,0.0,0.3299999999999937,0.669999999999995,6.339881537924537e-15,4.9516366628429466e-15,9.439804666342077e-22,1.3882458187397695e-15,2.491455476463057e-30,6.268374912650525e-26,1.1061897007653546e-29,3.0073394356463414e-33,4.0775104029001407e-35,6.267541038335282e-26,1.2981620369216461e-25,6.652658262494517e-41,1.5411408676574235e-47,5.077720265048642e-56,6.995643373797745e-56,2.227726355423378e-32,2.7409286901091418e-30,6.4797376112556e-49,1.353157601154899e-55,2.3875299838451693e-63,1.1377864731888414e-57,7.467442211351725e-78,1.4272886263929595e-87,8.279702926003719e-71,4.168231730738433e-77,2.6876590828163813e-86,4.788475428099675e-99,5.435862705682964e-100
2.132855384234971e-14,0.11224537200000033,0.0,0.0,0.0,0.0,0.3299999999999872,0.6699999999999899,1.2860900607156051e-14,1.0044760773291802e-14,3.856403628341983e-21,2.8161436889512885e-15,1.1127120053102729e-29,2.5613869268580022e-25,9.998983328273211e-29,2.46609263234806e-32,3.371363502533577e-34,2.5606102868068843e-25,5.303420674022845e-25,1.2095446275375208e-39,5.6196383957668055e-46,2.3450631350230202e-54,6.48221887932269e-54,1.8263708459716622e-31,2.247132206062283e-29,1.0739684721998937e-47,4.490634596302987e-54,1.9044638549931808e-61,7.284831568711015e-56,1.0058102425179428e-75,3.9238943321811995e-85,5.498586659676363e-69,5.537856109203709e-75,7.135663354433961e-84,2.5813426720205458e-96,2.922676682712894e-97
4.295750985149308e-14,0.11224537200000066,0.0,0.0,0.0,0.0,0.32999999999997415,0.6699999999999797,2.590293284000207e-14,2.0231045850985324e-14,1.558767788062081e-20,5.671902571373292e-15,4.709351088072987e-29,1.0358047416826764e-24,8.52734177500083e-28,1.997917332912497e-31,2.741535265196734e-33,1.0351328040872803e-24,2.1437316132640785e-24,2.0705328367878486e-38,1.9274042055237096e-44,9.272620484898386e-53,5.1431014875957026e-52,1.4789483965407998e-30,1.8197102303345585e-28,1.748677566147354e-46,1.4632065175985394e-52,1.1814734318697364e-59,4.011173687316134e-54,1.3203911529091057e-73,1.0407454168330406e-82,3.5842914259922785e-67,7.220815715020251e-73,1.857370846690424e-81,1.3558518850268384e-93,1.527158399566477e-94
8.621542186977982e-14,0.11224537200000129,0.0,0.0,0.0,0.0,0.32999999999994806,0.6699999999999593,5.1986973685993055e-14,4.060376342973198e-14,6.267316828910602e-20,1.1383272908036783e-14,1.9380605146963928e-28,4.168566026344015e-24,7.04836820505761e-27,1.6094094010125924e-30,2.2111450185394244e-32,4.1629728057585225e-24,8.61988416642543e-24,3.429941105902406e-37,6.3922381542536564e-43,3.3284719731110596e-51,3.7032428549317337e-50,1.1902321969183882e-29,1.4645392704748313e-27,2.822367210485877e-45,4.724596231598102e-51,5.91910880030999e-58,1.905971829640089e-52,1.7114845006153167e-71,2.712701174424493e-80,2.315016832408883e-65,9.328211985472819e-71,4.7805548111004056e-79,7.030676274696217e-91,7.837501928493139e-92
1.727312459063533e-13,0.11224537200000255,0.0,0.0,0.0,0.0,0.3299999999998959,0.6699999999999185,1.0415496092130136e-13,8.134978825007598e-14,2.513137634245351e-19,2.280542389922917e-14,7.862810607395762e-28,1.6747037230224584e-23,5.732083826246665e-26,1.2935567802998587e-29,1.7761079238241836e-31,1.6701392063405418e-23,3.4569860609967904e-23,5.585009569298556e-36,2.0828634860934807e-41,1.130947223134951e-49,2.5223976789110786e-48,9.548379903041362e-29,1.1750050406633034e-26,4.535450884405613e-44,1.5186734895701198e-49,2.5047339342561927e-56,7.919118088282808e-51,2.2044269115548028e-69,7.012544333145215e-78,1.4883789842630724e-63,1.199508889177867e-68,1.2200686349661737e-76,3.622394805914618e-88,3.956685749120772e-89
3.4576289397950025e-13,0.11224537200000512,0.0,0.0,0.0,0.0,0.3299999999997915,0.6699999999998371,2.0849055774218412e-13,1.6284419629749032e-13,1.006296267671497e-18,4.564736739774975e-14,3.1668700959017537e-27,6.730955747188638e-23,4.622887710790357e-25,1.0397957748861234e-28,1.4237639248463726e-30,6.694080058554893e-23,1.3846191861923957e-22,9.01376997875447e-35,6.725110107067639e-40,3.7311915462011794e-48,1.6669721011827491e-46,7.646340931990177e-28,9.411207507508646e-26,7.27244605536768e-43,4.8706384652507793e-48,9.413441613014541e-55,2.9631160461653866e-49,2.8303234885519634e-67,2.745809688013536e-75,9.547228318143599e-62,1.5388812748186743e-66,3.0833423700137165e-74,1.8602933620796078e-85,1.953261123441381e-86
6.918261901257941e-13,0.11224537200001025,0.0,0.0,0.0,0.0,0.32999999999958285,0.6699999999996741,4.171602421993766e-13,3.258424440622188e-13,4.025650713726798e-18,9.1321822416322e-14,1.2706122366107711e-26,2.7128602768210396e-22,3.712034445475277e-24,8.378714246414566e-28,1.1401555981793325e-29,2.683225679150486e-22,5.542258107784434e-22,1.4479906163586344e-33,2.1610010284319567e-38,1.212151595858306e-46,1.0841189507268518e-44,6.1153509384442674e-27,7.529678322876364e-25,1.1648373290269656e-41,1.5603300396259092e-46,3.28584576296034e-53,1.0339970032197157e-47,3.6279621854654276e-65,7.098962726470356e-73,6.117006509662433e-60,1.9719718650749727e-64,7.670893056926447e-72,9.537080980260188e-83,9.293837997135234e-84
1e-12,0.11224537200002052,0.0,0.0,0.0,0.0,0.32999999999939705,0.6699999999995289,6.029805933848719e-13,4.710112682392304e-13,9.39765221255648e-18,1.319787196012341e-13,2.9694887161552135e-26,6.404807522930179e-22,1.529699308873078e-23,3.4889268618063825e-27,4.6957713375160327e-29,6.28264727442272e-22,1.2949266516401566e-21,1.1132524494584449e-32,3.203252855094491e-37,1.8063364948480216e-45,3.1725861527861938e-43,2.5138615418189923e-26,3.097268078535395e-24,8.948856113074447e-41,2.310928316355229e-45,5.078275810195187e-52,1.598766116397817e-46,2.0888118383448717e-63,8.247359574196579e-71,1.7779472319296827e-58,1.1353985050586413e-62,8.306876350530402e-70,2.1799458815021713e-80,1.8581448505897222e-81
1.3839527824183819e-12,0.11224537200002052,0.0,0.0,0.0,0.0,0.3299999999991655,0.669999999999348,8.344935856691765e-13,6.51876650621725e-13,1.6090612018171722e-17,1.8263302018900015e-13,5.086113589542386e-26,1.1004593008478457e-21,2.973065669919626e-23,6.791868509769082e-27,9.125701826697372e-29,1.0767155342015193e-21,2.2177635043388894e-21,2.3198454855401635e-32,6.9249370929723885e-37,3.905823877148939e-45,6.9902312425623785e-43,4.883964092279255e-26,6.018024396985489e-24,1.864694068344057e-40,4.9957056222243126e-45,1.0995901210056971e-51,3.4618384404920942e-46,4.646055284329051e-63,1.8434273226878437e-70,3.9168745154226044e-58,2.5254192031229247e-62,1.856081610599852e-69,4.88405139353738e-80,4.1616225239576517e-81
2.7682059670035574e-12,0.11224537200004095,0.0,0.0,0.0,0.0,0.32999999999833085,0.6699999999986956,1.6691362608423769e-12,1.3040957827683557e-12,6.423543964598891e-17,3.651046917679689e-13,2.0319196661698098e-25,4.521911849701325e-21,2.37651736585178e-22,5.572316465560292e-26,7.302148565222375e-28,4.332100754233789e-21,8.873604317826867e-21,3.70912007419886e-31,2.2145458195976917e-35,1.2525164875124496e-43,4.4845379395841307e-41,3.8917031689392197e-25,4.8025606791121605e-23,2.9841368890521163e-39,1.598977438321589e-43,3.595333265504208e-50,1.1323830744308207e-44,5.9457555575250284e-61,4.84610043186282e-68,2.507205682039166e-56,3.2330687846586676e-60,4.278916978592774e-67,2.498754576619844e-77,1.7022002274815356e-78
4.152459151588733e-12,0.11224537200006147,0.0,0.0,0.0,0.0,0.3299999999974962,0.6699999999980433,2.5037550139246576e-12,1.9564655089537582e-12,1.3630540447147989e-16,5.47425764368315e-13,4.312594349009013e-25,9.784403922964369e-21,6.789931332586556e-22,1.6159952445416767e-25,2.167937287244519e-27,9.24210756117189e-21,1.885893573685907e-20,1.3643443759364491e-30,1.0105682788814816e-34,5.7187063399610866e-43,2.464159967112128e-40,1.1102005899336307e-24,1.371206068799489e-22,1.1290015505284217e-38,7.459453945329486e-43,1.647794641616512e-49,5.190358412960173e-44,3.9268858234508695e-60,2.965908639224095e-67,1.4020653974616005e-55,2.1171628004577316e-59,3.135088735487518e-66,2.130933562887234e-76,1.3840037321523707e-77
5.5367123361739086e-12,0.11224537200008187,0.0,0.0,0.0,0.0,0.3299999999966615,0.6699999999973906,3.3383499342562974e-12,2.608985704292732e-12,2.322110742235764e-16,7.295963628741776e-13,7.347804368533956e-25,1.696557897825045e-20,1.4310214853526876e-21,3.4518288408292225e-25,4.72390542510474e-27,1.5822699213572997e-20,3.217448229355233e-20,3.458032979201946e-30,3.0106325134655467e-34,1.7042555453885425e-42,8.471406073088232e-40,2.3367646536760372e-24,2.888351472462587e-22,2.93881637316287e-38,2.2714405814440134e-42,4.92230082456408e-49,1.5505602383050222e-43,1.7217893060302144e-59,1.8094050859599097e-66,4.907889805639154e-55,8.396504029268068e-59,1.3585615796800475e-65,1.1620489960643286e-75,7.297953291032648e-77
8.30521870534426e-12,0.1122453720001227,0.0,0.0,0.0,0.0,0.32999999999499213,0.6699999999960851,5.007484116742645e-12,3.914378849868449e-12,4.796872401805306e-16,1.093584793388905e-12,1.5180332081698033e-24,3.607068229023817e-20,3.9028730314609015e-21,9.624048639791895e-25,1.371198941218124e-26,3.295393124565208e-20,6.662363156105309e-20,1.2078643432225463e-29,1.3165178923932215e-33,7.45538332108884e-42,4.554112211046156e-39,6.359816515293556e-24,7.871062671476759e-22,1.078492239686652e-37,1.0348733317172763e-41,2.159171944560458e-48,6.80203815009575e-43,1.6634672855097336e-58,3.3310013845043983e-65,2.7314049732434224e-54,5.626836086866756e-58,1.0378597262678551e-64,1.6848182361048385e-74,1.0093856847270422e-75
1e-11,0.11224537200016348,0.0,0.0,0.0,0.0,0.3299999999939702,0.6699999999952855,6.029225912082944e-12,4.713766713098641e-12,6.740716521567288e-16,1.31613304541326e-12,2.1332785232244128e-24,5.156402039208103e-20,6.294638645024313e-21,1.5723361830471543e-24,2.280951417025262e-26,4.653753909805183e-20,9.375818391128974e-20,2.2019732927309814e-29,2.6786652438614514e-33,1.517156244141477e-41,1.0233417516466016e-38,1.0244730715218387e-23,1.2688758735964286e-21,2.0194196955769356e-37,2.1539399396387457e-41,4.398830916285598e-48,1.3858057883145052e-42,4.469160516723826e-58,1.0508256642074745e-64,6.256554396029743e-54,1.406735842409937e-57,2.7529899527047815e-64,5.206212059188474e-74,2.960333766247873e-75
