Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.809847898373094e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999999,2.297300126907901e-16,1.794257677664393e-16,1.832817351824418e-24,5.030424675654237e-17,1.27464688311307e-33,1.2168260147956007e-28,3.5887768382467086e-34,3.623975227395717e-37,3.331318814614256e-39,1.2168257081007262e-28,2.520448998396871e-28,1.4452599646985236e-46,2.3006894878289304e-54,1.1426618026873269e-63,1.0982178848751431e-64,2.6847073533245465e-36,3.303536932253119e-34,3.5129961694313407e-54,5.018895733803826e-62,4.408455084234083e-72,1.3593376423652259e-65,-4.915072805013402e-86,-3.370515040413617e-97,2.1323806446643214e-78,7.508897760030085e-86,3.4020999536478448e-96,-1.5389582660387659e-109,-1.7396946694903993e-110,-1.1592248782189518e-112
1.0667574115444663e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999994,0.6699999999999995,6.432440295967113e-16,5.023921867985421e-16,1.1070205766922244e-23,1.4085185386459513e-16,1.263234662516078e-32,7.349675618804771e-28,6.760840270803348e-33,4.302408312001917e-36,5.034288905856191e-38,7.349646975255195e-28,1.5223512834377269e-27,5.045390480914056e-45,1.4687106981820456e-52,1.2367924316920976e-61,2.1508043322895025e-62,3.187493783428119e-35,3.9219542817375455e-33,9.907210997253414e-53,2.597924904027308e-60,8.542362238898689e-70,1.5613262661988619e-63,1.782660738142669e-84,3.080815147154522e-95,2.008130644640303e-76,1.2803550908548485e-83,1.0475208754132198e-93,1.8739646216777362e-107,2.107051263569227e-108,2.515623198189117e-110
2.43830265495878e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999986,0.6699999999999988,1.470272039658636e-15,1.1483251730726731e-15,5.329816301992363e-23,3.219469198659286e-16,9.120175363442275e-32,3.538619652068425e-27,9.920135241218666e-32,4.2242040838295897e-35,5.415658084139372e-37,3.538558706589367e-27,7.329467013423694e-27,1.4886549297558522e-43,8.678040632988072e-51,1.2730488162729265e-59,4.4274362240349046e-60,3.129581793903135e-34,3.850587879140652e-32,2.1550346612460927e-51,1.1343556173926132e-58,1.717718292580306e-67,1.8081925332492304e-61,3.6742384798045136e-82,1.557058686659098e-92,1.7551163359709307e-74,2.237751566575254e-81,3.659760391608965e-91,1.5114198421941695e-104,1.6788492885322598e-105,4.029768239436455e-107
5.181393141787408e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999969,0.6699999999999975,3.124327964783524e-15,2.440191738459663e-15,2.3276609278680433e-22,6.841364590104823e-16,5.2355451012069145e-31,1.545481398033716e-26,1.160533155053223e-30,3.7364242902837346e-34,4.9779224595008367e-36,1.5453991815154272e-26,3.2009715982492953e-26,3.5139000045803174e-42,4.1142653431490896e-49,9.610639136627072e-58,6.698980024397077e-58,2.768094278899918e-33,3.40578342070665e-31,3.9950705813688343e-50,4.2229210395538425e-57,2.4836831405861193e-65,1.6524273975329873e-59,5.821795095109983e-80,5.41136997203986e-90,1.3093709236738426e-72,3.3421372127454904e-79,1.0934502433032612e-88,9.596906960120487e-102,1.040932058207977e-102,4.99804130271395e-104
1.0667574115444664e-14,0.11224537200000015,0.0,0.0,0.0,0.0,0.3299999999999936,0.6699999999999949,6.432439435043098e-15,5.0239272405807555e-15,9.717443620053531e-22,1.4085131658749378e-15,2.571087264669809e-30,6.452758733038585e-26,1.1584579553177703e-29,3.140996020921294e-33,4.2587168587307935e-35,6.451884692249049e-26,1.3363432922036303e-25,7.069423878496304e-41,1.661678109246372e-47,5.508257954198153e-56,7.700021034336431e-56,2.3267264563080567e-32,2.862735979348933e-30,6.866503908577492e-49,1.4548599772837173e-55,2.6217476820544035e-63,1.2421689748762783e-57,8.264827373341641e-78,1.602762065966221e-87,9.03196259859082e-71,4.6133222800169134e-77,3.0180367877130654e-86,5.455672342158902e-99,5.651678782125173e-100,5.427935842155589e-101
2.1639936062759175e-14,0.1122453720000003,0.0,0.0,0.0,0.0,0.32999999999998697,0.6699999999999897,1.3048660855646602e-14,1.0191407730148979e-14,3.969825329656356e-21,2.8572570939676405e-15,1.1469328676924515e-29,2.636738483625882e-25,1.0458566486623009e-28,2.575702124494213e-32,3.521188447705914e-34,2.6359258068908595e-25,5.459403789992045e-25,1.2837030753954883e-39,6.051474216720959e-46,2.534956905906561e-54,7.109881225717508e-54,1.9075338116506748e-31,2.3469943916151037e-29,1.138072110735197e-47,4.828147509225519e-54,2.0804101677219536e-61,7.930738721921179e-56,1.1132121592389037e-75,4.406313518828269e-85,5.998165489959053e-69,6.129197286730039e-75,8.012693930102331e-84,2.9410108074221574e-96,2.7954922371546345e-97,5.3701279173349254e-98
4.35846599573882e-14,0.11224537200000066,0.0,0.0,0.0,0.0,0.32999999999997376,0.6699999999999794,2.6281097617552304e-14,2.0526406650090385e-14,1.6046123327123608e-20,5.7547070081074246e-15,4.8510829635254114e-29,1.0662831562460882e-24,8.913048244213234e-28,2.0867305108541126e-31,2.863370330172061e-33,1.0655806825739655e-24,2.2067826685616937e-24,2.1958813783718415e-38,2.0739762914525625e-44,9.999696286401355e-53,5.627710741505776e-52,1.544670621505554e-30,1.9005766995249127e-28,1.8530535972512218e-46,1.5731800604701883e-52,1.2846092170389722e-59,4.354083781221951e-54,1.4613842923658502e-73,1.1687032508972102e-82,3.909945203041671e-67,7.991865800907321e-73,2.0855978211676507e-81,1.544767399735315e-93,1.260478787485452e-94,4.8432233268539794e-95
8.747410774664625e-14,0.1122453720000013,0.0,0.0,0.0,0.0,0.3299999999999473,0.6699999999999587,5.2745946827048457e-14,4.1196556249199436e-14,6.451637067734008e-20,1.154945507219805e-14,1.9957275235584982e-28,4.291280305402438e-24,7.364434265054746e-27,1.680972321311114e-30,2.3094092634972238e-32,4.285435684353091e-24,8.873411181389155e-24,3.63615990262194e-37,6.875578602228259e-43,3.584385933909786e-51,4.0464131802693153e-50,1.2431219478982367e-29,1.5296203683662023e-27,2.9908301372882327e-45,5.079693324519304e-51,6.410622259485735e-58,2.062913843010597e-52,1.8942386052864977e-71,3.0462460632043957e-80,2.5253494692906793e-65,1.0324292589474873e-70,5.367670667076254e-79,8.010280446646629e-91,5.09382336742167e-92,3.9149716506811566e-92
1.7525300332516234e-13,0.11224537200000259,0.0,0.0,0.0,0.0,0.3299999999998944,0.6699999999999174,1.0567554801189351e-13,8.253746245237549e-14,2.587043331568636e-19,2.3138344175570263e-14,8.095400095847564e-28,1.724047516267801e-23,5.987968059637492e-26,1.3511072987746985e-29,1.8550388703462281e-31,1.719278999620946e-23,3.558662932082529e-23,5.919584540808118e-36,2.239884226339533e-41,1.2169536729176627e-49,2.753955931820643e-48,9.972638552485713e-29,1.2272168556925415e-26,4.806164973471556e-44,1.6328157545070755e-49,2.7047400702916077e-56,8.549897053974264e-51,2.439816615458205e-69,7.874902393141979e-78,1.6236066205613973e-63,1.3275941164638828e-68,1.3697573039639094e-76,4.1271090984875773e-88,1.8208174579166248e-89,2.7993122999051354e-89
