Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.863890993414221e-16,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999999,2.3298875717098494e-16,1.8197094140740576e-16,1.8851835342616056e-24,5.1017817648119124e-17,1.3255320578039223e-33,1.2515925674258345e-28,3.784983836302009e-34,3.780392891781105e-37,3.4751046067914597e-39,1.251592206184569e-28,2.592461829134096e-28,1.545897790200884e-46,2.495801493739605e-54,1.2555899419927223e-63,1.2238734755934335e-64,2.8005841315075503e-36,3.446123541371771e-34,3.716606558052884e-54,5.3851067184897835e-62,4.911934834041798e-72,1.495295585983887e-65,-5.4243855554635226e-86,-3.7725423703548297e-97,2.320428017725071e-78,8.286989491293169e-86,3.807890693751127e-96,-1.7469557025368015e-109,-1.9746192664757982e-110,-2.6517718022243096e-113,-1.0705389769646953e-112
1.0818894781559818e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999935,0.6699999999999995,6.523685139716142e-16,5.095186740518909e-16,1.1386497032418923e-23,1.4284985130233258e-16,1.3112281290030202e-32,7.559668006753787e-28,7.117950378634593e-33,4.4881090269941025e-36,5.251577989964161e-38,7.5596374738964694e-28,1.565847037018775e-27,5.3875110684537325e-45,1.5905909319081105e-52,1.355599051791685e-61,2.3908886374701484e-62,3.3250716348486567e-35,4.091232827952355e-33,1.0481424850402822e-52,2.787486250228852e-60,9.492709620689539e-70,1.7144100689428946e-63,1.967384717601501e-84,3.4482877774119904e-95,2.185220832561258e-76,1.4130288511589138e-83,1.1724646364624825e-93,2.127239725000409e-107,2.391390334840942e-108,4.4144125664789224e-111,2.4569495704073437e-110
2.4728902357851014e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999985,0.6699999999999988,1.4911280031443885e-15,1.1646142917853532e-15,5.482096445885718e-23,3.265137661612828e-16,9.443147444336665e-32,3.639725241037435e-27,1.041897664092543e-31,4.4065308855845365e-35,5.649407754166352e-37,3.639660958336131e-27,7.538880382443796e-27,1.585824060287374e-43,9.375999189709348e-51,1.3898885592908862e-59,4.902470936753017e-60,3.2646598717331788e-34,4.0167859747258956e-32,2.2799387071313372e-51,1.2171255138120665e-58,1.9007676826684817e-67,1.9802595672802736e-61,4.0549726703188046e-82,1.742781418559536e-92,1.9098940522315193e-74,2.469633262233429e-81,4.0962736299171844e-91,1.7156952913741598e-104,1.9050593326570106e-105,5.575889143508823e-108,4.084495812203646e-107
5.2548917510433405e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.32999999999999685,0.6699999999999975,3.168646883776739e-15,2.4748061370292283e-15,2.3941652411120833e-22,6.938409860822938e-16,5.407815841034165e-31,1.5896402540712645e-26,1.2159941913273382e-30,3.89770030091538e-34,5.192778657170266e-36,1.5895539519045697e-26,3.292427952429541e-26,3.7344439791236926e-42,4.434739175346771e-49,1.0445536491860782e-57,7.384508548173582e-58,2.8875696021231318e-33,3.5527827136456655e-31,4.2266215964966687e-50,4.531052566313614e-57,2.7344030273883455e-65,1.8044943993042368e-59,6.425064606720179e-80,6.05682972757259e-90,1.4248398692336668e-72,3.6884582374358587e-79,1.2238658426407093e-88,1.089397339802332e-101,1.180778288621724e-102,5.9427108560474036e-105,5.1612160353642936e-104
1.081889478155982e-14,0.11224537200000015,0.0,0.0,0.0,0.0,0.3299999999999935,0.6699999999999948,6.523684254194536e-15,5.095192266616642e-15,9.99508247334558e-22,1.4284929867448948e-15,2.6508341809711306e-30,6.637143413677665e-26,1.2115813934861275e-29,3.276576410026299e-33,4.442530824060679e-35,6.636228525369009e-26,1.3745245482899091e-25,7.499213327545019e-41,1.7877891786409064e-47,5.9611324490007825e-56,8.45176174132177e-56,2.4271510781202524e-32,2.9862959921030332e-30,7.264480819761686e-49,1.5610159293754272e-55,2.8710506009467155e-63,1.3527020148970038e-57,9.121249926672072e-78,1.793938755229972e-87,9.828460435573954e-71,5.091366800674495e-77,3.377973845926537e-86,6.193031337174229e-99,6.406815981060199e-100,5.907845323166649e-102,5.6557032320957246e-101
2.1946900842592778e-14,0.11224537200000033,0.0,0.0,0.0,0.0,0.3299999999999868,0.6699999999999896,1.3233757431689621e-14,1.0335974282125031e-14,4.083246948644316e-21,2.897787231417507e-15,1.1811775493222538e-29,2.7120907527063956e-25,1.0925231246743388e-28,2.686889738275785e-32,3.6731693305131464e-34,2.711241473892773e-25,5.615386912555274e-25,1.360100249380337e-39,6.502790327123692e-46,2.7340624221644794e-54,7.77758396899816e-54,1.9898645863789675e-31,2.4482934849488944e-29,1.2040338246028057e-47,5.1804402056530305e-54,2.2667352877240628e-61,8.612782417469488e-56,1.2285659696032154e-75,4.93190589313287e-85,6.527123063721811e-69,6.764320646965664e-75,8.968178552352302e-84,3.3385013999843564e-96,3.16541467869666e-97,5.56670802869349e-99,5.61629113929569e-98
4.4202912964658694e-14,0.11224537200000066,0.0,0.0,0.0,0.0,0.32999999999997337,0.6699999999999792,2.6653897533694642e-14,2.0817577337955298e-14,1.6504568106982142e-20,5.8363366946731295e-15,4.9928627469974214e-29,1.096762149059858e-24,9.304503623460901e-28,2.1768231043358846e-31,2.9869585651546182e-33,1.0960286800286849e-24,2.2698337291992206e-24,2.324940753567444e-38,2.2270671946178271e-44,1.0760477961638788e-52,6.14215396792796e-52,1.6113384033285196e-30,1.9826066829489512e-28,1.9604550168212498e-46,1.687969373212159e-52,1.3933378761022942e-59,4.715118807692333e-54,1.6128163514686773e-73,1.3081130195006873e-82,4.2547496978485375e-67,8.820003472556108e-73,2.334232817840785e-81,1.753549081791857e-93,1.4247316577042589e-94,4.888431216753943e-96,5.068523366621342e-95
8.871493720879053e-14,0.11224537200000133,0.0,0.0,0.0,0.0,0.3299999999999465,0.6699999999999582,5.349415272877872e-14,4.178093954470383e-14,6.635956770074877e-20,1.1713279520991875e-14,2.0534040208904447e-28,4.4139992408454596e-24,7.685129725571636e-27,1.7535672989377305e-30,2.4090874992685239e-32,4.4078995203462124e-24,9.126938239331407e-24,3.848420428357363e-37,7.380252632904277e-43,3.851849270845204e-51,4.410266194061664e-50,1.296772497708355e-29,1.595637752987805e-27,3.1641760353975285e-45,5.450340198725313e-51,6.926885250131828e-58,2.2276836833651876e-52,2.0905234889186553e-71,3.409645521730989e-80,2.748051120538054e-65,1.139412168992156e-70,6.007246292724805e-79,9.092898194909095e-91,5.743897311947819e-92,3.8922859729295365e-93,4.092327520580905e-92
1.7773898569705416e-13,0.11224537200000263,0.0,0.0,0.0,0.0,0.3299999999998928,0.6699999999999162,1.0717456310735434e-13,8.370828830522708e-14,2.6609485985440807e-19,2.346654080618493e-14,8.328007572286893e-28,1.7733950452913663e-23,6.247566506338807e-26,1.409489623960175e-29,1.9351056042638522e-31,1.7684195608972027e-23,3.6603398376530574e-23,6.263908854933913e-36,2.4038080136174363e-41,1.306784989352018e-49,2.999306472537855e-48,1.0402997834280561e-28,1.2801796437580661e-26,5.084725808902207e-44,1.7519563269625188e-49,2.9142614594817896e-56,9.210613114447293e-51,2.6926339880011607e-69,8.814463225564697e-78,1.7667865589053492e-63,1.4651625878650095e-68,1.5328007456622784e-76,4.684897681017848e-88,2.0479194027381053e-89,2.758148897833449e-90,2.9203966744473138e-89
