Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.917188559316131e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999999,2.362025469903775e-16,1.8448100416383326e-16,1.9375497155561628e-24,5.1721544763432396e-17,1.3769256187170232e-33,1.286359124891637e-28,3.985968718771846e-34,3.938998411624428e-37,3.62090155182675e-39,1.2863587063075215e-28,2.6644746599628297e-28,1.6504419161118837e-46,2.701339197439633e-54,1.3760539772353636e-63,1.3597981026927398e-64,2.918081690390446e-36,3.5907045265129754e-34,3.9259524504669074e-54,5.766899358395973e-62,5.456445405513653e-72,1.6405034987789003e-65,-5.9703230413372405e-86,-4.209505199053623e-97,2.519218112745052e-78,9.121033886985467e-86,4.248943450587833e-96,-1.976188619068173e-109,-2.2335131554065376e-110,-3.019986592906924e-113,-1.2295845879714863e-112,-9.990609881419333e-117
1.0968127966085168e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999935,0.6699999999999995,6.613671252962707e-16,5.16546850828531e-16,1.1702788284350339e-23,1.448202861665323e-16,1.3595948600340868e-32,7.769660475139541e-28,7.483035679455973e-33,4.6764072234944045e-36,5.471906328129598e-38,7.769627996746004e-28,1.6093427907084661e-27,5.742250035221057e-45,1.7187528503052338e-52,1.481989269046788e-61,2.6498996468330017e-62,3.464573797183949e-35,4.2628790896028226e-33,1.107181374105861e-52,2.98511310956141e-60,1.0517586820901256e-69,1.87759728889517e-63,2.165392217735143e-84,3.847693166858297e-95,2.372427783028716e-76,1.555243196459996e-83,1.3082655231396205e-93,2.40637292556356e-107,2.704725996107633e-108,5.0333053476575465e-111,2.819744722093497e-110,2.98718899578628e-114
2.507000677962324e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999985,0.6699999999999988,1.5116962568010067e-15,1.1806787008369843e-15,5.63437657646068e-23,3.3101761228855095e-16,9.767758513299266e-32,3.740830929236554e-27,1.0927673820505494e-31,4.591408066307681e-35,5.886426914704097e-37,3.740763233850583e-27,7.748293752530575e-27,1.6863305272677237e-43,1.010816110916249e-50,1.5136773077869446e-59,5.412879132840717e-60,3.401627285415622e-34,4.185308690890334e-32,2.4083611765738678e-51,1.3034171285733965e-58,2.0973013910533034e-67,2.1631865069355355e-61,4.4630854924093545e-82,1.9446431882789246e-92,2.0735138695890842e-74,2.718189596170465e-81,4.570717240552067e-91,1.9408262188268378e-104,2.154312333813535e-105,6.367522289500882e-108,4.684342226320945e-107,7.58631727788207e-111
5.3273764406699386e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999968,0.6699999999999975,3.2123544193830443e-15,2.5089430275690624e-15,2.4606695425762823e-22,7.034116377969236e-16,5.580568820114298e-31,1.6337992075499004e-26,1.2724236927261492e-30,4.061232398647482e-34,5.410640079322223e-36,1.6337087433157406e-26,3.383884307553255e-26,3.962049789145019e-42,4.770161390612484e-49,1.1326078233008481e-57,8.117772326182192e-58,3.0087160068309096e-33,3.7018380778526337e-31,4.464695174418149e-50,4.852294564905235e-57,3.0021985775850295e-65,1.9656987595446484e-59,7.071715273741418e-80,6.758379369984641e-90,1.546905294177787e-72,4.059683243709302e-79,1.365613218855678e-88,1.232346363267614e-101,1.3348398122457268e-102,6.793661232334761e-105,5.915196535937453e-104,1.6189257395771294e-107
1.0968127966085168e-14,0.11224537200000019,0.0,0.0,0.0,0.0,0.3299999999999934,0.6699999999999948,6.613670342843517e-15,5.165474187885426e-15,1.0272721227623086e-21,1.4481971818794884e-15,2.7306915583701864e-30,6.821528942838445e-26,1.2655483568791293e-29,3.414053704777702e-33,4.62891582121252e-35,6.820572535188059e-26,1.4127058051692288e-25,7.942043279751693e-41,1.9195626479790272e-47,6.436798166654966e-56,9.252541198894982e-56,2.5289802908316865e-32,3.1115842073410618e-30,7.673668344663354e-49,1.6716886360358025e-55,3.135922741317799e-63,1.469555581236668e-57,1.0039257855075874e-77,2.0017287556539964e-87,1.067046038359022e-70,5.603787549456592e-77,3.769182686838626e-86,7.005670826782098e-99,7.238414429176199e-100,6.755183478350706e-102,6.475888072340506e-101,3.219623279597268e-104
2.2249631016915626e-14,0.11224537200000033,0.0,0.0,0.0,0.0,0.3299999999999866,0.6699999999999895,1.341630058299915e-14,1.0478546535859162e-14,4.196668486457657e-21,2.9377582423757206e-15,1.2154450660609055e-29,2.787443724198924e-25,1.1398879183952236e-28,2.799633420965699e-32,3.8272759905062944e-34,2.786557285757152e-25,5.771370041620279e-25,1.4387375555044059e-39,6.973880223057536e-46,2.94254133300632e-54,8.486625450970708e-54,2.073346830264798e-31,2.5510093822415576e-29,1.271853613754591e-47,5.547722352018842e-54,2.4637187666122935e-61,9.331855288314802e-56,1.352214867150834e-75,5.50317361472707e-85,7.086298772416465e-69,7.445115779347161e-75,1.0006660694094222e-83,3.77657363976135e-96,3.572546981360406e-97,6.359648466485082e-99,6.42100206808164e-98,6.06238190057426e-101
4.4812637118576547e-14,0.11224537200000066,0.0,0.0,0.0,0.0,0.329999999999973,0.6699999999999788,2.7021554636641843e-14,2.110473134062806e-14,1.6963012229523976e-20,5.9168402532352015e-15,5.134688450097051e-29,1.1272417120463945e-24,9.70162760774367e-28,2.2681772544905574e-31,3.112275444168194e-33,1.126476794786863e-24,2.3328847951019512e-24,2.457712105157007e-38,2.386772294182753e-44,1.1555502304871354e-52,6.687345163045083e-52,1.6789385095221627e-30,2.065783900010656e-28,2.07088182470052e-46,1.8076427723676686e-52,1.507785337157607e-59,5.094671187305653e-54,1.775137858641734e-73,1.459638494185322e-82,4.619252072187517e-67,9.707692563281574e-73,2.6044569298076865e-81,1.9836461831071184e-93,1.6053448910942174e-94,5.572863857056605e-96,5.780348622091883e-95,1.0625167081474268e-97
8.993864932189838e-14,0.11224537200000133,0.0,0.0,0.0,0.0,0.3299999999999458,0.6699999999999576,5.423203704039405e-14,4.2357261381110817e-14,6.820275943440844e-20,1.1874843838762914e-14,2.111089609319433e-28,4.5367227675372995e-24,8.01038982985547e-27,1.827179959512582e-30,2.5101599447650184e-32,4.530364300339932e-24,9.3804653396509e-24,4.066723590476168e-37,7.906567623013448e-43,4.131035975791732e-51,4.795415040322774e-50,1.351173195685561e-29,1.6625783203006964e-27,3.342404904306972e-45,5.836757442828652e-51,7.468370536678864e-58,2.4004290697374368e-52,2.3009231149283945e-71,3.8046302742672455e-80,2.9834751845074384e-65,1.2540882179690827e-70,6.702313724873527e-79,1.028604436554528e-90,6.457951191699511e-92,4.421117880678673e-93,4.649226640171082e-92,1.6859525433779723e-94
1.8019067372854206e-13,0.11224537200000267,0.0,0.0,0.0,0.0,0.3299999999998914,0.6699999999999151,1.086528990588885e-13,8.48629631511322e-14,2.7348534411960917e-19,2.3790209299777013e-14,8.560632254888515e-28,1.822746257801736e-23,6.510827179077503e-26,1.4686922212864172e-29,2.0162922363312586e-31,1.8175608794182978e-23,3.7620167772258797e-23,6.617983194672987e-36,2.574733516296786e-41,1.4004971060382097e-49,3.25885091003711e-48,1.083937228359505e-28,1.333882889697457e-26,5.37113338906863e-44,1.876166112297039e-49,3.133458433850765e-56,9.901769873573646e-51,2.9636311619961603e-69,9.835704003955355e-78,1.918146005283654e-63,1.6126235868407766e-68,1.7099688146608735e-76,5.29963225156853e-88,2.297121238348399e-89,3.1156789067170856e-90,3.299275833601898e-89,2.376459237414578e-91
