Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.969770624291389e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999999,2.393731928201263e-16,1.8695737022203453e-16,1.98991589572364e-24,5.241582458732836e-17,1.4288166611485567e-33,1.321125687167067e-28,4.1917063276404816e-34,4.0997620139114684e-37,3.768682280716611e-39,1.3211252084418363e-28,2.7364874908818308e-28,1.758928326986724e-46,2.917547631199685e-54,1.5043259787196032e-63,1.5065116641920535e-64,3.037177973266558e-36,3.7372527468830063e-34,4.141033846668867e-54,6.164488596590379e-62,6.044053352854267e-72,1.7953093016424375e-65,-6.55442174379725e-86,-4.683371095005219e-97,2.729049338652049e-78,1.001337827395113e-85,4.727244131282179e-96,-2.228162273545801e-109,-2.5180603827527662e-110,-3.427715791700695e-113,-1.4071112826557986e-112,-1.1491658919632995e-116,-1.2973306211010646e-126
1.1115357748015891e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999935,0.6699999999999995,6.702449334499248e-16,5.234806768501372e-16,1.2019079522901091e-23,1.467642686147636e-16,1.408325133550261e-32,7.979653023331647e-28,7.856034065621092e-33,4.867267555321369e-36,5.695232560314344e-38,7.979618543474358e-28,1.6528385445053233e-27,6.109696215906471e-45,1.853331295951923e-52,1.616213010976975e-61,2.928737567689381e-62,3.605974082943155e-35,4.4368608451386324e-33,1.167837766919588e-52,3.1909167427372293e-60,1.162050353819573e-69,2.0512461440627434e-63,2.3772405088287676e-84,4.280829770193614e-95,2.5700325171989546e-76,1.707398373483675e-83,1.4555349819092853e-93,2.7131971510959915e-107,3.0490812974465942e-108,5.719590993355278e-111,3.224479513844299e-110,3.44006812954479e-114,6.975968227819651e-124
2.5406531995464896e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999846,0.6699999999999988,1.5319883889239047e-15,1.196527451019966e-15,5.786656693898495e-23,3.3546099575074857e-16,1.0093956324237808e-31,3.841936715614799e-27,1.1446122596648325e-31,4.7788009233654623e-35,6.12667107251091e-37,3.841865532809275e-27,7.957707123669519e-27,1.790189232133075e-43,1.0875174251672424e-50,1.6446124913522244e-59,5.960184937401217e-60,3.5404583231415687e-34,4.3561243923247964e-32,2.5403020695626435e-51,1.3932790424483368e-58,2.3078878832702667e-67,2.3573267189164813e-61,4.899725534159096e-82,2.163552951603144e-92,2.24622140191804e-74,2.9841201029523073e-81,5.085227277687866e-91,2.1882909457298308e-104,2.4281905467273293e-105,7.247043510670202e-108,5.3533620633250157e-107,8.750080864870754e-111,3.554300719099324e-120
5.3988880490362905e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.32999999999999674,0.6699999999999975,3.2554751967301955e-15,2.5426216430130167e-15,2.527173832420951e-22,7.128538063482795e-16,5.753786265117596e-31,1.6779582572556638e-26,1.3298096005794107e-30,4.226989889694374e-34,5.6314658290020765e-36,1.6778635554628557e-26,3.4753406636076005e-26,4.196734681188582e-42,5.120783520625879e-49,1.2253345057452958e-57,8.900602808655008e-58,3.131510750911623e-33,3.8529215322548623e-31,4.709291315091928e-50,5.186827889290245e-57,3.287694492947416e-65,2.1363110353646876e-59,7.763567020970575e-80,7.519177935956921e-90,1.6757504339773815e-72,4.4568570034905386e-79,1.5193304683847494e-88,1.3894764396026494e-101,1.5040625041651551e-102,7.740738680981726e-105,6.756231437610159e-104,1.8693738136148647e-107,1.517228299130613e-116
1.111535774801589e-14,0.11224537200000019,0.0,0.0,0.0,0.0,0.3299999999999933,0.6699999999999948,6.702448399782487e-15,5.23481260160386e-15,1.0550359884233577e-21,1.4676368528544103e-15,2.810655036231983e-30,7.005915309258969e-26,1.3203476515660156e-29,3.5534021053108016e-33,4.817836861980612e-35,7.004916719301475e-26,1.4508870628307981e-25,8.397929740960961e-41,2.0570858918000108e-47,6.935704402612379e-56,1.0104042623194743e-55,2.632194978205227e-32,3.238577105285472e-30,8.094066483139687e-49,1.7869404041478326e-55,3.416848083676151e-63,1.5928991568139263e-57,1.102143478330713e-77,2.227067766926046e-87,1.1559226389238787e-70,6.152026677674658e-77,4.193423937198269e-86,7.89892698908707e-99,8.151256337655935e-100,7.699818855772932e-102,7.391355937605538e-101,3.719112111511563e-104,6.025114793579941e-113
2.2548297145975094e-14,0.11224537200000036,0.0,0.0,0.0,0.0,0.3299999999999864,0.6699999999999895,1.3596393155696997e-14,1.0619204817133927e-14,4.3100899442011534e-21,2.9771926471815413e-15,1.2497344996446783e-29,2.8627973886045496e-25,1.1879415866794408e-28,2.913912020303168e-32,3.9834794987602775e-34,2.8618732405124527e-25,5.927353177098584e-25,1.519616342687755e-39,7.465033371961202e-46,3.1605531887808015e-54,9.238306953314703e-54,2.1579648706136353e-31,2.6551228005585583e-29,1.3415314781430929e-47,5.930200721826189e-54,2.6716387180933667e-61,1.0088844474065543e-55,1.4845068459476408e-75,6.12268934188468e-85,7.676532007444427e-69,8.173498704891575e-75,1.1132811600991042e-83,4.258104106829852e-96,4.018952435669304e-97,7.245630208770217e-99,7.320688496777901e-98,6.999667129784238e-101,2.2589799014498865e-109
4.54141759418935e-14,0.1122453720000007,0.0,0.0,0.0,0.0,0.32999999999997265,0.6699999999999787,2.7384276067174453e-14,2.138803044102283e-14,1.742145570369582e-20,5.996263041660025e-15,5.276558217976053e-29,1.1577218374574106e-24,1.0104343165873044e-27,2.3607758316714426e-31,3.2392974426913584e-33,1.156925025251893e-24,2.3959358661982315e-24,2.594196529176743e-38,2.5531856548027606e-44,1.2385298822316726e-52,7.26419934392312e-52,1.7474582479133647e-30,2.1500927348900398e-28,2.1843340207342827e-46,1.932267631860778e-52,1.6280763560675771e-59,5.493129651856694e-54,1.9488056441055125e-73,1.6239621524782514e-82,5.0039994877674657e-67,1.065743137037833e-72,2.8974844102726974e-81,2.236569613574701e-93,1.8030389018828153e-94,6.340945496632706e-96,6.579407680387319e-95,1.2251876553755822e-97,7.845887799698518e-106
9.11459335337303e-14,0.11224537200000137,0.0,0.0,0.0,0.0,0.32999999999994506,0.6699999999999572,5.4960015491992425e-14,4.292584645559782e-14,7.004594595032997e-20,1.2034239058431736e-14,2.168783918213051e-28,4.659450823000774e-24,8.340152464276551e-27,1.901796515596027e-30,2.612607626607963e-32,4.65283001148337e-24,9.633992481770881e-24,4.291070258800501e-37,8.454826708033667e-43,4.422117649008045e-51,5.202473200451061e-50,1.4063138260590208e-29,1.7304295013354996e-27,3.52551674351677e-45,6.23916260178171e-51,8.035545205588319e-58,2.581295964960421e-52,2.52602961467564e-71,4.232979840755709e-80,3.231975059470256e-65,1.3767801473486747e-70,7.455989847597244e-79,1.1597553515370565e-90,7.237795361822973e-92,5.020465390165653e-93,5.280466183774192e-92,1.940209847488418e-94,2.4464883298413858e-102
1.826094487174039e-13,0.11224537200000272,0.0,0.0,0.0,0.0,0.3299999999998899,0.6699999999999141,1.1011138877522837e-13,8.60021375157954e-14,2.8087578653030875e-19,2.4109532039374916e-14,8.793273414817456e-28,1.8721011036424658e-23,6.777700213135993e-26,1.528704027166589e-29,2.098583526098897e-31,1.866702944872212e-23,3.8636937503381936e-23,6.981808213499213e-36,2.7527580404552527e-41,1.4981451850554176e-49,3.53299096083521e-48,1.1281679925335945e-28,1.388316507707874e-26,5.6653877123644e-44,2.005515037513887e-49,3.362489201349953e-56,1.0623864300290117e-50,3.253570789666749e-69,1.0943228241233402e-77,2.0779121655757476e-63,1.7703921217629473e-68,1.902052769255094e-76,5.975349219006619e-88,2.5686589910321298e-89,3.530149012845899e-90,3.73851453497588e-89,2.7287410817260996e-91,6.6747915228627315e-99
