Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.021665253316902e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999999,2.425023869502454e-16,1.894013613092391e-16,2.0422820747789687e-24,5.310102768259119e-17,1.4811947571820457e-33,1.3558922542267774e-28,4.402172071660489e-34,4.262655109107859e-37,3.918420512373474e-39,1.3558917125608657e-28,2.8085003218899015e-28,1.8713921967058155e-46,3.144670388927005e-54,1.640679722227972e-63,1.6645448287141093e-64,3.157851800181783e-36,3.885742140532821e-34,4.3618507466542003e-54,6.5780864900821155e-62,6.676867361774637e-72,1.9600637937773557e-65,-7.178239051383575e-86,-5.196161533005683e-97,2.9502201043731546e-78,1.0966401919855452e-85,5.24483304819258e-96,-2.5044441997548093e-109,-2.83002598489114e-110,-3.8777967578288585e-113,-1.6046067661329094e-112,-1.3170536627171013e-116,-1.506296061045273e-126,-2.279000081955178e-138
1.1260662709287327e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999935,0.6699999999999995,6.790066768446157e-16,5.303238529529527e-16,1.2335370748248446e-23,1.4868283622282208e-16,1.4574096927259018e-32,8.18964565071688e-28,8.2368851104364e-33,5.060656081310159e-36,5.921516970538914e-38,8.189609113765184e-28,1.696334298407926e-27,6.489936040860604e-45,1.9944599858791147e-52,1.7585208280063614e-61,3.228318168377796e-62,3.7492473455863976e-35,4.613147153813885e-33,1.2301116634790028e-52,3.4050069165614287e-60,1.2805028011712844e-69,2.2357169417559878e-63,2.60349444411401e-84,4.749545315181757e-95,2.7783160562272076e-76,1.8699000752392048e-83,1.6149012094286534e-93,3.049621161608261e-107,3.426587416805327e-108,6.478094754498842e-111,3.6744341771511584e-110,3.947221954421536e-114,8.109005672891373e-124,2.2943589347261828e-135
2.5738657621228177e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999846,0.6699999999999988,1.5520152301691724e-15,1.2121690013885693e-15,5.938936798373211e-23,3.3984628814969417e-16,1.0421691457907174e-31,3.943042599155464e-27,1.1974222177254411e-31,4.968676133559571e-35,6.3700975029484245e-37,3.9429678549016176e-27,8.167120495846697e-27,1.8974145912629316e-43,1.1677679389816197e-50,1.7828910080116132e-59,6.545931545956394e-60,3.6811282951447736e-34,4.529202701221492e-32,2.675761386086777e-51,1.4867591839103112e-58,2.5331020379346676e-67,2.5630345503830566e-61,5.366057012821371e-82,2.4004445676958693e-92,2.428262263090995e-74,3.2681338359306304e-81,5.64199830520306e-91,2.4596289546466847e-104,2.7283803586526235e-105,8.220589552782027e-108,6.096689560124915e-107,1.0055285574945325e-110,4.137816391092479e-120,2.3498587563733183e-131
5.469464744510987e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.32999999999999674,0.6699999999999975,3.298032230962383e-15,2.575859958851414e-15,2.59367811080003e-22,7.221725313902263e-16,5.927451473181907e-31,1.7221174020192096e-26,1.3881402991503082e-30,4.39494330035011e-34,5.8552166349063616e-36,1.7220183880711994e-26,3.5667970205802497e-26,4.4385152682692787e-42,5.4868539469150855e-49,1.3228409440681904e-57,9.734845827201139e-58,3.255931996251029e-33,4.006006208025387e-31,4.960410018477235e-50,5.534830965087138e-57,3.5915188654191417e-65,2.316601752765112e-59,8.502464537393358e-80,8.342471015295423e-90,1.8115585241009258e-72,4.8810385052362465e-79,1.6856731623941316e-88,1.5617650769218993e-101,1.6894782296621484e-102,8.790119686287156e-105,7.690157561242099e-104,2.1505464228335518e-107,1.7682051951490455e-116,2.0109069461106018e-127
1.1260662709287327e-14,0.11224537200000019,0.0,0.0,0.0,0.0,0.32999999999999324,0.6699999999999947,6.790065809131829e-15,5.303244516134372e-15,1.0827998444470978e-21,1.4868223754276178e-15,2.8907205328722874e-30,7.190302502114375e-26,1.3759685180124238e-29,3.694596837304844e-33,5.009260348938024e-35,7.189261075400107e-26,1.489068321264255e-25,8.866888095750262e-41,2.20044513437777e-47,7.458295502525238e-56,1.100795647738233e-55,2.736776783872851e-32,3.367252101068255e-30,8.525675235049774e-49,1.9068327039934984e-55,3.714310538117296e-63,1.7229017247407047e-57,1.207039949201728e-77,2.4709171270634717e-87,1.2496022399081358e-70,6.737545960417179e-77,4.652506419486872e-86,8.878356770773348e-99,9.150808199537515e-100,8.746754044764167e-102,8.407176660638577e-101,4.2800230139174547e-104,7.024088941500174e-113,1.5987218366661648e-123
2.2843058638840007e-14,0.11224537200000036,0.0,0.0,0.0,0.0,0.32999999999998625,0.6699999999999893,1.3774131271855949e-14,1.075802420005597e-14,4.4235113229356554e-21,3.0161114938011083e-15,1.2840449916758663e-29,2.9381517367995958e-25,1.2366750594093525e-28,3.029705224828523e-32,4.141752076272797e-34,2.937189336265501e-25,6.083336318905225e-25,1.602737906518247e-39,7.976535374118613e-46,3.3882555208465675e-54,1.0033932584923671e-53,2.2437036577194857e-31,2.76061522346069e-29,1.413067417721483e-47,6.328079312204567e-54,2.8907718387754506e-61,1.088463174530004e-55,1.6257946352424788e-75,6.793096232147959e-85,8.298662160157311e-69,8.951411516429405e-75,1.2351430282804747e-83,4.7860883906810806e-96,4.5072218950089464e-97,8.226982610235215e-99,8.317843774291535e-98,8.051604130079127e-101,2.632163630862756e-109,1.198680215264301e-119
4.600785049794537e-14,0.1122453720000007,0.0,0.0,0.0,0.0,0.32999999999997226,0.6699999999999784,2.7742255423270054e-14,2.1667625844734695e-14,1.7879898538088747e-20,6.074647452330103e-15,5.418470317105384e-29,1.1882025178521386e-24,1.0512576323886103e-27,2.454602387134068e-31,3.368001971300797e-33,1.1873733698906319e-24,2.458986942419258e-24,2.7343950780113995e-38,2.726400079518569e-44,1.3250390021211523e-52,7.873632508184883e-52,1.816885430842041e-30,2.2355181924948956e-28,2.3008116047698676e-46,2.061910420974598e-52,1.7543345502458956e-59,5.910879354906708e-54,2.1342827540962097e-73,1.801785178226917e-82,5.409539106232337e-67,1.1671752186019314e-72,3.2145626680694393e-81,2.5138927916090977e-93,2.018906959595478e-94,7.190502553282064e-96,7.46351086512902e-95,1.407500837161084e-97,9.129340054720133e-106,8.317838943309144e-116
9.233743421615608e-14,0.11224537200000137,0.0,0.0,0.0,0.0,0.32999999999994434,0.6699999999999565,5.567847663336091e-14,4.348699823673687e-14,7.188912731766175e-20,1.2191550261213501e-14,2.2264866012290153e-28,4.782183347241214e-24,8.674357983262066e-27,1.9774037277978343e-30,2.716412325609116e-32,4.775296641436461e-24,9.887519665137541e-24,4.521461268100732e-37,9.02532895301401e-43,4.725263595107298e-51,5.632054479700979e-50,1.4621845791341622e-29,1.7991792267385465e-27,3.713511552533839e-45,6.657770299506073e-51,8.628870867495598e-58,2.7704286379609745e-52,2.7664431762731608e-71,4.696522538569643e-80,3.4939041436140906e-65,1.5078150901828654e-70,8.271476369453446e-79,1.3035584321854157e-90,8.087481222303629e-92,5.68203495669467e-93,5.9773513479850266e-92,2.2245883979125768e-94,2.8405917643908978e-102,5.178547096433371e-112
1.849966016525775e-13,0.11224537200000276,0.0,0.0,0.0,0.0,0.32999999999988844,0.6699999999999129,1.1155081070977978e-13,8.712641939374307e-14,2.8826618764137874e-19,2.442467948385862e-14,9.025930371358552e-28,1.921459534650636e-23,7.048137725724681e-26,1.5895144177894455e-29,2.18196483892404e-31,1.9158457473568224e-23,3.9653707565455947e-23,7.35538453734099e-36,2.9379775847609653e-41,1.59978364801488e-49,3.8221284445964195e-48,1.1729842042916604e-28,1.4434708128965677e-26,5.967488777204644e-44,2.1400720906770613e-49,3.6015099281766266e-56,1.1377386984600277e-50,3.5632258994266483e-69,1.2141765798749935e-77,2.2463122455532506e-63,1.9388888479883505e-68,2.1098652600971884e-76,6.716251974581926e-88,2.8638552342274056e-89,3.9866389317766745e-90,4.222323394879393e-89,3.1218883981918154e-91,7.730224706972897e-99,2.8207346589566772e-108
