Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.072898723266533e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999999,2.455917138499248e-16,1.9181421494150854e-16,2.0946482527365016e-24,5.377750100234937e-17,1.5340499237608797e-33,1.390658826045994e-28,4.6173419012841315e-34,4.4276502147670584e-37,4.070090983402443e-39,1.390658218638994e-28,2.880513152985888e-28,1.9878679243316227e-46,3.3829496597047895e-54,1.7853906345824898e-63,1.8344389313340188e-64,3.28008281134149e-36,4.036147654720209e-34,4.588403150418466e-54,7.007902323058088e-62,7.357037817222522e-72,2.135120582694695e-65,-7.843352982984317e-86,-5.749951894166963e-97,3.183028818834902e-78,1.1982515609959508e-85,5.803804918785407e-96,-2.806665043406434e-109,-3.171245801652554e-110,-4.3733829097821825e-113,-1.8237137940116427e-112,-1.5042971159756405e-116,-1.7423546088731597e-126,-2.669732368598002e-138,-3.202563692617355e-133
1.1404116425146295e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999935,0.6699999999999995,6.876567919940751e-16,5.370798441819499e-16,1.2651661960562797e-23,1.5057696045946755e-16,1.5068397132588785e-32,8.399638356698365e-28,8.625529986455296e-33,5.256540174620488e-36,6.150721380760891e-38,8.39959970731438e-28,1.7398300524149083e-27,6.88305365296184e-45,2.1422715429923242e-52,1.909163855505095e-61,3.5495725500736073e-62,3.8943694123328824e-35,4.791708273013026e-33,1.2940030637816781e-52,3.627491962546429e-60,1.407478608896737e-69,2.431372014785769e-63,2.844726359292429e-84,5.2557368026659266e-95,2.997559421267693e-76,2.0431593688545933e-83,1.7870091524772843e-93,3.4176305674403276e-107,3.8394607786158925e-108,7.314292787439095e-111,4.1732985163772195e-110,4.513525779557432e-114,9.390476951536482e-124,2.6907835564062044e-135,3.103655288273198e-130
2.6066551828905817e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.32999999999999846,0.6699999999999988,1.5717869211396257e-15,1.2276112720455877e-15,6.09121689005212e-23,3.441757099854102e-16,1.075091710638798e-31,4.0441485788742325e-27,1.251187497558991e-31,5.161001664086024e-35,6.616665135820768e-37,4.044070199829043e-27,8.376533869048694e-27,2.008020562562309e-43,1.2516310443823772e-50,1.9287092201079964e-59,7.17168080982437e-60,3.823613467730242e-34,4.704514416104096e-32,2.8147391261355126e-51,1.5839048547277748e-58,2.773524985256327e-67,2.780665285806666e-61,5.863259567727778e-82,2.656276799119866e-92,2.619882066978761e-74,3.5709492411159283e-81,6.243283396190501e-91,2.7564417106158805e-104,3.0566351802303523e-105,9.295435771609922e-108,6.920343067810861e-107,1.1514859412695554e-110,4.798738957527011e-120,2.7599022254381754e-131,3.175654895296394e-126
5.5391422636424855e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999967,0.6699999999999975,3.3400470708605905e-15,2.608674805302693e-15,2.6601823778614913e-22,7.313725314853114e-16,6.101548723301736e-31,1.766276640713121e-26,1.447404588996113e-30,4.565064298233883e-34,6.081854746449292e-36,1.7661732408766936e-26,3.658253378459346e-26,4.687407567975414e-42,5.868618016965732e-49,1.4252335826551423e-57,1.0622361178947255e-57,3.381958750380525e-33,4.1610662767891e-31,5.218051284533798e-50,5.896479884848925e-57,3.91430303729004e-65,2.5068413932910097e-59,9.290276948048377e-80,9.231590751106105e-90,1.954512800014211e-72,5.3333007655613444e-79,1.8653143464870962e-88,1.7502291396141727e-101,1.8921593649100074e-102,9.94981522690333e-105,8.724441448923449e-104,2.4652815716902407e-107,2.052750621471039e-116,2.3642312363946203e-127,2.7169439603744795e-122
1.1404116425146293e-14,0.11224537200000019,0.0,0.0,0.0,0.0,0.32999999999999313,0.6699999999999947,6.87656693602887e-15,5.3708045819266906e-15,1.1105636909579136e-21,1.505763464286708e-15,2.970884221220406e-30,7.374690510989319e-26,1.4324006036738696e-29,3.8376140857855935e-33,5.203153985663846e-35,7.373605601264228e-26,1.527249580459634e-25,9.34893314662802e-41,2.3497254940142275e-47,8.005011024682675e-56,1.1965980222119406e-55,2.8427080622872063e-32,3.497587484383899e-30,8.968494600254548e-49,2.0314262020783603e-55,4.028793898281951e-63,1.8597317735817787e-57,1.3188805451920791e-77,2.734263812523401e-87,1.3482112359642705e-70,7.361826536527784e-77,5.148287150305754e-86,9.949740850871078e-99,1.0242746329812011e-99,9.904009551406877e-102,9.531330328721328e-101,4.908037360721439e-104,8.156914952861284e-113,1.8801830740938657e-123,2.159256836724384e-118
2.3134064748153908e-14,0.11224537200000036,0.0,0.0,0.0,0.0,0.3299999999999861,0.6699999999999892,1.3949604929326005e-14,1.0895074975537595e-14,4.536932623680938e-21,3.054534489172118e-15,1.318375738300355e-29,3.013506760011553e-25,1.2860796155626064e-28,3.146993509610712e-32,4.302067019738503e-34,3.0125055711964284e-25,6.239319466958515e-25,1.6881034926738113e-39,8.508668113637376e-46,3.625803916492395e-54,1.087480917630144e-53,2.3305487246518866e-31,2.867468851527912e-29,1.486461432443551e-47,6.74155945284261e-54,3.121393428767833e-61,1.1720093622719767e-55,1.7764356367223686e-75,7.51710794294604e-85,8.953528621857651e-69,9.78082203314278e-75,1.3667443504860203e-83,5.363642687863568e-96,5.040041886488764e-97,9.311106418446834e-99,9.420088123789915e-98,9.228708430490704e-101,3.0550784843802374e-109,1.4089572204327192e-119,1.6174619299520167e-114
4.659396139416914e-14,0.1122453720000007,0.0,0.0,0.0,0.0,0.3299999999999719,0.6699999999999781,2.8095673968203987e-14,2.1943659123601118e-14,1.8338340740961148e-20,6.15203317668332e-15,5.560423124452651e-29,1.2186837460775054e-24,1.092625596800519e-27,2.549641109084912e-31,3.498367315312076e-33,1.2178218272293058e-24,2.5220380236988817e-24,2.8783087632095883e-38,2.906507159194133e-44,1.4151291680250558e-52,8.516561596277347e-52,1.8872083425955515e-30,2.322045858393726e-28,2.4203145766565967e-46,2.1966367398454583e-52,1.8866824308044647e-59,6.348301976640944e-54,2.332038368495877e-73,1.9938274619295792e-82,5.8364180891620347e-67,1.2753220846806802e-72,3.5569722632447225e-81,2.8172524832595867e-93,2.254080419535062e-94,8.127721424242453e-96,8.439140693063657e-95,1.611225158336968e-97,1.058161646452595e-105,9.763273381296247e-116,1.1204653349997636e-110
9.35137546861996e-14,0.11224537200000141,0.0,0.0,0.0,0.0,0.3299999999999436,0.669999999999956,5.638778425862551e-14,4.404100085821581e-14,7.37323036028745e-20,1.234685710754641e-14,2.284197334146126e-28,4.904920282586265e-24,9.012949050046701e-27,2.0539888694013844e-30,2.821556528088836e-32,4.897764178336992e-24,1.01410468892185e-23,4.757897420363454e-37,9.618369512230163e-43,5.040640912774808e-51,6.084772994533472e-50,1.5187760250810365e-29,1.868815894522406e-27,3.9063893308715387e-45,7.092792353501033e-51,9.248803847529581e-58,2.967969722407409e-52,3.0227719378172063e-71,5.197135484240615e-80,3.769615835043781e-65,1.6475245129136243e-70,9.152059801033169e-79,1.4608623933778405e-90,9.011191468265118e-92,6.410409933892161e-93,6.74472741933263e-92,2.5417321706872487e-94,3.2855209687939546e-102,6.065271844640575e-112,6.9580555362974e-107
1.8735334127026052e-13,0.11224537200000277,0.0,0.0,0.0,0.0,0.32999999999988705,0.6699999999999118,1.1297189371836964e-13,8.823637804236431e-14,2.9565654798620495e-19,2.4735811231666468e-14,9.25860248760598e-28,1.9708215045281826e-23,7.322093688063455e-26,1.6511131807324698e-29,2.2664221068668328e-31,1.9649892773534536e-23,4.0670477954208883e-23,7.738712766379496e-36,3.1304868917655674e-41,1.7054662050839205e-49,4.126665280025208e-48,1.2183782967925095e-28,1.499336495402718e-26,6.277436582025237e-44,2.2799053577512024e-49,3.850674815901609e-56,1.2162822377490427e-50,3.893379758353633e-69,1.3436172895220212e-77,2.4235734508814066e-63,2.1185399930302564e-68,2.3342403190193364e-76,7.526713132981527e-88,3.1840725071119325e-89,4.488146330423704e-90,4.753885319505736e-89,3.5593920676532117e-91,8.918554541049615e-99,3.295039781477938e-108,3.7776191931667075e-103
