Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1234956784548475e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999999,2.486426595466632e-16,1.9419709174910918e-16,2.1470144296100498e-24,5.4445569943835506e-17,1.5873725936269528e-33,1.4254254026004897e-28,4.83719228527198e-34,4.594720885868853e-37,4.223669384064838e-39,1.4254247266515745e-28,2.9525259841686893e-28,2.10838916756646e-46,3.632626259836087e-54,1.938735741830651e-63,2.016745872095655e-64,3.4038514155035486e-36,4.1884451824073735e-34,4.8206910579572656e-54,7.454142712901749e-62,8.086756382284251e-72,2.3208360173568603e-65,-8.551361921536753e-86,-6.34687146593182e-97,3.427773890963194e-78,1.3064161240287807e-85,6.406308865510222e-96,-3.136519387257854e-109,-3.543627388548408e-110,-4.917774881854557e-113,-2.0661631488108126e-112,-1.7125635507334158e-116,-2.0082141205165137e-126,-3.115323045493377e-138,-3.7369513533951416e-133,-4.0116644599503313e-137
1.1545787899673575e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999935,0.6699999999999995,6.961994397753e-16,5.437519003018744e-16,1.2967953160008129e-23,1.5244755243695134e-16,1.5566067736853393e-32,8.609631140694781e-28,9.021911389543786e-33,5.454888440035003e-36,6.382809054103199e-38,8.609590323829333e-28,1.7833258065249584e-27,7.28913101622873e-45,2.296897525946898e-52,2.0683937780939378e-61,3.893446925882872e-62,4.041317022888982e-35,4.972515582860789e-33,1.3595119678252205e-52,3.858478831790414e-60,1.5433460323973844e-69,2.638575660861037e-63,3.1015159759508787e-84,5.801350506584338e-95,3.228043633473638e-76,2.2275926262069356e-83,1.972520507887883e-93,3.8192888339950374e-107,4.290004139540487e-108,8.233924372107164e-111,4.724957912128823e-110,5.1441544909555504e-114,1.0835421067437053e-123,3.1433977734373e-135,3.625487902871426e-130,4.88233313153476e-134
2.639037234211103e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.32999999999999846,0.6699999999999988,1.5913129724112574e-15,1.2428616910247255e-15,6.243496969096218e-23,3.4845134380018524e-16,1.108158887866227e-31,4.145254653817447e-27,1.3058986438706861e-31,5.355746691339268e-35,6.866334451271977e-37,4.1451725673042584e-27,8.585947243262626e-27,2.122020670003491e-43,1.3391694703932186e-50,2.082262951022295e-59,7.839012838385884e-60,3.967891003115302e-34,4.882031437809361e-32,2.957235289698242e-51,1.684762753926304e-58,3.029743952362336e-67,3.010575106360629e-61,6.392528061217681e-82,2.932033311858111e-92,2.821326427450399e-74,3.893294035936085e-81,6.891394132474031e-91,3.080393471501524e-104,3.4147762771926693e-105,1.0479217146191088e-107,7.83065657990322e-107,1.3142543222493652e-110,5.545033528740872e-120,3.228737289340461e-131,3.714667508262572e-126,7.113992250179515e-130
5.607954122698594e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999967,0.6699999999999974,3.381539926398804e-15,2.641081966938475e-15,2.7266866337477316e-22,7.404582320358982e-16,6.27606319697584e-31,1.8104359722494523e-26,1.5075916625307797e-30,4.737325620474132e-34,6.311343838074577e-36,1.8103281136252316e-26,3.749709737233492e-26,4.9434270374220277e-42,6.266318153337034e-49,1.5326180810444215e-57,1.1565022231345738e-57,3.5095708132665436e-33,4.318076885154336e-31,5.482215113221897e-50,6.271948497268024e-57,4.256681468972978e-65,2.7073003817416583e-59,1.0128897498601583e-79,1.0189955839967854e-89,2.104796497180401e-72,5.814730648161908e-79,2.0589445404152967e-88,1.9559253628788695e-101,2.113219274822307e-102,1.1228237873276076e-104,9.866936597347891e-104,2.8165978704862773e-107,2.374352975353997e-116,2.7686057302016492e-127,3.180952417049213e-122,9.183790246684406e-126
1.1545787899673575e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.32999999999999313,0.6699999999999946,6.961993389243575e-15,5.437525296628269e-15,1.1383275280754937e-21,1.5244692305541943e-15,3.0511425071447184e-30,7.559079325852779e-26,1.4896339379520228e-29,3.9824309347602284e-33,5.399486694879873e-35,7.557950294757911e-26,1.5654308404073535e-25,9.844079149852287e-41,2.5050110245592977e-47,8.576285893661956e-56,1.2979818080252293e-55,2.949971833994571e-32,3.629562364459201e-30,9.42252457861673e-49,2.160780791863972e-55,4.360781799021079e-63,2.003557302599238e-57,1.4379340376004619e-77,3.0181204383115263e-87,1.4518760217411148e-70,8.026368658655119e-77,5.682671338784736e-86,1.111908656576073e-98,1.1432959111163506e-99,1.1180006946172364e-101,1.0772203275035985e-100,5.609197708232927e-104,9.437536640047063e-113,2.202394746604626e-123,2.528369282936081e-118,1.1024152799555557e-121
2.342145545362354e-14,0.11224537200000038,0.0,0.0,0.0,0.0,0.32999999999998597,0.669999999999989,1.4122898534469094e-14,1.1030423067377922e-14,4.650353847418278e-21,3.092480115857383e-15,1.352725985478296e-29,3.088862449797119e-25,1.3361468613757083e-28,3.26575808675648e-32,4.464398633862794e-34,3.08782194355407e-25,6.395302621179874e-25,1.7757143000449426e-39,9.061709899850377e-46,3.873352089326813e-54,1.1762246180408749e-53,2.4184861505858698e-31,2.9756665572422845e-29,1.56171352226367e-47,7.170839907977706e-54,3.3637774120351115e-61,1.2596101491448648e-55,1.9367918641980823e-75,8.297508632205286e-85,9.641970783799494e-69,1.066372346848473e-74,1.5085905779621332e-83,5.99400537873018e-96,5.620195467114411e-97,1.050576506481498e-98,1.0635418754080411e-97,1.0542154120162983e-100,3.5328795774160333e-109,1.6495558461446676e-119,1.8926182063465197e-114,1.1786028865974963e-117
4.7172790561523466e-14,0.11224537200000073,0.0,0.0,0.0,0.0,0.32999999999997165,0.6699999999999778,2.84447017035221e-14,2.2216263053724567e-14,1.8796782320259666e-20,6.2284574401630756e-15,5.702415117869897e-29,1.2491655152500638e-24,1.1345313664932145e-27,2.6458767826024953e-31,3.630372579738373e-33,1.2482703958497743e-24,2.5850891099734636e-24,3.025938558051354e-38,3.093597318807361e-44,1.5088513103041235e-52,9.193904456104485e-52,1.9584157097123115e-30,2.409661862278771e-28,2.542842936245714e-46,2.3365113526947616e-52,2.025241433172394e-59,6.805775823449376e-54,2.5425477216531236e-73,2.2008276010615384e-82,6.28518359807326e-67,1.3904436300771309e-72,3.9260269027011666e-81,3.148349630348478e-93,2.509728973554661e-94,9.159080467386044e-96,9.513087141027725e-95,1.838237169323099e-97,1.2220028136945682e-105,1.141508765637681e-115,1.3090578700239056e-110,1.063465857909418e-113
9.467546077732331e-14,0.11224537200000141,0.0,0.0,0.0,0.0,0.329999999999943,0.6699999999999554,5.708827955969989e-14,4.4588120800743864e-14,7.557547486992985e-20,1.2500234308634989e-14,2.341915812937976e-28,5.027661573539834e-24,9.35587049144879e-27,2.1315396941046737e-30,2.928023381483298e-32,5.020232610770533e-24,1.039457415350149e-23,5.000379486859523e-37,1.023423977866694e-42,5.368414578789171e-51,6.561243160767339e-50,1.5760790900320664e-29,1.9393283406577583e-27,4.10415007804944e-45,7.54443788214726e-51,9.895795364761463e-58,3.1740602720057232e-52,3.295631884753832e-71,5.736744595163579e-80,4.059463531782507e-65,1.796244159435496e-70,1.0101111432815154e-78,1.632549226498266e-90,1.0013240631313138e-91,7.210379499087341e-93,7.587657838343609e-92,2.8944400149900443e-94,3.786426861377502e-102,7.076864448827309e-112,8.111230453646809e-107,7.837651029546442e-110
1.8968080120892301e-13,0.11224537200000283,0.0,0.0,0.0,0.0,0.3299999999998857,0.6699999999999107,1.143753213736469e-13,8.93325473515823e-14,3.030468680780387e-19,2.504307696552478e-14,9.491289166635962e-28,2.0201869687245695e-23,7.599523808732337e-26,1.7134904890760372e-29,2.3519417930316022e-31,2.0141335257027473e-23,4.168724866553009e-23,8.131793476687606e-36,3.3303794959281393e-41,1.8152458821617944e-49,4.447003481020869e-48,1.2643429888323578e-28,1.555904596799264e-26,6.59523112528199e-44,2.4250820570933887e-49,4.110136173853612e-56,1.298064901614234e-50,4.244825739990404e-69,1.4831432115539304e-77,2.609922987120449e-63,2.309777284628178e-68,2.5760333480123608e-76,8.411276744057608e-88,3.530713403970887e-89,5.0377969359516394e-90,5.336519372891339e-89,4.044939715442074e-91,1.0253221285628001e-98,3.8352622077777776e-108,4.392508674438536e-103,4.699734151844909e-106
