Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1734792692051865e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999998,2.5165661998178416e-16,1.9655108200241002e-16,2.1993806054129174e-24,5.510554017800385e-17,1.641153588804499e-33,1.4601919838665565e-28,5.061700188827132e-34,4.763841651144585e-37,4.379132299745158e-39,1.4601912365748666e-28,3.0245388154372396e-28,2.2329888740245433e-46,3.8939396634906594e-54,2.10099361987441e-63,2.212028017072828e-64,3.5291387428064726e-36,4.342611504215936e-34,5.058714829127879e-54,7.91701227281498e-62,8.868255587741932e-72,2.5175691242548354e-65,-9.303884641435919e-86,-6.989103607816589e-97,3.6847539918055434e-78,1.4213812437284912e-85,7.0545489175157434e-96,-3.495766672292651e-109,-3.949151037433558e-110,-5.514423718825826e-113,-2.3337760256212404e-112,6.769279274386599e-116,7.316193899803431e-124,3.0043565877578348e-108,1.4535134312011252e-107,4.3349015967554297e-106,1.3662134753666427e-34
1.1685741953774522e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999993,0.6699999999999995,7.046385288239962e-16,5.503430740697597e-16,1.3284244346742377e-23,1.5429546803394533e-16,1.6067028283734312e-32,8.81962400213965e-28,9.42597346817887e-33,5.6556706383650904e-36,6.617744606398914e-38,8.8195809630282e-28,1.8268215607368135e-27,7.70824801693533e-45,2.4584684575845896e-52,2.2364627960362888e-61,4.260902406840444e-62,4.190067773442011e-35,5.1555415173111635e-33,1.4266384887535357e-52,4.098073470814891e-60,1.6884789104014495e-69,2.857694084956523e-63,3.3744505802464587e-84,6.388382480463307e-95,3.470049988362693e-76,2.423621648687112e-83,2.1721138940632144e-93,4.256738611731542e-107,4.7806080393238295e-108,9.242998400463292e-111,5.333498793340757e-110,1.4355385060597635e-112,7.5255632524759945e-121,1.6638918210729607e-105,2.512725292501559e-104,4.16097833528646e-103,8.251929436349085e-34
2.6710267322913192e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999984,0.6699999999999988,1.6106023180085378e-15,1.2579272360563447e-15,6.395777035660568e-23,3.526751458881266e-16,1.1413664624768372e-31,4.246360823060505e-27,1.3615464888716858e-31,5.552881526694323e-35,7.119067384629943e-37,4.246274957050551e-27,8.795360618476092e-27,2.2394280263256975e-43,1.430445304068779e-50,2.243747482635417e-59,8.549525617203458e-60,4.113938904440704e-34,5.061726701829855e-32,3.103250129187582e-51,1.7893791457224607e-58,3.302352115004467e-67,3.253121051644513e-61,6.95507295244767e-82,3.228722937450084e-92,3.032841204839858e-74,4.23590543675316e-81,7.588701220687441e-91,3.4332123669675405e-104,3.8046938995255445e-105,1.1779937500837221e-107,8.834288430645219e-107,5.737236548086702e-109,1.8988398704047186e-117,1.90809184817441e-102,1.0846431380058795e-100,8.984408490234575e-100,3.9729488507907704e-33
5.675931806119053e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999966,0.6699999999999974,3.42252978237902e-15,2.673096271435778e-15,2.793190878595898e-22,7.494337901669644e-16,6.450980906945291e-31,1.85459539557746e-26,1.568691081558089e-30,4.911701008064623e-34,6.543648921790575e-36,1.8544830060720613e-26,3.8411660968917143e-26,5.20658860537737e-42,6.680193956355401e-49,1.645099331564262e-57,1.2564715546178097e-57,3.638748728672824e-33,4.4770140948707715e-31,5.752901977262768e-50,6.661409038097672e-57,4.6192916138208405e-65,2.9182490748362735e-59,1.1020244157131602e-79,1.1221072453445516e-89,2.26259303691403e-72,6.326429209203297e-79,2.2672719240118028e-88,2.1799510397540816e-101,2.3538129769464296e-102,1.2634212206439477e-104,1.1125893897497627e-103,1.3583143322850031e-105,3.429126801015277e-114,1.3106156105630572e-99,2.6585436638794516e-97,1.1010392642866593e-96,1.7350911787791836e-32
1.1685741953774523e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.32999999999999297,0.6699999999999946,7.046384255132997e-15,5.5034371878094404e-15,1.16609135591512e-21,1.5429482330167943e-15,3.1314920100891526e-30,7.743468937034969e-26,1.5476589092559626e-29,4.12902531204015e-33,5.59822854362264e-35,7.742295153823867e-26,1.6036121010981906e-25,1.0352339848222252e-40,2.6663847543913875e-47,9.172550545838763e-56,1.4051180814566237e-55,3.0585517447516823e-32,3.763156619752412e-30,9.887765986576786e-49,2.2949558120892576e-55,4.710757677426337e-63,2.154545826967215e-57,1.5644727080422413e-77,3.323525532445007e-87,1.5607231207461813e-70,8.732692173734636e-77,6.2576129016464376e-86,1.2392631820057186e-98,1.2727550251389003e-99,1.2583579094798035e-101,1.2138598658971072e-100,2.1331321867541696e-102,5.818021671675699e-111,6.319533891412352e-97,4.215933953886333e-94,8.730759892569351e-94,7.243664425602631e-32
2.370536224908546e-14,0.11224537200000038,0.0,0.0,0.0,0.0,0.3299999999999857,0.6699999999999889,1.4294091376752383e-14,1.116413040293392e-14,4.763774995092831e-21,3.129965735967101e-15,1.3870950247670514e-29,3.164218798022103e-25,1.386868710371433e-28,3.3859808601730136e-32,4.628722169492639e-34,3.16313845165174e-25,6.5512857814937145e-25,1.8655714835876938e-39,9.635935599956272e-46,4.131051945506335e-54,1.2697555579401865e-53,2.5075025272833635e-31,3.0851918437482936e-29,1.6388238228120793e-47,7.61611760252197e-54,3.61819635647104e-61,1.3513521710747708e-55,2.1072300600048923e-75,9.137153715237573e-85,1.0364828895173474e-68,1.1602135071025369e-74,1.661200073345093e-83,6.6805391370798e-96,6.250563579376169e-97,1.1819093484551982e-98,1.197221912780593e-97,2.3955964371231805e-99,9.761006908556128e-108,2.3730706297560245e-94,4.6726583024229106e-91,4.839785184110218e-91,2.9592735239911123e-31
4.774460283970733e-14,0.1122453720000007,0.0,0.0,0.0,0.0,0.3299999999999712,0.6699999999999776,2.878949832491178e-14,2.2485562362035272e-14,1.9255223283638378e-20,6.303955211526524e-15,5.844444867521395e-29,1.279647818739459e-24,1.1769683497546395e-27,2.7432947530031994e-31,3.763997638979469e-33,1.278719074386115e-24,2.6481402011817895e-24,3.177285399890548e-38,3.28775986086224e-44,1.606255735600632e-52,9.906579809807758e-52,2.0304966738375246e-30,2.498352844569045e-28,2.668396904575157e-46,2.4815984246881256e-52,2.170131946284919e-59,7.283675922596326e-54,2.7662922554828105e-73,2.4235431012640362e-82,6.756383354426672e-67,1.5128031444602258e-72,4.323073794211122e-81,3.508950458890998e-93,2.7870611253185416e-94,1.0291356570970254e-95,1.0692454603756834e-94,2.104294979932556e-96,1.5191526242507732e-104,7.551074419824401e-92,3.9037097814690043e-88,2.023414894674703e-88,1.1961858761646206e-30
9.582308402095108e-14,0.11224537200000143,0.0,0.0,0.0,0.0,0.32999999999994223,0.669999999999955,5.778028304471187e-14,4.512860839039786e-14,7.741864118043424e-20,1.2651752046530241e-14,2.3996417520532533e-28,5.150407166648539e-24,9.703069165107446e-27,2.2100444065342264e-30,3.0357966537668526e-32,5.142701927742951e-24,1.064810145749384e-23,5.24890821002605e-37,1.087322752419598e-42,5.70874752683181e-51,7.06207968245121e-50,1.6340850342339602e-29,2.010705812192609e-27,4.3067941508067844e-45,8.012914069934e-51,1.0570291701622025e-57,3.388839812703796e-52,3.5856470485150666e-71,6.3173251152222225e-80,4.363800993703685e-65,1.9543141593589946e-70,1.1122088235763437e-78,1.8195347742469103e-90,1.1098076524413718e-91,8.08694287625089e-93,8.511428688252329e-92,1.6226670254851497e-93,2.206778979510148e-101,2.1735529172106956e-89,2.6650663754144156e-85,6.92108940018564e-86,4.809812431069141e-30
1.9198004638343856e-13,0.11224537200000288,0.0,0.0,0.0,0.0,0.3299999999998842,0.6699999999999097,1.157617358086198e-13,9.041542884576752e-14,3.104371484112327e-19,2.5346617294071802e-14,9.723989848082887e-28,2.069555884329523e-23,7.880385427033792e-26,1.7766368777431443e-29,2.438510858972673e-31,2.0632784835826047e-23,4.2704019695466164e-23,8.534627221713973e-36,3.537747768649053e-41,1.929175046365079e-49,4.7835451530638766e-48,1.310871267313126e-28,1.6131664885227646e-26,6.920872979659171e-44,2.5756687854964208e-49,4.380044487152583e-56,1.383133973565517e-50,4.61836758030998e-69,1.6332653774531032e-77,2.805588292496679e-63,2.513038090031033e-68,2.836121343656198e-76,9.374661254130353e-88,3.905220984428805e-89,5.638846958580251e-90,5.9736833564494726e-89,1.2374360612738039e-90,3.204034222754511e-98,5.914038316196986e-87,1.5990593722701476e-82,2.0855348283528043e-83,1.9289512193744842e-29
