Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2228712756529903e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999998,2.546349084756521e-16,1.988772114424325e-16,2.251746780157928e-24,5.575769928419771e-17,1.695384096355056e-33,1.4949585698209898e-28,5.290843053133288e-34,4.934987954743395e-37,4.5364571573277664e-39,1.4949577483859843e-28,3.0965516467905105e-28,2.361699310513711e-46,4.167128032054493e-54,2.272444347382276e-63,2.420858101866257e-64,3.65592660155433e-36,4.4986242352507255e-34,5.302473761542968e-54,8.396711486573301e-62,9.703808431827502e-72,2.7256815462330553e-65,-1.0102558951469134e-85,-7.678885104870592e-97,3.9542670252145207e-78,1.5433970223051298e-85,7.750782052699432e-96,-3.8862315877997475e-109,-4.389870197095333e-110,-6.166933239412625e-113,-2.6284660714087417e-112,7.768423803201483e-116,8.296712552707734e-124,3.3662684143863093e-108,1.666658775956706e-107,4.9124451656048055e-106,1.3987423676448214e-34,7.774828475328212e-114
1.1824039571828372e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999993,0.6699999999999995,7.129777364371839e-16,5.568562375604652e-16,1.3600535520917783e-23,1.561215124726107e-16,1.6571201829033795e-32,9.029616940480623e-28,9.83766175753977e-33,5.8588576171973935e-36,6.855493925155664e-38,9.029571624639266e-28,1.8703173150492493e-27,8.14048255793193e-45,2.6271138520393792e-52,2.413623593567761e-61,4.652914794476706e-62,4.340600065351803e-35,5.340759501016595e-33,1.4953824057238023e-52,4.3463795920852416e-60,1.8432565803646862e-69,3.089095344452774e-63,3.664123870217895e-84,7.018876581508313e-95,3.7238589784231005e-76,2.6316728532878834e-83,2.3864841815016064e-93,4.732201401267275e-107,5.3137503817012264e-108,1.0347796261804905e-110,6.003212037456068e-110,1.6391172712960452e-112,8.520974879273294e-121,1.8603376714858296e-105,2.8740416821612417e-104,4.703637944847827e-103,8.4484039473315e-34,1.4186946773433233e-110
2.7026376164179137e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999835,0.6699999999999988,1.629663363181799e-15,1.2728144718829826e-15,6.548057089894646e-23,3.5684895675703134e-16,1.1747104276435949e-31,4.347467085706358e-27,1.4181221375754074e-31,5.752377548514077e-35,7.374827239232023e-37,4.347377368801147e-27,9.004773994677086e-27,2.3602553540804433e-43,1.5255200104176414e-50,2.413357553462137e-59,9.304834641090618e-60,4.261735965394177e-34,5.243574116331761e-32,3.2527831519102286e-51,1.8977993076030074e-58,3.5919484552816017e-67,3.5086609835777704e-61,7.552117899971775e-82,3.547378650420072e-92,3.2546715381067077e-74,4.599528699320877e-81,8.337632086426267e-91,3.816690103911034e-104,4.228346888141909e-105,1.3205974041146759e-107,9.938226488146786e-107,6.530456363355007e-109,2.1468738623989507e-117,2.126233470276985e-102,1.235629939470601e-100,1.0115375731192282e-99,4.067542871851242e-33,6.329068113085734e-107
5.743104934888067e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999965,0.6699999999999974,3.463034499958197e-15,2.7047316688724947e-15,2.8596951125382086e-22,7.583031169575789e-16,6.626288633074497e-31,1.8987549096815186e-26,1.630692756584952e-30,5.0881651457263336e-34,6.778736267042048e-36,1.898637917981227e-26,3.932622457423395e-26,5.4769067018842354e-42,7.110482300947095e-49,1.7627814763346334e-57,1.3623340521510036e-57,3.7694737396024313e-33,4.637854828006888e-31,6.03011095387708e-50,7.065030052854301e-57,5.0027737995079786e-65,3.1399577507686445e-59,1.1966255778302442e-79,1.2328530643821312e-89,2.4280852965589845e-72,6.86950949559188e-79,2.4910216104145938e-88,2.4234438265828775e-101,2.6151368531623804e-102,1.4176980154197335e-104,1.2509967603849375e-103,1.539367634745549e-105,3.878948528136314e-114,1.4549810876334734e-99,3.0139015053924905e-97,1.2336141246778643e-96,1.776402874310763e-32,1.573414829478646e-103
1.1824039571828372e-14,0.11224537200000019,0.0,0.0,0.0,0.0,0.32999999999999285,0.6699999999999945,7.12977630666735e-15,5.568568976218805e-15,1.19385517458793e-21,1.5612085238961211e-15,3.211929545750501e-30,7.927859335206145e-26,1.606466243957891e-29,4.277375938691421e-33,5.79935067469199e-35,7.926640176478748e-26,1.6417933625232194e-25,1.0873728501241784e-40,2.8339287230908005e-47,9.794231067421128e-56,1.5181785517710664e-55,3.168432028071806e-32,3.898350851871569e-30,1.036421723019616e-48,2.4340093273306324e-55,5.079204736962707e-63,2.3128643829637012e-57,1.6987718013264404e-77,3.6515424657142467e-87,1.6748786793219234e-70,9.482333469250423e-77,6.875112446094998e-86,1.3776843960092468e-98,1.4132836865179296e-99,1.4123975291319185e-101,1.3639742130836368e-100,2.4059570431235077e-102,6.591666713524527e-111,6.99112750671369e-97,4.754973858787892e-94,9.731921466881666e-94,7.416132633275133e-32,2.506414509464886e-100
2.3985908845708985e-14,0.11224537200000036,0.0,0.0,0.0,0.0,0.3299999999999855,0.6699999999999887,1.4463258052772582e-14,1.1296255244295599e-14,4.877196067615766e-21,3.1670076840079713e-15,1.421482189561803e-29,3.239575796843012e-25,1.4382373650619094e-28,3.5076443841240144e-32,4.795013766936902e-34,3.2384550938633678e-25,6.70726894782684e-25,1.9576761569517406e-39,1.0231616763720345e-45,4.3990536461735425e-54,1.3682051796887703e-53,2.5975849283860923e-31,3.196028807072302e-29,1.7177920692313214e-47,8.077585228212895e-54,3.884921493699629e-61,1.4473215719526128e-55,2.288120956326324e-75,1.0038966914836135e-84,1.1122940693925005e-68,1.25980980575704e-74,1.825103573377154e-83,7.426730317263307e-96,6.934123859187258e-97,1.3259602122590408e-98,1.343926335341086e-97,2.6905455593581085e-99,1.1058604261610016e-107,2.6181029324448283e-94,5.24532648838801e-91,5.36944432541931e-91,3.029732423348996e-31,2.778353263599781e-97
4.8309647393470206e-14,0.11224537200000073,0.0,0.0,0.0,0.0,0.32999999999997087,0.6699999999999773,2.913021407622273e-14,2.2751674393306088e-14,1.9713663638476212e-20,6.37855938985053e-15,5.986511028268139e-29,1.3101306501532981e-24,1.2199301914452303e-27,2.841880892278212e-31,3.8992230907307925e-33,1.3091678615214944e-24,2.7111912972645812e-24,3.332350192324303e-38,3.489083006195565e-44,1.7073921492179148e-52,1.0655507222601702e-51,2.1034407668557254e-30,2.58810592581468e-28,2.7969760497881097e-46,2.6319607409039494e-52,2.3214733404544835e-59,7.782374112386027e-54,3.0037586486083127e-73,2.6627495930206797e-82,7.250563440562521e-67,1.6426667814450305e-72,4.749492244254122e-81,3.900886155650539e-93,3.0873235292154334e-94,1.1531627515849782e-95,1.1984664479855936e-94,2.3566440018874125e-96,1.7191810607759758e-104,8.315570788566707e-92,4.365788159594048e-88,2.2365091943742466e-88,1.2246664971214156e-30,2.3181219345760106e-94
9.695712448899265e-14,0.11224537200000144,0.0,0.0,0.0,0.0,0.32999999999994156,0.6699999999999544,5.846409625201703e-14,4.566269913731636e-14,7.926180259377994e-20,1.2801476349449311e-14,2.457374882897635e-28,5.2731570103794304e-24,1.005449383792552e-26,2.2894916352294937e-30,3.144860696277982e-32,5.26517211865523e-24,1.0901628800718409e-23,5.503484305230038e-37,1.153561703133733e-42,6.061800721577778e-51,7.587897541459309e-50,1.6927854320321957e-29,2.0829379426262464e-27,4.514320851460133e-45,8.498423643887925e-51,1.1272734364155294e-57,3.612446392073017e-52,3.8934482473487656e-71,6.940899572400552e-80,4.682980921281051e-65,2.122078341726916e-70,1.2218529240883789e-78,2.0227685624866185e-90,1.2270277165644369e-91,9.045310247872334e-93,9.521549698620508e-92,1.815580977184971e-93,2.4962824428661284e-101,2.3910133188975653e-89,2.9728628255930705e-85,7.630518963711805e-86,4.9243318139938854e-30,1.5804422246803144e-91
1.9425207868003753e-13,0.11224537200000291,0.0,0.0,0.0,0.0,0.3299999999998829,0.6699999999999086,1.171317411506556e-13,9.148549436579038e-14,3.178273894623726e-19,2.56465645038048e-14,9.956704005155795e-28,2.1189282099748255e-23,8.164637415359469e-26,1.8405432218192327e-29,2.5261167348341777e-31,2.1124241424879853e-23,4.372079104018839e-23,8.947214533707276e-36,3.7526829606000924e-41,2.047305429983724e-49,5.1366924898581155e-48,1.3579563711812193e-28,1.6711138521125588e-26,7.25436102290057e-44,2.731730706742206e-49,4.660548480789637e-56,1.4715361868508485e-50,5.014817755394265e-69,1.794507063913454e-77,3.0107961238501347e-63,2.7287645332407903e-68,3.115401968355005e-76,1.042175863811148e-87,4.3090775942236715e-89,6.294683206203015e-90,6.668973943164863e-89,1.3856391266155832e-90,3.626883746604496e-98,6.501828706036057e-87,1.7809249030182908e-82,2.2958065647018585e-83,1.9748786610203946e-29,9.473589940841098e-89
