Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.271692218662853e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999998,2.5757876241586045e-16,2.0117644650451697e-16,2.3041129538574595e-24,5.640231821466985e-17,1.7500556461526984e-33,1.5297251604410615e-28,5.524598776149907e-34,5.10813610267691e-37,4.695622175966096e-39,1.5297242620628425e-28,3.16856447822751e-28,2.4945520904842297e-46,4.452428242243666e-54,2.45336946082292e-63,2.6438191374178292e-64,3.7841974385416125e-36,4.65646177627951e-34,5.55196819812768e-54,8.893440074387754e-62,1.0595727989678418e-71,2.9455374838728157e-65,-1.0949043087204521e-85,-8.418507114171087e-97,4.2366116439769223e-78,1.6727168463410994e-85,8.497321063617402e-96,-4.309805470853696e-109,-4.867913034126976e-110,-6.879063993003866e-113,-2.9522421011517745e-112,8.886221063653258e-116,9.381191811509146e-124,3.761791895069905e-108,1.9049808618537735e-107,5.550725294491715e-106,1.4312712599232638e-34,8.899151302750341e-114,-6.21355322394135e-101
1.196073821225599e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999993,0.6699999999999995,7.2122052730012485e-16,5.632940967929445e-16,1.3916826682681274e-23,1.5792644441925533e-16,1.7078514715607614e-32,9.239609955178895e-28,1.0256923117890881e-32,6.064421247313477e-36,7.096024095158149e-38,9.239562308400352e-28,1.9138130694610927e-27,8.585910646707114e-45,2.8029622405825274e-52,2.6001293090020953e-61,5.070474379592447e-62,4.4928930580452325e-35,5.528143891368588e-33,1.5657438265562091e-52,4.6035006074505053e-60,2.008063796445493e-69,3.3331492968360937e-63,3.971137430669876e-84,7.694927363138262e-95,3.9897518800581696e-76,2.8521783113769847e-83,2.616343472663161e-93,5.24798043940972e-107,5.891999632591366e-108,1.1554881724306718e-110,6.738600409855633e-110,1.8657966320082324e-112,9.620235524554727e-121,2.0745463764693508e-105,3.276990886941693e-104,5.301804365584897e-103,8.644878458334508e-34,1.6189436110019005e-110,4.026530196986602e-99
2.7338830199442264e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999835,0.6699999999999987,1.6485040272116385e-15,1.287529583690816e-15,6.7003371319427e-23,3.609745105013173e-16,1.2081869702187183e-31,4.448573440884138e-27,1.4756169541364795e-31,5.954207139726673e-35,7.633578606391599e-37,4.448479802298639e-27,9.214187371854067e-27,2.484515005150635e-43,1.6244544512825704e-50,2.591287357357568e-59,1.0106572561156978e-59,4.411261723960607e-34,5.427548505249996e-32,3.405834598402e-51,2.010068396823573e-58,3.899137624981683e-67,3.777553552259652e-61,8.184902833363001e-82,3.889059065251642e-92,3.487063270412518e-74,4.984918988671383e-81,9.140674394971774e-91,4.232684329837873e-104,4.6877652272889506e-105,1.4766090992842572e-107,1.1149800169470644e-106,7.410757553029297e-109,2.420438963746975e-117,2.363283606381649e-102,1.403319825361988e-100,1.1356865540291281e-99,4.162136892939596e-33,7.191096487041272e-107,1.6989592043417029e-96
5.809501417381481e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.3299999999999965,0.6699999999999973,3.5030709076076036e-15,2.7360013027692513e-15,2.9261993357022432e-22,7.670698973583799e-16,6.801973864414398e-31,1.9429145135791977e-26,1.6935869277124773e-30,5.266693606696337e-34,7.016573327145603e-36,1.9427928491250543e-26,4.024078818818329e-26,5.754395285543299e-42,7.55741742796682e-49,1.885767923637544e-57,1.4742809050189416e-57,3.9017277473897396e-33,4.800576816618238e-31,6.313842493542608e-50,7.482979656017356e-57,5.4077711154422244e-65,3.372696599526895e-59,1.2968897024852547e-79,1.3516009606091432e-89,2.60145668447802e-72,7.445099369804617e-79,2.7309367092928934e-88,2.6875832545910584e-101,2.898430203877852e-102,1.5866216189097013e-104,1.4028229983150494e-103,1.7393994168409585e-105,4.3754642106260346e-114,1.6112742193394872e-99,3.406633750769355e-97,1.378428468309831e-96,1.8177145698700494e-32,1.778832113243165e-103,5.404774270994639e-94
1.1960738212255989e-14,0.11224537200000019,0.0,0.0,0.0,0.0,0.3299999999999928,0.6699999999999944,7.212204190699238e-15,5.6329477220458916e-15,1.2216189842011617e-21,1.5792576898552533e-15,3.292452110482274e-30,8.11225051135713e-26,1.666046987018444e-29,4.4274622826272085e-33,6.002825243715056e-35,8.110985360808817e-26,1.6799746246738637e-25,1.1408257912733312e-40,3.007724015944611e-47,1.0441749325371008e-55,1.6373355413120013e-55,3.279597470838877e-32,4.035126343267648e-30,1.0851879087496888e-48,2.5779992564296443e-55,5.466605914345936e-63,2.4786795330904383e-57,1.8411102279092397e-77,4.003261018644348e-87,1.794469211992184e-70,1.027684939390126e-76,7.537220218834045e-86,1.5278428396963933e-98,1.5655357573420534e-99,1.5810876253861928e-101,1.528529700643747e-100,2.7059439156462282e-102,7.446857807187245e-111,7.715755680735049e-97,5.347681386215651e-94,1.0819954559114555e-93,7.58860084119261e-32,2.8191514434594604e-100,1.5374365459923718e-91
2.4263211802005005e-14,0.11224537200000036,0.0,0.0,0.0,0.0,0.32999999999998536,0.6699999999999886,1.4630468846144984e-14,1.1426852484990301e-14,4.99061706586629e-21,3.2036213500679516e-15,1.4558868517069172e-29,3.3149334386901365e-25,1.4902453001231727e-28,3.63073182518274e-32,4.963250403929642e-34,3.3137718686199563e-25,6.863252120108941e-25,2.05202939486889e-39,1.084902174069358e-45,4.677505666319908e-54,1.4717051614996036e-53,2.6887208812239016e-31,3.3081621014368524e-29,1.7986183907688908e-47,8.555434997747562e-54,4.1642227385100226e-61,1.5476040137611115e-55,2.4798402239042807e-75,1.100594458104104e-84,1.1917146369383193e-68,1.3653680836386504e-74,2.000844973418607e-83,8.236193610727085e-96,7.673954379610591e-97,1.4836190216539753e-98,1.5045729971366113e-97,3.0135128722914115e-99,1.2492405728307088e-107,2.8818112828943274e-94,5.872140645394406e-91,5.942445884838156e-91,3.1001913229125355e-31,3.1105383510443466e-97,4.1454833583810204e-89
4.8868158981503037e-14,0.11224537200000073,0.0,0.0,0.0,0.0,0.32999999999997054,0.6699999999999771,2.946699051459562e-14,2.3014709707739964e-14,2.0172103391893178e-20,6.452300972072805e-15,6.128612332760288e-29,1.3406140033232364e-24,1.263410759166379e-27,2.9416215682831895e-31,4.036030213668037e-33,1.339616755985298e-24,2.774242398164903e-24,3.4911338071394414e-38,3.697653932323142e-44,1.8123096761698903e-52,1.1441607073284141e-51,2.1772378880604173e-30,2.6789086786075403e-28,2.9285805825187938e-46,2.7876609310859126e-52,2.4793839939611882e-59,8.30223912797437e-54,3.255440063481335e-73,2.9192419791280905e-82,7.768271538808671e-67,1.7803042405872998e-72,5.206695700233174e-81,4.326055316090027e-93,3.411802535841434e-94,1.2887282421818362e-95,1.339746615522803e-94,2.632210106770105e-96,1.9399233985244193e-104,9.136975101465817e-92,4.86977217087817e-88,2.4662348697324394e-88,1.2531471182466933e-30,2.585796677677918e-94,1.0889081054207356e-86
9.807805334049911e-14,0.11224537200000144,0.0,0.0,0.0,0.0,0.32999999999994084,0.6699999999999539,5.914000328580679e-14,4.619061493505362e-14,8.11049591672748e-20,1.294946942802936e-14,2.515114952438257e-28,5.3959110550076094e-24,1.0410095074322732e-26,2.369870407845698e-30,3.255200409590426e-32,5.387643173280359e-24,1.1155156182716934e-23,5.764108462310183e-37,1.222168921706155e-42,6.42773322833119e-51,8.139311987595687e-50,1.7521721534951644e-29,2.1560147293004576e-27,4.726730519952369e-45,9.001168830689144e-51,1.200356023356371e-57,3.8450166260052664e-52,4.219674703924932e-71,7.609540772662597e-80,5.017357049017456e-65,2.299885116657893e-70,1.3394060786379184e-78,2.2432350701175164e-90,1.35345565101013e-91,1.0090910027573033e-92,1.0623761942768228e-91,2.026057473195359e-93,2.815601301835145e-101,2.6244361573071316e-89,3.3077773171345575e-85,8.393541819246616e-86,5.0388511982827766e-30,1.7585150110271922e-91,2.823497201998201e-84
1.9649784205849126e-13,0.11224537200000291,0.0,0.0,0.0,0.0,0.3299999999998815,0.6699999999999074,1.1848590659804674e-13,9.254318847190821e-14,3.2521759169131753e-19,2.594304323275943e-14,1.0189431141820633e-27,2.1683039057440453e-23,8.452240089435645e-26,1.905200716656748e-29,2.614747291935865e-31,2.1615704942123612e-23,4.473756269601949e-23,9.369555924895876e-36,3.97527524149558e-41,2.1696881529911462e-49,5.506847770100932e-48,1.4055917766820884e-28,1.7297386610686343e-26,7.595695800709039e-44,2.8933328239761483e-49,4.951795179972629e-56,1.563317743243729e-50,5.43499956564458e-69,1.9674045675515175e-77,3.2257739029887195e-63,2.9574046291053777e-68,3.4147948837169107e-76,1.1557640943133984e-87,4.743806791739946e-89,7.008827641938691e-90,7.426131518251947e-89,1.5474338044460656e-90,4.093498130199931e-98,7.132434029369484e-87,1.9785313177016896e-82,2.521657913259605e-83,2.0208061037646774e-29,1.0524826284830377e-88,7.274116120172248e-82
3.933374194944755e-13,0.11224537200000585,0.0,0.0,0.0,0.0,0.3299999999997628,0.6699999999998147,2.371772245622819e-13,1.8525138751432934e-13,1.3021697875922434e-18,5.19271387736814e-14,4.1009044571665674e-27,8.718979815057629e-23,6.810892451774029e-25,1.5321328712986116e-28,2.0960328543786518e-30,8.664639828417971e-23,1.791867815958564e-22,1.5108087058071481e-34,1.282336883470497e-39,7.133387607105508e-48,3.626235961965411e-46,1.1255170111227399e-27,1.3853714684152328e-25,1.2179435058097343e-42,9.279389918350049e-48,1.8304071068909597e-54,5.760464034877731e-49,6.978071312427338e-67,7.708518494047132e-75,2.069172911613913e-61,3.794123616114163e-66,8.612251839354734e-74,5.935348324173964e-85,1.486031670924004e-86,4.3482466147431525e-87,4.621920570508823e-86,1.5650913518649364e-87,7.733926034762298e-95,2.855766718305875e-84,1.7117373965136822e-79,1.1016486243876174e-80,8.09377614732191e-29,9.108359875450742e-86,1.9045709618648927e-79
