Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3199614594616955e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999998,2.6048934926501133e-16,2.0344969901057238e-16,2.3564791265234594e-24,5.703965261011353e-17,1.8051600904805533e-33,1.564491755704505e-28,5.762945694595351e-34,5.283263213550527e-37,4.8566063217924006e-39,1.5644907775841155e-28,3.2405773097472805e-28,2.631578199812769e-46,4.750075913086846e-54,2.6440519114982866e-63,2.8815043180583753e-64,3.9139343025537476e-36,4.816103268820341e-34,5.807198138877825e-54,9.40739492288803e-62,1.1546367032140409e-71,3.1775036392919014e-65,-1.184501412957755e-85,-9.210314548687144e-97,4.532086257037543e-78,1.8095969722850045e-85,9.296532691604009e-96,-5.407919567460593e-109,-5.385482856381688e-110,-7.654735639414108e-113,-3.307210154137635e-112,1.0133499080700416e-115,1.0577874178817069e-123,4.1931610117499376e-108,2.170766394152972e-107,6.254498492904673e-106,1.463800152201966e-34,1.0154654753776987e-113,-6.788278876988715e-101,-2.8740862966067934e-93
1.2095892086492746e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999993,0.6699999999999995,7.293701703081045e-16,5.696592048685427e-16,1.4233117832174722e-23,1.5971097966782034e-16,1.7588896367359555e-32,9.449603045708574e-28,1.0683705676988577e-32,6.272334364198313e-36,7.33930333002538e-38,9.449553014058273e-28,1.9573088239712054e-27,9.04460647781288e-45,2.986141196316505e-52,2.7962335065083707e-61,5.514585746985424e-62,4.6469266256810753e-35,5.717669925177366e-33,1.637722751248471e-52,4.8695384310912536e-60,2.1832906499464425e-69,3.5902275498175936e-63,4.296099445863616e-84,8.418678191995111e-95,4.268009714439438e-76,3.0855749702190014e-83,2.862420463975515e-93,6.540014841586875e-107,6.518014452219791e-108,1.287110395320543e-110,7.544382058541191e-110,2.117573733624315e-112,1.0831409832931293e-120,2.3076534558184168e-105,3.725230335710794e-104,5.959659312203154e-103,8.841352969357868e-34,1.8418676809698824e-110,4.394048840769926e-99,1.847597098900661e-91
2.764775334055485e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999835,0.6699999999999987,1.6671317818587105e-15,1.3020784071400644e-15,6.852617161944023e-23,3.6505344322142144e-16,1.241792457548368e-31,4.549679887747875e-27,1.5340225491584823e-31,6.158343630398861e-35,7.895287291770505e-37,4.549582257294449e-27,9.423600749995884e-27,2.612218978918505e-43,1.7273089032755813e-50,2.7777305427687735e-59,1.0956388845163774e-59,4.5624964198740565e-34,5.613625555938007e-32,3.562404468652781e-51,2.1262309130944773e-58,4.22452981426884e-67,4.0601581637001795e-61,8.854680884717363e-82,4.254847461903561e-92,3.7302620156394634e-74,5.392839983030812e-81,1.0000373758564251e-90,5.3048638326271457e-104,5.185049693154017e-105,1.646944431726426e-107,1.2476685784626226e-106,8.385343056029678e-109,2.7214912997578316e-117,2.6203797304913743e-102,1.5891025475276922e-100,1.2716692308708425e-99,4.2567309140555135e-33,8.146504317431321e-107,1.8492363746670577e-96,7.753107661956934e-89
5.875147584867906e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.32999999999999646,0.6699999999999973,3.5426548828186296e-15,2.766917573904013e-15,2.992703548211206e-22,7.757376080827953e-16,6.978024746861014e-31,1.9870742063194818e-26,1.757364146983976e-30,5.447262801935085e-34,7.257128671613307e-36,1.9869477992836783e-26,4.1155351810666524e-26,6.039067868793004e-42,8.02123103058366e-49,2.0141613637198663e-57,1.5925045194049574e-57,4.035493274066729e-33,4.965158556444285e-31,6.604096596221485e-50,7.915423508780129e-57,5.8349293058861454e-65,3.616735713971437e-59,1.403015223962259e-79,1.4787274252725015e-89,2.782890436139112e-72,8.05433940383968e-79,2.987777634238925e-88,3.368110312754151e-101,3.204974985892743e-102,1.771203285446932e-104,1.569017746017482e-103,1.9598900549393035e-105,4.922314458130865e-114,1.780165497892768e-99,3.839648456215015e-97,1.5362820376912435e-96,1.8590262654567274e-32,2.005363642998121e-103,5.852844268487304e-94,2.458842234720793e-86
1.2095892086492746e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.3299999999999927,0.6699999999999944,7.293700596181524e-15,5.696598956304155e-15,1.249382784858375e-21,1.597102888833601e-15,3.373056867292667e-30,8.296642456781357e-26,1.7263924841511427e-29,4.579264515913524e-33,6.208625361247684e-35,8.295330704965969e-26,1.718155887541829e-25,1.1955940456410435e-40,3.18785079652052e-47,1.1115523091934569e-55,1.7627619666459192e-55,3.392033381673899e-32,4.17346501831397e-30,1.1350751558348137e-48,2.726982672130285e-55,5.873443849042432e-63,2.6521573711684155e-57,1.9917693421557795e-77,4.379796361588636e-87,1.9196211134020884e-70,1.1117814336534867e-76,8.246034183762851e-86,1.9145853159537532e-98,1.7301870727213365e-99,1.765439942958439e-101,1.708537010085542e-100,3.035087501476397e-102,8.390094323996296e-111,8.496219258332768e-97,5.997941122459676e-94,1.2000069047988632e-93,7.761069049352257e-32,3.162289257437693e-100,1.648093123421146e-91,6.983891639349509e-84
2.453738108974243e-14,0.11224537200000038,0.0,0.0,0.0,0.0,0.3299999999999852,0.6699999999999885,1.4795790068745395e-14,1.1555973916502447e-14,5.104037990693443e-21,3.239821254538418e-15,1.4903084184697004e-29,3.3902917162519816e-25,1.542885246927885e-28,3.7552269272283286e-32,5.133409847758446e-34,3.389088774406317e-25,7.01923529827201e-25,2.1486322353762128e-39,1.1488415790810432e-45,4.96655485045993e-54,1.580387409622904e-53,2.7808983408795227e-31,3.4215769073512014e-29,1.881302787381312e-47,9.049856314430254e-54,4.456368708011945e-61,1.652284686337813e-55,2.682765883753219e-75,1.2041152879974227e-84,1.274828531268358e-68,1.477097511698813e-74,2.1889808154044498e-83,1.0320674908398449e-95,8.473232530499686e-97,1.655814993883547e-98,1.6801206484178921e-97,3.3664678243581633e-99,1.4073284670671038e-107,3.1651362707831855e-94,6.556764906935953e-91,6.561188723021597e-91,3.170650222679378e-31,3.473378298795444e-97,4.355993654782163e-89,1.8817171613731338e-81
4.94203590962418e-14,0.11224537200000073,0.0,0.0,0.0,0.0,0.3299999999999702,0.6699999999999767,2.979996119775212e-14,2.3274772617763302e-14,2.0630542550765058e-20,6.525209203488645e-15,6.2707475853148e-29,1.371097872292195e-24,1.3074041305511181e-27,3.0425036163906975e-31,4.174400928518695e-33,1.3700657565504876e-24,2.8372935038276867e-24,3.6536370861476384e-38,3.9135588096168133e-44,1.921056881051966e-52,1.2265800526563454e-51,2.2518782831509993e-30,2.7707491017401134e-28,3.0632105026254497e-46,2.9487607093316506e-52,2.643981318504059e-59,8.843636683322832e-54,3.5218302768213906e-73,3.1938336882183733e-82,8.310054810481964e-67,1.9259882595258491e-72,5.696130414118532e-81,5.42083263449072e-93,3.7618235651835835e-94,1.4366024209702032e-95,1.4938939692089614e-94,2.932613701178185e-96,2.183040571242956e-104,1.0018066709412182e-91,5.418350484226491e-88,2.713455785058942e-88,1.281627739538527e-30,2.877163416831483e-94,1.1007337897633478e-86,4.940970414025386e-79
9.918631510924053e-14,0.11224537200000144,0.0,0.0,0.0,0.0,0.3299999999999402,0.6699999999999533,5.980827219549453e-14,4.671256513792e-14,8.294811095626118e-20,1.3095789977373481e-14,2.572861721984881e-28,5.518669252512947e-24,1.0769825133570582e-26,2.451170128336141e-30,3.366801212115968e-32,5.510115081742063e-24,1.140868360304617e-23,6.030781347070411e-37,1.2931721749590403e-42,6.806702278729467e-51,8.716938529368232e-50,1.8122373475090433e-29,2.2299265126003604e-27,4.9440231558256854e-45,9.521348900053545e-51,1.2763201709991105e-57,4.086685743021207e-52,4.564960031845533e-71,8.325369853660054e-80,5.367282774648623e-65,2.4880868188726765e-70,1.4652393066800907e-78,2.81089160990188e-90,1.4895761523553847e-91,1.1229389846466868e-92,1.1824038919303281e-91,2.2553698276211638e-93,3.167197015365552e-101,2.8745872860384712e-89,3.6714880149171595e-85,9.212825923634714e-86,5.153370583920228e-30,1.9519010073452253e-91,2.6530885895915177e-84,1.2809498119869186e-76
1.9871822713523798e-13,0.11224537200000295,0.0,0.0,0.0,0.0,0.32999999999988017,0.6699999999999064,1.1982476918358978e-13,9.358893060219966e-14,3.3260775554215513e-19,2.6236171075653978e-14,1.0422170790411835e-27,2.217682933089585e-23,8.743155125867695e-26,1.9706008595635654e-29,2.7043908175531646e-31,2.2107175308306443e-23,4.575433465940267e-23,9.80165188869671e-36,4.2056137376152095e-41,2.2963737442817757e-49,5.89441335450961e-48,1.4537711837949098e-28,1.7890331641616113e-26,7.94487731161315e-44,3.0605391897900644e-49,5.25392996715835e-56,1.6585243308029982e-50,5.879712588061932e-69,2.1525067019710677e-77,3.4507488350842364e-63,3.1994114389058566e-68,3.7352408651443333e-76,1.4482200858990066e-87,5.210972225374015e-89,7.784937553731323e-90,8.249040371407886e-89,1.7238720305360435e-90,4.6076658279130726e-98,7.807888731450468e-87,2.1928317444103674e-82,2.763845717433059e-83,2.0667335475947948e-29,1.1664879236461855e-88,5.994781313879709e-82,3.2998329180058125e-74
