Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3676972893601586e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999998,0.6699999999999998,2.6336777197082627e-16,2.056978303945283e-16,2.408845298167477e-24,5.766994398432086e-17,1.860689585254712e-33,1.5992583555894977e-28,6.005862566995378e-34,5.4603471731500154e-37,5.0193892661713604e-39,1.5992572949291926e-28,3.312590141348901e-28,2.7728080210455972e-46,5.060305431825317e-54,2.844776024439413e-63,3.1345169316839236e-64,4.045120810723702e-36,4.977528553743338e-34,6.068163583789213e-54,9.93877069349558e-62,1.255811765347856e-71,3.421949162199875e-65,-1.2792169167116453e-85,-1.0056706227793215e-96,4.84098927334051e-78,1.9542965855154667e-85,1.0150838082379478e-95,-5.9701349860498165e-109,-5.944859077626363e-110,-8.498030085398263e-113,-3.6955758729369978e-112,1.1521782965682178e-115,1.1895444437270174e-123,4.662701481368486e-108,2.4664507890175812e-107,7.028771091563241e-106,1.4963290444809245e-34,1.1553136948014611e-113,-7.411977672433668e-101,-3.138203293495943e-93,-2.048023569853794e-105
1.2229552410208445e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999995,7.374297537147438e-16,5.759539738022618e-16,1.454940896953523e-23,1.6147579445692346e-16,1.810227910018521e-32,9.659596211556153e-28,1.1117958776097586e-32,6.482570714125865e-36,7.585300909123713e-38,9.65954374136833e-28,2.000804578578489e-27,9.516642510068294e-45,3.1767773577732568e-52,3.002190149423777e-61,5.986267585812399e-62,4.802681317205882e-35,5.909313669523937e-33,1.711319179798331e-52,5.144593825356256e-60,2.36933249209111e-69,3.860703413691235e-63,4.639625590818159e-84,9.192321707896178e-95,4.5589135027375055e-76,3.332304771246865e-83,3.125460601587203e-93,7.219924532675385e-107,7.194545053930303e-108,1.430360386453556e-110,8.425495933548468e-110,2.3965646971024793e-112,1.2162982609582922e-120,2.5608380085403676e-105,4.2226441336444413e-104,6.681590993615043e-103,9.037827480401352e-34,2.0894280302996945e-110,4.797709504960318e-99,2.017383850720635e-91,2.349329410976534e-103
2.7953262651905015e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999983,0.6699999999999987,1.6855536859884323e-15,1.316466455407875e-15,7.004897180033229e-23,3.690873006056129e-16,1.2755234254365266e-31,4.650786425475293e-27,1.5933307678675994e-31,6.364761244803197e-35,8.159920247512918e-37,4.6506847335483304e-27,9.633014129091748e-27,2.7433789391779048e-43,1.8341430748181427e-50,2.9728802124481825e-59,1.1855949450347659e-59,4.715420955399193e-34,5.801781770914001e-32,3.72249276265257e-51,2.2463308531911898e-58,4.568740625374403e-67,4.3568349492495656e-61,9.562721772543253e-82,4.6458520238594046e-92,3.984513387668055e-74,5.824064089222471e-81,1.0919334295850688e-90,5.856365295991896e-104,5.72237290875885e-105,1.8325590765235242e-107,1.392691512997079e-106,9.461807300952175e-109,3.052087224700451e-117,2.8986985944369076e-102,1.7944474887707507e-100,1.4203018959134604e-99,4.3513249351986815e-33,9.202909999656948e-107,2.019059495084303e-96,8.465587046808878e-89,1.9912294850855843e-100
5.940068313529816e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999964,0.6699999999999973,3.581801425680288e-15,2.797492197778219e-15,3.0592077501841665e-22,7.843095337183973e-16,7.154430035667592e-31,2.0312339869811212e-26,1.8220152620270987e-30,5.62984993330864e-34,7.500371923772021e-36,2.0311027682446033e-26,4.206991544158823e-26,6.330937541298605e-42,8.502152335996653e-49,2.1480637840303134e-57,1.7171984872614476e-57,4.170753427674132e-33,5.1315792642284955e-31,6.900873261876268e-50,8.362525400035561e-57,6.284896668333264e-65,3.8723450815637496e-59,1.515203562440853e-79,1.6146176050506737e-89,2.972569787007745e-72,8.698383206060791e-79,3.262322271603841e-88,3.718263914600895e-101,3.536096429985717e-102,1.9724990987024462e-104,1.7505740894898707e-103,2.2023889191594995e-105,5.523327394583232e-114,1.9623460054721652e-99,4.3160049333422535e-97,1.7080059448279847e-96,1.9003379610704886e-32,2.2546169062174993e-103,6.389977287522712e-94,2.6847998966303452e-86,1.2634897508188947e-97
1.2229552410208444e-14,0.11224537200000019,0.0,0.0,0.0,0.0,0.32999999999999263,0.6699999999999943,7.374296405650417e-15,5.759546799143618e-15,1.2771465766596575e-21,1.6147508832173423e-15,3.453741133189506e-30,8.481035163058281e-26,1.787494365346138e-29,4.732763475416421e-33,6.416725039406472e-35,8.479676207164062e-26,1.7563371511190995e-25,1.2516788099427107e-40,3.3743883374127497e-47,1.1815966163056509e-55,1.8946313206588215e-55,3.5057255617766934e-32,4.3133494074311625e-30,1.1860834642620578e-48,2.881016002140694e-55,6.300200855088385e-63,2.833463527363629e-57,2.151035753151776e-77,4.782289303975617e-87,2.0504607781933283e-70,1.2006820680731437e-76,9.003700489647128e-86,2.113628238479621e-98,1.907935741622817e-99,1.966510899144512e-101,1.905052208431099e-100,3.3954528181189243e-102,9.428188815324723e-111,9.335396435437901e-97,6.7098197423388e-94,1.327765210290613e-93,7.933537257751371e-32,3.5379789053617325e-100,1.7991450576481102e-91,7.625682813126376e-84,7.178524982629932e-95
2.48085206035657e-14,0.11224537200000038,0.0,0.0,0.0,0.0,0.329999999999985,0.6699999999999884,1.4959284368004398e-14,1.1683668468279246e-14,5.2174588429178064e-21,3.2756211154027572e-15,1.5247463298051432e-29,3.4656506224609216e-25,1.5961501792729176e-28,3.881113979182183e-32,5.305470611138754e-34,3.4644058097580646e-25,7.175218482250336e-25,2.247485681854036e-39,1.215006118869868e-45,5.266346465276808e-54,1.6943840509477475e-53,2.874105666282818e-31,3.536258902198814e-29,1.9658452590256008e-47,9.561036440926429e-54,4.761626740428313e-61,1.7614483167675473e-55,2.8972857711473497e-75,1.314772848120185e-84,1.361719691491608e-68,1.5952096516374679e-74,2.3900804119274524e-83,1.1393625107224064e-95,9.335236257004025e-97,1.8435174946933273e-98,1.8715698348781305e-97,3.751414268432488e-99,1.5812520933728222e-107,3.46904251060096e-94,7.303019550832368e-91,7.228143115214366e-91,3.2411091226472514e-31,3.868900275412474e-97,4.7542150415110525e-89,2.0546391706824033e-81,3.868448235472022e-92
4.996645699028021e-14,0.11224537200000076,0.0,0.0,0.0,0.0,0.3299999999999699,0.6699999999999765,3.0129252302911596e-14,2.3531961671417643e-14,2.108898112173711e-20,6.597311713275854e-15,6.412915656361865e-29,1.401582251302564e-24,1.3519045815398874e-27,3.1445143133624715e-31,4.314317762179831e-33,1.4005148620311646e-24,2.9003446141997065e-24,3.8198608428554776e-38,4.136882835416166e-44,2.0336817867923595e-52,1.3129009506858935e-51,2.3273525248732317e-30,2.863615596386494e-28,3.200865809967937e-46,3.1153210922428135e-52,2.815381783538277e-59,9.406929549396532e-54,3.803443133895726e-73,3.487356857473932e-82,8.876460416839763e-67,2.0799946931797916e-72,6.219275763758736e-81,5.9843877098727146e-93,4.1387515356599564e-94,1.5975875902699958e-95,1.661750250523577e-94,3.2594581707427085e-96,2.450223261380001e-104,1.0961692578538494e-91,6.014318273521599e-88,2.9790589815831805e-88,1.3101083609950564e-30,3.1937076997154007e-94,1.2008790797641117e-86,5.395024450021683e-79,2.0313846812665967e-89
1.0028232976370925e-13,0.1122453720000015,0.0,0.0,0.0,0.0,0.3299999999999395,0.6699999999999529,6.046915621787705e-14,4.7228747531145806e-14,8.479125801422586e-20,1.3240493449048265e-14,2.630614966075503e-28,5.64143155648483e-24,1.113363787508963e-26,2.533380555922599e-30,3.4796490111640935e-32,5.632587834495205e-24,1.1662211061277728e-23,6.3035036026197266e-37,1.366598915852027e-42,7.198863332705862e-51,9.321392925231855e-50,1.8729734261955556e-29,2.3046639567827818e-27,5.1661987586274526e-45,1.0059160869524715e-50,1.3552086848879153e-57,4.337587626290746e-52,4.9299824825128795e-71,9.090556762126607e-80,5.733111495833393e-65,2.6870398101022795e-70,1.5997320950031637e-78,3.103113177772559e-90,1.6358873477901155e-91,1.2466620562310073e-92,1.3128590814362003e-91,2.5047296705371054e-93,3.553507017609969e-101,3.142250686710633e-89,4.065736469791862e-85,1.0091106169137787e-85,5.2678899708911766e-30,2.1615265030676775e-91,2.892399630701757e-84,1.3986632706031945e-76,1.0530413000668747e-86
2.0091407531056732e-13,0.11224537200000297,0.0,0.0,0.0,0.0,0.32999999999987883,0.6699999999999054,1.2114883626323622e-13,9.462311701627293e-14,3.399978814440834e-19,2.65260591288322e-14,1.0654922509412893e-27,2.2670652547561857e-23,9.037345486079691e-26,2.0367354329284953e-29,2.7950359916707303e-31,2.2598652446834655e-23,4.677110692690044e-23,1.0243502900768473e-35,4.4437865671806456e-41,2.4274121616953413e-49,6.299791682982353e-48,1.5024885037288199e-28,1.8489898700487252e-26,8.30190555415811e-44,3.2334131328351162e-49,5.567096635931667e-56,1.7572011406538874e-50,6.349861869711611e-69,2.3503749216420386e-77,3.6859481252096355e-63,3.4552432021048906e-68,4.0777020052320037e-76,1.5987761788849992e-87,5.712178001813103e-89,8.6268078382615e-90,9.141731128655078e-89,1.915913225989354e-90,5.173021456640334e-98,8.530274712853642e-87,2.4248143253486463e-82,3.023145129781272e-83,2.112660992498626e-29,1.289900646454074e-88,6.527994874244226e-82,3.603070758003549e-74,5.422831617148794e-84
