Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.414917010741394e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999998,2.662150738496894e-16,2.0792165551652254e-16,2.4612114688006844e-24,5.829342079353796e-17,1.9166365727166078e-33,1.6340249600746366e-28,6.253328557722319e-34,5.639366592503968e-37,5.183951347149089e-39,1.6340238140781377e-28,3.3846029730314715e-28,2.918271356228088e-46,5.383349978802958e-54,3.055827459054172e-63,3.4034702719774486e-64,4.17774111746361e-36,5.140718133041032e-34,6.334864532857788e-54,1.0487759896214464e-61,1.3633410907647662e-71,3.6792455980791513e-65,-1.3792223232436758e-85,-1.0960134877283469e-96,5.163619101829499e-78,2.1070777676064792e-85,1.1062712785934334e-95,-6.576794442780302e-109,-6.548398064179667e-110,-9.413194462062614e-113,-4.119646819691627e-112,1.3063327103410862e-115,1.3343042529173843e-123,5.172832254063408e-108,2.7946233451146206e-107,7.878806119654003e-106,1.5288579367601379e-34,1.3107154154480036e-113,-8.077694616385293e-101,-3.4201188730169306e-93,-2.2561349366345748e-105,-2.0224037922795333e-93
1.2361767630075903e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999995,7.454021988059179e-16,5.821806852024883e-16,1.486570009489543e-23,1.632215284640541e-16,1.8618597948190135e-32,9.869589452219975e-28,1.1559632919348173e-32,6.695104904371191e-36,7.833987119308387e-38,9.869534490093842e-28,2.0443003332818833e-27,1.0002089538996223e-44,3.374996451493799e-52,3.218253575001744e-61,6.4865525053367406e-62,4.960138319467122e-35,6.103051976373837e-33,1.786533112203558e-52,5.428766438958576e-60,2.5665898590317243e-69,4.144951855796196e-63,5.002337764821534e-84,1.0018099823849082e-94,4.862744266122045e-76,3.592814594245284e-83,3.406226081303258e-93,7.953582215423452e-107,7.924434210165603e-108,1.5859819811237845e-110,9.387106828908333e-110,2.7050103602609623e-112,1.3623870778227432e-120,2.8353232943812625e-105,4.7733499811346643e-104,7.472199084790072e-103,9.234301991464743e-34,2.363704955725239e-110,5.228558501969637e-99,2.198612457968061e-91,2.5880581935443555e-103,1.3000955557366916e-91
2.825546886874492e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999983,0.6699999999999987,1.7037764168256625e-15,1.3306989435991308e-15,7.157177186340533e-23,3.7307754477386734e-16,1.3093765671411234e-31,4.7518930532667015e-27,1.6535336790823492e-31,6.573435052536653e-35,8.427445509573598e-37,4.751787230827916e-27,9.842427509131236e-27,2.878006229911342e-43,1.9450161223547819e-50,3.1769289235890915e-59,1.2806936508066783e-59,4.870016859114474e-34,5.991994423300478e-32,3.886099480391483e-51,2.370411727632253e-58,4.932390951027829e-67,4.6679447366198186e-61,1.0310306653109967e-81,5.063205838147543e-92,4.250063000377172e-74,6.279372345112967e-81,1.1900218631435222e-90,6.451463936052977e-104,6.301980111665911e-105,2.034449606487783e-107,1.5508883439674724e-106,1.0648162128340637e-108,3.41438670114606e-117,3.1994565924235205e-102,2.020905577711322e-100,1.5824363556328474e-99,4.4459189563688094e-33,1.036835709604909e-106,2.2003151227673406e-96,9.226081028214201e-89,2.1935697070772798e-100,5.455614933049229e-89
6.004287134608296e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.32999999999999635,0.6699999999999973,3.620524725295403e-15,2.827736256489744e-15,3.1257119417362945e-22,7.927887812701346e-16,7.331179052304962e-31,2.0753938546711053e-26,1.887531400878848e-30,5.8144329503541926e-34,7.746273703157243e-36,2.0752577558023036e-26,4.298447908085619e-26,6.630016991657216e-42,9.00040818286401e-49,2.2875764839268725e-57,1.8485575565458945e-57,4.30749187022763e-33,5.299818838305101e-31,7.204172490469941e-50,8.824447308463965e-57,6.758323956818219e-65,4.139794576708647e-59,1.6336575165593768e-79,1.7596653020698733e-89,3.170677972546957e-72,9.378397275498098e-79,3.555365980229252e-88,4.0960978676699085e-101,3.893163478870359e-102,2.1916108998058254e-104,1.9485295034984612e-103,2.4685230415090623e-105,6.182530139517833e-114,2.158527529179761e-99,4.838916230853207e-97,1.8944630922138797e-96,1.9416496567110394e-32,2.528280418056309e-103,6.963233907361257e-94,2.9259856176568297e-86,1.3918801976483722e-97,1.73020803135701e-86
1.2361767630075904e-14,0.11224537200000019,0.0,0.0,0.0,0.0,0.3299999999999925,0.6699999999999943,7.454020831964665e-15,5.8218140666481425e-15,1.304910359701814e-21,1.6322080697813709e-15,3.534502367737301e-30,8.665428622038059e-26,1.8493445296328588e-29,4.887940626461048e-33,6.627099142585461e-35,8.664021865675525e-26,1.794518415397921e-25,1.3090812424170513e-40,3.56741504931789e-47,1.254348847115407e-55,2.0331176555471803e-55,3.620660277999361e-32,4.454762613957958e-30,1.2382128340186277e-48,3.0401550505232993e-55,6.747358895068226e-63,3.0227631731547494e-57,2.319196795140478e-77,5.21190629441028e-87,2.187114601004196e-70,1.2945478603687558e-76,9.812413468639321e-86,2.32840600133355e-98,2.099502350076047e-99,2.185402488373642e-101,2.1191776921880655e-100,3.789198657855394e-102,1.0568314135771304e-110,1.0236242987789477e-96,7.487567521907882e-94,1.4658269663890154e-93,8.106005466387333e-32,3.94846861414082e-100,1.9603356014490942e-91,8.310729774162576e-84,7.907976381909007e-95,4.914334129939397e-84
2.5076728621011116e-14,0.11224537200000038,0.0,0.0,0.0,0.0,0.32999999999998486,0.6699999999999883,1.5121011004292606e-14,1.1809982424376516e-14,5.330879623333049e-21,3.3110339089757542e-15,1.55920005588787e-29,3.541010150479918e-25,1.6500333001954922e-28,4.0083777852135264e-32,5.4794119114654995e-34,3.5397229732588345e-25,7.3312016719803445e-25,2.3485907049110727e-39,1.283421732225959e-45,5.577024249495311e-54,1.8138274259988013e-53,2.9683315981347043e-31,3.6521942330760196e-29,2.0522458056592478e-47,1.0089160570248824e-53,5.0802629135479144e-61,1.875179178434845e-55,3.1237853799175215e-75,1.4328878558302138e-84,1.4524720567125474e-68,1.719918429183011e-74,2.604725845455144e-83,1.2551395716405494e-95,1.0263344818177567e-96,2.0477368025680442e-98,2.0799637049318568e-97,4.17043987081971e-99,1.7721979684272114e-107,3.794518676698532e-94,8.114881110321522e-91,7.94585107685668e-91,3.3115680228139604e-31,4.2992144380498406e-97,5.179063049576647e-89,2.239217641764676e-81,4.261543899042936e-92,1.324099415502771e-81
5.0506650602881546e-14,0.11224537200000076,0.0,0.0,0.0,0.0,0.32999999999996954,0.6699999999999763,3.045498318546834e-14,2.3786370088702766e-14,2.1547419111236676e-20,6.668634636828992e-15,6.555115477439681e-29,1.432067134785316e-24,1.3969065755540914e-27,3.2476413532211504e-31,4.4557638145821514e-33,1.4309640712803224e-24,2.963395729229487e-24,3.9898058640110477e-38,4.3677102662610855e-44,2.1502318923823244e-52,1.4032156673540786e-51,2.4036514951414533e-30,2.95749694410644e-28,3.3415465044076534e-46,3.2874024220548395e-52,2.993700939583276e-59,9.992477628906155e-54,4.1007806943653823e-73,3.800662332930861e-82,9.468035519080564e-67,2.24260247890818e-72,6.777644248832797e-81,6.592494823549191e-93,4.5439910799516046e-94,1.7725186127644772e-95,1.8441915206692302e-94,3.6144112427543893e-96,2.7432482473717364e-104,1.1970767337961811e-91,6.660576635937426e-88,3.2639547299248767e-88,1.3385889826144815e-30,3.5369713953055856e-94,1.3076725130060434e-86,5.879695015563701e-79,2.2378058688800644e-89,3.4767752719905265e-79
1.013664945666224e-13,0.1122453720000015,0.0,0.0,0.0,0.0,0.3299999999999389,0.6699999999999523,6.112289489839614e-14,4.773934920661876e-14,8.663440039290174e-20,1.3383632296607762e-14,2.688374471473801e-28,5.7641979220342075e-24,1.1501488671006249e-26,2.616491785674793e-30,3.593730176216702e-32,5.75506142230768e-24,1.1915738556997284e-23,6.582275850616592e-37,1.4424762938874987e-42,7.604370137046147e-51,9.95329117532251e-50,1.9343730505223598e-29,2.380218032272016e-27,5.3932573279100584e-45,1.0614799579158661e-50,1.437063949050904e-57,4.597854853555524e-52,5.3153824471488134e-71,9.907320255463846e-80,6.1151966101546046e-65,2.897104434079309e-70,1.7432723956738519e-78,3.418437528410087e-90,1.7929008403062814e-91,1.3808699637939132e-92,1.4543868099809126e-91,2.7753975758698575e-93,3.977093460977573e-101,3.4282284751239236e-89,4.492326997486111e-85,1.1031184452451249e-85,5.3824093591810614e-30,2.3883511787974658e-91,3.1473957625794365e-84,1.5243188835103208e-76,1.1600474603919415e-86,9.013484545429547e-77
2.030861824941041e-13,0.11224537200000302,0.0,0.0,0.0,0.0,0.32999999999987756,0.6699999999999044,1.224585877625223e-13,9.564612254979197e-14,3.47387969812225e-19,2.6812812482166777e-14,1.0887685881467075e-27,2.3164508347102842e-23,9.334775346086181e-26,2.103596488637512e-29,2.8866718655152206e-31,2.3090136283626447e-23,4.7787879495188045e-23,1.0695109419995633e-35,4.689880873781725e-41,2.5628528109378908e-49,6.723385271923023e-48,1.5517378473761513e-28,1.9096015330672815e-26,8.666780526905218e-44,3.412017281828534e-49,5.891437442005064e-56,1.859392882875228e-50,6.84624552036162e-69,2.5615833227204164e-77,3.931598978340113e-63,3.725363278469922e-68,4.44316170356628e-76,1.7612362464219719e-87,6.249068759019501e-89,9.538372846426557e-90,1.0108382719633809e-88,2.1245568727288775e-90,5.793389166038614e-98,9.30172133691975e-87,2.675501779185748e-82,3.300349617798755e-83,2.15858843846445e-29,1.4232649633405965e-88,7.095446433448545e-82,3.926792970706399e-74,5.9738829634697455e-84,2.3219081180890486e-74
4.065255583490675e-13,0.11224537200000605,0.0,0.0,0.0,0.0,0.3299999999997549,0.6699999999998085,2.45129451531421e-13,1.9146292926784978e-13,1.390925675867288e-18,5.3667912714940546e-14,4.3811538853348236e-27,9.315922467025265e-23,7.520530698051731e-25,1.691888034609808e-28,2.314012543377697e-30,9.255917828994074e-23,1.9140428994211896e-22,1.7241798533569192e-34,1.512519084152428e-39,8.419088014177286e-48,4.423541850238315e-46,1.2425177006108712e-27,1.529406715382387e-25,1.389687823149595e-42,1.09428923501479e-47,2.1690401426667467e-54,6.825921284460294e-49,8.789884210166892e-67,1.003838734163796e-74,2.521922979267541e-61,4.779352946230331e-66,1.11995288460784e-73,9.044578980276307e-85,1.9485685088530944e-86,5.889541917615016e-87,6.260874868506092e-86,2.1487558737995734e-87,1.092766534040477e-94,3.720942350841881e-84,2.309012541094212e-79,1.4387324271616033e-80,8.645625326928291e-29,1.2286652931990219e-85,1.4891071923577393e-79,1.0083495921653584e-71,3.0649945618048663e-81,5.962088607319874e-72
8.134043100589943e-13,0.11224537200001207,0.0,0.0,0.0,0.0,0.3299999999995095,0.6699999999996169,4.904690935297825e-13,3.8310957965035975e-13,5.563823012095956e-18,1.0736507580753391e-13,1.7568734644645115e-26,3.759220468308157e-22,6.035190427052285e-24,1.3648603758348616e-27,1.8530671713510311e-29,3.711033582572919e-22,7.661440797946979e-22,2.7680313584749415e-33,4.857116039778288e-38,2.7289468448499557e-46,2.8700538377365677e-44,9.935526781021015e-27,1.2234982001266316e-24,2.2258754042430368e-41,3.505593444164445e-46,7.480577974860704e-53,2.3542242302810304e-47,1.1266540592958884e-64,2.5983462847466495e-72,1.6158130290375412e-59,6.124383299020405e-64,2.7724982413103864e-71,4.636540058152827e-82,5.595203200868258e-84,3.329586648211616e-84,3.5450170115001015e-83,1.7612011687498792e-84,1.589034808648239e-91,9.662825611768102e-82,1.2285521764132871e-76,3.898570407489214e-78,3.460513215202221e-28,6.538293661776803e-83,2.7491884101751624e-77,2.5850289100557116e-69,1.5683789973735242e-78,1.5283163385272814e-69
