Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.461637010334143e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999998,2.690322430049401e-16,2.1012194611371535e-16,2.513577638433895e-24,5.891029940394426e-17,1.9729937654500996e-33,1.6687915691389346e-28,6.505323221946106e-34,5.820300769087422e-37,5.3502735337893654e-39,1.6687903350116566e-28,3.4566158047941327e-28,3.067997448429966e-46,5.719441551403796e-54,3.2774931714202317e-63,3.6889875525930055e-64,4.3117798857234124e-36,5.305653134462095e-34,6.607300986079462e-54,1.1054552959430888e-61,1.4774716452773084e-71,3.949766838366456e-65,-1.484691096007092e-85,-1.1923107129386201e-96,5.500274151447521e-78,2.2682054646663363e-85,1.2034686756414345e-95,-7.230352523419211e-109,-7.198533971900945e-110,-1.0404644093393505e-112,-4.581834792684741e-112,1.4771143189989642e-115,1.4929704123373489e-123,5.726066997374338e-108,3.15803317890902e-107,8.810130199640725e-106,1.5613868290396038e-34,1.483005069812879e-113,-8.78727562558052e-101,-3.720614869095729e-93,-2.4803345154447557e-105,-2.2000947582748404e-93,5.725002238950518e-128
1.24925836289356e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999995,7.532902722709774e-16,5.883414999332709e-16,1.5181991208383706e-23,1.649487875145144e-16,1.9137790503651396e-32,1.0079582767209771e-27,1.2008679726159204e-32,6.909912357151666e-36,8.085333201028622e-38,1.0079525260005764e-27,2.0877960880803613e-27,1.0501016764874735e-44,3.5809233136512455e-52,3.4446784704963104e-61,7.0164868558131595e-62,5.11927942308912e-35,6.29886244059029e-33,1.863364548461946e-52,5.722154843106019e-60,2.775468398984151e-69,4.4433494569502004e-63,5.384865215220628e-84,1.0898303726066744e-94,5.179783025761812e-76,3.8675562033650744e-83,3.7054958485215416e-93,8.743956249656088e-107,8.71061824671454e-108,1.7547493257082202e-110,1.043461042351778e-109,3.0452805635861665e-112,1.5222384383439488e-120,3.1323773073708874e-105,5.3817074217457464e-104,8.336299689759074e-103,9.430776502547837e-34,2.6669021738581544e-110,5.6877899123070724e-99,2.3917853389596655e-91,2.845241970752115e-103,1.4143235960631386e-91,1.0512747185293441e-124
2.8554476866138515e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999983,0.6699999999999987,1.7218062982317743e-15,1.3447808108316576e-15,7.309457180991975e-23,3.7702556046973245e-16,1.343348723293966e-31,4.852999770343954e-27,1.7146235649098591e-31,6.784340923300417e-35,8.6978321397402e-37,4.852889748908304e-27,1.0051840890104265e-26,3.016111890027801e-43,2.0599866657950073e-50,3.390068688336661e-59,1.3811048019627112e-59,5.0262662524079276e-34,6.184241515601301e-32,4.0532246218597456e-51,2.498516576455242e-58,5.316106857366177e-67,4.993849022385253e-61,1.1098732996720308e-81,5.5080668953609554e-92,4.52715646764408e-74,6.759554325258283e-81,1.2945747895434536e-90,7.092567355795137e-104,6.926189912274514e-105,2.253654309517184e-107,1.7231357331543198e-106,1.1952849343443427e-108,3.810130630938011e-117,3.523910118338022e-102,2.2701117724437665e-100,1.7589605863289298e-99,4.5405129775656084e-33,1.1651327389845224e-106,2.3935050295368767e-96,1.0036696151000033e-88,2.411551661991794e-100,5.934952101704282e-89,5.260822155063645e-121
6.067826334054434e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.32999999999999635,0.6699999999999972,3.65883821986939e-15,2.8576602456639696e-15,3.192216122979064e-22,8.011782933180455e-16,7.508261645185746e-31,2.1195538085232447e-26,1.953903957883922e-30,6.000990510283831e-34,7.994805572221637e-36,2.119412761757855e-26,4.389904272838122e-26,6.936318527567627e-42,9.516223094749221e-49,2.4328000888776962e-57,1.986777602736342e-57,4.4456927880833535e-33,5.469857822137884e-31,7.513994281965885e-50,9.301349461262982e-57,7.255864289836012e-65,4.419353953657167e-59,1.758582834472951e-79,1.9142729739200723e-89,3.37739822821736e-72,1.0095560860928192e-78,3.8677215911817086e-88,4.503140600329319e-101,4.2775892192937945e-102,2.4296872135858177e-104,2.1639667954168302e-103,2.7599990688504826e-105,6.902252687615974e-114,2.369442673045964e-99,5.4117530020744e-97,2.096548587341208e-96,1.9829613523780938e-32,2.828125769393421e-103,7.574197545855072e-94,3.183066365096093e-86,1.5301954596224688e-97,1.8822262396959806e-86,1.906196580305857e-117
1.2492583628935599e-14,0.11224537200000019,0.0,0.0,0.0,0.0,0.32999999999999247,0.6699999999999942,7.53290154201778e-15,5.883422367458214e-15,1.3326741340785453e-21,1.6494805067787068e-15,3.615338162684279e-30,8.849822825827346e-26,1.9119351309626624e-29,5.044778029212672e-33,6.83972334186421e-35,8.848367678828257e-26,1.832699680370792e-25,1.367802464845223e-40,3.767008508562245e-47,1.3298496192612584e-55,2.1783955666400137e-55,3.7368242379365756e-32,4.597688283503354e-30,1.2914632650918749e-48,3.2044550179282065e-55,7.215399556071214e-63,3.220221026236743e-57,2.496545024688512e-77,5.669839420774395e-87,2.3297089764696438e-70,1.3935415881697165e-76,1.0674415634815384e-85,2.5597872245271264e-98,2.305630161253957e-99,2.4232631839922643e-101,2.352063128685384e-100,4.218579525155501e-102,1.1811519154380984e-110,1.1201792492854243e-96,8.335622051996933e-94,1.61476678891164e-93,8.27847367525762e-32,4.3961058565641724e-100,2.1321080479529758e-91,9.040920625867775e-84,8.693812344558264e-95,5.346113358328553e-84,6.524085142457013e-114
2.534209821869793e-14,0.11224537200000038,0.0,0.0,0.0,0.0,0.3299999999999847,0.669999999999988,1.5281026101879708e-14,1.1934959619464972e-14,5.444300332707373e-21,3.346071924856392e-15,1.593669094878548e-29,3.6163702936902735e-25,1.7045280297718378e-28,4.1370036371766203e-32,5.655213633116778e-34,3.6150402635377285e-25,7.487184867400524e-25,2.451948244129085e-39,1.3541140785938804e-45,5.898730461177671e-54,1.9388500822977611e-53,3.0635652384845985e-31,3.769369491665076e-29,2.1405044272402103e-47,1.0634411892904677e-53,5.4125420628297336e-61,1.993561099752734e-55,3.362660026365027e-75,1.5587880789427213e-84,1.5471695660311995e-68,1.8514401082487355e-74,2.8335119675555564e-83,1.3798666842930297e-95,1.12610395314583e-96,2.2695248692255398e-98,2.3063888131456195e-97,4.625717593021114e-99,1.9792458008175093e-107,4.1425775372224567e-94,8.996484935797046e-91,8.716926681472431e-91,3.382026923177381e-31,4.76651529519593e-97,5.6316963363042555e-89,2.4359579067558787e-81,4.685021145455406e-92,1.4404362428045745e-81,2.186483902241357e-110
5.10411273982226e-14,0.11224537200000076,0.0,0.0,0.0,0.0,0.3299999999999692,0.669999999999976,3.077726688444443e-14,2.4038086156349803e-14,2.2005856525484844e-20,6.739202726438958e-15,6.697346036666054e-29,1.4625525173499312e-24,1.4424047534795338e-27,3.351872824929195e-31,4.5987227280360085e-33,1.461413383187768e-24,3.0264468488672065e-24,4.1634729110347683e-38,4.606124448382932e-44,2.2707541896595193e-52,1.4976165397489158e-51,2.480766368499817e-30,3.0523822864969086e-28,3.4852525858075154e-46,3.4650643885159086e-52,3.179053440559866e-59,1.0600638027801161e-53,4.41436523332915e-73,4.1346196697790857e-82,1.0085327278344731e-66,2.414093602812504e-72,7.372781486847973e-81,7.247609806886512e-93,4.978986755860908e-94,1.9622634576317282e-95,2.042128740827495e-94,3.999206069097477e-96,3.0573450979223875e-104,1.3048273325966945e-91,7.36013406566821e-88,3.5690765824240735e-88,1.3670696043950626e-30,3.908553478171786e-94,1.42140090401078e-86,6.396291185355105e-79,2.460177140197565e-89,3.782247938774506e-79,6.755103364080396e-107
1.0243918575727192e-13,0.11224537200000154,0.0,0.0,0.0,0.0,0.32999999999993823,0.6699999999999517,6.176971510557844e-14,4.824454735519088e-14,8.847753814236123e-20,1.3525256197726676e-14,2.7461400362621378e-28,5.886968305712228e-24,1.1873334325256783e-26,2.7004942305444404e-30,3.7090315142045024e-32,5.877535836243679e-24,1.2169266089803804e-23,6.867098692419938e-37,1.5208311649532718e-42,8.023374780788685e-51,1.0613249513635545e-49,1.9964291169912012e-29,2.4565799992816022e-27,5.625198863230728e-45,1.1188457762169507e-50,1.521927938318496e-57,4.867618735094101e-52,5.721845497945983e-71,1.077792790330953e-79,6.513891515119894e-65,3.118644973005641e-70,1.8962566240061302e-78,3.758135660778687e-90,1.9611417526406932e-91,1.526195448795254e-92,1.6076565097699313e-91,3.068683930264206e-93,4.4217856872393985e-101,3.733340907216567e-89,4.953127463791978e-85,1.2035929753435557e-85,5.4969287487757835e-30,2.6333685242237346e-91,3.418744296877907e-84,1.6582467921435244e-76,1.2753180051824848e-86,9.80541434136388e-77,1.9540010352541609e-103
2.0523530247537055e-13,0.11224537200000305,0.0,0.0,0.0,0.0,0.3299999999998762,0.6699999999999033,1.237544782089838e-13,9.665830220185103e-14,3.547780210483805e-19,2.7096530664099637e-14,1.112046051157817e-27,2.365839638074671e-23,9.635410031523606e-26,2.1711763336572154e-29,2.9792878416959846e-31,2.3581626746977576e-23,4.880465236104743e-23,1.115647188939831e-35,4.943982857995043e-41,2.7027445634804046e-49,7.165596711710854e-48,1.6015135146305266e-28,1.9708611400921786e-26,9.039502228431375e-44,3.5964135882620775e-49,6.227093151544175e-56,1.965143801556395e-50,7.369768727794614e-69,2.78671864385909e-77,4.187928599354213e-63,4.010240092094844e-68,4.832624656645192e-76,1.9362526196169258e-87,6.82332973697194e-89,1.0523708209004586e-89,1.1153324323785527e-88,2.350843283920153e-90,6.419859873480776e-98,1.0124405436941133e-86,2.945951807800182e-82,3.596270977377713e-83,2.2045158854809248e-29,1.567143656789789e-88,7.698566698210086e-82,4.27180243776817e-74,6.567452974856482e-84,2.5259106007161698e-74,5.673905084284208e-100
