Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.507872825649925e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999998,2.718202163329699e-16,2.122994339291658e-16,2.56594380707758e-24,5.95207849688718e-17,2.0297541315966966e-33,1.7035581827617921e-28,6.7618264914275584e-34,6.003129650870321e-37,5.518337393125295e-39,1.7035568577110579e-28,3.528628636636041e-28,3.2220150020658043e-46,6.068810987091646e-54,3.510061378125692e-63,3.9917018232247206e-64,4.44722226035707e-36,5.472315278738446e-34,6.88547294345023e-54,1.1639338296018621e-61,1.5984542203517054e-71,4.2338890725199195e-65,-1.5957984961897935e-85,-1.2948183522777923e-96,5.851252831137112e-78,2.4379474566930538e-85,1.306934435200735e-95,-7.933343535827452e-109,-7.897779573843297e-110,-1.1476965456180208e-112,-5.084658143173225e-112,1.6659028666238452e-115,1.6666589649050546e-123,6.325015566781229e-108,3.559595245607863e-107,9.828540458825701e-106,1.5939157213193188e-34,1.673598931728371e-113,-9.542605934921402e-101,-4.040490467409743e-93,-2.721491784175109e-105,-2.3892453781566284e-93,7.743011586967401e-125,9.984256219415015e-121
1.2622043911819792e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999995,7.610965974198182e-16,5.944384668751748e-16,1.5498282310124356e-23,1.666581460376342e-16,1.9659796769380382e-32,1.028957615604614e-27,1.2465051886484217e-32,7.126969266945619e-36,8.339311298384827e-38,1.0289516050882187e-27,2.131291842972924e-27,1.1013491856750486e-44,3.794681910775482e-52,3.681719850493054e-61,7.577130554278946e-62,5.280086990851288e-35,6.496723361026227e-33,1.9418134885713098e-52,6.024856565718996e-60,2.996378801394118e-69,4.756274369732632e-63,5.787843549267638e-84,1.1835273873982042e-94,5.510310802824626e-76,4.156986194870362e-83,4.024065598169706e-93,9.594111507477084e-107,9.556128025606967e-108,1.937467443875904e-110,1.15736383209119e-109,3.419878479161767e-112,1.697030828071067e-120,3.4533133416145466e-105,6.052326178384225e-104,9.27893029552405e-103,9.627251013650418e-34,3.001351134529728e-110,6.176623061130045e-99,2.597416333995704e-91,3.121878237917485e-103,1.5359184357482066e-91,1.44268362684333e-121,1.0329445054594853e-117
2.8850386084159526e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999824,0.6699999999999987,1.7396493263436714e-15,1.3587167402610332e-15,7.461737164109607e-23,3.8093266067453363e-16,1.3774368726501196e-31,4.954106575949456e-27,1.7765929111073964e-31,6.997455484995637e-35,8.971050171907065e-37,4.953992287571645e-27,1.0261254272001041e-26,3.157706667148955e-43,2.179112803234702e-50,3.612490974634266e-59,1.4869997562698425e-59,5.184151818429764e-34,6.378501741501587e-32,4.223868187047674e-51,2.6306879841576207e-58,5.720519471081886e-67,5.334909945860803e-61,1.1929310596447648e-81,5.9816180896767984e-92,4.816039403344414e-74,7.265408049578476e-81,1.4058701723037888e-90,7.782161662711996e-104,7.597395043013496e-105,2.4912540045598354e-107,1.910348274724677e-106,1.3384753332881008e-108,4.242679944275347e-117,3.873355916078245e-102,2.5437875572917056e-100,1.9507993843886306e-99,4.635106998788798e-33,1.306075401021658e-106,2.5991414107824852e-96,1.0899589494047203e-88,2.6460209936490494e-100,6.445202696354318e-89,2.098447769802084e-117,7.519889971100992e-114
6.130707042883899e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999963,0.6699999999999972,3.696754651193173e-15,2.887274117006497e-15,3.25872029402044e-22,8.094808599474467e-16,7.685668153836186e-31,2.163713847696837e-26,2.0211245805703556e-30,6.189501940921207e-34,8.245939986951406e-36,2.1635677859185733e-26,4.481360638407671e-26,7.249854094602218e-42,1.0049819349865887e-48,2.5838345641787396e-57,2.1320556015482573e-57,4.585340864476457e-33,5.641677370532635e-31,7.830338636327853e-50,9.793390389768625e-57,7.77817306257627e-65,4.711292839924929e-59,1.890186971850928e-79,2.0788517336708395e-89,3.5929137894771464e-72,1.0851065824477496e-78,4.200219407490023e-88,4.940970650048335e-101,4.690831308470975e-102,2.68792417296616e-104,2.3980150476729143e-103,3.078605215434055e-105,7.690502314754258e-114,2.5958449672122162e-99,6.038047370779846e-97,2.3151901508914907e-96,2.024273048071373e-32,3.15600967412348e-103,8.224483358160451e-94,3.456726769533611e-86,1.6789723648617082e-97,2.044048406821458e-86,1.6859992873082284e-113,3.0212300404428976e-110
1.2622043911819792e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.32999999999999236,0.669999999999994,7.61096476890871e-15,5.9443921903794886e-15,1.3604378998806023e-21,1.66657393850265e-15,3.69624623253957e-30,9.034217766776089e-26,1.975258565107715e-29,5.2032583075229225e-33,7.054574072758994e-35,9.03271364500266e-26,1.8708809460304405e-25,1.4278435644245547e-40,3.9732454831937154e-47,1.4081391850343997e-55,2.3306401769957912e-55,3.8542045668424253e-32,4.74211057554613e-30,1.3458347574692742e-48,3.3739705207554626e-55,7.704804027467287e-63,3.42600135535779e-57,2.683374726768515e-77,6.157306410325567e-87,2.4783702992212764e-70,1.4978277701876186e-76,1.159199768272718e-85,2.808669314415559e-98,2.5270853125354293e-99,2.6812888373264387e-101,2.604906394813617e-100,4.685947565470763e-102,1.3177892827279789e-110,1.2235156545267135e-96,9.258611931746305e-94,1.7751774570507484e-93,8.450941884359764e-32,4.883339313667638e-100,2.3149139263481165e-91,9.818202938669018e-84,9.539085634445512e-95,5.80573887294171e-84,8.189092256319768e-110,7.336909957352205e-107
2.5604717649691578e-14,0.11224537200000038,0.0,0.0,0.0,0.0,0.32999999999998453,0.6699999999999879,1.5439382876480727e-14,1.2058641616550366e-14,5.557720971784829e-21,3.3807468157539334e-15,1.62815297089809e-29,3.6917310456802208e-25,1.7596279938061544e-28,4.266977289069074e-32,5.832856292521766e-34,3.6903576792669087e-25,7.643168068451268e-25,2.5575592096801848e-39,1.4271085469079406e-45,6.231605922625194e-54,2.0695847680632905e-53,3.159796031805407e-31,3.887771690949739e-29,2.2306211237268783e-47,1.1196971660488292e-53,5.7587277991571005e-61,2.1166774725847895e-55,3.614305480861883e-75,1.6928083357858378e-84,1.6458961585431604e-68,1.9899932659188003e-74,3.0770463981313407e-83,1.5140277024823368e-95,1.2331904503534956e-96,2.5099760764406785e-98,2.551975919893251e-97,5.11950716446277e-99,2.207763105492718e-107,4.514255986991073e-94,9.952127734455099e-91,9.544056369895005e-91,3.452485823735451e-31,5.273083057675777e-97,6.113291674088933e-89,2.645386330688809e-81,5.140528071227763e-92,1.5642758480333752e-81,2.741750116206045e-106,1.22810407404312e-103
5.157006512543515e-14,0.11224537200000077,0.0,0.0,0.0,0.0,0.3299999999999689,0.6699999999999757,3.109621058078699e-14,2.4287193585764737e-14,2.246429337050715e-20,6.809039451646943e-15,6.839606374632434e-29,1.4930383937750543e-24,1.4883939243834533e-27,3.4571971917046057e-31,4.743178658825183e-33,1.4918627966781878e-24,3.0894979730646004e-24,4.340862721345396e-38,4.852207846583304e-44,2.3952951792138422e-52,1.596195973887562e-51,2.558688596796314e-30,3.148261106335731e-28,3.6319840540318594e-46,3.648366049607648e-52,3.371553065212996e-59,1.1231765123714434e-53,4.744714701902349e-73,4.490117132659103e-82,1.072888285571493e-66,2.5947530671208003e-72,8.006266209181439e-81,7.952275126649263e-93,5.445223252399723e-94,2.167723742776088e-95,2.256508348304318e-94,4.415642303756474e-96,3.406907523528306e-104,1.419726063471371e-91,8.116107912734803e-88,3.895381423912297e-88,1.3955502263351105e-30,4.31011080483518e-94,1.542353845957988e-86,6.946203573596602e-79,2.6993670744978252e-89,4.1074210449034144e-79,7.077113668182475e-103,1.5848483888863794e-100
1.035007600769223e-13,0.11224537200000155,0.0,0.0,0.0,0.0,0.32999999999993757,0.6699999999999513,6.240983195083536e-14,4.874450998506866e-14,9.032067131110349e-20,1.3665412255609992e-14,2.803911469019263e-28,6.009742665434815e-24,1.224913299862197e-26,2.7853786047167536e-30,3.825540246596414e-32,6.000011067648153e-24,1.2422793659308847e-23,7.157972710155717e-37,1.601690100644408e-42,8.456027747701301e-51,1.1301884400615799e-49,2.0591347453022408e-29,2.5337413926371284e-27,5.862023364151363e-45,1.178032611183553e-50,1.6098422300490825e-57,5.147009349862854e-52,6.150038848113578e-71,1.170469608908888e-79,6.929549608162489e-65,3.352029605417456e-70,2.0590896565527973e-78,4.1235270451010145e-90,2.1411487700292208e-91,1.683294579452471e-92,1.773362351194174e-91,3.3859497993150995e-93,4.925769165254338e-101,4.0584263848277275e-89,5.450070061391713e-85,1.3108278211530143e-85,5.6114481396616844e-30,2.8976062515877953e-91,3.7071109583282597e-84,1.8008119197101387e-76,1.399306446275027e-86,1.0648416693677864e-76,1.515325160568247e-99,1.6965134247757619e-97
2.0736214997989658e-13,0.11224537200000308,0.0,0.0,0.0,0.0,0.32999999999987495,0.6699999999999023,1.2503693857496032e-13,9.765999257425792e-14,3.6216803554172423e-19,2.737730804516301e-14,1.1353246025479518e-27,2.4152316310679187e-23,9.939215957445429e-26,2.2394675166754227e-29,3.072873655801987e-31,2.4073123767436786e-23,4.9821425521361653e-23,1.1627590736974932e-35,5.206177807328881e-41,2.8471357735106573e-49,7.626828664304212e-48,1.6518099844882364e-28,2.032761898357147e-26,9.42007065732848e-44,3.786663347908342e-49,6.574203087011648e-56,2.0744976890835727e-50,7.92128018010911e-69,3.0263802670098436e-77,4.4551641930347845e-63,4.310347077218441e-68,5.2471168479151034e-76,2.1245062583260574e-87,7.436686846276887e-89,1.1587032643110434e-89,1.2281037296074257e-88,2.59585437321229e-90,7.155875970986632e-98,1.1000551323102064e-86,3.237257498620488e-82,3.911739345927954e-83,2.2504433335370585e-29,1.7221183394887392e-88,8.338748004238273e-82,4.639061929512677e-74,7.205910593887631e-84,2.7430693019723256e-74,2.778213659194345e-96,1.554955330352331e-94
