Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.553639205348036e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999998,2.7457988316317016e-16,2.144548135547368e-16,2.6183099747418887e-24,6.012507222584943e-17,2.08689804083092e-33,1.7383248010513953e-28,7.022775451953545e-34,6.187833803405338e-37,5.688125059484493e-39,1.7383233821582286e-28,3.6006414685563835e-28,3.3803314038843644e-46,6.431648413501014e-54,3.753798425514684e-63,4.31222935556853e-64,4.584053843401643e-36,5.640686849166293e-34,7.169380404966108e-54,1.224230236601703e-61,1.7265327762379143e-71,4.531962857988875e-65,-1.71272163907551e-85,-1.4037978503634518e-96,6.216853549840194e-78,2.6165743278926747e-85,1.4169324334830675e-95,-8.688382194137756e-109,-8.648727078867419e-110,-1.2634919131593953e-112,-5.630744092462133e-112,1.8741450335332067e-115,1.8564015695810522e-123,6.972342564046114e-108,4.002371819317625e-107,1.0940044145904123e-105,1.6264446135992788e-34,1.8839866050615646e-113,-1.0345610527713785e-100,-4.380561503565104e-93,-2.9805037049120607e-105,-2.5903380763284144e-93,5.132085859641705e-118,6.556545654939771e-114,1.7161240094360022e-38
1.2750189774974502e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999995,7.688236643747365e-16,6.004735308854163e-16,1.5814573400237893e-23,1.6835014929849428e-16,2.0184364960967123e-32,1.0499569620200806e-27,1.2928581251342154e-32,7.346252562165777e-36,8.595894412772881e-38,1.0499506862508066e-27,2.1747875979586088e-27,1.153947334595405e-44,4.0163580901696506e-52,3.92959666831945e-61,8.169481443048054e-62,5.442543928337301e-35,6.696613704410909e-33,2.021879932529484e-52,6.336968123874653e-60,3.229706890262823e-69,5.084059239700848e-63,6.211915150865956e-84,1.28314000013685e-94,5.854608618477405e-76,4.461565946527984e-83,4.362747774642903e-93,1.0507210066865347e-106,1.0464089917017658e-107,2.13497280164757e-110,1.281006308792964e-109,3.8314111684311087e-112,1.887795885731975e-120,3.799455761675558e-105,6.790012232785867e-104,1.030526007927549e-102,9.823725524772276e-34,3.369484443502162e-110,6.696303011149385e-99,2.8160299002822824e-91,3.4189959163692704e-103,1.6651901996257384e-91,9.132094568769922e-115,6.477910577768837e-111,3.159286656056716e-37
2.9143290914227433e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999824,0.6699999999999987,1.7573111928694604e-15,1.3725111772751802e-15,7.614017135811746e-23,3.848000917084559e-16,1.4116183491989755e-31,5.0552134713227114e-27,1.8394092241961046e-31,7.212756087491979e-35,9.247070562207908e-37,5.055094846606801e-27,1.0470667654812093e-26,3.3027563321377836e-43,2.3024211356823213e-50,3.844335081674294e-59,1.598529968319957e-59,5.343656773274359e-34,6.574754450411403e-32,4.398030175945685e-51,2.7669680938631252e-58,6.146182461297697e-67,5.691413864847166e-61,1.2803363467394068e-81,6.485067220307018e-92,5.116957421352222e-74,7.797739894902572e-81,1.5241918254072077e-90,8.522811740918396e-104,8.318063098721312e-105,2.748372856219389e-107,2.1134792887012533e-106,1.495301916734771e-108,4.716995398592071e-117,4.2490748001529116e-102,2.8437054762028833e-100,2.1588861784653547e-99,4.729701020038101e-33,1.4605839574059335e-106,2.817747302037417e-96,1.1816961846612621e-88,2.897849784526257e-100,6.98766809870415e-89,1.2069361896011342e-110,4.282823365863266e-107,4.4948245575281544e-36
6.192949319273329e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.32999999999999624,0.6699999999999972,3.734286114146478e-15,2.916587316966663e-15,3.325224454965068e-22,8.17699129588731e-16,7.863247584206449e-31,2.2078739727933675e-26,2.089148286585359e-30,6.379947210200661e-34,8.499650251029615e-36,2.2077228280977107e-26,4.572817004785891e-26,7.570503042985953e-42,1.0601232775418283e-48,2.7407316716973204e-57,2.2845500249219853e-57,4.726421254031155e-33,5.815259218276415e-31,8.153205553519973e-50,1.0300726982193193e-56,8.325763613962864e-65,5.015793750163095e-59,2.0286797172603116e-79,2.2538213509043584e-89,3.81740789178213e-72,1.164611650951235e-78,4.553707203885457e-88,5.411216484523457e-101,5.1343923950376836e-102,2.9675664415504205e-104,2.6518505588217907e-103,3.426155487493829e-105,8.590953586101926e-114,2.838460048474782e-99,6.721380754205561e-97,2.551304467750703e-96,2.065584743790602e-32,3.513815351622067e-103,8.915740865074854e-94,3.747664794968204e-86,1.838764268534772e-97,2.2160872558058318e-86,8.22185338844434e-107,1.4586622558552131e-103,5.105002994068683e-35
1.2750189774974502e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.3299999999999923,0.669999999999994,7.688235413860427e-15,6.004742983984126e-15,1.3882016571959485e-21,1.6834938176040081e-15,3.7771454687611615e-30,9.218613445359024e-26,2.0392655218742497e-29,5.3633646244499684e-33,7.271628496008638e-35,9.217059762628999e-26,1.909062212369823e-25,1.489175206295794e-40,4.1861168533807054e-47,1.4892271957504052e-55,2.489976620905857e-55,3.972788786204151e-32,4.888014137074276e-30,1.4013273111384384e-48,3.5487556093241e-55,8.215886422024053e-63,3.6401941047073687e-57,2.879983723735115e-77,6.675550634528741e-87,2.6332249638874285e-70,1.6075726479804486e-76,1.2567498485970661e-85,3.0759779624056294e-98,2.764657009650407e-99,2.96072357406944e-101,2.8789545132092997e-100,5.1936527555571645e-102,1.4975429231908406e-110,1.3339255459463708e-96,1.0261152891702576e-93,1.947630653662483e-93,8.623410093691327e-32,5.412611346740899e-100,2.5092144784773887e-91,1.0644559149046501e-83,1.0446940084565404e-94,6.2943829338670865e-84,3.084432651344785e-103,2.7357625492461805e-100,4.982933777371628e-34
2.5864670686376844e-14,0.11224537200000038,0.0,0.0,0.0,0.0,0.3299999999999844,0.6699999999999878,1.55961318420051e-14,1.2181067868450507e-14,5.671141541286581e-21,3.4150696427600186e-15,1.6626136651729173e-29,3.7670924039910873e-25,1.8152864167670791e-28,4.3982849376196695e-32,6.01232100573765e-34,3.765675219159411e-25,7.799151275074825e-25,2.6653651677710393e-39,1.5023969096058194e-45,6.575644144146358e-54,2.2061155183591807e-53,3.2570137474267467e-31,4.007388243603249e-29,2.3225958950780786e-47,1.1777019245977466e-53,6.1189468490999534e-61,2.244561479166236e-55,3.879122885890538e-75,1.8352904969255112e-84,1.7487357733396612e-68,2.1357987682203564e-74,3.335949524662155e-83,1.658121622067977e-95,1.3479627348089686e-96,2.7702279892698697e-98,2.8179007873060915e-97,5.654038230574055e-99,2.599383985852849e-107,4.910506498879278e-94,1.0986026994021412e-90,1.0429768446984656e-90,3.522944724486107e-31,5.821156170057437e-97,6.62505173315591e-89,2.8680370534323486e-81,5.629758799796322e-92,1.695934078830725e-81,7.211260651096015e-100,3.1975291246133045e-97,4.4353266743309864e-33
5.209363250918153e-14,0.11224537200000077,0.0,0.0,0.0,0.0,0.3299999999999686,0.6699999999999755,3.141191601377843e-14,2.4533771838256687e-14,2.2922729652143736e-20,6.878167090426239e-15,6.9817314974676e-29,1.5235247606406688e-24,1.5348332021771165e-27,3.563603275616097e-31,4.8891162508410034e-33,1.5223123107093644e-24,3.152549101774898e-24,4.5218706705599183e-38,5.105923291280591e-44,2.5238421819933057e-52,1.699006948563102e-51,2.6374098949566404e-30,3.2451232100796246e-28,3.781740908946448e-46,3.837365851191848e-52,3.5712297070353057e-59,1.1885934262458435e-53,5.0923556985300785e-73,4.8680617009769943e-82,1.1399249412216915e-66,2.7848688585968577e-72,8.679710257164886e-81,8.709111677177731e-93,5.944225591299241e-94,2.389835273250444e-95,2.4883128286598194e-94,4.865486503692788e-96,4.2573096632826435e-104,1.5420489253065717e-91,8.931518448468032e-88,4.243750980648858e-88,1.4240308484329319e-30,4.7432487500508024e-94,1.670827624885544e-86,7.530834705334458e-79,2.9562652178767428e-89,4.453123923781426e-79,1.201689485147599e-96,2.6637356561241207e-94,3.74955563182128e-32
1.0455155615479091e-13,0.11224537200000155,0.0,0.0,0.0,0.0,0.32999999999993695,0.6699999999999507,6.304344962419518e-14,4.9239396574543864e-14,9.216379994613501e-20,1.3804145181994275e-14,2.8616200054691795e-28,6.132520967270984e-24,1.2628542573449812e-26,2.8711359113494683e-30,3.9432439881344983e-32,6.1224871081324286e-24,1.2676321265135932e-23,7.454720715463392e-37,1.6850392482664214e-42,8.902265864967715e-51,1.201952624360195e-49,2.12248326690356e-29,2.611694007689059e-27,6.103730830238408e-45,1.2390593344937112e-50,1.7008074999270823e-57,5.436026084220947e-52,6.600645054240089e-71,1.2689990025458333e-79,7.362524286642011e-65,3.59763036537448e-70,2.232184829119104e-78,4.515970673548579e-90,2.3334741818263238e-91,1.852847079319738e-92,1.952223592806379e-91,3.7285385951101486e-93,6.709376642550177e-101,4.404236653125026e-89,5.98500962239723e-85,1.425089398547978e-85,5.725967531825045e-30,3.182050965139496e-91,4.0131785778373917e-84,1.952377867932403e-76,1.53247384400414e-86,1.1544641591404129e-76,1.612021637373195e-93,1.7863947893835815e-91,3.084239872891724e-31
2.0946740344600967e-13,0.11224537200000312,0.0,0.0,0.0,0.0,0.32999999999987367,0.6699999999999013,1.2630637795197165e-13,9.865151317927002e-14,3.6955801366945392e-19,2.765523420461967e-14,1.1585761682516339e-27,2.4646267837520672e-23,1.0245913285214184e-25,2.3084628183200898e-29,3.1674193593205783e-31,2.456462727769026e-23,5.0838198973109653e-23,1.2108174360099275e-35,5.476418097212845e-41,2.9960020662591842e-49,8.107288445151539e-48,1.7026219058599384e-28,2.0952972241506487e-26,9.808485812203084e-44,3.9828272212123555e-49,6.932738046383298e-56,2.187445167774951e-50,8.501658978460184e-69,3.281180221918038e-77,4.7335329640700564e-63,4.6261626257457435e-68,5.687685537920662e-76,2.3266973045128624e-87,8.090906734755551e-89,1.273270974002744e-89,1.3496157072867456e-88,2.860672698042729e-90,1.0764650935067586e-97,1.1932143303882392e-86,3.5504621712397835e-82,4.2475008658730924e-83,2.2963707826218055e-29,1.888744155284615e-88,9.017427228516627e-82,5.02950809447677e-74,7.891629437941674e-84,2.973938044277524e-74,1.9048893759557369e-90,1.0553688983257908e-88,2.500911101705884e-30
