Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.598950164193165e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999998,2.773120885718228e-16,2.1658874501933798e-16,2.670676141436666e-24,6.072334622224925e-17,2.144444160892079e-33,1.7730914237356077e-28,7.288235200863723e-34,6.374394376999598e-37,5.859619205973207e-39,1.7730899083356016e-28,3.6726543005543744e-28,3.54301477117288e-46,6.808258929967218e-54,4.009039386962115e-63,4.651273392052044e-64,4.722260671096777e-36,5.81075066332802e-34,7.459023370623138e-54,1.2863629736126663e-61,1.86198598166692e-71,4.844422467419496e-65,-1.8356394566562737e-85,-1.5195160421599856e-96,6.597374716498155e-78,2.804359437911342e-85,1.5337319870820064e-95,-9.498164491022014e-109,-9.454048941497684e-110,-1.388344274867185e-112,-6.222831049203137e-112,2.1034135804956015e-115,2.0632631530457122e-123,7.6709357279329e-108,4.489673980801729e-107,1.2151126810956532e-105,1.6589735058794833e-34,2.1157789918474327e-113,-1.1198254028726241e-100,-4.741660634516063e-93,-3.258295121802671e-105,-2.8038652240842597e-93,5.856307903848514e-118,7.408068555860809e-114,1.7809931305527886e-38,2.9567422417930864e-90
1.2877060459740863e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999994,7.764738393493215e-16,6.064485400449423e-16,1.613086447884121e-23,1.7002531542973654e-16,2.0711821334325694e-32,1.0709563155396625e-27,1.339946104727389e-32,7.56773986323029e-36,8.855056359790989e-38,1.070949769467484e-27,2.2182833530364784e-27,1.207923561976811e-44,4.246146301620826e-52,4.188634627431334e-61,8.79477073453769e-62,5.606633656651511e-35,6.898513071778151e-33,2.103563880334333e-52,6.658585054603422e-60,3.47593043527444e-69,5.42717583789493e-63,6.657728992980151e-84,1.3889121112039704e-94,6.212957493886192e-76,4.781761568554744e-83,4.7223715717421094e-93,1.1486512299143966e-106,1.1437726760521287e-107,2.3481338713376306e-110,1.4150003292266078e-109,4.282725022948836e-112,2.0954319385318305e-120,4.17227605545004e-105,7.600017838467098e-104,1.1420962499275554e-102,1.0020200035913237e-33,3.773960087641187e-110,7.248100440101242e-99,3.048161308570598e-91,3.737655911386611e-103,1.8024554068508658e-91,1.039659659148936e-114,7.30222293089879e-111,3.274352693824209e-37,2.8181876324505047e-87
2.9433281050836256e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999824,0.6699999999999986,1.7747973062973445e-15,1.3861683460591198e-15,7.766297096213139e-23,3.8862903787468013e-16,1.4459293624032155e-31,5.156320451846652e-27,1.9031147311801272e-31,7.430220755923145e-35,9.525865142658135e-37,5.1561974258090065e-27,1.0680081038528232e-26,3.4513582656484723e-43,2.4300288742388776e-50,4.085891154839643e-59,1.715911015238893e-59,5.504764839193651e-34,6.772979614504782e-32,4.575710588544306e-51,2.9073986207687386e-58,6.593895173111647e-67,6.063871566097624e-61,1.3722229205332195e-81,7.019646985928934e-92,5.430156135539998e-74,8.357364509236197e-81,1.6498294132570845e-90,9.317162204016071e-104,9.090737268488707e-105,3.026179188032374e-107,2.33352161388255e-106,1.6667820344545244e-108,5.230225538036575e-117,4.652552830320104e-102,3.171838986869355e-100,2.384275847828444e-99,4.824295041313264e-33,1.6296826097745878e-106,3.0498564754290332e-96,1.2791059375004178e-88,3.1679372256051466e-100,7.563676523027113e-89,1.3671011033987683e-110,4.803372142113735e-107,4.6504960587286795e-36,2.5087978277344104e-84
6.254572223302704e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.32999999999999624,0.669999999999997,3.771444101766734e-15,2.9456088219376372e-15,3.3917286059144397e-22,8.258356188861582e-16,8.041271140779517e-31,2.252034180219731e-26,2.158039612775775e-30,6.572306878725636e-34,8.755910473225501e-36,2.2518778881141504e-26,4.664273371964654e-26,7.898535023349195e-42,1.1171039437305937e-48,2.903682236197016e-57,2.444536233662219e-57,4.868919559069515e-33,5.990585650983985e-31,8.482595033506761e-50,1.0823514533684974e-56,8.899573757466319e-65,5.333294228598993e-59,2.1742730111026554e-79,2.43961024775427e-89,4.0510637705857875e-72,1.2481929612595595e-78,4.929050226544577e-88,5.915557192337421e-101,5.609820534695478e-102,3.269908134428142e-104,2.926697783261031e-103,3.804715983565716e-105,9.532656945957565e-114,3.098176836626952e-99,7.465838662582312e-97,2.8059692501413174e-96,2.1068964395355306e-32,3.9036903019550717e-103,9.649653299839678e-94,4.056592796378989e-86,2.0101417265895741e-97,2.3987640194476115e-86,9.255654097532184e-107,1.6258918481938517e-103,5.273342681863786e-35,1.5138211884327289e-81
1.2877060459740863e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.32999999999999224,0.6699999999999939,7.764737139008816e-15,6.064493229081597e-15,1.4159654061098915e-21,1.7002453254091985e-15,3.858189865927439e-30,9.403009838770849e-26,2.1040313151889627e-29,5.525080637780574e-33,7.490864461120116e-35,9.401406030184877e-26,1.9472434793821073e-25,1.5518578608133787e-40,4.405863435674083e-47,1.5732119335469297e-55,2.656678565471562e-55,4.0925647938292793e-32,5.0353840780796686e-30,1.457940926087104e-48,3.728863785118428e-55,8.749449268336422e-63,3.863105764472603e-57,3.086672892736881e-77,7.225841090634371e-87,2.794399365093179e-70,1.7229441682780817e-76,1.360330509576874e-85,3.3626676349204086e-98,3.0191577180028175e-99,3.262860688038863e-101,3.175504585920935e-100,5.74444077939406e-102,1.6641681712160648e-110,1.4517872188436126e-96,1.1348659265539806e-93,2.132830874158652e-93,8.795878303250129e-32,5.986786039979588e-100,2.7154802920525005e-91,1.1522012568288682e-83,1.1420617250717085e-94,6.8132419713450045e-84,3.451143320741612e-103,3.0308560570296523e-100,5.14118500431332e-34,6.725345698144333e-79
2.612203693261718e-14,0.11224537200000041,0.0,0.0,0.0,0.0,0.32999999999998425,0.6699999999999877,1.5751320998785638e-14,1.2302275864807466e-14,5.784562041912038e-21,3.4490509165653767e-15,1.6971250730493618e-29,3.842454355161577e-25,1.8715772039015989e-28,4.5309131832069416e-32,6.193589458308446e-34,3.8409928819670824e-25,7.955134487215169e-25,2.7754831009934235e-39,1.5800689919826508e-45,6.931267008852647e-54,2.348670072892193e-53,3.3552084632097954e-31,4.1282069418974424e-29,2.416428741253056e-47,1.2374732200967664e-53,6.4937233386834e-61,2.377392230696757e-55,4.1575174984463265e-75,1.9865834786823982e-84,1.855772349507611e-68,2.2890797466414205e-74,3.6108545014549406e-83,1.8126629500519642e-95,1.4707999890877433e-96,3.0514621057438954e-98,3.105384971585689e-97,6.231972926674393e-99,2.8888446133960545e-107,5.332622033047447e-94,1.210327088731392e-90,1.1377335389304403e-90,3.5934036254275416e-31,6.413434634479066e-97,7.168203150154777e-89,3.1044552279565044e-81,6.154460112810048e-92,1.8357332950749746e-81,8.028148868627677e-100,3.5246639327197395e-97,4.572856647199573e-33,2.3764335250923965e-76
5.2611989878369813e-14,0.11224537200000077,0.0,0.0,0.0,0.0,0.32999999999996826,0.6699999999999753,3.172447986014537e-14,2.4777896421132905e-14,2.3381165376058647e-20,6.946606812196201e-15,7.124045297086046e-29,1.5540116097907842e-24,1.5817883035871405e-27,3.671080224678201e-31,5.036520611072032e-33,1.5527619242705103e-24,3.2156002349527317e-24,4.706703773860879e-38,5.367582980218417e-44,2.6565550515891144e-52,1.8062184773502224e-51,2.7169222277639636e-30,3.342958711594149e-28,3.934523150418401e-46,4.032121645659384e-52,3.7783566590587844e-59,1.2564031391592626e-53,5.457820222849528e-73,5.269379049530642e-82,1.2096974108820042e-66,2.9847319179217895e-72,9.394758578210299e-81,9.520821821619595e-93,6.477559324121577e-94,2.6295685759562205e-95,2.7385612839132994e-94,5.3508659263041515e-96,4.728655072038007e-104,1.672183031748784e-91,9.810099301068942e-88,4.6153773484428405e-88,1.452511470687055e-30,5.20995160251265e-94,1.8071242499347112e-86,8.151616023173589e-79,3.231788764113472e-89,4.8202030080203297e-79,1.3331068350332914e-96,2.9259225078799583e-94,3.8642547202696754e-32,7.145125503107446e-74
1.0559189576987508e-13,0.11224537200000156,0.0,0.0,0.0,0.0,0.32999999999993634,0.6699999999999503,6.367076215517216e-14,4.972935866625417e-14,9.40069240930448e-20,1.3941497463756087e-14,2.9194012399815496e-28,6.25530315808444e-24,1.3012117625405723e-26,2.9577574155382477e-30,4.062130727065513e-32,6.244963949560808e-24,1.2929848906919932e-23,7.757691492980988e-37,1.7709828768770068e-42,9.362649733117638e-51,1.2767346596384943e-49,2.186468214350513e-29,2.6904298872173236e-27,6.350321261062725e-45,1.301944626197305e-50,1.7949433414670752e-57,5.7350484918142265e-52,7.074353673417503e-71,1.373622370134502e-79,7.813168947845254e-65,3.855823102905425e-70,2.415963934797718e-78,4.9368677807139665e-90,2.5386839220403427e-91,2.0355566529457283e-92,2.1449849281931187e-91,4.098047049573755e-93,7.452485196450799e-101,4.7718472624776754e-89,6.560280472984045e-85,1.5467497134404456e-85,5.8404869252539766e-30,3.4879442236276316e-91,4.337642473014488e-84,2.1133157352245342e-76,1.675295586735622e-86,1.2496283350911583e-76,1.7844170853725797e-93,1.9579525992117108e-91,3.1779015193491934e-31,1.9136138741788956e-71
2.1155170755288562e-13,0.11224537200000316,0.0,0.0,0.0,0.0,0.32999999999987245,0.6699999999999005,1.2756318507510702e-13,9.963316763018626e-14,3.769479557973924e-19,2.7930394264260246e-14,1.1818562255500301e-27,2.5140250588214616e-23,1.0555957511166842e-25,2.3781552292366356e-29,3.2629153037583877e-31,2.5056137212454187e-23,5.1854972713361565e-23,1.2598795326782219e-35,5.755044594935446e-41,3.1495315545062998e-49,8.607757597679433e-48,1.7539440890322569e-28,2.1584607323078228e-26,1.0204747691675883e-43,4.184965252647544e-49,7.3031598924668765e-56,2.304131811369153e-50,9.111793239518955e-69,3.551743172409831e-77,5.023262117054587e-63,4.958170036384641e-68,6.155399254564131e-76,2.5435476620983404e-87,8.787796852104197e-89,1.3965249734954113e-89,1.4803475058550472e-88,3.1465451601721692e-90,1.1963962137801008e-97,1.2922051746979348e-86,3.8868938596958374e-82,4.6046184762054306e-83,2.3422982327256145e-29,2.0677277140114414e-88,9.736065364624846e-82,5.444096892246308e-74,8.62705686666767e-84,3.2190820678680205e-74,2.105993490430022e-90,1.1552900932922128e-88,2.576560187701581e-30,4.646736363901514e-69
