Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.643819033186155e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999998,2.800176364049339e-16,2.187018561498464e-16,2.723042307171467e-24,6.131578297720015e-17,2.2023737538152987e-33,1.8078580509188735e-28,7.558145432162408e-34,6.562793080514594e-37,6.032803017927819e-39,1.8078564362261259e-28,3.7446671326292436e-28,3.710072628481109e-46,7.198832963568191e-54,4.2760546213760395e-63,5.0094716241074876e-64,4.861829192488526e-36,5.982490046765015e-34,7.754401840417414e-54,1.3503503136243299e-61,2.0050661408839636e-71,5.171624856859198e-65,-1.9647326793698276e-85,-1.6422448807068564e-96,6.993114740051867e-78,3.001578893935071e-85,1.6576078529620008e-95,-1.0365468522930296e-108,-1.0316498663287082e-109,-1.5227653919941375e-112,-6.863770926899339e-112,2.3553285680981074e-115,2.2884252288863246e-123,8.423663522555453e-108,5.024929406387213e-107,1.346837865227264e-105,1.6915023981599302e-34,2.3706463153478872e-113,-1.2102540702717233e-100,-5.124637338564787e-93,-3.555819044145058e-105,-3.0303291396086122e-93,6.665286398653426e-118,8.34993937021808e-114,1.846949790751026e-38,3.246848540537874e-90,-2.728654802396217e-103
1.3002693292921234e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999994,7.840493731123902e-16,6.123652522690087e-16,1.64471555460477e-23,1.716841372849218e-16,2.124192450891804e-32,1.0919556763062809e-27,1.3877530170781232e-32,7.791409455846343e-36,9.116771729119477e-38,1.0919488547180106e-27,2.261779108205623e-27,1.2632739985890246e-44,4.484133025724504e-52,4.4590557372425615e-61,9.454028473118727e-62,5.772340087014589e-35,7.102401667210678e-33,2.1868653319837356e-52,6.989801944152683e-60,3.735447329974083e-69,5.78596306402925e-63,7.12594057139889e-84,1.5010921024048895e-94,6.585638450216127e-76,5.1180438560441835e-83,5.103782932613042e-93,1.2535377866973172e-106,1.2480358816023425e-107,2.57785169440883e-110,1.5599828538905325e-109,4.776719587211907e-112,2.321147607720442e-120,4.573195301162552e-105,8.487698851111079e-104,1.2631684079402005e-102,1.0216674547073106e-33,4.217491641442051e-110,7.83331163905196e-99,3.294356643156752e-91,4.078951436933958e-103,1.948036970899844e-91,1.1805683786988532e-114,8.211791165941853e-111,3.3911755309824906e-37,3.08878686976623e-87,4.4621364361853934e-101
2.972044181239139e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999824,0.6699999999999986,1.7921128112417626e-15,1.3996922647048663e-15,7.918577045425138e-23,3.924206256956314e-16,1.4803480482255769e-31,5.257427518741007e-27,1.9676782730666985e-31,7.649828172690564e-35,9.807406577995381e-37,5.257300024979539e-27,1.088949442314054e-26,3.603479874970926e-43,2.5619634366200336e-50,4.337300743736921e-59,1.839298912514638e-59,5.66746021965215e-34,6.973157798032764e-32,4.7569094248341537e-51,3.0520208649223575e-58,7.064226915123054e-67,6.45257568018351e-61,1.4687258850184016e-81,7.586610450474605e-92,5.755881159778672e-74,8.945104728615064e-81,1.7830784506348554e-90,1.0167938204601486e-103,9.918037059225551e-105,3.325886294446958e-107,2.571508400218932e-106,1.8539271789723104e-108,5.787655817066588e-117,5.085158434208887e-102,3.530150411582284e-100,2.6279815478422297e-99,4.918889062614032e-33,1.814390639612853e-106,3.2960134382502032e-96,1.3824173622579238e-88,3.4572098916013566e-100,8.174583016163683e-89,1.5446537650035007e-110,5.374771428433282e-107,4.808264228023572e-36,2.7418332673209017e-84,4.542425299704557e-98
6.31559388513317e-15,0.11224537200000013,0.0,0.0,0.0,0.0,0.32999999999999624,0.669999999999997,3.808239546359628e-15,2.9743471703649496e-15,3.458232746967045e-22,8.338927216998815e-16,8.21959225136234e-31,2.2961944705866362e-26,2.2277553291784914e-30,6.766562092979204e-34,9.014695527723506e-36,2.2960329657921297e-26,4.755729739936066e-26,8.233834717383181e-42,1.1759281086851405e-48,3.072739617036744e-57,2.612177521014678e-57,5.012821807545297e-33,6.167639477955498e-31,8.818507076253068e-50,1.1361906793896286e-56,9.500130855702665e-65,5.663982024528758e-59,2.327180923982388e-79,2.636652345970078e-89,4.2940646613392515e-72,1.3359734059305082e-78,5.32713119283468e-88,6.455722996919211e-101,6.118709600713116e-102,3.596293737233291e-104,3.223830269604973e-103,4.21627957134712e-105,1.0556474947602014e-113,3.3757676422908673e-99,8.275356794763085e-97,3.080172571919933e-96,2.148208135305902e-32,4.3277045172290607e-103,1.0427937599246095e-93,4.3842375197244566e-86,2.1936926703845572e-97,2.5925084402705702e-86,1.0394598634325821e-106,1.8083200186096957e-103,5.443696733105423e-35,1.649236175370457e-81,3.158791954392505e-95
1.3002693292921232e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.3299999999999922,0.6699999999999939,7.840492452042054e-15,6.123660504824465e-15,1.4437291467052201e-21,1.7168333904538308e-15,3.939300332856492e-30,9.58740694773378e-26,2.1695084448629872e-29,5.6883905011784766e-33,7.712260472429233e-35,9.585752446192905e-26,1.9854247470606628e-25,1.6158634335129892e-40,4.632479078368046e-47,1.6601040620512887e-55,2.8308754399885167e-55,4.213520845295854e-32,5.184205948743288e-30,1.5156756023031304e-48,3.914348017175973e-55,9.30581641658988e-63,4.0948298691397314e-57,3.303746135007186e-77,7.809453712438112e-87,2.96201989746039e-70,1.844111965840885e-76,1.4701852739568612e-85,3.669721865552179e-98,3.2914233512618236e-99,3.589043532346499e-101,3.495904725593542e-100,6.340876496339154e-102,1.8455712175517414e-110,1.5774106774753319e-96,1.2526167587692328e-93,2.3313903465267843e-93,8.968346513033878e-32,6.608528709956535e-100,2.934191295809975e-91,1.2452627382487183e-83,1.246345740356728e-94,7.363536585763124e-84,3.852735310171223e-103,3.350843999101222e-100,5.30117418845664e-34,7.305771615577309e-79,1.8716619135465606e-92
2.6376892108497355e-14,0.11224537200000043,0.0,0.0,0.0,0.0,0.32999999999998414,0.6699999999999876,1.590499600527549e-14,1.242230126618787e-14,5.8979824743399404e-21,3.482700635056532e-15,1.7316500278110834e-29,3.917816897016109e-25,1.9284552215840903e-28,4.6648490347012716e-32,6.376643877203319e-34,3.916310666478668e-25,8.1111177048179545e-25,2.8878569760374036e-39,1.660117766683939e-45,7.298473124329826e-54,2.4973359071915315e-53,3.454370550338027e-31,4.250215938997743e-29,2.512119662211466e-47,1.2990286310057603e-53,6.883189735090713e-61,2.5152049552989074e-55,4.449898648674293e-75,2.1470329601245516e-84,1.967089826129642e-68,2.450061575357034e-74,3.902407248901882e-83,1.978181862059941e-95,1.602091886257913e-96,3.354904603094577e-98,3.415696611744397e-97,6.855732898664151e-99,3.203938898586226e-107,5.781612305425928e-94,1.330843510557768e-90,1.23894514492064e-90,3.663862526557816e-31,7.052347136776104e-97,7.743996504181875e-89,3.3551970203296404e-81,6.716431984631188e-92,1.9840023688786834e-81,8.918440346059782e-100,3.8776955671894474e-97,4.7118210844645634e-33,2.5756451245955112e-76,1.0292771465685862e-89
5.312528973964961e-14,0.1122453720000008,0.0,0.0,0.0,0.0,0.329999999999968,0.6699999999999751,3.203399407987092e-14,2.5019639157788178e-14,2.3839600547748457e-20,7.0143787535451705e-15,7.266386275056802e-29,1.584498938068687e-24,1.629219739452936e-27,3.779617518645873e-31,5.185377286784763e-33,1.5832116363807207e-24,3.2786513725540838e-24,4.895261631268083e-38,5.637154069852904e-44,2.793423216135811e-52,1.917886073487921e-51,2.7972177975415696e-30,3.4417580170057833e-28,4.09033077831617e-46,4.232690709650969e-52,3.992966844037273e-59,1.3266142053508004e-53,5.841645621389395e-73,5.69495897248853e-82,1.2822604106437863e-66,3.1946361099991345e-72,1.015308922197585e-80,1.0390190219026406e-92,7.046830725143374e-94,2.8879294307047503e-95,3.008309996910964e-94,5.8736946715441704e-96,5.2414595943059104e-104,1.8104208022494853e-91,1.0755114569031622e-87,5.0111972714828425e-88,1.4809920930958859e-30,5.711954380301364e-94,1.951551442662914e-86,8.81000788726299e-79,3.52688283522563e-89,5.2095218294259367e-79,1.4758616019169918e-96,3.207938414539175e-94,3.9801169345014724e-32,7.731158375746579e-74,5.460634887205385e-87
1.066220850019541e-13,0.1122453720000016,0.0,0.0,0.0,0.0,0.32999999999993573,0.6699999999999499,6.429195410680922e-14,5.021454040925069e-14,9.585004379607401e-20,1.4077509514887366e-14,2.9771878237690717e-28,6.3780892062032854e-24,1.339952755455858e-26,3.045234649801191e-30,4.182188806736315e-32,6.3674415840381165e-24,1.318337658430652e-23,8.066714940553566e-37,1.859508603102293e-42,9.83712388989942e-51,1.3545693435638373e-49,2.2510833113914273e-29,2.7699413092387657e-27,6.601794656199438e-45,1.3667069804379714e-50,1.8922518655112468e-57,6.0440805771327716e-52,7.571861192855839e-71,1.484557527121605e-79,8.281836988986864e-65,4.1269874456464634e-70,2.610857222024363e-78,5.387662272429613e-90,2.757357608831902e-91,2.2321513086871667e-92,2.3524168298242543e-91,4.495930420091818e-93,8.261080013498262e-101,5.162054511758067e-89,7.177882628883728e-85,1.676091370737887e-85,5.955006319935558e-30,3.816349867825761e-91,4.681210407240728e-84,2.284004116685144e-76,1.828261536178366e-86,1.350558061583494e-76,1.9713111874420495e-93,2.1421196791112817e-91,3.272498857970691e-31,2.0678165072308333e-71,2.8470426207803297e-84
2.136156755265631e-13,0.11224537200000317,0.0,0.0,0.0,0.0,0.32999999999987123,0.6699999999998995,1.2880772971352894e-13,1.0060524472737071e-13,3.843378622805474e-19,2.8202869192883556e-14,1.205137269917895e-27,2.5634264282075463e-23,1.086907814482831e-25,2.4485379548307964e-29,3.3593521258577614e-31,2.5547653508374734e-23,5.287174673927411e-23,1.3099173636185765e-35,6.042014516526594e-41,3.3077025033493642e-49,9.128455166559077e-48,1.8057714977121002e-28,2.222246226426444e-26,1.0608856294381327e-43,4.393136889108355e-49,7.685445407008578e-56,2.424550132748076e-50,9.752580004811436e-69,3.838559218923215e-77,5.324578856490203e-63,5.3068574653167014e-68,6.651347783470927e-76,2.775801217834384e-87,9.529205512719503e-89,1.5289311259206669e-89,1.6207940493450376e-88,3.454645026936054e-90,1.3269752702894477e-97,1.3972378373696213e-86,4.2476761577624e-82,4.983883147895333e-83,2.388225683838081e-29,2.2596668761092667e-88,1.049614739761322e-81,5.88380359341722e-74,9.414714729020826e-84,3.4790780307600757e-74,2.3237663889405597e-90,1.2624363688921888e-88,2.6529587520727815e-30,5.014544046333671e-69,1.4723193303570964e-81
