Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.688258505376133e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999998,2.8269729204065994e-16,2.2079474472864123e-16,2.7754084719555684e-24,6.190255008647959e-17,2.2606806824710893e-33,1.8426246825820368e-28,7.832487456562814e-34,6.7530121526727046e-37,6.207660168162528e-39,1.8426229658132506e-28,3.816679964780256e-28,3.881531707192013e-46,7.603596923526888e-54,4.555137050745359e-63,5.387495635305166e-64,5.002746249481881e-36,6.155888808431737e-34,8.055515814345144e-54,1.4162103513233505e-61,2.15603901261227e-71,5.513954958816171e-65,-2.1001838183770478e-85,-1.7720419196332503e-96,7.404372029441707e-78,3.2085115236144195e-85,1.7888402284474492e-95,-1.129315530711648e-108,-1.1238911585945105e-109,-1.6672853169410361e-112,-7.556531461600241e-112,2.6316132306003827e-115,2.5331021567197238e-123,9.23353497283916e-108,5.611778266365212e-107,1.4898748184816276e-105,1.7240312904406173e-34,2.650363442829351e-113,-1.306051445297731e-100,-5.530357915361289e-93,-3.874056926661263e-105,-3.2702420879762043e-93,7.566973081450754e-118,9.389672243281457e-114,1.913989422929741e-38,3.5589751360989508e-90,1.5981499306213808e-80,8.295574501054138e-69
1.3127123815053172e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999994,7.915524087227806e-16,6.182253413482766e-16,1.6763446601967506e-23,1.7332708413222703e-16,2.177462286343743e-32,1.112955044275954e-27,1.4362745195769615e-32,8.01724025404979e-36,9.381015847115128e-38,1.1129479419827341e-27,2.305274863465164e-27,1.320004855646868e-44,4.730438939533079e-52,4.741116113477131e-61,1.014836717713713e-61,5.939647597081016e-35,7.308260268699226e-33,2.2717842874756e-52,7.330712455822442e-60,4.008687752325401e-69,6.160804968429771e-63,7.61721184045641e-84,1.6211736484617823e-94,6.972932508631495e-76,5.470888242800023e-83,5.5078445496857476e-93,1.3657266712410267e-106,1.3595404704676545e-107,2.8250604432684825e-110,1.716616450542902e-109,5.316475450774541e-112,2.566118645906339e-120,5.0037134858259485e-105,9.458750718268903e-104,1.3943397119760227e-102,1.041314905825171e-33,4.702965502658008e-110,8.45325851072014e-99,3.555172801881603e-91,4.4440083371639017e-103,2.1022641995699036e-91,1.3372523049463544e-114,9.213471298578797e-111,3.5097445554969264e-37,3.379343127154896e-87,4.975270777805029e-78,1.4301312096391912e-66
3.000485443440725e-15,0.11224537200000008,0.0,0.0,0.0,0.0,0.32999999999999824,0.6699999999999986,1.8092626061229163e-15,1.4130867590196451e-15,8.070856983555872e-23,3.9617592778428556e-16,1.5148718593635058e-31,5.358534671321857e-27,2.0330930654100256e-31,7.871557635736224e-35,1.009166832544019e-36,5.3584026439254484e-27,1.1098907808640365e-26,3.7591308636385055e-43,2.6982809668669417e-50,4.598753149899003e-59,1.9688709711101678e-59,5.83172757607601e-34,7.175270128712674e-32,4.9416266848059356e-51,3.200875723376927e-58,7.557827993565987e-67,6.857890673947651e-61,1.5699816753536414e-81,8.193720720094175e-92,6.0943781079376354e-74,9.561791496416918e-81,1.924240302657817e-90,1.1077946235716664e-103,1.0802659011200268e-104,3.648753251531302e-107,2.8285139006494336e-106,2.0578155425861765e-108,6.39213201083964e-117,5.548353104417794e-102,3.9207325219694256e-100,2.891081736800355e-99,5.013483083940157e-33,2.0157951406071475e-106,3.556773431545292e-96,1.4918641509743274e-88,3.7666220134543325e-100,8.821769457520182e-89,1.741076273657224e-110,6.000814801795982e-107,4.968112486262818e-36,2.9913229838549476e-84,1.2986625853887162e-75,1.865330393399547e-64
6.37603156731154e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999962,0.669999999999997,3.844682857068084e-15,3.0028104920889556e-15,3.524736878218524e-22,8.418727173324743e-16,8.398202919090645e-31,2.3403548431438292e-26,2.298287981689876e-30,6.962694542379177e-34,9.275981017136395e-36,2.3401880609609832e-26,4.8471861086924815e-26,8.57641278547231e-42,1.236617164786396e-48,3.248001264927107e-57,2.7876750082638904e-57,5.158114432480007e-33,6.346404006870656e-31,9.160941681724119e-50,1.1916056012230306e-56,1.0128098596390578e-64,6.008126195917695e-59,2.4876196357147637e-79,2.8479231320799253e-89,4.546593799491369e-72,1.4280770883724209e-78,5.748850291061855e-88,7.033495765388672e-101,6.662699689440969e-102,3.9481190234848847e-104,3.5445715977338745e-103,4.6629802069419476e-105,1.1667805786229488e-113,3.672070723122864e-99,9.154151690162823e-97,3.374976547748003e-96,2.189519831101472e-32,4.788075613681272e-103,1.1252344394833415e-93,4.7313401019415905e-86,2.39002257958167e-97,2.7977587705229232e-86,1.1646938372869992e-106,2.0069783891261063e-103,5.61604693220085e-35,1.7937586722578366e-81,2.5284280536933382e-73,1.8134711901872393e-62
1.312712381505317e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.32999999999999213,0.6699999999999938,7.915522783548516e-15,6.1822615491193355e-15,1.471492879062319e-21,1.733262705419674e-15,4.020474996582174e-30,9.771804765456578e-26,2.2356901603969694e-29,5.8532788235470645e-33,7.93579565745755e-35,9.770099009218526e-26,2.023606015399052e-25,1.6811928894739893e-40,4.866037550238472e-47,1.7499424649768788e-55,3.012744334176396e-55,4.3356455366682047e-32,5.334465718164157e-30,1.574531339774496e-48,4.105260757675673e-55,9.885467263708296e-63,4.335528934903405e-57,3.531510346063048e-77,8.435935461063657e-87,3.1362129556077334e-70,1.971247346825152e-76,1.586562481965314e-85,3.9981535443074365e-98,3.5823134573073188e-99,3.940666408022348e-101,3.8415549842071647e-100,6.985721678890333e-102,2.0427419803036163e-110,1.7111384842360706e-96,1.3799106919280675e-93,2.5439758448747454e-93,9.140814723040397e-32,7.280712226591904e-100,3.1658367547195097e-91,1.3438508652531659e-83,1.3578900510836603e-94,7.946511547651676e-84,4.2917256901318917e-103,3.6972604350437783e-100,5.462884833606971e-34,7.923504136409183e-79,4.094564295029148e-71,1.4668443458642852e-60
2.6629308310536434e-14,0.11224537200000041,0.0,0.0,0.0,0.0,0.329999999999984,0.6699999999999875,1.6057200334953927e-14,1.2541178026630846e-14,6.011402839229347e-21,3.5160283176736417e-15,1.7661881405866536e-29,3.9931800238721415e-25,1.9859148206802418e-28,4.8000798735630074e-32,6.56146700465346e-34,3.9916285715180308e-25,8.267100927830391e-25,3.002487599408111e-39,1.7425676197065653e-45,7.677397973221142e-54,2.65224651209734e-53,3.5544906591471753e-31,4.37340373152391e-29,2.609668657913353e-47,1.3623855642580796e-53,7.287604915315865e-61,2.6580813753060148e-55,4.756679699729011e-75,2.319408998751754e-84,2.082772142284146e-68,2.6189718491287735e-74,4.211266452745814e-83,2.1552243582547495e-95,1.7422386579842492e-96,3.681827080578155e-98,3.7501512148367355e-97,7.527939447266583e-99,3.546374754070829e-107,6.258611000773488e-94,1.4606486643426767e-90,1.3469095400477494e-90,3.7343214278751064e-31,7.740529922291446e-97,8.353706293081687e-89,3.6208296097157245e-81,7.317528111513025e-92,2.1410766845860663e-81,9.88707315950775e-100,4.258095374291637e-97,4.852206181338272e-33,2.7872052096430506e-76,5.946431058748479e-69,1.0643686182820523e-58
5.363367730150296e-14,0.1122453720000008,0.0,0.0,0.0,0.0,0.3299999999999677,0.6699999999999747,3.234054623221615e-14,2.5259068434526635e-14,2.429803517255038e-20,7.081502087430079e-15,7.408753647764603e-29,1.6149867408488504e-24,1.6771229113040792e-27,3.8892049386981903e-31,5.335672244248218e-33,1.6136614460875267e-24,3.341702514536204e-24,5.087544895642665e-38,5.914715757750409e-44,2.9344913537394584e-52,2.0341023964207856e-51,2.8782890326779018e-30,3.541511810579249e-28,4.249163792509482e-46,4.439129760913119e-52,4.215170735035947e-59,1.3992610333873893e-53,6.244374534874826e-73,6.152437447607462e-82,1.357668656592863e-66,3.4148781951379616e-72,1.0956413336570632e-80,1.1320084643216453e-92,7.653686980171947e-94,3.1659593977199955e-95,3.298652991940014e-94,6.436049033075243e-96,5.798464303052881e-104,1.9570943817033798e-91,1.1770131246022437e-87,5.432261418770851e-88,1.5094727156579293e-30,6.251153035725854e-94,2.1044226264968535e-86,9.507499575281243e-79,3.842520759229e-89,5.621961018984642e-79,1.6306798612749307e-96,3.5108474566964407e-94,4.0971310372401835e-32,8.352541375575207e-74,8.128055099616189e-67,7.271167590072319e-57
1.0764241528343602e-13,0.1122453720000016,0.0,0.0,0.0,0.0,0.3299999999999351,0.6699999999999493,6.490720120993105e-14,5.0695079054367653e-14,9.769315909818135e-20,1.421221981537855e-14,3.0349796005673783e-28,6.500879074349806e-24,1.3790735300976192e-26,3.1335593891335056e-30,4.303406908434486e-32,6.489920003898057e-24,1.3436904296951632e-23,8.381791572582459e-37,1.9506419447972452e-42,1.0325832867790244e-50,1.4355184045809241e-49,2.3163224637316997e-29,2.8502207756401077e-27,6.858151015227824e-45,1.4333647108958015e-50,1.992773165268273e-57,6.363247819753396e-52,8.093870961578866e-71,1.6038705480944416e-79,8.768881807210118e-65,4.41150676161402e-70,2.8173033926535836e-78,5.869841150317085e-90,2.9900885830198925e-91,2.4433836787522224e-92,2.5753158899583603e-91,4.923761073951287e-93,9.139510638278807e-101,5.5757694185794354e-89,7.840013147403336e-85,1.8134349126755221e-85,6.069525715857694e-30,4.168436522461713e-91,5.044602549379895e-84,2.4648291040897743e-76,1.991876171246725e-86,1.457481635700512e-76,2.173604822255465e-93,2.3395493700003932e-91,3.3680228324386715e-31,2.2311102044938476e-71,1.075809684334835e-64,4.8108103793912296e-55
2.156598912473021e-13,0.11224537200000319,0.0,0.0,0.0,0.0,0.32999999999987,0.6699999999998985,1.3004036394118887e-13,1.0156801945071804e-13,3.9172773346363437e-19,2.847273608454674e-14,1.2284192708666004e-27,2.6128308619878197e-23,1.1185245438456082e-25,2.5196043950248047e-29,3.4567207338133964e-31,2.6039176103934757e-23,5.388852104808639e-23,1.3609309663496112e-35,6.337409765230814e-41,3.470561349573711e-49,9.669784068681665e-48,1.8580992416154689e-28,2.286647689745778e-26,1.102081161896716e-43,4.607400997405268e-49,8.079728549015364e-56,2.548742245708876e-50,1.0424925152737871e-68,4.1472552351508645e-77,5.637710386786963e-63,5.672717878326561e-68,7.176642158458267e-76,3.024224059977227e-87,1.0317021956774539e-88,1.670970307536099e-89,1.7714662303584103e-88,3.786228263716666e-90,1.468916337808874e-97,1.5085537408248178e-86,4.634047605151082e-82,5.386198487459337e-83,2.4341531359494688e-29,2.4652206562937138e-88,1.1299182181297163e-81,6.349622779556886e-74,1.025720010282944e-83,3.754514008714009e-74,2.55922626286463e-90,1.3771747591002948e-88,2.7300995254214492e-30,5.403514355745541e-69,1.4003834748201723e-62,3.130719877360837e-53
4.3169484317503427e-13,0.11224537200000641,0.0,0.0,0.0,0.0,0.3299999999997397,0.6699999999997968,2.6030610085134424e-13,2.033175763939187e-13,1.568429505909525e-18,5.699009235213724e-14,4.941572682220104e-27,1.0510497638030178e-22,9.008180081376926e-25,2.0269524241995593e-28,2.7709739414075343e-30,1.0438615644804315e-22,2.1583937035592773e-22,2.193161763135341e-34,2.0430702439581392e-39,1.1384611755053524e-47,6.352599033061798e-46,1.4877730212551326e-27,1.8313400030363009e-25,1.767147453054568e-42,1.4776673500479787e-47,2.9538004993910827e-54,9.295050848171146e-49,1.338446491841368e-66,1.625159948859214e-74,3.616303578258221e-61,7.277650156251695e-66,1.807022393141524e-73,1.5530303684033837e-84,3.190683158888249e-86,1.023014857771765e-86,1.0877123281656352e-85,3.8294709895497484e-87,4.1406039127535806e-94,6.025041269103654e-84,3.982005599364325e-79,2.339280605998566e-80,9.749323911773945e-29,2.1189297900223004e-85,2.3505774285992634e-79,1.6304927427827793e-71,5.262267194939063e-81,9.640592519066517e-72,7.561317421434496e-87,2.0355110526867092e-85,2.1961455398358074e-29,1.178762766607641e-66,1.8073165173872615e-60,2.0200982805629508e-51
