Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64),S(1075)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.732280677800219e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999998,2.8535178491822965e-16,2.22867980468764e-16,2.827774635797979e-24,6.248380727627482e-17,2.3193590058157857e-33,1.8773913187062684e-28,8.111242900961857e-34,6.945034337354558e-37,6.384174793859823e-39,1.877389497080891e-28,3.888692797006683e-28,4.057418286447633e-46,8.022776162508847e-54,4.8465806970340227e-63,5.786026451329811e-64,5.144999058216742e-36,6.3309312177789825e-34,8.362365292402427e-54,1.4839610082135392e-61,2.3151740181762157e-71,5.871799788945437e-65,-2.2421771483532024e-85,-1.9096123062735016e-96,7.831444993607397e-78,3.4254388487741955e-85,1.9277147512119184e-95,-1.2284169590690547e-108,-1.2224205676469495e-109,-1.822452685313559e-112,-8.304198529771125e-112,2.934084169604894e-115,2.7985629593313924e-123,1.0103662448704177e-107,6.254057923896167e-107,1.6449489208466402e-105,1.7565601827215414e-34,2.956802919934347e-113,-1.4074258819885322e-100,-5.9597054859031966e-93,-4.21401894703485e-105,-3.524126281151878e-93,8.56988729079818e-118,1.0535239409556616e-113,1.9821075372537695e-38,3.8943211060633174e-90,1.7180705741552134e-80,8.835090495534442e-69,-1.1153195930692036e-91
1.3250385897840613e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999994,7.989849886103333e-16,6.240304024792631e-16,1.7079737646707607e-23,1.7495460320497634e-16,2.2309866597740715e-32,1.1339544194055954e-27,1.4855063578272656e-32,8.245211771595005e-36,9.647764741888154e-38,1.1339470312425594e-27,2.348770618814241e-27,1.3781222181937288e-44,4.9851839423485234e-52,5.035072101871515e-61,1.0878912126918734e-61,6.108541008826975e-35,7.516070200935781e-33,2.358320746807839e-52,7.681409356468554e-60,4.296086594766887e-69,6.552086988689592e-63,8.132211150617683e-84,1.7470407408197674e-94,7.375120690295658e-76,5.840774756508165e-83,5.93543586461468e-93,1.485574003532725e-106,1.4786382340074283e-107,3.0907279820336775e-110,1.8855897976195361e-109,5.905228797628818e-112,2.831572304873189e-120,5.4653786158228e-105,1.0519162013150213e-103,1.5362319926267278e-102,1.0609623569448851e-33,5.233418045720334e-110,9.109288567815107e-99,3.831177496130564e-91,4.833985404782384e-103,2.265472794979078e-91,1.5111183642951041e-114,1.0314517623582241e-110,3.6300493708985428e-37,3.690898495553099e-87,5.34208228014175e-78,1.5212797424456382e-66,3.098945531756961e-89
3.0286596337921402e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999982,0.6699999999999986,1.82625135935187e-15,1.4263554751669226e-15,8.22313691071038e-23,3.998959663882407e-16,1.5494983502326734e-31,5.459641908921804e-27,2.0993524874549855e-31,8.095389031801161e-35,1.037862459712744e-36,5.459505282459263e-27,1.1308321195019277e-26,3.9183207010585405e-43,2.8390371515256515e-50,4.870437138788923e-59,2.104805926889387e-59,5.997552006142199e-34,7.379298271016353e-32,5.1298623684504323e-51,3.3540037017627965e-58,8.07535326713775e-67,7.28018154403048e-61,1.6761280449998053e-81,8.829868439586633e-92,6.445892593884723e-74,1.0208263785013067e-80,2.073622184737329e-90,1.2050074924478717e-103,1.1747377405788112e-104,3.9960857264384205e-107,3.1056542624040065e-106,2.279575972159295e-108,7.046623922635903e-117,6.043640338036621e-102,4.345777280068332e-100,3.174694866426076e-99,5.108077105291396e-33,2.235035001519942e-106,3.832702428710196e-96,1.6076845333948347e-88,4.0971557481578524e-100,9.506644559067431e-89,1.957943517656927e-110,6.685493627356329e-107,5.130024654307298e-36,3.2580739429823973e-84,1.3921748075119005e-75,1.9810324206108385e-64,1.7137544427848616e-86
6.435901721808298e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.32999999999999613,0.669999999999997,3.8807839542656155e-15,3.031006535207021e-15,3.5912409997617826e-22,8.497777780600827e-16,8.577095499472918e-31,2.384515297161138e-26,2.369630315718839e-30,7.160686437123618e-34,9.539743237973254e-36,2.3843431734548952e-26,4.9386424782264444e-26,8.926279602647578e-42,1.2991923100295377e-48,3.4295640324899383e-57,2.9712307961790956e-57,5.3047842527592676e-33,6.526863020162453e-31,9.509898849885404e-50,1.248611298092201e-56,1.0784142561032817e-64,6.365995647514967e-59,2.6558074149424453e-79,3.0690297871336613e-89,4.808834420488655e-72,1.5246293111426316e-78,6.195125180221348e-88,7.650709512435109e-101,7.24347752098668e-102,4.3268319702383025e-104,3.8902963145332655e-103,5.147043163655705e-105,1.2872291724004297e-113,3.98794576999756e-99,1.0106620649079428e-96,3.69147785707243e-96,2.2308315269219975e-32,5.287116548702688e-103,1.2124658004177e-93,5.098656070944923e-86,2.599754653351852e-97,3.0149617721764667e-86,1.3021386081757878e-106,2.222945473138243e-103,5.790375551106112e-35,1.9478055969558302e-81,2.7064643158377094e-73,1.9230921017864828e-62,6.145913728799245e-84
1.3250385897840613e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.329999999999992,0.6699999999999938,7.989848557826607e-15,6.2403123139313785e-15,1.4992566032592886e-21,1.749537742639969e-15,4.101712070811693e-30,9.956203285337796e-26,2.3025698999450798e-29,6.019730651534707e-33,8.161449737369548e-35,9.954445717867968e-26,2.0617872843910175e-25,1.7478471667966658e-40,5.106611924017986e-47,1.842765705585533e-55,3.2024627984213977e-55,4.4589277883547954e-32,5.4861497545000566e-30,1.6345081384892872e-48,4.301653956779936e-55,1.0488880720474047e-62,4.585365052152593e-57,3.770275386768072e-77,9.090882859447694e-87,3.31710493415071e-70,2.1045232726308625e-76,1.7097152911765827e-85,4.349005204029094e-98,3.892711401611262e-99,4.3191754501328806e-101,4.2139082794038014e-100,7.681845257429863e-102,2.2567159979965385e-110,1.8533211020803652e-96,1.5173115502881901e-93,2.7712729702239833e-93,9.313282933267567e-32,8.006320324243225e-100,3.4109152652431905e-91,1.4481802314104678e-83,1.4770487209898197e-94,8.563435797678719e-84,4.770757114535283e-103,4.071700012115405e-100,5.626300904582307e-34,8.580146885202322e-79,4.3780370370989995e-71,1.5537954249264098e-60,1.6199190538816528e-81
2.6879354249905244e-14,0.11224537200000041,0.0,0.0,0.0,0.0,0.3299999999999838,0.6699999999999874,1.6207975419969155e-14,1.2658938505837157e-14,6.1248231372205655e-21,3.549043036864138e-15,1.8007390407378148e-29,4.068543730208028e-25,2.043950512007854e-28,4.936593440141745e-32,6.74804207372552e-34,4.06694659594248e-25,8.423084156201189e-25,3.1193757547467996e-39,1.8274427044812585e-45,8.068175796382268e-54,2.8135355519573845e-53,3.655559705890712e-31,4.4977591432681806e-29,2.709075728319139e-47,1.4275612601860925e-53,7.707226615371664e-61,2.806102814537275e-55,5.078278008798294e-75,2.499485100214041e-84,2.202903237045308e-68,2.796040361845088e-74,4.5381035633528556e-83,2.3443524177283424e-95,1.891651161490315e-96,4.033547298956593e-98,4.1101124377427907e-97,8.251307875440289e-99,3.917937815316716e-107,6.764776080216335e-94,1.6002566234149827e-90,1.4619319811649975e-90,3.804780329377635e-31,8.480711525629371e-97,8.998630910018852e-89,3.9019311883715836e-81,7.959656435610594e-92,2.30729813877044e-81,1.0939209707622718e-99,4.6673864097623873e-97,4.993998523907978e-33,3.01161893538523e-76,6.353689667435842e-69,1.1266801201037185e-58,3.365381895835123e-79
5.4137290954034506e-14,0.1122453720000008,0.0,0.0,0.0,0.0,0.3299999999999674,0.6699999999999745,3.264421976502885e-14,2.549624942652028e-14,2.4756469255649842e-20,7.147995086526736e-15,7.551146668417519e-29,1.6454750136371554e-24,1.725493351311825e-27,3.999832556651961e-31,5.487391848870661e-33,1.6441113524655502e-24,3.404753660857564e-24,5.283554201206438e-38,6.200346484015574e-44,3.0798037196510504e-52,2.1549601649648926e-51,2.960128576908809e-30,3.642211041532022e-28,4.4110221928693106e-46,4.651494974347312e-52,4.445078025068171e-59,1.4743777892569437e-53,6.666554847060309e-73,6.630122946329515e-82,1.4359768648095828e-66,3.6457578010715427e-72,1.1806475164797173e-80,1.231345679364521e-92,8.29981637144573e-94,3.464736341660161e-95,3.61072259167025e-94,7.0400771171047495e-96,6.40253400964513e-104,2.1125427106195355e-91,1.285883226379503e-87,5.87964402423751e-88,1.5379533383717331e-30,6.82950517216873e-94,2.2660569163216732e-86,1.024560928242224e-78,4.1797043451836086e-89,6.058418306850092e-79,1.7983186168066946e-96,3.835748227475331e-94,4.2152861104583337e-32,9.010667036572711e-74,8.68130820857004e-67,7.693828201094232e-57,5.829193132124253e-77
1.0865316436229302e-13,0.11224537200000165,0.0,0.0,0.0,0.0,0.3299999999999345,0.6699999999999489,6.551667094378458e-14,5.1171105407719516e-14,9.95362700411035e-20,1.434566503836217e-14,3.092776421474773e-28,6.623672726306217e-24,1.41857048584717e-26,3.222723642460994e-30,4.42577403536786e-32,6.612399201692376e-24,1.369043204452099e-23,8.702921888547144e-37,2.0444081755353265e-42,1.082891981933592e-50,1.5196435905962515e-49,2.3821797504071613e-29,2.9312610015650856e-27,7.119390337731176e-45,1.5019359559695116e-50,2.0965469874903763e-57,6.692674625207013e-52,8.641093124100295e-71,1.7284078733910435e-79,9.274656799587466e-65,4.7097681230568695e-70,3.0357496000539175e-78,6.384934932191606e-90,3.2374839456367366e-91,2.6700313365436145e-92,2.814505158678203e-91,5.383166350491715e-93,1.009232496493396e-100,6.013921172257497e-89,8.54893717847257e-85,1.959107632398459e-85,6.184045113008629e-30,4.545409039134582e-91,5.428551434109065e-84,2.6561842858834613e-76,2.166658730515761e-86,1.570631787238011e-76,2.3922357856987885e-93,2.5509152068291636e-91,3.4644646439391716e-31,2.4038412029629788e-71,1.1487951639692065e-64,5.089390181619614e-55,8.89053743407762e-75
2.1768491117881007e-13,0.11224537200000323,0.0,0.0,0.0,0.0,0.3299999999998688,0.6699999999998975,1.312614233001319e-13,1.0252175386822802e-13,3.9911756968156493e-19,2.874006841329547e-14,1.2517021993593397e-27,2.6622383310907616e-23,1.1504430490317484e-25,2.5913481374557426e-29,3.555012294403864e-31,2.653070493936674e-23,5.490529563711603e-23,1.412920377228071e-35,6.641311459751144e-41,3.638154085448625e-49,1.0232147282236455e-47,1.9109225695451328e-28,2.3516592766303937e-26,1.14406136640941e-43,4.82781588092248e-49,8.486142031430646e-56,2.67674987396518e-50,1.1129743313143363e-68,4.469334946177505e-77,5.96288391226381e-63,6.056249004319092e-68,7.732414652103384e-76,3.2896046948252367e-87,1.1153176409624833e-88,1.8231385795814334e-89,1.9328910932742216e-88,4.1425962621644275e-90,1.6229664772983227e-97,1.62639905820376e-86,5.04728407649992e-82,5.812486503503514e-83,2.4800805890503218e-29,2.6850679370739354e-88,1.2146702317885967e-81,6.8425683431660096e-74,1.11571860271121e-83,4.045989495198699e-74,2.813432138077034e-90,1.4998833428984756e-88,2.807975445088421e-30,5.814422948357195e-69,1.4952248406141032e-62,3.3116499393902347e-53,1.2520937663000374e-72
