Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64),S(1075),C2H3O(404)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.775897089943517e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999998,2.8798181085704355e-16,2.249221068252024e-16,2.8801407987074628e-24,6.305970691099863e-17,2.3784029693270634e-33,1.9121579592730572e-28,8.394393698148679e-34,7.138842860097178e-37,6.562331474966513e-39,1.912156030013412e-28,3.960705629307828e-28,4.237758207869165e-46,8.456594995211437e-54,5.150680653636616e-63,6.205754465960659e-64,5.288575191657171e-36,6.50760198332993e-34,8.674950274585528e-54,1.5536200374955875e-61,2.4827442108825778e-71,6.245548407456375e-65,-2.3908986907687876e-85,-2.0550414269164878e-96,8.274632041488266e-78,3.6526450598711496e-85,2.074522499267488e-95,-1.3341540651927045e-108,-1.3275382304512128e-109,3.2591803734887624e-105,1.4918862867489882e-104,1.0989794596922024e-91,1.49246672154329e-101,1.1037289516608207e-107,7.277470805865883e-107,1.8128171416870295e-105,1.7890890750027004e-34,3.444169194637045e-113,-1.5145896979478868e-100,-6.4135799925357115e-93,-4.576744280792069e-105,-3.7925138779905068e-93,6.126181029475743e-106,3.298068928046821e-113,2.0512997186388333e-38,4.254125862853431e-90,1.844509029541368e-80,9.398668315622259e-69,-1.2079115548713161e-91,1.7949013236675822e-82
1.3372511851841848e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999994,8.063490610693696e-16,6.297819573359332e-16,1.7396028680372024e-23,1.7656712112352585e-16,2.2847607638843546e-32,1.154953801652986e-27,1.535444362468985e-32,8.47530409405368e-36,9.916995110654165e-38,1.154946122478926e-27,2.3922663742520248e-27,1.4376320496445702e-44,5.248487172050876e-52,5.341180261475321e-61,1.1646801215894755e-61,6.279005567878895e-35,7.725813309879062e-33,2.4464747099784014e-52,8.041984541761358e-60,4.5980834038559114e-69,6.960195916988806e-63,8.671613187839234e-84,1.8800987312485972e-94,7.792484016371187e-76,6.228187975184e-83,6.387453068219514e-93,1.6134461262463491e-106,1.6056909850004228e-107,2.5703739421152516e-102,1.577109563538664e-101,6.154407097535855e-89,1.505476145370877e-98,5.959837899039873e-105,1.22595639528317e-103,1.6894930053315265e-102,1.0806098080664379e-33,6.102929890824549e-110,9.802774931391705e-99,4.122949250833502e-91,5.250074696366602e-103,2.438004853566088e-91,1.1129372142452205e-102,7.757410319307679e-110,3.752079788522276e-37,4.024527647346543e-87,5.728339138244194e-78,1.616371120230914e-66,3.351096451036296e-89,5.574276587467951e-80
3.056574137563851e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999982,0.6699999999999986,1.8430835241727868e-15,1.4395018912586202e-15,8.375416826990786e-23,4.0358171663973903e-16,1.5842251712488237e-31,5.5607492308893106e-27,2.1664500755074785e-31,8.32130280903228e-35,1.0668250324985053e-36,5.56060794039875e-27,1.1517734582269114e-26,4.08105863199476e-43,2.9842872309061876e-50,5.152540942023925e-59,2.2472839165831567e-59,6.16491902348256e-34,7.585224401198427e-32,5.3216164757585453e-51,3.5114449253166225e-58,8.61746205539395e-67,7.71981379732454e-61,1.787304053221598e-81,9.502359093393552e-92,6.81067023148631e-74,1.0885368519648768e-80,2.2315371625374514e-90,1.3087295818113135e-103,1.275504496565352e-104,2.171954662186148e-99,1.6918296668391808e-98,3.2031294920308756e-86,1.565977794663709e-95,6.572671598882335e-102,4.929126880381499e-100,3.479982491356473e-99,5.202671126667519e-33,2.5358344526506607e-106,4.124377134106191e-96,1.7301212769692006e-88,4.4498214460076986e-100,1.0230643865339581e-88,2.315165547914358e-99,3.2291438405093066e-106,5.2939849368279045e-36,3.5429157244914496e-84,1.4904862084228708e-75,2.101544897622376e-64,1.8491027347985333e-86,1.4503998745532952e-77
6.495220042323184e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.32999999999999613,0.6699999999999969,3.916552301096069e-15,3.058942690706975e-15,3.6577451116871444e-22,8.576099760387215e-16,8.756262678969703e-31,2.4286758319276022e-26,2.4417752674074828e-30,7.360520483962273e-34,9.805959148356992e-36,2.4284983031126812e-26,5.030098848530726e-26,9.283445271143544e-42,1.363674553245728e-48,3.617524185501161e-57,3.163047943608491e-57,5.452818455181074e-33,6.709000752929957e-31,9.8653785807028e-50,1.3072227076096019e-56,1.1468930158052973e-64,6.737859126630077e-59,2.831964599331991e-79,3.302768069624252e-89,5.080969759775405e-72,1.625756564578825e-78,6.666890989750555e-88,8.309250899373126e-101,7.86277683519415e-102,1.4831416082392488e-96,1.3352943655372027e-95,1.2444139206171591e-83,1.2155176940335436e-92,4.32443824604564e-99,1.132604849831872e-96,4.030813902346093e-96,2.272143222767249e-32,5.925970400697891e-103,1.304669642226367e-93,5.486955345625755e-86,2.823529979941631e-97,3.244572716925816e-86,3.594666894900482e-96,8.940680749354828e-103,5.966665327871961e-35,2.1118042296429576e-81,2.8933718925926405e-73,2.0371091564076446e-62,6.614857603888722e-84,2.815555218285297e-75
1.337251185184185e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.32999999999999197,0.6699999999999937,8.063489257819545e-15,6.297828016000245e-15,1.5270203193720497e-21,1.7656627683182764e-15,4.183009850418287e-30,1.0140602500957132e-25,2.3701412816856583e-29,6.187731449169297e-33,8.389202999354264e-35,1.0138792570786381e-25,2.099968554030481e-25,1.8158271778363837e-40,5.354274595739946e-47,1.9386120345594788e-55,3.4002088320801906e-55,4.58335683001857e-32,5.6392448064018795e-30,1.695605998435712e-48,4.503579076779678e-55,1.1116535197620626e-62,4.8444998898826736e-57,4.020354055218592e-77,9.78324685221004e-87,3.504822227701711e-70,2.244114344208932e-76,1.839901676374918e-85,4.723349304077069e-98,4.2235245481325805e-99,8.913840095742669e-94,8.703022253682997e-93,4.0237331164803866e-81,7.841477968199746e-90,2.0045289949265995e-96,1.6897505393525528e-93,3.0139972560277686e-93,9.485751143713342e-32,8.916925629470264e-100,3.6699347506441854e-91,1.558469517767693e-83,1.6041859771064583e-94,9.215602446645617e-84,4.638548084964097e-93,1.7148711616048473e-99,5.791406806125695e-34,9.277339245202418e-79,4.675334326484915e-71,1.6441434142362142e-60,1.7391852435031116e-81,4.5495921014299864e-73
2.712709547087918e-14,0.11224537200000041,0.0,0.0,0.0,0.0,0.3299999999999837,0.6699999999999873,1.6357360782863118e-14,1.2775613572050098e-14,6.2382433689360385e-21,3.58175344692667e-15,1.83530237468516e-29,4.143908010655574e-25,2.102556958927894e-28,5.074377816979498e-32,6.936352785486171e-34,4.14226473864122e-25,8.579067389880499e-25,3.2385222038901756e-39,1.9147669484020054e-45,8.47093962645279e-54,2.9813368599260374e-53,3.7575688603683994e-31,4.623271309974023e-29,2.810340873389626e-47,1.4945727972154046e-53,8.1423114459878e-61,2.9593502051764067e-55,5.415114889235671e-75,2.6898490167421712e-84,2.327567049483165e-68,2.981499085672096e-74,4.883602794992146e-83,2.5461441514157915e-95,2.050750945415934e-96,4.972418269847292e-91,5.068779713394088e-90,1.1675226949579842e-78,4.5269890530814865e-87,7.303739790495329e-94,1.778305874420744e-90,1.5843425353756804e-90,3.8752392310636823e-31,9.424674553008498e-97,9.680092620313205e-89,4.19909096164426e-81,8.644779663972966e-92,2.483015140231744e-81,5.356275654941809e-90,2.4812376792303106e-96,5.137185071030671e-33,3.249401800993184e-76,6.780546999656845e-69,1.1913869928062057e-58,3.6050244344987605e-79,6.5981854299890765e-71
5.463626270895384e-14,0.1122453720000008,0.0,0.0,0.0,0.0,0.3299999999999671,0.6699999999999743,3.2945094280048424e-14,2.5731244305019675e-14,2.5214902802087534e-20,7.213875181323967e-15,7.693564624670224e-29,1.6759637520647897e-24,1.7743267162178137e-27,4.111490721440198e-31,5.640522846630207e-33,1.674561354615241e-24,3.4678048114777895e-24,5.48329016440896e-38,6.494123952614564e-44,3.2294041580494935e-52,2.2805521556605614e-51,3.0427292792987997e-30,3.7438469117077703e-28,4.575905979267845e-46,4.869841997305402e-52,4.682797644009232e-59,1.5519984017246703e-53,7.108739635018096e-73,7.135100348455931e-82,1.5172397513688762e-66,3.887577395772008e-72,1.2705052040430679e-80,1.3373343098512876e-92,8.986948458762666e-94,2.6601643781406845e-88,2.77280232175371e-87,3.189929050894528e-76,2.4477977145822064e-84,2.279762100390274e-91,1.4328898750757278e-87,6.354678442504859e-88,1.5664339612358868e-30,7.610429249611256e-94,2.436779108202156e-86,1.102588412138108e-78,4.539464155604142e-89,6.519808522330053e-79,5.792739899373962e-87,2.996067571336327e-93,4.3345715405410453e-32,9.706954519430013e-74,9.260988000006784e-67,8.132591114672585e-57,6.233163079184672e-77,9.011915283892976e-69
1.0965459718510316e-13,0.11224537200000162,0.0,0.0,0.0,0.0,0.3299999999999339,0.6699999999999484,6.612052306850408e-14,5.164274424657148e-14,1.0137937666541251e-19,1.4477880166707364e-14,3.1505781444764436e-28,6.746470126865389e-24,1.458440122559292e-26,3.312719641756756e-30,4.54927949768765e-32,6.734879170180728e-24,1.3943959826689665e-23,9.030106373702092e-37,2.14083233148993e-42,1.134652655592255e-50,1.6070066684302618e-49,2.4486494157201259e-29,3.01305490549297e-27,7.385512623296726e-45,1.5724386837152476e-50,2.2036127413646575e-57,7.032484352397363e-52,9.214244555986732e-71,1.8600613385485497e-79,9.799515363121438e-65,5.0221622713367176e-70,3.266651447222143e-78,6.934518068441394e-90,3.500164594572444e-91,1.3907883812834252e-85,1.4661894033902719e-84,8.441725855976816e-74,1.2687452169959956e-81,6.504948500009416e-89,9.62188305817544e-85,2.1137243446930492e-85,6.298564511376946e-30,5.115937544642775e-91,5.833801922850101e-84,2.858470747173425e-76,2.3531433533098645e-86,1.690245678697682e-76,6.005226138950792e-84,3.2626571273777953e-90,3.5618157391850623e-31,2.5863619175049734e-71,1.2252530826385278e-64,5.378532666594512e-55,9.495126727269455e-75,1.1923000698052786e-66
2.196912661374018e-13,0.1122453720000033,0.0,0.0,0.0,0.0,0.32999999999986757,0.6699999999998966,1.3247122786728184e-13,1.0346669796919525e-13,4.0650737125990248e-19,2.900493626675918e-14,1.2749860277168818e-27,2.711648807256243e-23,1.1826605205332885e-25,2.6637629487423714e-29,3.654218220961327e-31,2.702223995657142e-23,5.592207050375557e-23,1.4658856315037608e-35,6.953799956353404e-41,3.8105262712432956e-49,1.0815947844943347e-47,1.9642368629197985e-28,2.4172753046087844e-26,1.1868262428435445e-43,5.054439295493194e-49,8.904817355271736e-56,2.8086143617954906e-50,1.1867957784318433e-68,4.809823076029746e-77,6.300326637149817e-63,6.4579532901594165e-68,8.319818766409702e-76,3.572754261182799e-87,1.2039640139621124e-88,7.174514474275892e-83,7.606794020627916e-82,2.1973852886331844e-71,6.342081723315554e-79,1.7785334110219943e-86,5.803299401374079e-82,6.266725699719403e-83,2.526008043131448e-29,3.087270334204069e-88,1.3040264039864174e-81,7.363673487640768e-74,1.2117422227353079e-83,4.354115401356345e-74,6.003858005031231e-81,3.3328297449588694e-87,2.8865796455357926e-30,6.248058153597551e-69,1.594569181409313e-62,3.4994231625580268e-53,1.3362625286570196e-72,1.55168336652989e-64
