Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64),S(1075),C2H3O(404),S(413)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.819118759065875e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999998,2.9058803418684195e-16,2.269576426586127e-16,2.9325069606925405e-24,6.363039445973504e-17,2.437806996066426e-33,1.946924604264204e-28,8.681922077017695e-34,7.334421406095036e-37,6.742115213971051e-39,1.946922564595609e-28,4.032718461683006e-28,4.4225768895553764e-46,8.905276716339585e-54,5.467733057875097e-63,6.647379368502336e-64,5.4334625632939646e-36,6.685886232626163e-34,8.993270760890662e-54,1.625205028721739e-61,2.6590262460082375e-71,6.635591881806712e-65,-2.5465361976370432e-85,-2.2086230169460662e-96,8.734231582023074e-78,3.8904169911645836e-85,2.2295599909541508e-95,-1.4468383094047478e-108,-1.4395527012197388e-109,3.5430786010756656e-105,1.6301850101632687e-104,1.1889934671696806e-91,1.6293454593526113e-101,7.218773245145442e-98,9.416843586918543e-104,2.0901717297228104e-105,1.8216179672840933e-34,4.461094174068543e-110,-1.6277591742038039e-100,-6.892898198951435e-93,-4.9633013736011905e-105,-4.07594698423684e-93,6.748558442348111e-106,3.6714196092572696e-113,2.1215616243598967e-38,4.639669685508157e-90,1.9776890559933983e-80,9.986904094038496e-69,-1.306286289544225e-91,1.9244994829489638e-82,1.6663194459504972e-90
1.349353252538445e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999924,0.6699999999999994,8.136464862231627e-16,6.354814587281244e-16,1.771231970306192e-23,1.781650452013106e-16,2.338779955330229e-32,1.1759531909767402e-27,1.5860844461679798e-32,8.707497852697862e-36,1.0188684289173717e-37,1.1759452156737811e-27,2.435762129777702e-27,1.49854019609212e-44,5.520467020828743e-52,5.659697348744296e-61,1.245318480536662e-61,6.451026924163861e-35,7.937471938946442e-33,2.5362461769852473e-52,8.412529060279727e-60,4.915122321416356e-69,7.385519868640536e-63,9.236098914622494e-84,2.0206164347215346e-94,8.225303508019761e-76,6.633616984835384e-83,6.864809100426348e-93,1.7497197007376599e-106,1.7410706489024935e-107,2.7935773775337693e-102,1.7206145342382315e-101,6.650635428383292e-89,1.6416053269612675e-98,7.275288698831453e-95,1.7091261972814361e-100,2.0290651991736724e-102,1.1002572591898114e-33,8.513117597348949e-107,1.053511632922044e-98,4.43107740446452e-91,5.693501844721191e-103,2.6202088660901577e-91,1.2245555479046413e-102,8.610957032032845e-110,3.87582582014978e-37,4.381338179710849e-87,6.13468202096803e-78,1.7154974920772556e-66,3.618566390100217e-89,5.969690865283196e-80,9.320558082170069e-88
3.08423600580216e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.3299999999999982,0.6699999999999986,1.8597633522960036e-15,1.4525293280029372e-15,8.52769673249641e-23,4.0723410954091827e-16,1.6190500635230012e-31,5.661856636588057e-27,2.2343795166809877e-31,8.549279951340874e-35,1.0960521127858446e-36,5.66171061756667e-27,1.1727147970381918e-26,4.247353685511582e-43,3.1340860098796894e-50,5.445252259749408e-59,2.3964864544995162e-59,6.333814538685686e-34,7.793031183921373e-32,5.51688900672123e-51,3.673239149401771e-58,9.184818050103869e-67,8.177153432299472e-61,1.9036500529380734e-81,1.021255122909956e-91,7.188956634607227e-74,1.1593960504448266e-80,2.398304151933917e-90,1.419266416260412e-103,1.382859354758032e-104,2.35959312001733e-99,1.8424440702753585e-98,3.45604882985427e-86,1.7049294454558358e-95,7.561062378008531e-92,3.554850220342185e-97,4.171174657437882e-99,5.297265148068298e-33,1.829387986543106e-103,4.432384981686946e-96,1.8594216868515636e-88,4.825657915339037e-100,1.0995229753432704e-88,2.5434069613179196e-99,3.5756535553135245e-106,5.45997790702402e-36,3.8467006832840827e-84,1.593746978723547e-75,2.2269723367295705e-64,1.9923481827608404e-86,1.5508834182528438e-77,4.8434921920416966e-85
6.55400151232959e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.3299999999999961,0.6699999999999969,3.951996932443912e-15,3.0866260150937472e-15,3.724249214082459e-22,8.653712896479333e-16,8.935697455223435e-31,2.472836446750634e-26,2.5147159553850874e-30,7.56217986351723e-34,1.007460633780606e-35,2.4726534497775763e-26,5.1215552195982954e-26,9.647919632192398e-42,1.4300847190935082e-48,3.8119774137821747e-57,3.363330446871963e-57,5.602204577651916e-33,6.892801872263459e-31,1.0227380874142486e-49,1.3674546296931467e-56,1.2183130558741268e-64,7.123985219206756e-59,3.016313576323099e-79,3.549610159379805e-89,5.363183052793664e-72,1.7315865157477115e-78,7.165100319284142e-88,9.011059728510909e-101,8.522378783060031e-102,1.6104050626721444e-96,1.4518996197879303e-95,1.340760791999755e-83,1.3214721632429589e-92,5.868456894145129e-89,5.522914081644876e-94,4.959864058151268e-96,2.3134549186370012e-32,2.890128359175771e-100,1.4020311312951392e-93,5.8970222358512166e-86,3.0620077046468293e-97,3.487055386187552e-86,3.943378426891824e-96,9.867250654551588e-103,6.144899446493044e-35,2.286192254824773e-81,3.089416306808506e-73,2.1556120351331407e-62,7.109924768986451e-84,3.006326868102534e-75,1.8790137242967754e-82
1.349353252538445e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.3299999999999919,0.6699999999999937,8.136463484760058e-15,6.3548231834243154e-15,1.5547840274744434e-21,1.781641855588948e-15,4.264366706375536e-30,1.032500240606728e-25,2.4383980957347314e-29,6.357267078795024e-33,8.619036270772907e-35,1.0323139566656045e-25,2.138149824311529e-25,1.885133810360085e-40,5.609097303202415e-47,2.0375193975538048e-55,3.606160872276042e-55,4.708922186452201e-32,5.793737985635156e-30,1.7578249196020832e-48,4.711087105587222e-55,1.176890859297292e-62,5.113094700035879e-57,4.2820620594145585e-77,1.0514426108271298e-86,3.6994912308700274e-70,2.3901967868065122e-76,1.9773844294195705e-85,5.1222885113443144e-98,4.5756844377994945e-99,9.67400268636734e-94,9.452363703173092e-93,4.3306942673604505e-81,8.515809533827486e-90,3.792001690570789e-86,7.140460783893217e-91,4.007885301438627e-93,9.65821935437573e-32,3.7683617157704713e-97,3.943412456343341e-91,1.6749414928502117e-83,1.7396763051824285e-94,9.904328775482301e-84,5.083035071455921e-93,1.8863012938169442e-99,5.958187363144299e-34,1.0016756424463653e-78,4.986857343384303e-71,1.7379546833356875e-60,1.8647857826527851e-81,4.852736158932884e-73,6.069263729664956e-80
2.7372594551494168e-14,0.11224537200000041,0.0,0.0,0.0,0.0,0.32999999999998353,0.6699999999999872,1.6505394157565064e-14,1.2891232696554956e-14,6.351663534981155e-21,3.614167810505209e-15,1.8698778048292616e-29,4.219272859993057e-25,2.161728970407285e-28,5.213421413181572e-32,7.126383287626915e-34,4.217582998533901e-25,8.735050628819845e-25,3.359927687862241e-39,2.004564059055492e-45,8.885821319939907e-54,3.155784433472727e-53,3.8605095343459278e-31,4.7499296650882343e-29,2.913464093085976e-47,1.5634370963426644e-53,8.59311490798176e-61,3.11790409443445e-55,5.767615573749922e-75,2.8908853327379328e-84,2.456847518663639e-68,3.1755821507863937e-74,5.248461125122331e-83,2.761193953572957e-95,2.2199703146053955e-96,5.394625374760641e-91,5.501342882063048e-90,1.2557582617744654e-78,4.912795298526761e-87,2.199455329072993e-83,8.281240351991024e-88,2.5723130813472744e-90,3.945698132931574e-31,4.389063874481187e-94,1.039943753853001e-88,4.512909147968305e-81,9.37491578265817e-92,2.668582609994042e-81,5.865365445009281e-90,2.722439441904942e-96,5.281753137380597e-33,3.5010796536548405e-76,7.227561415381378e-69,1.2585348637570137e-58,3.856846260348327e-79,7.033175713997886e-71,1.759884618399913e-77
5.513071860371361e-14,0.11224537200000083,0.0,0.0,0.0,0.0,0.32999999999996676,0.6699999999999741,3.324324577659713e-14,2.5964112427683923e-14,2.5673335816766013e-20,7.279159013484978e-15,7.836006836440847e-29,1.706452951882529e-24,1.8236187816506056e-27,4.224170046455258e-31,5.795052346692842e-33,1.7050114516617014e-24,3.53085596635762e-24,5.686753384739212e-38,6.796125151716119e-44,3.383336113287231e-52,2.410971201200006e-51,3.1260841848629642e-30,3.8464108640380294e-28,4.7438151515784446e-46,5.094225964179901e-52,4.928437774892705e-59,1.632156567487603e-53,7.571487120814291e-73,7.668389997817124e-82,1.6015120323402997e-66,4.1406422610238593e-72,1.3653954384533784e-80,1.4502865510327646e-92,9.716854256972272e-94,2.8854368503066134e-88,3.0082210758143932e-87,3.429722930548897e-76,2.6551597647895456e-84,1.2015093543645952e-80,9.041037104033865e-85,1.6282327339012927e-87,1.594914584249016e-30,4.802005928855961e-91,2.616919669232064e-86,1.1849900122339992e-78,4.922859776308861e-89,7.007063593873312e-79,6.340332173332849e-87,3.2822829148472678e-93,4.454977004397353e-32,1.0442849589908937e-73,9.867839807489439e-67,8.58775885384667e-57,6.6569582268918795e-77,9.602441104685143e-69,4.806583845496768e-75
1.1064696670815249e-13,0.11224537200000165,0.0,0.0,0.0,0.0,0.3299999999999333,0.6699999999999479,6.671891011419783e-14,5.211011470133027e-14,1.0322247901056816e-19,1.4608898600115757e-14,3.208384634007435e-28,6.869271241784675e-24,1.4986790359744782e-26,3.4035398318538366e-30,4.6739128984692337e-32,6.857359902321152e-24,1.4197487643141607e-23,9.363345499728838e-37,2.2399392179985938e-42,1.1878793584765554e-50,1.6976694232945885e-49,2.5157258616910804e-29,3.0955955999515017e-27,7.656517871515466e-45,1.6448906965576806e-50,2.3140095070282494e-57,7.382799339862211e-52,9.814048801219229e-71,1.9990970469794302e-79,1.0343810894745062e-64,5.349083582788901e-70,3.5104729849157466e-78,7.520209354494505e-90,3.77876526034419e-91,1.5083734438496433e-85,1.590311734394555e-84,9.074492869017503e-74,1.3756967463983273e-81,6.357869517637116e-78,9.559333495121243e-82,1.228943271873318e-84,6.413083910951521e-30,5.082726312695513e-88,6.261111165283073e-84,3.07209706972175e-76,2.5518792194631356e-86,1.816564905280306e-76,6.5703797544064e-84,3.571138357765628e-90,3.6600677992049664e-31,2.779030927294459e-71,1.3052808593089427e-64,5.67843485780686e-55,1.0128692286761783e-74,1.2701742379872094e-66,1.2717405437644723e-72
2.2167946291703026e-13,0.1122453720000033,0.0,0.0,0.0,0.0,0.32999999999986634,0.6699999999998956,1.3367008323431887e-13,1.0440309042952215e-13,4.138971385152891e-19,2.926740656071611e-14,1.2982707295310328e-27,2.7610622629984733e-23,1.215174225823549e-25,2.736842766310419e-29,3.754330162110593e-31,2.7513781099041596e-23,5.693884564546908e-23,1.519826763370941e-35,7.274954869951568e-41,3.9877230471661856e-49,1.142158885236713e-47,2.0180376297170795e-28,2.4834902469211044e-26,1.2303757910676733e-43,5.287328464543084e-49,9.335884842235288e-56,2.944376684215158e-50,1.2640500452316684e-68,5.1694082944703554e-77,6.650265765584758e-63,6.878337856772995e-68,8.94002922356651e-76,3.8745067428081523e-87,1.297842551439686e-88,7.780358235350232e-83,8.249564855654723e-82,2.361848374554983e-71,6.873606665603086e-79,3.309144259147739e-75,9.93995609861516e-79,1.111757050359717e-81,2.571935498183907e-29,5.287934782120001e-85,1.3981447094048756e-81,7.913990727235343e-74,1.3140735833934555e-83,4.6795140559675965e-74,6.565927543958928e-81,3.645489902737536e-87,2.9659054493442977e-30,6.705220923325136e-69,1.6985424801118046e-62,3.6941667133232435e-53,1.4244085567963713e-72,1.652856999526406e-64,3.3099810107480425e-70
