Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64),S(1075),C2H3O(404),S(413),CHO2(133)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.861956212701865e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999997,0.6699999999999998,2.9317108970742114e-16,2.289750837659146e-16,2.9848731217614992e-24,6.419600892536066e-17,2.4975656783172773e-33,1.9816912536618026e-28,8.97381055325305e-34,7.531754099582584e-37,6.923511416950982e-39,1.9816891008126835e-28,4.104731294131552e-28,4.6118993394065885e-46,9.369043617998012e-54,5.798035064483208e-63,7.111610061019846e-64,5.5796494118707294e-36,6.865769493433087e-34,9.317326751314167e-54,1.6987334122398328e-61,2.8443003513734555e-71,7.042315182532759e-65,-2.709279135706897e-85,-2.370656201113627e-96,9.21054202415007e-78,4.139044096567463e-85,2.3931291849293427e-95,-1.5667897631684888e-108,-1.558781027660226e-109,3.846004575483169e-105,1.7784711293725824e-104,1.2845693434238138e-91,1.7759601298069437e-101,7.868372174083605e-98,1.0355544123957867e-103,2.2955861541329192e-105,1.8541468595657151e-34,4.910548219246552e-110,-1.7471545550682235e-100,-7.398593690190194e-93,-5.3747882110615124e-105,-4.374977652525355e-93,7.421205613544827e-106,4.0791546508056497e-113,2.1928889817747298e-38,5.052274238783222e-90,2.117837728191972e-80,1.0600397120541117e-68,-1.4106898167334232e-91,2.0608788829486395e-82,1.8002646227344036e-90,8.184056240193452e-71
1.3613477395565225e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999992,0.6699999999999994,8.208790415111421e-16,6.411302948872123e-16,1.802861071487571e-23,1.797487646463851e-16,2.393039746544641e-32,1.1969525873362787e-27,1.6374226007596214e-32,8.94177420002311e-36,1.0462810223111151e-37,1.1969443108095569e-27,2.4792578853904855e-27,1.5608523903923995e-44,5.801241150343328e-52,5.990880302379198e-61,1.3299225541161566e-61,6.624591113775182e-35,8.151028906701009e-33,2.627635147826353e-52,8.793133136514626e-60,5.247652027130846e-69,7.828432212912328e-63,9.826355512682857e-84,2.1688675998975447e-94,8.673860186402212e-76,7.057555338285991e-83,7.368433650209529e-93,1.894781802154403e-106,1.885159354212192e-107,3.031679141316787e-102,1.8742422937713485e-101,7.176881192734276e-89,1.7872390772677044e-98,7.920758164416282e-95,1.8773121527695493e-100,2.2242571713790505e-102,1.119904710314989e-33,9.356141191076467e-107,1.1307737094173012e-98,4.7561621090418216e-91,6.165526368354881e-103,2.8124397176308775e-91,1.345042732499485e-102,9.540378358009344e-110,4.001277671029236e-37,4.762470938830587e-87,6.561760155969674e-78,1.8187513542977452e-66,3.9019798611095425e-89,6.385282810681337e-80,1.0058067183068593e-87,1.6454953464986217e-68
3.111651976129194e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999813,0.6699999999999986,1.8762949064402185e-15,1.465440958500161e-15,8.679976627323888e-23,4.108540347101884e-16,1.6539708539337643e-31,5.7629641253963505e-27,2.3031346429920067e-31,8.779301954371469e-35,1.1255413280699725e-36,5.762813313790542e-27,1.1936561359349937e-26,4.417214683419415e-43,3.2884878682400177e-50,5.748758263145809e-59,2.5525963920313087e-59,6.504224841491871e-34,8.002701750348546e-32,5.715679961329529e-51,3.839425769552579e-58,9.778089229427979e-67,8.652532367311362e-61,2.0253076789061563e-81,1.0961828326264686e-91,7.580997417110837e-74,1.2334902350448021e-80,2.574247918973521e-90,1.5369319674167032e-103,1.4971034828155003e-104,2.5596687517395147e-99,2.003396589848724e-98,3.7238533598314274e-86,1.8533519572582115e-95,8.219389340552713e-92,3.8987458019651925e-97,4.558578757331757e-99,5.391859169493508e-33,2.0069492418731894e-103,4.7573241336386135e-96,1.995837605900318e-88,5.225732684823145e-100,1.1801891433003579e-88,2.7894018096539797e-99,3.952004558957848e-106,5.6279884921945126e-36,4.170304078256343e-84,1.7021090767902727e-75,2.3574194794902683e-64,2.1437934257474423e-86,1.656331135188268e-77,5.218807814907815e-85,3.634509837446803e-66
6.612260449274537e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.329999999999996,0.6699999999999969,3.987126481586375e-15,3.1140632512054443e-15,3.790753307033204e-22,8.730636093268391e-16,9.115393118785554e-31,2.516997140955234e-26,2.5884456730143556e-30,7.765648209027887e-34,1.034566299891396e-35,2.516808613297025e-26,5.213011591422295e-26,1.001971227711387e-41,1.4984434528338817e-48,4.013018841754896e-57,3.5722831604971684e-57,5.752930493438214e-33,7.078251457867989e-31,1.0595905730170911e-49,1.4293217303054184e-56,1.2927414635853245e-64,7.524585040816651e-59,3.2090787644054667e-79,3.810036901405474e-89,5.655657534983228e-72,1.842247997696586e-78,7.690723238411462e-88,9.758129432961025e-101,9.224112313716623e-102,1.7460306439165892e-96,1.5763228145292178e-95,1.442638747047458e-83,1.4344915579871236e-92,6.3705124469154e-89,6.048739821930285e-94,5.402283107941088e-96,2.3547666145310325e-32,3.1657621432514485e-100,1.5047388000511522e-93,6.329655442463387e-86,3.3158651962375724e-97,3.742882071099417e-86,4.318692097513571e-96,1.0870243567936539e-102,6.32506151796008e-35,2.471417761310814e-81,3.294865896074216e-73,2.278690520524619e-62,7.632048022742255e-84,3.206250916226469e-75,2.0217909203836675e-82,6.324665467640654e-64
1.3613477395565223e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.3299999999999918,0.6699999999999936,8.20878901304244e-15,6.4113116985173416e-15,1.5825477276383192e-21,1.7974788965325283e-15,4.3457810810908026e-30,1.0509402994586268e-25,2.5073342965592544e-29,6.528323783206348e-33,8.850930894930104e-35,1.0507486704194668e-25,2.176331095228403e-25,1.955767928631318e-40,5.871151143607165e-47,2.1395254424473855e-55,3.8204976276145404e-55,4.8356136643403873e-32,5.949616750792974e-30,1.821164901976815e-48,4.9242285696184586e-55,1.2446478279559784e-62,5.391235262721618e-57,4.555717990679425e-77,1.1285844964874765e-86,3.901238338261858e-70,2.542948435130358e-76,2.1224311591111367e-85,5.546955978682144e-98,4.950146964649733e-99,1.0483739100540775e-93,1.0251110933253564e-92,4.654961788325029e-81,9.234378617739857e-90,4.112170842416863e-86,7.812177286430713e-91,4.352828875649989e-93,9.830687565252773e-32,4.123167422398601e-97,4.2318749453224893e-91,1.797823012661198e-83,1.883904544227914e-94,1.0630956235242713e-83,5.560945158792831e-93,2.071268968274463e-99,6.12662780216964e-34,1.0800109080932315e-78,5.313011239677445e-71,1.8352956387343874e-60,1.9969309479763587e-81,5.170118162559194e-73,6.52370931960784e-80,9.061343239816766e-62
2.7615911288146596e-14,0.11224537200000043,0.0,0.0,0.0,0.0,0.32999999999998336,0.669999999999987,1.6652111600703436e-14,1.3005824040616771e-14,6.465083635945002e-21,3.646294022963146e-15,1.9044650085579473e-29,4.294638273138684e-25,2.2214614945155153e-28,5.353712949768942e-32,7.318118154431227e-34,4.292901374569235e-25,8.891033872972031e-25,3.483592927804104e-39,2.0968575301695495e-45,9.312951587905345e-54,3.3370121077741226e-53,3.964373370701826e-31,4.877723926407795e-29,3.018445387369696e-47,1.6341709254106816e-53,9.059891407308773e-61,3.2817667411984506e-55,6.136209178603424e-75,3.1029856912844406e-84,2.5908285836485557e-68,3.378525825663276e-74,5.633388293684689e-83,2.9901126518575803e-95,2.3997523938601484e-96,5.844226104757393e-91,5.9621324504370335e-90,1.3489131923536872e-78,5.323641702329597e-87,2.3836190604727528e-83,9.054347162349937e-88,2.7905850158829724e-90,4.016157034979675e-31,4.798991584166846e-94,1.1158035605818397e-88,4.843996978863129e-81,1.0152138566105898e-91,2.864361981303038e-81,6.412374787630317e-90,2.9820737098927226e-96,5.427690377556933e-33,3.7671883290521174e-76,7.695296591809886e-69,1.3281693727677284e-58,4.121225661074917e-79,7.488331106862299e-71,1.8904367334756946e-77,1.1014110049918772e-59
5.562077907330934e-14,0.11224537200000083,0.0,0.0,0.0,0.0,0.3299999999999665,0.6699999999999738,3.353874687577172e-14,2.6194910513680652e-14,2.6131768304455917e-20,7.343862484938841e-15,7.978472653902578e-29,1.736942608955374e-24,1.8733654367987613e-27,4.337861397686826e-31,5.9509678051221e-33,1.735461642753572e-24,3.593907125458842e-24,5.893944445486304e-38,7.106426373112711e-44,3.54164264063222e-52,2.5463096712036635e-51,3.210186525777847e-30,3.9498945717284898e-28,4.91474970967563e-46,5.324701510333859e-52,5.182105869621112e-59,1.7148229171166339e-53,8.055360624509386e-73,8.231030970560713e-82,1.6888484237880877e-66,4.4052604667217647e-72,1.4655025701805955e-80,1.5705232294133554e-92,1.0491346409960436e-93,3.125280180770495e-88,3.258911535667972e-87,3.6828024788538247e-76,2.875883110541028e-84,1.3016371762002333e-80,9.881423209251223e-85,1.7692121127397662e-87,1.6233952074097872e-30,5.248462811688912e-91,2.8068147275079777e-86,1.2719262232954418e-78,5.330980083777989e-89,7.521132549056751e-79,6.928451390344683e-87,3.5899350618637078e-93,4.5764924564428144e-32,1.1219822319720304e-73,1.0502615917435373e-66,9.059633982052684e-57,7.101163575675358e-77,1.022014466011258e-68,5.161261937737015e-75,1.1461117658025808e-57
1.1163051464363484e-13,0.11224537200000165,0.0,0.0,0.0,0.0,0.32999999999993274,0.6699999999999474,6.73119778308992e-14,5.257333060696874e-14,1.0506557711496896e-19,1.473875225364777e-14,3.2661957605506686e-28,6.992076037742668e-24,1.539283913419225e-26,3.495176860897648e-30,4.799664120573438e-32,6.979841391261192e-24,1.4451015493569267e-23,9.702639725347211e-37,2.3417534158302086e-42,1.242586014422921e-50,1.7916930226238147e-49,2.583403640984441e-29,3.1788763828131056e-27,7.932406081982149e-45,1.7193096357879062e-50,2.4277760437293913e-57,7.74335154038534e-52,1.0441236011271852e-70,2.1457859900705424e-79,1.0907896791322685e-64,5.6909300355189564e-70,3.7676867098034347e-78,8.143672339482192e-90,4.07393454102671e-91,1.6335494670892555e-85,1.722458912557208e-84,9.74220187075306e-74,1.489496418249987e-81,6.886353791006824e-78,1.0445835548007617e-81,1.3391208866427569e-84,6.527603311721555e-30,5.554134500035016e-88,6.711248561424348e-84,3.2974793319382404e-76,2.7634306877884462e-86,1.9498354948790836e-76,7.177129471665317e-84,3.902445501597575e-90,3.7592127288360653e-31,2.9822119058525023e-71,1.3889768120463043e-64,5.989293791356803e-55,1.0792060983875861e-74,1.351619105231957e-66,1.365316233952812e-72,1.0250596250538199e-55
2.2364998578428582e-13,0.11224537200000331,0.0,0.0,0.0,0.0,0.3299999999998652,0.6699999999998947,1.348582814091492e-13,1.0533115931579232e-13,4.2128687175584634e-19,2.9527543236489053e-14,1.3215562795850442e-27,2.8104786715712635e-23,1.247981505904456e-25,2.8105816907312375e-29,3.8553399912153337e-31,2.800532831179064e-23,5.795562105978867e-23,1.574743806016477e-35,7.604855094238696e-41,4.169789144764344e-49,1.2049467362051968e-47,2.0723204987968433e-28,2.5502987255349057e-26,1.2747100109515421e-43,5.526540093548303e-49,9.779473665865332e-56,3.083887047732371e-50,1.3448311712483598e-68,5.548791934898711e-77,7.012928501619998e-63,7.3179144564491096e-68,9.594241956800779e-76,4.1957191789013605e-87,1.3971586055698158e-88,8.425255712664173e-83,8.933800634018478e-82,2.5353777448629476e-71,7.438899578305995e-79,3.583840144610632e-75,1.0860599461918913e-78,1.2135583883586196e-81,2.6178629541989976e-29,5.777733025224258e-85,1.4971854627748685e-81,8.4945918870248e-74,1.4230032093914863e-83,5.0228192054169824e-74,7.169084175631974e-81,3.981060665398028e-87,3.0459463587760138e-30,7.186721150581005e-69,1.8072718758242052e-62,3.8960077616129194e-53,1.5166431608076048e-72,1.758661881272109e-64,3.553171052618442e-70,7.998345965496741e-54
