Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12),H(6),CH3O2(19),OH(D)(9),CH2O(25),H2O(35),CC(14),O(T)(10),OO(11),CHO(34),CHO3(63),CHO3(75),CO2(114),COO(15),CH3O(17),C2H5(58),C2H4(166),CHO3(116),CHO2(70),C3H7(186),C2H5O(189),C2H3(183),C#C(234),C2H2(247),C3H5(249),S(250),C2H2O(255),C2H2O(276),C2H2O(282),S(407),S(416),S(492),S(435),CH2(T)(8),S(434),C3H6(211),C3H6(209),C3H6(813),C3H7(212),S(491),S(144),CH2O(26),CHO4(125),C2H4O(223),C2H4O(64),S(1075),C2H3O(404),S(413),CHO2(133),S(137)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.904419518605634e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999997,0.6699999999999998,2.9573158449427837e-16,2.3097490429055184e-16,3.0372392819224187e-24,6.475668323992881e-17,2.557673769752252e-33,2.016457907448239e-28,9.270041920454382e-34,7.730825484488794e-37,7.106505875789495e-39,2.0164556386502303e-28,4.17674412665282e-28,4.8057501678178475e-46,9.848117006528664e-54,6.141884820029026e-63,7.599164634000613e-64,5.7271242870522894e-36,7.047237676104885e-34,9.647118245852292e-54,1.774222463439725e-61,3.0388502984811044e-71,7.466128861507527e-65,-2.879318671081377e-85,-2.541445493533099e-96,9.703861776806968e-78,4.398818426147485e-85,2.565537480157542e-95,-1.6943371870229884e-108,-1.6855488265097688e-109,4.168865007090836e-105,1.9372679880250937e-104,1.385942456727154e-91,1.932840321907864e-101,8.563456645361655e-98,1.1382951478601997e-103,6.0972031488237695e-105,1.8866757518475681e-34,5.402843898604012e-110,-1.8730000479980152e-100,-7.931616872639012e-93,-5.812332586050365e-105,-4.690167882380202e-93,8.14730169600008e-106,4.523785446668044e-113,2.2652775861553138e-38,5.493303128288602e-90,2.265185420277606e-80,1.12397497889077e-68,-1.521373852476789e-91,2.2042636865350365e-82,1.9423343594400246e-90,8.752345439769149e-71,1.1358073850706392e-89
1.3732374652095777e-15,0.11224537200000002,0.0,0.0,0.0,0.0,0.3299999999999992,0.6699999999999994,8.280484267446997e-16,6.467297934148391e-16,1.8344901715909262e-23,1.8131865166849877e-16,2.4475357980978254e-32,1.2179519906917994e-27,1.6894548945363304e-32,9.178114786781706e-36,1.0739351441160392e-37,1.2179434078691524e-27,2.522753641089607e-27,1.6245742560444036e-44,6.09092650635527e-52,6.33498622886736e-61,1.4186098378472442e-61,6.799684541956736e-35,8.366467485915243e-33,2.720641622499717e-52,9.183886192849937e-60,5.596125682521767e-69,8.289354610443412e-63,1.0443076327161651e-83,2.325130909144537e-94,9.13843507267854e-76,7.500501015106876e-83,7.899273155534005e-93,2.0490300136855287e-106,2.0383495219685068e-107,3.2853848236629468e-102,2.0385065817885246e-101,7.734374796594387e-89,1.9428826167054795e-98,8.610597027157053e-95,2.062778250593865e-100,8.256783804155634e-102,1.139552161441956e-33,1.028613764660383e-106,1.2122087162622555e-98,5.098814330127555e-91,6.667441978155695e-103,3.015058687588059e-91,1.4749484348927657e-102,1.0551011188348534e-109,4.12842573324692e-37,5.169100413021947e-87,7.0102312740157515e-78,1.9262255434498996e-66,4.201974646588125e-89,6.821692378620917e-80,1.0839368685084865e-87,1.7576016827109748e-68,1.0608638460484672e-86
3.138828491907606e-15,0.11224537200000007,0.0,0.0,0.0,0.0,0.32999999999999813,0.6699999999999986,1.8926820718886117e-15,1.4782398172683307e-15,8.832256511567319e-23,4.14442342912691e-16,1.6889854505437691e-31,5.864071696706558e-27,2.3727094257794155e-31,9.011350802953217e-35,1.1552903685657603e-36,5.863916028902462e-27,1.2145974749165644e-26,4.590650248256691e-43,3.447546770654411e-50,6.063245597053149e-59,2.7157979660587575e-59,6.676136584086576e-34,8.214219677588777e-32,5.917989339574576e-51,4.010043831072041e-58,1.0397947774787947e-66,9.146384363443768e-61,2.1524198362221875e-81,1.175159879649776e-91,7.98703819285903e-74,1.3109064405566729e-80,2.7596990798338767e-90,1.662048730373744e-103,1.6185460982497816e-104,2.7727644785560966e-99,2.1751930225342824e-98,4.0071294200950556e-86,2.0117345702684445e-95,8.921903617596985e-92,4.282174748667019e-97,1.4282898869345603e-98,5.486453190942939e-33,2.2049540250133459e-103,5.099803479032474e-96,2.1396254146779957e-88,5.65114226338975e-100,1.2652144946268506e-88,3.0542229705030514e-99,4.360207976184568e-106,5.798001960100359e-36,4.514624341906229e-84,1.8157262147172895e-75,2.4929912913289553e-64,2.303746768640409e-86,1.7668925584983932e-77,5.615806068786159e-85,3.8755139146613733e-66,9.114236156755482e-84
6.670010545303663e-15,0.1122453720000001,0.0,0.0,0.0,0.0,0.329999999999996,0.6699999999999969,4.02194920475022e-15,3.1412608473929002e-15,3.8572573906226053e-22,8.806887429513647e-16,9.295343236204309e-31,2.5611579138832674e-26,2.662957881092706e-30,7.970909586407239e-34,1.0619107900775969e-35,2.5609637935225152e-26,5.30446796399607e-26,1.0398832557754513e-41,1.5687712249020455e-48,4.220743038674752e-57,3.790112011410158e-57,5.904984396389366e-33,7.265334983882295e-31,1.0970953148754878e-49,1.492838545026658e-56,1.3702454904716374e-64,7.940037812687356e-59,3.410486594899595e-79,4.0845378059076646e-89,5.958576441781723e-72,1.9578709989942025e-78,8.244747286436315e-88,1.0552507562017616e-100,9.969854557104094e-102,1.8904055785707544e-96,1.708934933334516e-95,1.5502582737704271e-83,1.554931926354791e-92,6.905547754805186e-89,6.6406100817713e-94,1.5232962171726893e-95,2.39607831044913e-32,3.4760356259906217e-100,1.6129845461251213e-93,6.785668057278533e-86,3.585798211876679e-97,4.0125335725195554e-86,4.7221804784199565e-96,1.1954535118929886e-102,6.507135562423995e-35,2.667939442818887e-81,3.509991788364011e-73,2.40643449402687e-62,8.182175186789438e-84,3.41559102426802e-75,2.172614660406011e-82,6.732140581704476e-64,5.216798998832297e-81
1.3732374652095777e-14,0.1122453720000002,0.0,0.0,0.0,0.0,0.32999999999999174,0.6699999999999936,8.280482840780611e-15,6.467306837295745e-15,1.6103114199336341e-21,1.8131776132465094e-15,4.4272514841000836e-30,1.0693804260590335e-25,2.5769439958510844e-29,6.700888168884216e-33,9.084868708339862e-35,1.0691833982153892e-25,2.2145123667755046e-25,2.027730374429399e-40,6.140506590424529e-47,2.2446675263090047e-55,4.043398679125758e-55,4.963421339838868e-32,6.1068688920137315e-30,1.8856259455484325e-48,5.143053546102344e-55,1.314972109463e-62,5.679227546698933e-57,4.841643297795499e-77,1.2098953427691797e-86,4.1101899444803887e-70,2.7025487189095547e-76,2.2753142910591608e-85,5.998515620805274e-98,5.347892549696049e-99,1.134532257472281e-93,1.1101559411299974e-92,4.997178631259774e-81,9.999375957240485e-90,4.453044914912985e-86,8.568684106852378e-91,1.0895929625211929e-92,1.0003155776342596e-31,4.5227720899711296e-97,4.5358580935732225e-91,1.9273450206811697e-83,2.0372659802021503e-94,1.1396850447100384e-83,6.074223222922053e-93,2.2705950471418115e-99,6.296713733943725e-34,1.1629145102251717e-78,5.654205103640399e-71,1.9362327229356044e-60,2.1358338935166884e-81,5.502135634233571e-73,7.003310031155075e-80,9.628631117641431e-62,2.1409542313588666e-78
2.7857102865680002e-14,0.11224537200000047,0.0,0.0,0.0,0.0,0.32999999999998325,0.6699999999999869,1.6797547594166444e-14,1.3119414535583136e-14,6.578503672401103e-21,3.6781396348411056e-15,1.9390636773314683e-29,4.370004245144445e-25,2.2817496123208076e-28,5.495241445934302e-32,7.5115423679776384e-34,4.368219865723731e-25,9.047017122291128e-25,3.6095186258466965e-39,2.191670647298049e-45,9.752460025339285e-54,3.5251548191718093e-53,4.069152233243931e-31,5.0066440835505554e-29,3.12528475620264e-47,1.706790903193494e-53,9.542894269796981e-61,3.451169237039266e-55,6.521328668774144e-75,3.326548794199198e-84,2.7295941834957073e-68,3.59056849789555e-74,6.0391068024028134e-83,3.233527656051795e-95,2.5905511906881215e-96,6.322468529632165e-91,6.452443225873141e-90,1.4471676193663906e-78,5.7607543452291965e-87,2.579577465291442e-83,9.915670371694842e-88,5.795725351972106e-90,4.086615937206397e-31,5.255703291908138e-94,1.1957280567491345e-88,5.1929766989304e-81,1.0978578081896831e-91,3.0707211996236667e-81,6.999487726278195e-90,3.2612203765072024e-96,5.57498477116783e-33,4.048275076867948e-76,8.184321475798885e-69,1.4003361717649017e-58,4.398545371323364e-79,7.964203617228878e-71,2.0281355430754083e-77,1.168339779679054e-59,6.689501148076566e-76
5.6106559292848456e-14,0.11224537200000083,0.0,0.0,0.0,0.0,0.3299999999999662,0.6699999999999736,3.3831667027009e-14,2.6423692805019813e-14,2.6590200269801764e-20,7.408000803112446e-15,8.120961455633158e-29,1.7674327192575305e-24,1.9235626794122137e-27,4.452555882591707e-31,6.10825700959365e-33,1.7659119270620062e-24,3.65695828874426e-24,6.104863914453311e-38,7.425103230778998e-44,3.704366416537289e-52,2.6866615086151425e-51,3.295029713134538e-30,4.054289928112422e-28,5.088709653435023e-46,5.561322785411418e-52,5.4439086641203335e-59,1.800152937436839e-53,8.560928518423693e-73,8.824081075427342e-82,1.7793036417711986e-66,4.681742845860093e-72,1.5710142576966726e-80,1.698373880860208e-92,1.1312279361249187e-93,3.3803556119619734e-88,3.5255691622158883e-87,3.949650259470497e-76,3.1106167774461137e-84,1.408142822735511e-80,1.0803229752077676e-84,2.802870158501864e-87,1.6518758307168977e-30,5.738180553267653e-91,3.0068060622241223e-86,1.3635604318339328e-78,5.764943510089186e-89,8.062981514572537e-79,7.559415135188729e-87,3.920256664378989e-93,4.699108116384364e-32,1.2039375988150256e-73,1.1166075506806995e-66,9.54851910207277e-57,7.566370255966465e-77,1.0865760237969132e-68,5.535235493629161e-75,1.213551674459896e-57,1.6644777237751746e-73
1.1260547214718536e-13,0.11224537200000168,0.0,0.0,0.0,0.0,0.3299999999999321,0.669999999999947,6.78998656031421e-14,5.303250082682158e-14,1.0690867101599777e-19,1.4867471648502783e-14,3.324011400266535e-28,7.114884482298634e-24,1.5802515297715083e-26,3.5876235713874146e-30,4.926523314318282e-32,7.102323630329554e-24,1.470454337767325e-23,1.004798949688866e-36,2.4462992871736142e-42,1.2987864237579945e-50,1.8891405198896468e-49,2.651677450270696e-29,3.262890729128005e-27,8.213177254295082e-45,1.7957129858613177e-50,2.5449507976547158e-57,8.115020099779704e-52,1.1096542885829476e-70,2.3004040473262888e-79,1.1492126449650428e-64,6.04810317709264e-70,4.0387735626329317e-78,8.806615731201359e-90,4.386334936376165e-91,1.76666002257635e-85,1.862994786052513e-84,1.0446116306662237e-73,1.6104743385142106e-81,7.448403218098354e-78,1.140645657066204e-81,1.667468338496066e-84,6.642122713676513e-30,6.064960122281095e-88,7.184995724251976e-84,3.5350411088732143e-76,2.9883774332900428e-86,2.090307908072952e-76,7.827838099962649e-84,4.257876921942512e-90,3.8592426468649276e-31,3.196277751683452e-71,1.4764401499581233e-64,6.311306515651706e-55,1.148606775023698e-74,1.436730029181963e-66,1.463965907124902e-72,1.0834522061617176e-55,3.405469824209139e-71
2.2560329785585918e-13,0.11224537200000335,0.0,0.0,0.0,0.0,0.329999999999864,0.6699999999998938,1.3603610164650095e-13,1.0625112273399008e-13,4.286765712815497e-19,2.978540744282211e-14,1.3448426537802972e-27,2.859898006935445e-23,1.2810797720668511e-25,2.884973978533117e-29,3.957239796475393e-31,2.849688154128559e-23,5.897239674431181e-23,1.6306367916649946e-35,7.943578820923007e-41,4.3567688978162714e-49,1.269999841899092e-47,2.1270812145747647e-28,2.617695504591749e-26,1.3198289023660495e-43,5.772130383850679e-49,1.0235711881371151e-55,3.227557272055162e-50,1.4292340393097285e-68,5.948687995089702e-77,7.388542049219262e-63,7.777199431293469e-68,1.028367410131821e-75,4.537271872685527e-87,1.5021216492817816e-88,9.110970106881997e-83,9.661375075317854e-82,2.718300279932217e-71,8.039571288189722e-79,3.875955819888671e-75,1.1851832220200005e-78,1.362639489016405e-81,2.66379041116825e-29,6.305088166391724e-85,1.6013113076957334e-81,9.106568102868246e-74,1.5388295076333492e-83,5.384676013658658e-74,7.815640971564485e-81,4.3408320299308e-87,3.1266960478575418e-30,7.693391876688652e-69,1.9208856534902652e-62,4.1050734807744566e-53,1.6130786926760135e-72,1.8692197664985587e-64,3.809524965317794e-70,8.440998879103484e-54,5.916008863806838e-69
