Time (s),Volume (m^3),Ar,He,Ne,N2,methane(1),oxygen(2),CH3(5),HO2(7),CH3O2(12)
0.0,0.11224537200000001,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0,0.0
2.252159338205933e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999999,0.6699999999999999,1.0606601667775247e-16,1.0606601717798207e-16,5.002295788925474e-25
6.306046146976614e-16,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999974,0.6699999999999997,2.969848450769648e-16,2.9698484809834973e-16,3.0213848774731588e-24
1.4413819764517973e-15,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999935,0.6699999999999994,6.788224953924348e-16,6.788225099390844e-16,1.454664946865911e-23
3.0629366999600693e-15,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999986,0.6699999999999986,1.4424977700916699e-15,1.4424978336205508e-15,6.352888076945882e-23
6.306046146976613e-15,0.11224537200000001,0.0,0.0,0.0,0.0,0.329999999999997,0.669999999999997,2.9698482157642317e-15,2.969848480983473e-15,2.6521924099139903e-22
1.2792265041009702e-14,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999999396,0.6699999999999939,6.02454869221301e-15,6.0245497757092756e-15,1.0834962652176539e-21
2.5764702829075877e-14,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999998786,0.6699999999999878,1.2133947985583471e-14,1.2133952365160709e-14,4.379577237255264e-21
5.1709578405208225e-14,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999997565,0.6699999999999756,2.4352739934682327e-14,2.4352757544062902e-14,1.7609380576073637e-20
1.0359932955747293e-13,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999999512,0.6699999999999512,4.8790297286041636e-14,4.87903679018646e-14,7.061582295995803e-20
2.0737883186200233e-13,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999990237,0.6699999999999023,9.766530583123723e-14,9.76655886174572e-14,2.827862199534111e-19
4.1493783647106114e-13,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999998046,0.6699999999998046,1.9541489853004706e-13,1.9541603004859917e-13,1.1315185520931659e-18
8.300558456891788e-13,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999996091,0.6699999999996091,3.909123882672848e-13,3.909169129107101e-13,4.5246434252899705e-18
1e-12,0.11224537200000001,0.0,0.0,0.0,0.0,0.32999999999952906,0.6699999999995291,4.709452458718738e-13,4.709525448688131e-13,7.298996939148342e-18
1.660291864125414e-12,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999992181,0.6699999999992181,7.819006003135829e-13,7.819186786342407e-13,1.8078320657797665e-17
3.3207639009978847e-12,0.11224537200000001,0.0,0.0,0.0,0.0,0.3299999999984361,0.6699999999984361,1.5638500758555145e-12,1.5639222100785361e-12,7.213422302156461e-17
6.641707974742826e-12,0.11224537199999998,0.0,0.0,0.0,0.0,0.3299999999968721,0.6699999999968719,3.1276421933947494e-12,3.127929272956063e-12,2.8707956131345346e-16
9.962652048487767e-12,0.11224537199999997,0.0,0.0,0.0,0.0,0.32999999999530805,0.6699999999953076,4.691328429486036e-12,4.691936335822525e-12,6.079063364893704e-16
1e-11,0.11224537199999991,0.0,0.0,0.0,0.0,0.32999999999529045,0.66999999999529,4.708912754068415e-12,4.709525448632378e-12,6.126945639630757e-16
1.3283596122232708e-11,0.11224537199999991,0.0,0.0,0.0,0.0,0.329999999993744,0.6699999999937432,6.254909727741002e-12,6.255943398677923e-12,1.033670936920987e-15
1.992548426972259e-11,0.11224537199999979,0.0,0.0,0.0,0.0,0.329999999990616,0.6699999999906141,9.381828935805571e-12,9.38395752436275e-12,2.128588557178738e-15
2.6567372417212472e-11,0.11224537199999961,0.0,0.0,0.0,0.0,0.329999999987488,0.6699999999874845,1.250836996738076e-11,1.2511971650006889e-11,3.601682626128517e-15
3.3209260564702356e-11,0.11224537199999941,0.0,0.0,0.0,0.0,0.32999999998436,0.6699999999843547,1.56345119307165e-11,1.5639985775607428e-11,5.473844890923536e-15
4.649303685968212e-11,0.11224537199999884,0.0,0.0,0.0,0.0,0.329999999978104,0.6699999999780936,2.1885613886230276e-11,2.1896014026674962e-11,1.0400140444685304e-14
7.306058944964166e-11,0.11224537199999722,0.0,0.0,0.0,0.0,0.32999999996559193,0.6699999999655671,3.438333584780499e-11,3.440807052827904e-11,2.473468047404644e-14
9.50452516002284e-11,0.1122453719999954,0.0,0.0,0.0,0.0,0.3299999999552382,0.6699999999551972,4.472085771782844e-11,4.4761803114341134e-11,4.094539651269059e-14
9.999999999999999e-11,0.11224537199999315,0.0,0.0,0.0,0.0,0.3299999999529048,0.6699999999528596,4.7050148446998176e-11,4.7095254481917025e-11,4.510603491886489e-14
1.1702991375081515e-10,0.11224537199999315,0.0,0.0,0.0,0.0,0.3299999999448845,0.6699999999448236,5.505470656852019e-11,5.511553569991796e-11,6.082913139777819e-14
1.390145759014019e-10,0.11224537199999053,0.0,0.0,0.0,0.0,0.3299999999345308,0.6699999999344466,6.5385074545153e-11,6.546926828500952e-11,8.419373985652858e-14
1.6099923805198866e-10,0.11224537199998755,0.0,0.0,0.0,0.0,0.32999999992417706,0.6699999999240661,7.571216259558812e-11,7.582300086961577e-11,1.1083827402765575e-13
2.0496856235316215e-10,0.11224537199998054,0.0,0.0,0.0,0.0,0.32999999990346957,0.6699999999032962,9.635714302054407e-11,9.6530466037372e-11,1.7332301682794766e-13
2.445409542242183e-10,0.11224537199997317,0.0,0.0,0.0,0.0,0.32999999988483286,0.6699999998845938,1.1492814896599324e-10,1.1516718468669218e-10,2.390357206989482e-13
2.841133460952745e-10,0.1122453719999649,0.0,0.0,0.0,0.0,0.32999999986619616,0.6699999998658832,1.3349118129745834e-10,1.338039033344389e-10,3.127220369805571e-13
3.2368573796633065e-10,0.11224537199995586,0.0,0.0,0.0,0.0,0.32999999984755946,0.6699999998471659,1.5204706818897447e-10,1.524406219806117e-10,3.935537916372183e-13
3.6325812983738683e-10,0.11224537199994605,0.0,0.0,0.0,0.0,0.32999999982892275,0.6699999998284417,1.705965301825129e-10,1.7107734062521028e-10,4.808104426974147e-13
4.02830521708443e-10,0.1122453719999356,0.0,0.0,0.0,0.0,0.32999999981028605,0.6699999998097118,1.891402129577384e-10,1.897140592682342e-10,5.738463104958479e-13
4.424029135794992e-10,0.11224537199992456,0.0,0.0,0.0,0.0,0.32999999979164935,0.6699999997909769,2.0767870346555124e-10,2.083507779096832e-10,6.720744441319769e-13
5.215476973216115e-10,0.112245371999901,0.0,0.0,0.0,0.0,0.3299999997543759,0.6699999997534936,2.447421709109393e-10,2.456242151878548e-10,8.820442769155188e-13
6.006924810637239e-10,0.11224537199987573,0.0,0.0,0.0,0.0,0.3299999997171024,0.6699999997159951,2.8179054919797605e-10,2.8289765245972216e-10,1.107103261746021e-12
6.798372648058362e-10,0.1122453719998491,0.0,0.0,0.0,0.0,0.32999999967982896,0.6699999996784846,3.188267431954104e-10,3.2017108972528266e-10,1.34434652987217e-12
7.589820485479486e-10,0.11224537199982136,0.0,0.0,0.0,0.0,0.3299999996425555,0.6699999996409639,3.5585309343084345e-10,3.574445269845334e-10,1.5914335536900124e-12
8.381268322900609e-10,0.11224537199979272,0.0,0.0,0.0,0.0,0.32999999960528204,0.6699999996034354,3.9287149435622234e-10,3.9471796423747197e-10,1.8464698812495852e-12
9.172716160321733e-10,0.11224537199976338,0.0,0.0,0.0,0.0,0.3299999995680086,0.6699999995659006,4.298834802518874e-10,4.3199140148409546e-10,2.1079212322081004e-12
9.964163997742856e-10,0.11224537199973347,0.0,0.0,0.0,0.0,0.3299999995307351,0.6699999995283606,4.668902855514291e-10,4.692648387244015e-10,2.3745531729725674e-12
9.999999999999999e-10,0.11224537199970304,0.0,0.0,0.0,0.0,0.3299999995290474,0.6699999995266607,4.685658126461513e-10,4.709525443668972e-10,2.3867317207459754e-12
1.075561183516398e-09,0.11224537199970304,0.0,0.0,0.0,0.0,0.32999999949346165,0.6699999994908162,5.038929108223453e-10,5.065382759583874e-10,2.645365136042116e-12
1.2338507510006227e-09,0.11224537199964117,0.0,0.0,0.0,0.0,0.3299999994189148,0.6699999994157182,5.77888667967507e-10,5.810851504073884e-10,3.1964824398814436e-12
1.3692357745773426e-09,0.11224537199958748,0.0,0.0,0.0,0.0,0.32999999935515484,0.6699999993514798,6.411700431171298e-10,6.448450716206164e-10,3.675028503486342e-12
